year,unity_bp_equiv,lo,hi,source
1989,30.1,21.6,38.6,NISA+offset (bridged)
1990,31.2,22.7,39.7,NISA+offset (bridged)
1991,28.0,19.5,36.5,NISA+offset (bridged)
1993,25.9,17.4,34.4,NISA+offset (bridged)
1994,33.3,24.8,41.8,NISA+offset (bridged)
1995,33.3,24.8,41.8,NISA+offset (bridged)
1996,30.1,21.6,38.6,NISA+offset (bridged)
1998,32.7,27.1,38.4,NILT const.+offset
1999,32.1,26.5,37.7,NILT const.+offset
2000,27.3,21.7,32.9,NILT const.+offset
2001,40.6,35.0,46.2,NILT const.+offset
2003,34.6,29.0,40.3,NILT const.+offset
2004,32.0,26.4,37.6,NILT const.+offset
2005,32.7,27.1,38.4,NILT const.+offset
2006,40.1,34.5,45.8,NILT const.+offset
2007,30.3,24.7,35.9,NILT const.+offset
2008,25.1,19.5,30.7,NILT const.+offset
2010,23.0,17.4,28.7,NILT const.+offset
2012,24.5,18.9,30.1,NILT const.+offset
2014,25.4,19.8,31.0,NILT const.+offset
2016,27.1,21.5,32.7,NILT const.+offset
2017,29.1,23.5,34.7,NILT const.+offset
2018,28.3,22.7,33.9,NILT const.+offset
2019,32.7,28.6,36.8,NILT REFUNIFY (direct)
2020,35.7,31.6,39.8,NILT REFUNIFY (direct)
2021,41.5,37.4,45.6,NILT REFUNIFY (direct)
2022,42.5,38.4,46.6,NILT REFUNIFY (direct)
2023,43.0,38.9,47.1,NILT REFUNIFY (direct)
2024,45.9,41.8,50.0,NILT REFUNIFY (direct)
2025,44.8,40.7,48.9,NILT REFUNIFY (direct)
