DZ21,con,catholic_bg_pct,unity,lo90,hi90
N20000001,SOUTH ANTRIM,9.2,22.3,18.7,25.8
N20000004,SOUTH ANTRIM,44.3,42.2,39.1,45.4
N20000005,SOUTH ANTRIM,6.3,20.7,16.9,24.3
N20000006,SOUTH ANTRIM,36.1,37.5,34.4,40.8
N20000007,SOUTH ANTRIM,87.7,66.8,63.1,70.4
N20000008,SOUTH ANTRIM,52.6,46.9,43.8,50.2
N20000009,SOUTH ANTRIM,18.3,27.5,24.1,30.9
N20000010,SOUTH ANTRIM,5.9,20.4,16.7,24.1
N20000011,SOUTH ANTRIM,23.5,30.4,27.2,33.7
N20000012,SOUTH ANTRIM,18.5,27.6,24.2,31.0
N20000013,SOUTH ANTRIM,28.2,33.1,30.0,36.3
N20000015,SOUTH ANTRIM,91.6,69.0,65.2,72.7
N20000016,SOUTH ANTRIM,54.4,47.9,44.8,51.2
N20000017,SOUTH ANTRIM,87.1,66.4,62.8,70.1
N20000018,SOUTH ANTRIM,84.5,65.0,61.4,68.6
N20000019,SOUTH ANTRIM,44.7,42.4,39.4,45.6
N20000020,SOUTH ANTRIM,52.6,46.9,43.8,50.2
N20000022,SOUTH ANTRIM,93.8,70.2,66.4,74.0
N20000023,SOUTH ANTRIM,58.3,50.1,47.0,53.6
N20000025,SOUTH ANTRIM,44.5,42.3,39.2,45.5
N20000026,SOUTH ANTRIM,5.0,19.9,16.2,23.6
N20000027,SOUTH ANTRIM,47.6,44.1,41.0,47.3
N20000028,SOUTH ANTRIM,58.3,50.1,47.0,53.6
N20000030,SOUTH ANTRIM,13.9,25.0,21.5,28.4
N20000031,SOUTH ANTRIM,4.9,19.9,16.1,23.5
N20000032,SOUTH ANTRIM,85.4,65.5,61.9,69.1
N20000033,SOUTH ANTRIM,85.8,65.7,62.1,69.3
N20000034,SOUTH ANTRIM,86.8,66.3,62.6,69.9
N20000035,SOUTH ANTRIM,50.1,45.5,42.4,48.7
N20000036,SOUTH ANTRIM,47.3,43.9,40.8,47.1
N20000037,SOUTH ANTRIM,43.9,42.0,38.9,45.2
N20000038,SOUTH ANTRIM,39.5,39.5,36.3,42.7
N20000039,SOUTH ANTRIM,33.9,36.3,33.1,39.5
N20000040,SOUTH ANTRIM,55.1,48.3,45.2,51.6
N20000041,SOUTH ANTRIM,37.6,38.4,35.2,41.6
N20000042,SOUTH ANTRIM,40.0,39.8,36.6,43.0
