contest,used,base_r2,base_mae,final_r2,final_mae
assembly_2016,census,0.9748279147956557,3.0700953760582497,0.9748279147956557,3.0700953760582497
assembly_2017,census,0.9864445165140501,2.059916775855056,0.9864445165140501,2.059916775855056
assembly_2022,census,0.9837725527384358,2.1974232931987157,0.9837725527384358,2.1974232931987157
westminster_2017,census,0.9860356411983432,2.176636589264616,0.9860356411983432,2.176636589264616
westminster_2019,census,0.9421275645579705,4.043878683925657,0.9421275645579705,4.043878683925657
westminster_2024,census,0.9781457891431334,3.0770374393820035,0.9781457891431334,3.0770374393820035
local_2019,census,0.9425538516009078,4.5133528802398875,0.9425538516009078,4.5133528802398875
local_2023,census,0.9583930857475467,4.019219250248585,0.9583930857475467,4.019219250248585
