id,title,provider,licenseTitle,scope
already-on-site-review:87,Provinces - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:88,Townland Boundaries Generalised 100m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:89,Townland Boundaries Generalised 20m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:90,Townland Boundaries Generalised 50m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:91,Townlands - National Placenames Gazetteer,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:92,Townlands - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:93,Townlands - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:94,Townlands - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:95,Townlands - National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:96,Administrative Areas,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:97,Boundaries,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:98,Burren National Park Boundary Map,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:99,CDP2022 Development Boundaries,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:100,Connemara National Park Boundary Map,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:101,County BoundaryFCC,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:102,Dail Constituencies 2013 SDCC,data.gov.ie,cc-zero,already-on-site-review
already-on-site-review:103,Development Plan 2022-2028 - Boundary Plan Areas DLR,data.gov.ie,cc-by,already-on-site-review
