id,title,provider,bestMatchScore,bestMatchCandidateTitle,titleJaccard,autoDecision,reason
already-on-site-review:149,Boundary Commission for Northern Ireland - Revised Proposals,Open Data NI,0.80,Parliamentary Constituencies 2023,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.80, jaccard 0.00)"
already-on-site-review:630,Government Land and Property Assets,Open Data NI,0.80,March 2020,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.80, jaccard 0.00)"
already-on-site-review:22,Baronies - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.79,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.79, jaccard 0.00)"
already-on-site-review:654,N.I. Herd/Flock Map References,Open Data NI,0.79,NI Poultry Holdings (April 2019),0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.79, jaccard 0.00)"
already-on-site-review:555,properties,EONI standalone,0.75,EONI Polling Stations,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.75, jaccard 0.00)"
already-on-site-review:29,Civil Parishes - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.73,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.73, jaccard 0.00)"
already-on-site-review:810,Development Plan DCC 2022-2028,data.gov.ie,0.73,Development Plan 2022 2028 (DCC),1.000,duplicate-skip,near-identical title (jaccard 1.00) + score 0.73
already-on-site-review:653,Mining Leases,Open Data NI,0.73,NI Mining Leases,0.667,duplicate-skip,near-identical title (jaccard 0.67) + score 0.73
already-on-site-review:7,NISRA Open Data Boundaries - Census Output Areas 2001,Open Data NI,0.73,Output Area 2001,0.143,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.73, jaccard 0.14)"
already-on-site-review:15,Administrative Areas - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.71,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.71, jaccard 0.00)"
already-on-site-review:812,Dublin Canvas Public Art,data.gov.ie,0.71,Dublin Canvas Public Art (DCC),0.800,duplicate-skip,near-identical title (jaccard 0.80) + score 0.71
already-on-site-review:664,Northern Ireland Railways NIR Signal Posts,Open Data NI,0.71,NI Railways Signal Posts,0.429,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.71, jaccard 0.43)"
already-on-site-review:86,Provinces - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.71,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.71, jaccard 0.00)"
already-on-site-review:92,Townlands - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.71,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.71, jaccard 0.00)"
already-on-site-review:696,Translink Bus & Rail Stations,Open Data NI,0.71,NI Railways Stations,0.167,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.71, jaccard 0.17)"
already-on-site-review:521,LocalAuthorities_NationalStatutoryBoundaries_Ungeneralised_2024_-2978313920612481790,Local standalone source,0.71,Local Authorities 2019,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.71, jaccard 0.00)"
already-on-site-review:374,DLR Unfinished Housing,data.gov.ie,0.70,Dlr Unfinished Housing (DLR),1.000,duplicate-skip,near-identical title (jaccard 1.00) + score 0.70
already-on-site-review:657,NIEA ? Authorised landfill sites,Open Data NI,0.70,NIEA Authorised Landfill Sites (2017),1.000,duplicate-skip,near-identical title (jaccard 1.00) + score 0.70
already-on-site-review:283,Police Recorded Injury Road Traffic Collision Statistics Northern Ireland 2013,Open Data NI,0.70,PSNI Road Traffic Collisions 2013,0.182,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.70, jaccard 0.18)"
already-on-site-review:284,Police Recorded Injury Road Traffic Collision Statistics Northern Ireland 2014,Open Data NI,0.70,PSNI Road Traffic Collisions 2014,0.182,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.70, jaccard 0.18)"
already-on-site-review:285,Police Recorded Injury Road Traffic Collision Statistics Northern Ireland 2015,Open Data NI,0.70,PSNI Road Traffic Collisions 2015,0.182,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.70, jaccard 0.18)"
already-on-site-review:286,Police Recorded Injury Road Traffic Collision Statistics Northern Ireland 2016,Open Data NI,0.70,PSNI Road Traffic Collisions 2016,0.182,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.70, jaccard 0.18)"
already-on-site-review:287,Police Recorded Injury Road Traffic Collision Statistics Northern Ireland 2017,Open Data NI,0.70,PSNI Road Traffic Collisions 2017,0.182,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.70, jaccard 0.18)"
already-on-site-review:288,Police Recorded Injury Road Traffic Collision Statistics Northern Ireland 2018,Open Data NI,0.70,PSNI Road Traffic Collisions 2018,0.182,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.70, jaccard 0.18)"
already-on-site-review:901,Traffic Poles with CCTV DCC,data.gov.ie,0.70,Dublin City Council Traffic Poles With Cctv (DCC),0.571,duplicate-skip,near-identical title (jaccard 0.57) + score 0.70
already-on-site-review:906,Variable Message Signs DCC,data.gov.ie,0.70,Dublin City Council Variable Message Signs (DCC),0.571,duplicate-skip,near-identical title (jaccard 0.57) + score 0.70
already-on-site-review:1000,Dublin Fire Brigade Stations: Dublin Region,data.gov.ie,0.70,Dublin Fire Brigade Stations Dublin Region (DCC),0.833,duplicate-skip,near-identical title (jaccard 0.83) + score 0.70
already-on-site-review:1005,Public Cycle Parking Stands DCC,data.gov.ie,0.70,Dcc Public Cycle Parking Stands (DCC),1.000,duplicate-skip,near-identical title (jaccard 1.00) + score 0.70
already-on-site-review:155,NISRA Open Data Boundaries - Super Output Areas 2001,Open Data NI,0.69,Super Output Area 2011,0.286,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.69, jaccard 0.29)"
already-on-site-review:1001,"Journey times across Dublin City, from Traffic Department's TRIPS system DCC",data.gov.ie,0.69,Journey Times Across Dublin City From Dublin City Council Traffic Departments Trips System (DCC),0.714,duplicate-skip,near-identical title (jaccard 0.71) + score 0.69
already-on-site-review:301,Accessible Parking Spaces DLR,data.gov.ie,0.67,Accessible Parking Bays (DLR),0.600,duplicate-skip,near-identical title (jaccard 0.60) + score 0.67
already-on-site-review:322,Bicycle/Pedestrian Counter Locations DLR,data.gov.ie,0.67,Bicycle Counter Locations (DLR),0.800,duplicate-skip,near-identical title (jaccard 0.80) + score 0.67
already-on-site-review:148,Boundary Commission for Northern Ireland - Final Recommendations,Open Data NI,0.67,Parliamentary Constituencies 2023,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.00)"
already-on-site-review:279,Carriageway and Footway Surface Defects,Open Data NI,0.67,NI Road Surface Defects 2010,0.333,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.33)"
already-on-site-review:762,Collision Rates 2012 to 2014,data.gov.ie,0.67,TII Collision Rates 2014-2016,0.667,duplicate-skip,near-identical title (jaccard 0.67) + score 0.67
already-on-site-review:103,Development Plan 2022-2028 - Boundary Plan Areas DLR,data.gov.ie,0.67,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.500,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.50)"
already-on-site-review:358,Development Plan 2022-2028 - Mews Development DLR,data.gov.ie,0.67,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.500,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.50)"
already-on-site-review:366,Development Plan 2022-2028 - The Metals DLR,data.gov.ie,0.67,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.500,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.50)"
already-on-site-review:247,Development Plan 2022-2028 - Transport DLR,data.gov.ie,0.67,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.500,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.50)"
already-on-site-review:373,DLR Residential Land Availability 2014,data.gov.ie,0.67,Dlr Residential Land Availability (DLR),1.000,duplicate-skip,near-identical title (jaccard 1.00) + score 0.67
already-on-site-review:621,Draft Belfast Bicycle Network  2017,Open Data NI,0.67,Belfast Cycle Network,0.400,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.40)"
already-on-site-review:54,Electoral Divisions - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.67,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.00)"
already-on-site-review:105,Electoral Divisions DLR,data.gov.ie,0.67,Local Electoral Areas (DLR),0.400,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.40)"
already-on-site-review:70,Local Electoral Areas - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.67,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.00)"
already-on-site-review:241,Monthly River Quality Data SDCC,data.gov.ie,0.67,Monthly River Quality Data1 (SDCC),0.667,duplicate-skip,near-identical title (jaccard 0.67) + score 0.67
already-on-site-review:170,Municipal Districts - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.67,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.00)"
already-on-site-review:656,NIEA - Authorised waste sites (treatment & storage),Open Data NI,0.67,NIEA Authorised Waste Sites (Feb 2021),0.571,duplicate-skip,near-identical title (jaccard 0.57) + score 0.67
already-on-site-review:662,Northern Ireland Railways NIR Bridges,Open Data NI,0.67,NI Railways Bridges,0.333,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.33)"
already-on-site-review:663,Northern Ireland Railways NIR Culverts,Open Data NI,0.67,NI Railways Culverts,0.333,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.33)"
already-on-site-review:868,Parks and Open Spaces DCC 2016,data.gov.ie,0.67,Parks Gardens And Public Spaces (DCC),0.500,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.50)"
already-on-site-review:879,Public Bin Locations DCC,data.gov.ie,0.67,Dcc Public Bin Locations (DCC),1.000,duplicate-skip,near-identical title (jaccard 1.00) + score 0.67
already-on-site-review:880,Public Lighting DCC,data.gov.ie,0.67,Street Lighting Dublin City (DCC),0.333,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.33)"
already-on-site-review:430,Public Lighting DLR,data.gov.ie,0.67,Dlr Public Lighting (DLR),1.000,duplicate-skip,near-identical title (jaccard 1.00) + score 0.67
already-on-site-review:182,Rural Areas - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,0.67,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.00)"
