id,title,provider,licenseTitle,currentProviderUrl
already-on-site-review:537,Community-Scale Modelled River Centrelines,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/community-scale-modelled-river-centrelines
already-on-site-review:538,Community-Scale River Flood Extents - Current Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/community-scale-river-flood-extents-current-scenario
already-on-site-review:539,Community-Scale River Flood Extents - High-End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/community-scale-river-flood-extents-high-end-future-scenario
already-on-site-review:540,Community-Scale River Flood Extents - Mid-Range Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/community-scale-river-flood-extents-mid-range-future-scenario
already-on-site-review:544,National Indicative Fluvial Mapping (NIFM) River Flood Extents - High-End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/nifm-river-flood-extents-high-end-future-scenario
already-on-site-review:545,National Indicative Fluvial Mapping (NIFM) River Flood Extents - Mid-Range Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/nifm-river-flood-extents-mid-range-future-scenario
already-on-site-review:777,"2015/2016 Surface Water Flood Map 1:20,000 Ireland (ROI) ITM",data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/20152016-surface-water-flood-map-120000-ireland-roi-itm
already-on-site-review:799,Community-Scale Coastal Flood Extents - Current Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/community-scale-coastal-flood-extents-current-scenario
already-on-site-review:800,Community-Scale Coastal Flood Extents - High-End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/community-scale-coastal-flood-extents-high-end-future-scenario
already-on-site-review:801,Community-Scale Coastal Flood Extents - Mid-Range Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/community-scale-coastal-flood-extents-mid-range-future-scenario
already-on-site-review:802,Community-Scale Flood Model Nodes - Current Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/community-scale-flood-model-nodes-current-scenario
already-on-site-review:829,"Groundwater Flooding High Probability 1:20,000 Ireland (ROI) ITM",data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/groundwater-flooding-high-probability-120000-ireland-roi-itm
already-on-site-review:830,"Groundwater Flooding Low Probability 1:20,000 Ireland (ROI) ITM",data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/groundwater-flooding-low-probability-120000-ireland-roi-itm
already-on-site-review:831,"Groundwater Flooding Medium Probability 1:20,000 Ireland (ROI) ITM",data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/groundwater-flooding-medium-probability-120000-ireland-roi-itm
already-on-site-review:840,"Historic Groundwater Flood Map 1:20,000 Ireland (ROI) ITM",data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/historic-groundwater-flood-map-120000-ireland-roi-itm
already-on-site-review:854,National Coastal Flood Extents 2021 - High End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-extents-2021-high-end-future-scenario
already-on-site-review:855,National Coastal Flood Extents 2021 - High+ End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-extents-2021-high-end-plus-future-scenario
already-on-site-review:856,National Coastal Flood Extents 2021 - High++ End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-extents-2021-high-end-plus-plus-future-scenario
already-on-site-review:857,National Coastal Flood Extents 2021 - Mid-Range Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-extents-2021-mid-range-future-scenario
already-on-site-review:858,National Indicative Fluvial Mapping (NIFM) Model Nodes - Current Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-indicative-fluvial-mapping-nifm-model-nodes-current-scenario
already-on-site-review:859,National Indicative Fluvial Mapping (NIFM) Model Nodes - High-End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-indicative-fluvial-mapping-nifm-model-nodes-high-end-future-scenario
already-on-site-review:860,National Indicative Fluvial Mapping (NIFM) Model Nodes - Mid-Range Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-indicative-fluvial-mapping-nifm-model-nodes-mid-range-future-scenario
already-on-site-review:1090,National Coastal Flood Depths 2021 - Current Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-depths-2021-current-scenario
already-on-site-review:1091,National Coastal Flood Depths 2021 - High End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-depths-2021-high-end-future-scenario
already-on-site-review:1092,National Coastal Flood Depths 2021 - High+ End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-depths-2021-high-plus-end-future-scenario
already-on-site-review:1093,National Coastal Flood Depths 2021 - High++ End Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-depths-2021-high-plus-plus-end-future-scenario
already-on-site-review:1094,National Coastal Flood Depths 2021 - Mid-Range Future Scenario,data.gov.ie,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0,https://data.gov.ie/dataset/national-coastal-flood-depths-2021-mid-range-future-scenario
