rank,party,votes,share_pct,candidacies,contests,first_year,last_year,votes_outside_recorded_lifespan
1,UUP,8262626,24.2121,3367,61,1970,2024,0
2,DUP,7286645,21.3522,2750,54,1973,2024,0
3,SDLP,5923696,17.3583,2436,55,1973,2024,0
4,Sinn Féin,5550811,16.2656,1831,44,1982,2024,0
5,Alliance,2660986,7.7975,1755,57,1973,2024,0
6,Independent,619066,1.8141,1282,36,1970,2024,0
7,TUV,511163,1.4979,264,15,2009,2024,0
8,Vanguard Unionist Progressive Party,350855,1.0281,95,7,1973,1982,0
9,Independent Unionist,273684,0.802,91,26,1970,2024,0
10,Green (NI),205325,0.6017,264,28,1987,2024,6850
11,PUP,180414,0.5287,196,24,1973,2023,0
12,NI Labour,161621,0.4736,41,7,1970,1979,0
13,Conservative,157897,0.4627,230,30,1989,2024,0
14,UKUP,145672,0.4269,74,11,1995,2007,10124
15,Ulster Popular Unionist Party,140805,0.4126,38,10,1981,1993,0
16,Workers' Party,139637,0.4092,179,29,1979,2023,0
17,Independent Other,137370,0.4025,69,28,1970,2024,0
18,Unity,131517,0.3854,6,2,1970,1974,0
19,Independent Nationalist,123864,0.363,28,16,1970,2024,0
20,UCUNF,110919,0.325,18,1,2010,2010,0
21,Republican Clubs,108587,0.3182,180,7,1973,1981,0
22,PBP,97737,0.2864,75,15,2007,2024,0
23,Unionist Party of Northern Ireland,80763,0.2367,54,5,1975,1981,0
24,UKIP,80482,0.2358,81,11,2007,2019,0
25,Anti H-Block,65233,0.1912,6,3,1981,1981,0
26,UUUP,46618,0.1366,13,2,1979,1982,0
27,Aontú,44287,0.1298,64,5,2019,2024,0
28,Ulster Democratic Party,42237,0.1238,66,10,1981,1998,0
29,Protestant Unionist Party,35303,0.1034,2,1,1970,1970,0
30,Workers Party,34111,0.1,130,8,1981,2011,0
31,Irish Independence Party,33318,0.0976,75,2,1981,1985,0
32,Nationalist Party,33276,0.0975,3,2,1970,1973,0
33,NI Women's Coalition,32527,0.0953,37,5,1996,2003,0
34,Republican Labour,32399,0.0949,2,2,1970,1973,0
