Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N06000012,North Antrim,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,DUP,1.0
N06000014,South Antrim,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,UUP,1.0
N06000005,East Antrim,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,DUP,1.0
N06000002,Belfast North,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,DUP,1.0
N06000003,Belfast South,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,SDLP,1.0
N06000001,Belfast East,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,DUP,1.0
N06000004,Belfast West,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,Sinn Fein,1.0
N06000013,North Down,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,Independent,1.0
N06000010,Mid Ulster,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,Sinn Fein,1.0
N06000018,West Tyrone,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,Sinn Fein,1.0
N06000007,Fermanagh and South Tyrone,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,UUP,1.0
N06000008,Foyle,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,SDLP,1.0
N06000006,East Londonderry,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,DUP,1.0
N06000009,Lagan Valley,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,DUP,1.0
N06000017,Upper Bann,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,DUP,1.0
N06000016,Strangford,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,DUP,1.0
N06000015,South Down,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,SDLP,1.0
N06000011,Newry and Armagh,Westminster 2017 seat forecast (LT model),2015_result,,Total,Total,,party,party,Sinn Fein,1.0
N06000012,North Antrim,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,DUP,1.0
N06000014,South Antrim,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,UUP,1.0
N06000005,East Antrim,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,DUP,1.0
N06000002,Belfast North,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,DUP,1.0
N06000003,Belfast South,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,SDLP,1.0
N06000001,Belfast East,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,DUP,1.0
N06000004,Belfast West,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,Sinn Fein,1.0
N06000013,North Down,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,Independent (Unionist),1.0
N06000010,Mid Ulster,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,Sinn Fein,1.0
N06000018,West Tyrone,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,Sinn Fein,1.0
N06000007,Fermanagh and South Tyrone,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,Sinn Fein,1.0
N06000008,Foyle,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,SDLP,1.0
N06000006,East Londonderry,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,DUP,1.0
N06000009,Lagan Valley,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,DUP,1.0
N06000017,Upper Bann,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,DUP,1.0
N06000016,Strangford,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,DUP,1.0
N06000015,South Down,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,SDLP,1.0
N06000011,Newry and Armagh,Westminster 2017 seat forecast (LT model),2017_forecast,,Total,Total,,party,party,Sinn Fein,1.0
