Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
LT-PCB-BT1-BT17,Postcode area BT1-BT17,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Total,Total,inc_DK,count,persons,221,0.9
LT-PCB-BT18-BT35,Postcode area BT18-BT35,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Total,Total,inc_DK,count,persons,215,0.9
LT-PCB-BT36-BT44,Postcode area BT36-BT44,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Total,Total,inc_DK,count,persons,218,0.9
LT-PCB-BT45-BT57,Postcode area BT45-BT57,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Total,Total,inc_DK,count,persons,220,0.9
LT-PCB-BT60-BT67,Postcode area BT60-BT67,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Total,Total,inc_DK,count,persons,201,0.9
LT-PCB-BT68-BT94,Postcode area BT68-BT94,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Total,Total,inc_DK,count,persons,192,0.9
LT-PCB-BT1-BT17,Postcode area BT1-BT17,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Total,Total,inc_DK,count,persons,25,0.9
LT-PCB-BT18-BT35,Postcode area BT18-BT35,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Total,Total,inc_DK,count,persons,35,0.9
LT-PCB-BT36-BT44,Postcode area BT36-BT44,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Total,Total,inc_DK,count,persons,23,0.9
LT-PCB-BT45-BT57,Postcode area BT45-BT57,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Total,Total,inc_DK,count,persons,33,0.9
LT-PCB-BT60-BT67,Postcode area BT60-BT67,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Total,Total,inc_DK,count,persons,31,0.9
LT-PCB-BT68-BT94,Postcode area BT68-BT94,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Total,Total,inc_DK,count,persons,35,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Religion,Protestant,inc_DK,count,persons,225,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Religion,Roman Catholic,inc_DK,count,persons,235,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Religion,Other,inc_DK,count,persons,82,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Religion,None,inc_DK,count,persons,172,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Religion,Protestant,inc_DK,count,persons,58,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Religion,Roman Catholic,inc_DK,count,persons,44,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Religion,Other,inc_DK,count,persons,36,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Religion,None,inc_DK,count,persons,45,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Religion,Protestant,inc_DK,count,persons,326,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Religion,Roman Catholic,inc_DK,count,persons,311,0.9
