Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,Belfast,inc_DK,count,persons,256,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,Belfast,inc_DK,percent,%,36.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,East,inc_DK,count,persons,99,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,East,inc_DK,percent,%,14.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,North,inc_DK,count,persons,164,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,North,inc_DK,percent,%,29.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,South,inc_DK,count,persons,231,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,South,inc_DK,percent,%,29.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,West,inc_DK,count,persons,207,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Region,West,inc_DK,percent,%,38.0,0.85
