Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),Alliance,Alliance,Total,Total,exc_DK,percent,%,8.55,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),DUP,DUP,Total,Total,exc_DK,percent,%,35.47,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),Green,Green,Total,Total,exc_DK,percent,%,1.71,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),NI Conservatives,NI Conservatives,Total,Total,exc_DK,percent,%,0.21,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),Others,Others,Total,Total,exc_DK,percent,%,0.43,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),PBP,PBP,Total,Total,exc_DK,percent,%,1.5,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),PUP,PUP,Total,Total,exc_DK,percent,%,0.43,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),SDLP,SDLP,Total,Total,exc_DK,percent,%,9.4,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),Sinn Féin,Sinn Féin,Total,Total,exc_DK,percent,%,31.2,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),TUV,TUV,Total,Total,exc_DK,percent,%,1.28,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),UKIP,UKIP,Total,Total,exc_DK,percent,%,0.21,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),UUP,UUP,Total,Total,exc_DK,percent,%,9.62,0.9
