Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Leave,Leave,Age,18-34,exc_DK,percent,%,34,0.8
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Leave,Leave,Age,35+,exc_DK,percent,%,50,0.8
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Remain,Remain,Age,18-34,exc_DK,percent,%,62,0.8
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Remain,Remain,Age,35+,exc_DK,percent,%,47,0.8
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Leave,Leave,Gender,Male,exc_DK,percent,%,48,0.8
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Leave,Leave,Gender,Female,exc_DK,percent,%,34.3,0.8
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Remain,Remain,Gender,Male,exc_DK,percent,%,48,0.8
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Remain,Remain,Gender,Female,exc_DK,percent,%,62,0.8
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Leave,Leave,Total,Total,exc_DK,percent,%,38.04,0.95
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Remain,Remain,Total,Total,exc_DK,percent,%,52.15,0.95
N92000002,Northern Ireland,UK EU Referendum: Should the UK remain a member of the EU or leave? (excl non-voters),Undecided,Undecided,Total,Total,exc_DK,percent,%,9.82,0.95
