Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Age,18-24,inc_DK,count,persons,44,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Age,25-44,inc_DK,count,persons,49,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Age,45-64,inc_DK,count,persons,71,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Age,65+,inc_DK,count,persons,69,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,B,Engineering,Age,18-24,inc_DK,count,persons,26,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,B,Engineering,Age,25-44,inc_DK,count,persons,53,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,B,Engineering,Age,45-64,inc_DK,count,persons,58,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,B,Engineering,Age,65+,inc_DK,count,persons,54,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,Base,respondents,Age,18-24,inc_DK,count,persons,176,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,Base,respondents,Age,25-44,inc_DK,count,persons,357,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,Base,respondents,Age,45-64,inc_DK,count,persons,392,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,Base,respondents,Age,65+,inc_DK,count,persons,342,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,C,Computing & Technology,Age,18-24,inc_DK,count,persons,35,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,C,Computing & Technology,Age,25-44,inc_DK,count,persons,104,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,C,Computing & Technology,Age,45-64,inc_DK,count,persons,95,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,C,Computing & Technology,Age,65+,inc_DK,count,persons,79,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,D,Agri-Food,Age,18-24,inc_DK,count,persons,19,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,D,Agri-Food,Age,25-44,inc_DK,count,persons,69,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,D,Agri-Food,Age,45-64,inc_DK,count,persons,73,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,D,Agri-Food,Age,65+,inc_DK,count,persons,75,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,E,Accounting/Business,Age,18-24,inc_DK,count,persons,28,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,E,Accounting/Business,Age,25-44,inc_DK,count,persons,38,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,E,Accounting/Business,Age,45-64,inc_DK,count,persons,41,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,E,Accounting/Business,Age,65+,inc_DK,count,persons,34,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,F,No Opinion,Age,18-24,inc_DK,count,persons,24,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,F,No Opinion,Age,25-44,inc_DK,count,persons,44,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,F,No Opinion,Age,45-64,inc_DK,count,persons,54,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,F,No Opinion,Age,65+,inc_DK,count,persons,31,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Gender,Male,inc_DK,count,persons,95,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Gender,Female,inc_DK,count,persons,138,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,B,Engineering,Gender,Male,inc_DK,count,persons,68,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,B,Engineering,Gender,Female,inc_DK,count,persons,123,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,Base,respondents,Gender,Male,inc_DK,count,persons,503,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,Base,respondents,Gender,Female,inc_DK,count,persons,764,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,C,Computing & Technology,Gender,Male,inc_DK,count,persons,139,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,C,Computing & Technology,Gender,Female,inc_DK,count,persons,174,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,D,Agri-Food,Gender,Male,inc_DK,count,persons,103,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,D,Agri-Food,Gender,Female,inc_DK,count,persons,133,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,E,Accounting/Business,Gender,Male,inc_DK,count,persons,49,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,E,Accounting/Business,Gender,Female,inc_DK,count,persons,92,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,F,No Opinion,Gender,Male,inc_DK,count,persons,49,0.9
N92000002,Northern Ireland,In which industry sector should the government prioritise their spending on education/training?,F,No Opinion,Gender,Female,inc_DK,count,persons,104,0.9
LT-PCB-BT1-BT17,Postcode area BT1-BT17,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Total,Total,inc_DK,count,persons,42,0.9
LT-PCB-BT18-BT35,Postcode area BT18-BT35,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Total,Total,inc_DK,count,persons,37,0.9
LT-PCB-BT36-BT44,Postcode area BT36-BT44,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Total,Total,inc_DK,count,persons,43,0.9
LT-PCB-BT45-BT57,Postcode area BT45-BT57,In which industry sector should the government prioritise their spending on education/training?,A,Public Sector,Total,Total,inc_DK,count,persons,39,0.9
