Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,"(BT). Looking forward to Christmas which of these statements applies to you? A= I will be cutting back on Christmas spending this year; B= I may need an advance from a pay day loan company, cash converter or other short term money lender to pay for Christmas this year; C= I haven't yet cleared my cr",A,,Total,Total,inc_DK,percent,%,47.9,1.0
N92000002,Northern Ireland,"(BT). Looking forward to Christmas which of these statements applies to you? A= I will be cutting back on Christmas spending this year; B= I may need an advance from a pay day loan company, cash converter or other short term money lender to pay for Christmas this year; C= I haven't yet cleared my cr",B,,Total,Total,inc_DK,percent,%,7.3,1.0
N92000002,Northern Ireland,"(BT). Looking forward to Christmas which of these statements applies to you? A= I will be cutting back on Christmas spending this year; B= I may need an advance from a pay day loan company, cash converter or other short term money lender to pay for Christmas this year; C= I haven't yet cleared my cr",C,,Total,Total,inc_DK,percent,%,33.5,1.0
N92000002,Northern Ireland,"(BT). Looking forward to Christmas which of these statements applies to you? A= I will be cutting back on Christmas spending this year; B= I may need an advance from a pay day loan company, cash converter or other short term money lender to pay for Christmas this year; C= I haven't yet cleared my cr",D,,Total,Total,inc_DK,percent,%,11.2,1.0
N92000002,Northern Ireland,"(BT). Free abortion is currently allowed in Northern Ireland where there is the likelihood of serious and long term danger to a prospective mother's mental or physical well being if her pregnancy continues. Which, if any, of these statements do you agree with? A= Abortion should be available to any ",A,,Total,Total,inc_DK,percent,%,25.9,1.0
N92000002,Northern Ireland,"(BT). Free abortion is currently allowed in Northern Ireland where there is the likelihood of serious and long term danger to a prospective mother's mental or physical well being if her pregnancy continues. Which, if any, of these statements do you agree with? A= Abortion should be available to any ",B,,Total,Total,inc_DK,percent,%,18.6,1.0
N92000002,Northern Ireland,"(BT). Free abortion is currently allowed in Northern Ireland where there is the likelihood of serious and long term danger to a prospective mother's mental or physical well being if her pregnancy continues. Which, if any, of these statements do you agree with? A= Abortion should be available to any ",C,,Total,Total,inc_DK,percent,%,26.9,1.0
N92000002,Northern Ireland,"(BT). Free abortion is currently allowed in Northern Ireland where there is the likelihood of serious and long term danger to a prospective mother's mental or physical well being if her pregnancy continues. Which, if any, of these statements do you agree with? A= Abortion should be available to any ",D,,Total,Total,inc_DK,percent,%,26.5,1.0
N92000002,Northern Ireland,"(BT). Free abortion is currently allowed in Northern Ireland where there is the likelihood of serious and long term danger to a prospective mother's mental or physical well being if her pregnancy continues. Which, if any, of these statements do you agree with? A= Abortion should be available to any ",E,,Total,Total,inc_DK,percent,%,2.0,1.0
