Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Sinn Féin,,Total,Total,exc_DK,count,persons,212.25,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Sinn Féin,,Total,Total,exc_DK,percent,%,21.65,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],UUP,,Total,Total,exc_DK,count,persons,158.27,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],UUP,,Total,Total,exc_DK,percent,%,16.14,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],DUP,,Total,Total,exc_DK,count,persons,150.24,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],DUP,,Total,Total,exc_DK,percent,%,15.32,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],SDLP,,Total,Total,exc_DK,count,persons,125.83,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],SDLP,,Total,Total,exc_DK,percent,%,12.83,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],TUV,,Total,Total,exc_DK,count,persons,119.53,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],TUV,,Total,Total,exc_DK,percent,%,12.19,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Alliance Party,,Total,Total,exc_DK,count,persons,99.17,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Alliance Party,,Total,Total,exc_DK,percent,%,10.11,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Green Party,,Total,Total,exc_DK,count,persons,48.38,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Green Party,,Total,Total,exc_DK,percent,%,4.93,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Aontú,,Total,Total,exc_DK,count,persons,25.71,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Aontú,,Total,Total,exc_DK,percent,%,2.62,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],People Before Profit (PBP),,Total,Total,exc_DK,count,persons,23.07,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],People Before Profit (PBP),,Total,Total,exc_DK,percent,%,2.35,0.95
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - MAIN Results exc. Don't Know/Undecideds [MAINPollQuestion1inc.DKs],Other-Neutral: Indeps (Not Unst/Nat),,Total,Total,exc_DK,count,persons,9.07,0.95
