Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Total,Total,exc_DK,count,persons,245,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Total,Total,exc_DK,percent,%,25.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Gender,Female,exc_DK,count,persons,117,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Gender,Female,exc_DK,percent,%,25.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Gender,Male,exc_DK,count,persons,128,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Gender,Male,exc_DK,percent,%,25.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,18-34 years age-group,exc_DK,count,persons,65,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,18-34 years age-group,exc_DK,percent,%,24.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,35-44 years age-group,exc_DK,count,persons,70,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,35-44 years age-group,exc_DK,percent,%,33.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,45-54 years age-group,exc_DK,count,persons,42,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,45-54 years age-group,exc_DK,percent,%,23.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,55-64 years age-group,exc_DK,count,persons,35,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,55-64 years age-group,exc_DK,percent,%,23.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,65+ years age-group,exc_DK,count,persons,32,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,Age,65+ years age-group,exc_DK,percent,%,18.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,SocialGrade,ABC1,exc_DK,count,persons,81,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,SocialGrade,ABC1,exc_DK,percent,%,22.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,SocialGrade,C2DE,exc_DK,count,persons,114,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results exc. Don't Know/Undecideds [MAINPollQuestion1ExcNVsUndecs],Sinn Fein,,SocialGrade,C2DE,exc_DK,percent,%,29.0,0.85
