id,roiGroup,provider,organisation,category,title,cleanTitle,jurisdiction,topic,featureUnit,formats,proposedAction,proposedPlacement,runtimeDesired,runtimeConversion,confidence,bestExistingMatchType,bestExistingMatchId,bestExistingMatchTitle,bestExistingMatchScore,bestExistingMatchStillPresent,residualBlockerCount,residualBlockers,resolvedBlockers,currentProviderUrl,waybackUrl,sourcePlacement,sourceProvenanceDraft,approvalState
medium-prep:2-irish-election-source-enrichment-data:constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633:00001,2. Irish election source/enrichment data,Local standalone source,,standalone-spatial,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,ConstituencyBoundariesUngeneralised National Electoral Boundaries 2023,Republic of Ireland,election,constituencies,GEOJSON,new-interactive-map,Books/Tables/Sources source/download record,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,60,,,,,false,2,duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",,,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,Local standalone source | ConstituencyBoundariesUngeneralised National Electoral Boundaries 2023 | formats: GEOJSON | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:bcni2018:00002,4. Open Data NI boundary and statistical-geography files,Open Data NI,The Boundary Commission for Northern Ireland,spatial,Boundary Commission for Northern Ireland - Provisional Proposals for Parliamentary Constituencies,Boundary Commission for Northern Ireland - Provisional Proposals for Parliamentary Constituencies,Northern Ireland,boundary,constituencies,GEOJSON|SHP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,0,,"duplicate-or-variant-review: classified as variant-child-map | geography-crosswalk-and-versioning: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/bcni2018,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/bcni2018,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"The Boundary Commission for Northern Ireland | Boundary Commission for Northern Ireland - Provisional Proposals for Parliamentary Constituencies | formats: GEOJSON, SHP | current URL: https://admin.opendatani.gov.uk/dataset/bcni2018 | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection:00003,4. Open Data NI boundary and statistical-geography files,Open Data NI,Department for Infrastructure - Rivers,spatial,Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract,Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract,Northern Ireland,boundary,features,SHP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,1,geography-crosswalk-and-versioning: needs exact geography crosswalk,"duplicate-or-variant-review: classified as variant-child-map | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,Department for Infrastructure - Rivers | Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract | formats: SHP | current URL: https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:department-of-health-trust-boundaries:00004,4. Open Data NI boundary and statistical-geography files,Open Data NI,Department of Health,spatial,Department of Health trust boundaries,Department of Health trust boundaries,Northern Ireland,boundary,features,GEOJSON|SHP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,1,geography-crosswalk-and-versioning: needs exact geography crosswalk,"duplicate-or-variant-review: classified as variant-child-map | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"Department of Health | Department of Health trust boundaries | formats: GEOJSON, SHP | current URL: https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:mid-ulster-council-district-electoral-areas2:00005,4. Open Data NI boundary and statistical-geography files,Open Data NI,Mid Ulster District Council,spatial,Mid Ulster Council District Electoral Areas,Mid Ulster Council District Electoral Areas,Northern Ireland,boundary,DEAs,CSV|GEOJSON|HTML|JSON|KML|SHP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,0,,"duplicate-or-variant-review: classified as variant-child-map | geography-crosswalk-and-versioning: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/mid-ulster-council-district-electoral-areas2,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/mid-ulster-council-district-electoral-areas2,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"Mid Ulster District Council | Mid Ulster Council District Electoral Areas | formats: CSV, GEOJSON, HTML, JSON, KML, SHP | current URL: https://admin.opendatani.gov.uk/dataset/mid-ulster-council-district-electoral-areas2 | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-district-electoral-areas-1993:00006,4. Open Data NI boundary and statistical-geography files,Open Data NI,Land & Property Services – Ordnance Survey of Northern Ireland,spatial,OSNI Open Data - 50K Boundaries - District Electoral Areas (1993),OSNI Open Data - 50K Boundaries - District Electoral Areas (1993),Northern Ireland,boundary,DEAs,CSV|GEOJSON|KML|ZIP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,0,,"duplicate-or-variant-review: classified as variant-child-map | geography-crosswalk-and-versioning: geography family inferred | large-or-special-format-review: normal source package; no special-format hold | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-district-electoral-areas-1993,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-district-electoral-areas-1993,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - District Electoral Areas (1993) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-district-electoral-areas-1993 | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-local-government-districts-1993:00007,4. Open Data NI boundary and statistical-geography files,Open Data NI,Land & Property Services – Ordnance Survey of Northern Ireland,spatial,OSNI Open Data - 50K Boundaries - Local Government Districts (1993),OSNI Open Data - 50K Boundaries - Local Government Districts (1993),Northern Ireland,boundary,Local Government Districts,CSV|GEOJSON|KML|ZIP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,0,,"duplicate-or-variant-review: classified as variant-child-map | geography-crosswalk-and-versioning: geography family inferred | large-or-special-format-review: normal source package; no special-format hold | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-local-government-districts-1993,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-local-government-districts-1993,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - Local Government Districts (1993) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-local-government-districts-1993 | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-parliamentary-constituencies:00008,4. Open Data NI boundary and statistical-geography files,Open Data NI,Land & Property Services – Ordnance Survey of Northern Ireland,spatial,OSNI Open Data - 50K Boundaries - Parliamentary Constituencies,OSNI Open Data - 50K Boundaries - Parliamentary Constituencies,Northern Ireland,boundary,constituencies,CSV|GEOJSON|KML|ZIP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,0,,"duplicate-or-variant-review: classified as variant-child-map | geography-crosswalk-and-versioning: geography family inferred | large-or-special-format-review: normal source package; no special-format hold | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-parliamentary-constituencies,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-parliamentary-constituencies,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - Parliamentary Constituencies | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-parliamentary-constituencies | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:osni-open-data-50k-boundaries-townlands:00009,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Open Data NI,Land & Property Services – Ordnance Survey of Northern Ireland,spatial,OSNI Open Data - 50K Boundaries - Townlands (2013),OSNI Open Data - 50K Boundaries - Townlands (2013),Northern Ireland,boundary,townlands,CSV|GEOJSON|KML|ZIP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,0,,"duplicate-or-variant-review: classified as variant-child-map | geography-crosswalk-and-versioning: geography family inferred | geography-matching: geography family inferred | large-or-special-format-review: normal source package; no special-format hold | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-townlands,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-townlands,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - Townlands (2013) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-townlands | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-wards-1993:00010,4. Open Data NI boundary and statistical-geography files,Open Data NI,Land & Property Services – Ordnance Survey of Northern Ireland,spatial,OSNI Open Data - 50K Boundaries - Wards (1993),OSNI Open Data - 50K Boundaries - Wards (1993),Northern Ireland,boundary,wards,CSV|GEOJSON|KML|ZIP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,0,,"duplicate-or-variant-review: classified as variant-child-map | geography-crosswalk-and-versioning: geography family inferred | geography-matching: geography family inferred | large-or-special-format-review: normal source package; no special-format hold | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-wards-1993,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-wards-1993,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - Wards (1993) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-wards-1993 | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
