DZ21,population,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20000001,738.0,58.068734157143695,2.0152484267928488,19.302990575986374,1.611894681538888,19.00113215808808,1.6742767229328163e-10,3.777646222689898e-11,1.3437090519111162e-10,4.233758881342525e-11,2.5483969240802273e-11,4.273906331400101e-11
N20000002,331.0,45.65422864371543,1.3529272592833113,35.09610043538325,0.23146758758245128,17.66527606851884,4.0781999920123695e-09,2.636477560106098e-10,4.176154335291389e-10,1.848934127102296e-11,5.459603594971752e-10,1.928018098347856e-10
N20000003,365.0,47.77117609490092,1.5007371102906084,38.86569342358382,0.7653568401761118,11.097036527508475,1.1435506133534546e-09,1.3665980784221056e-10,2.788912312229512e-10,6.250542888744092e-11,1.830190608843457e-09,8.82764963778211e-11
N20000004,663.0,17.393169081694207,3.6163193424049305,21.97599512492251,23.38170184615645,33.632814604054225,3.020663036980638e-11,1.2165335821639195e-10,9.250799862685439e-11,1.5813642547036117e-10,3.149633746288162e-10,5.020057907341012e-11
N20000005,676.0,55.224322574710214,0.6162528171948561,22.3457809301047,3.265981087596975,18.54766258951348,2.218748458651106e-10,8.399647867252905e-11,2.1263348128596808e-10,6.432416996901697e-11,2.194423311279874e-10,7.751164488188198e-11
N20000006,464.0,42.10989836285021,18.24442329213123,23.77385467846176,11.098396941010478,4.773426724074942,2.567706363250235e-10,3.083148968038527e-10,5.630339114225892e-10,2.2196306592032348e-10,7.683838578589973e-11,4.448122486991423e-11
N20000007,880.0,7.142587240275744,63.46185750878581,10.873958662070752,12.560479037398187,5.9611175455979035,6.409948090332268e-10,1.0243100926334883e-10,4.918582071932206e-10,3.346417066953652e-10,4.266551754586304e-09,3.5122079316882846e-11
N20000008,642.0,28.81941405413904,26.17374156037733,22.213785714069296,12.689362216736303,10.103696453524348,3.354857663165664e-10,5.5928737064644484e-11,1.1280008625077592e-10,1.1005201693127774e-10,5.140402440862245e-10,2.5388510264143716e-11
N20000009,401.0,56.998560511366136,1.0444939235778181,30.988821512446663,1.008286619485653,9.95983743238892,7.989091389511111e-11,5.306711888749809e-11,1.0834822947877848e-10,1.94564257066679e-11,4.030580757913654e-10,7.09809566122119e-11
N20000010,544.0,35.57053790389148,1.4482738031635074,24.253441736553338,1.1375140923405773,37.590232463380566,2.01100259113957e-10,1.1168517339094471e-10,1.5250499783939044e-10,4.5302991561538896e-11,5.447306903559682e-11,1.0547570978698867e-10
N20000011,525.0,43.23089352527007,8.604111974835039,31.26738188279023,2.32545428336652,14.57215832228512,7.181936718397111e-10,2.548638911434388e-10,5.056287291530185e-10,2.6604480226653575e-10,4.139057252472209e-09,5.569247614169116e-09
N20000012,503.0,35.05014882342123,5.816674110194599,13.782457936729491,0.5812539836144851,44.76946514200556,1.1953553346315712e-09,5.186296222663964e-10,4.35653513244846e-10,2.3145207077371057e-11,1.3199550733697047e-09,5.418885422636389e-10
N20000013,407.0,63.683708576503996,3.5500466305071616,16.991318134427363,1.0306706228880598,14.744256028287076,3.7086475473656445e-09,6.37797349672051e-10,3.8522698814938847e-10,9.291916921200214e-11,2.445338377283057e-09,1.1641007032736679e-10
N20000014,506.0,44.06716439046529,11.856182593476863,24.25829458139133,7.058419107694852,12.759939325356145,2.899607077310157e-10,3.363786817187474e-10,4.2217792914685777e-10,4.3491106560760546e-10,3.058327645718726e-11,1.0150202196864157e-10
N20000015,586.0,4.16737251323453,78.74117093530747,0.5669867194186973,16.245349856820432,0.2791199748091794,1.9997670660208556e-11,7.806795513116989e-12,1.619905397799896e-10,1.740522286862505e-10,3.0861341941424197e-11,1.497664284820561e-11
N20000016,453.0,23.67041490831553,29.906230148012803,21.649315842710347,12.24069893026043,12.533340169558702,1.173398037754719e-10,2.5313486927355723e-10,2.3335714322089674e-10,1.4771208018113106e-10,1.287647863662748e-10,2.6187943392670156e-10
N20000017,674.0,8.49228254294919,49.555047433224644,11.598031405294002,19.75795776251199,10.596680852923871,1.3026984570215476e-10,4.888694618373188e-10,6.03080911224474e-10,4.4208109121168635e-10,1.1122830801279124e-09,3.1970216333521673e-10
N20000018,486.0,6.246787958595086,24.78923008220525,9.482505987467288,40.352600551706296,19.128875417496918,1.3449763452054537e-10,1.259675201022328e-10,4.949056287321763e-10,1.390186390093568e-09,3.3668059681637854e-10,4.6926590649464615e-11
N20000019,393.0,48.50932796221509,16.121898736420764,9.041671881594949,4.845508717212444,21.481592690846167,1.795386724555883e-09,2.1720686206146006e-09,5.750164829997202e-10,6.002668039356485e-11,4.793292948744883e-09,2.3147724745200212e-09
N20000020,562.0,35.90352863141752,19.672550753797086,8.739460630866027,30.04733362979261,5.637126351160697,9.088002006792975e-11,2.4046095853400135e-10,6.122939408186086e-10,1.894223936132175e-10,1.0904436907602746e-09,7.425602103418669e-10
N20000021,545.0,13.238275877904627,11.651288137432937,8.854963770453834,45.61383975141506,20.641632461525997,4.318816612855277e-11,7.486304027806038e-11,3.501996921556688e-10,5.71641546340694e-10,1.7358905726151282e-10,5.407754130834639e-11
N20000022,441.0,2.5369024565143277,62.77392986549176,1.729461607185745,32.44216567278494,0.5175403976856962,5.4094064751399765e-12,5.8003967369335254e-12,1.4021124863605401e-10,1.787616894101355e-10,3.6608944221645665e-12,3.681827661726876e-12
N20000023,502.0,13.733829756419178,33.513590197207996,9.419985434865906,12.841424376949542,30.491170232987976,1.8851621001917726e-10,2.166360724451968e-10,4.988929705079472e-10,4.671914702248744e-10,8.567206066928502e-11,1.1247351139066733e-10
N20000024,620.0,6.93640531386281,61.77394506330959,6.094987230611835,21.713528574138156,3.481133816344531,2.6543899833526583e-10,7.910874867301744e-11,6.525372711281247e-10,4.145126226657222e-10,2.8087645660666857e-10,4.0610396630215976e-11
N20000025,415.0,31.560931590871277,2.747960015407099,17.33280495546842,37.28050322823703,11.077800209437271,7.886914166535804e-12,1.0516563835113022e-11,1.0112095812818901e-10,4.259642143677648e-10,6.784875966915219e-12,2.664019241379987e-11
N20000026,554.0,40.443599681009054,0.9820253611016528,26.414310197503227,0.15441624957573297,32.005648509832376,5.923536289528277e-10,1.3594768809705588e-10,1.0622466242904138e-10,9.407552328692545e-12,7.02935408297245e-11,6.373018401077231e-11
