constituency,catholic_pct_2011,proj_reunify_pct
Belfast East,9.5,13.5
Belfast North,40.8,29.7
Belfast South,37.5,29.0
Belfast West,72.6,46.4
East Antrim,17.7,17.1
East Londonderry,38.4,26.9
Fermanagh and South Tyrone,53.1,34.3
Foyle,67.5,42.8
Lagan Valley,16.5,16.3
Mid Ulster,62.5,38.9
Newry and Armagh,60.3,38.8
North Antrim,25.9,20.4
North Down,10.3,14.2
South Antrim,28.8,22.7
South Down,64.0,40.3
Strangford,15.1,15.8
Upper Bann,40.3,28.2
West Tyrone,63.1,39.3
