constituency,catholic_pct_2011,proj_reunify_pct
Belfast East,9.5,14.6
Belfast North,40.8,27.2
Belfast South,37.5,26.6
Belfast West,72.6,40.3
East Antrim,17.7,17.4
East Londonderry,38.4,25.0
Fermanagh and South Tyrone,53.1,30.8
Foyle,67.5,37.5
Lagan Valley,16.5,16.7
Mid Ulster,62.5,34.4
Newry and Armagh,60.3,34.3
North Antrim,25.9,19.9
North Down,10.3,15.0
South Antrim,28.8,21.7
South Down,64.0,35.5
Strangford,15.1,16.3
Upper Bann,40.3,26.0
West Tyrone,63.1,34.7
