constituency,catholic_pct_2011,proj_reunify_pct
Belfast East,9.5,13.3
Belfast North,40.8,30.0
Belfast South,37.5,28.8
Belfast West,72.6,47.1
East Antrim,17.7,17.1
East Londonderry,38.4,27.4
Fermanagh and South Tyrone,53.1,35.0
Foyle,67.5,43.5
Lagan Valley,16.5,16.4
Mid Ulster,62.5,39.7
Newry and Armagh,60.3,39.5
North Antrim,25.9,20.8
North Down,10.3,13.8
South Antrim,28.8,22.8
South Down,64.0,40.9
Strangford,15.1,15.8
Upper Bann,40.3,28.6
West Tyrone,63.1,40.1
