constituency,catholic_pct_2011,proj_reunify_pct
Belfast East,9.5,14.1
Belfast North,40.8,32.1
Belfast South,37.5,30.9
Belfast West,72.6,50.5
East Antrim,17.7,18.2
East Londonderry,38.4,29.2
Fermanagh and South Tyrone,53.1,37.3
Foyle,67.5,46.6
Lagan Valley,16.5,17.4
Mid Ulster,62.5,42.4
Newry and Armagh,60.3,42.2
North Antrim,25.9,22.1
North Down,10.3,14.7
South Antrim,28.8,24.3
South Down,64.0,43.8
Strangford,15.1,16.7
Upper Bann,40.3,30.5
West Tyrone,63.1,42.8
