constituency,catholic_pct_2011,proj_reunify_pct
Belfast East,9.5,10.6
Belfast North,40.8,28.4
Belfast South,37.5,27.0
Belfast West,72.6,46.5
East Antrim,17.7,14.7
East Londonderry,38.4,25.6
Fermanagh and South Tyrone,53.1,33.7
Foyle,67.5,42.8
Lagan Valley,16.5,13.9
Mid Ulster,62.5,38.7
Newry and Armagh,60.3,38.5
North Antrim,25.9,18.6
North Down,10.3,11.1
South Antrim,28.8,20.7
South Down,64.0,40.0
Strangford,15.1,13.2
Upper Bann,40.3,26.9
West Tyrone,63.1,39.1
