constituency,catholic_pct_2011,proj_reunify_pct
Belfast East,9.5,10.8
Belfast North,40.8,27.3
Belfast South,37.5,26.0
Belfast West,72.6,44.2
East Antrim,17.7,14.6
East Londonderry,38.4,24.8
Fermanagh and South Tyrone,53.1,32.3
Foyle,67.5,40.7
Lagan Valley,16.5,13.9
Mid Ulster,62.5,36.9
Newry and Armagh,60.3,36.7
North Antrim,25.9,18.3
North Down,10.3,11.3
South Antrim,28.8,20.2
South Down,64.0,38.1
Strangford,15.1,13.3
Upper Bann,40.3,26.0
West Tyrone,63.1,37.3
