SA2011,catholic_bg_pct,proj_unity_pct,provenance
N00000164,2.8,17.4,modelled
N00000165,9.5,21.5,modelled
N00000166,7.0,20.6,modelled
N00000167,5.0,19.1,modelled
N00000168,6.7,20.6,modelled
N00000169,4.1,18.8,modelled
N00000170,1.4,18.4,modelled
N00000171,4.8,19.5,modelled
N00000172,4.0,19.7,modelled
N00000173,0.8,16.3,modelled
N00000174,3.1,19.4,modelled
N00000175,2.9,18.1,modelled
N00000176,10.3,23.5,modelled
N00000177,14.9,26.6,modelled
N00000178,14.8,26.6,modelled
N00000179,10.8,24.5,modelled
N00000180,5.7,20.4,modelled
N00000181,11.3,24.0,modelled
N00000182,3.5,18.1,modelled
N00000183,6.5,22.8,modelled
N00000184,7.8,22.1,modelled
N00000185,1.9,16.2,modelled
N00000186,4.0,20.0,modelled
N00000187,7.1,21.8,modelled
N00000188,3.2,19.7,modelled
N00000189,1.2,17.5,modelled
N00000190,0.0,15.8,modelled
N00000191,4.3,18.0,modelled
N00000192,9.3,23.1,modelled
N00000193,6.9,23.5,modelled
N00000194,6.3,20.5,modelled
N00000195,3.7,18.3,modelled
N00000196,7.2,21.0,modelled
N00000197,6.7,20.6,modelled
N00000198,5.9,20.6,modelled
N00000199,5.7,20.3,modelled
N00000200,3.0,17.8,modelled
N00000201,0.0,15.8,modelled
N00000202,4.3,18.3,modelled
N00000203,8.7,22.2,modelled
N00000204,3.6,19.5,modelled
N00000205,8.6,22.7,modelled
N00000206,5.4,20.0,modelled
N00000207,5.5,20.1,modelled
N00000208,1.3,16.3,modelled
N00000209,2.5,19.1,modelled
N00000210,9.4,22.9,modelled
N00000211,8.7,21.8,modelled
N00000212,7.4,22.6,modelled
N00000213,8.2,22.0,modelled
N00000214,7.7,21.7,modelled
N00000215,6.8,21.1,modelled
N00000216,5.0,20.4,modelled
N00000217,9.0,21.0,modelled
N00000218,4.7,19.5,modelled
N00000219,5.3,20.8,modelled
N00000220,1.8,19.4,modelled
N00000221,2.7,18.1,modelled
N00000222,3.0,18.0,modelled
N00000223,5.6,19.7,modelled
N00000224,7.4,22.2,modelled
N00000225,6.1,18.9,modelled
N00000226,8.4,21.9,modelled
N00000227,6.2,20.3,modelled
N00000228,2.9,16.8,modelled
N00000229,4.6,19.4,modelled
N00000230,7.5,22.9,modelled
N00000231,5.9,25.0,modelled
N00000232,12.6,26.0,modelled
N00000233,6.6,22.5,modelled
N00000234,17.6,29.2,modelled
N00000235,10.2,23.5,modelled
N00000236,7.2,22.4,modelled
N00000237,5.8,21.1,modelled
N00000238,4.2,17.9,modelled
N00000239,2.8,20.5,modelled
N00000240,4.8,22.0,modelled
N00000241,9.2,23.1,modelled
N00000242,5.3,20.0,modelled
N00000243,10.2,23.8,modelled
N00000244,8.0,21.9,modelled
N00000245,9.2,22.9,modelled
N00000246,9.1,22.3,modelled
N00000247,7.1,21.0,modelled
N00000248,6.8,20.7,modelled
N00000249,8.3,23.6,modelled
N00000250,5.0,20.6,modelled
N00000251,5.7,21.5,modelled
N00000252,4.1,20.2,modelled
N00000253,4.0,18.2,modelled
N00000254,2.9,17.8,modelled
N00000255,10.8,23.4,modelled
N00000256,9.4,23.3,modelled
N00000257,4.3,19.4,modelled
N00000258,9.2,22.2,modelled
N00000259,59.8,54.1,modelled
N00000260,36.2,39.6,modelled
N00000261,59.0,53.8,modelled
N00000262,58.9,53.8,modelled
N00000263,63.2,55.9,modelled
N00000264,63.3,57.0,modelled
N00000265,70.1,60.3,modelled
N00000266,61.9,55.4,modelled
N00000267,3.2,18.7,modelled
N00000268,5.2,19.7,modelled
N00000269,4.6,18.5,modelled
N00000270,4.6,19.9,modelled
N00000271,6.3,20.3,modelled
N00000272,7.1,20.9,modelled
N00000273,6.1,21.3,modelled
N00000274,7.5,21.0,modelled
N00000275,10.0,23.0,modelled
N00000276,6.3,21.8,modelled
N00000277,4.8,21.0,modelled
N00000278,7.2,21.2,modelled
N00000279,7.7,23.2,modelled
N00000280,5.6,23.4,modelled
N00000281,5.2,19.1,modelled
N00000282,8.5,23.3,modelled
N00000283,7.8,22.8,modelled
N00000284,5.0,22.1,modelled
N00000285,4.7,22.6,modelled
N00000286,1.5,16.8,modelled
N00000287,4.4,21.1,modelled
N00000288,2.3,20.5,modelled
N00000289,2.8,19.1,modelled
N00000290,2.2,17.2,modelled
N00000291,3.9,19.7,modelled
N00000292,5.9,21.2,modelled
N00000293,6.7,22.0,modelled
N00000294,4.0,18.9,modelled
N00000295,9.3,24.1,modelled
N00000296,10.1,22.8,modelled
N00000297,10.5,22.2,modelled
N00000298,6.9,22.6,modelled
N00000299,11.4,23.8,modelled
N00000300,12.8,23.7,modelled
N00000301,11.2,24.8,modelled
N00000302,6.9,22.3,modelled
N00000303,5.7,20.7,modelled
N00000304,10.8,25.2,modelled
N00000305,3.5,19.0,modelled
N00000306,7.1,22.7,modelled
N00000307,7.3,22.1,modelled
N00000308,9.7,23.9,modelled
N00000309,7.7,23.1,modelled
N00000310,66.4,57.4,modelled
N00000311,80.2,66.8,modelled
N00000312,68.4,59.6,modelled
N00000313,84.3,69.5,modelled
N00000314,86.6,70.7,modelled
N00000315,81.2,67.3,modelled
N00000316,89.3,72.5,modelled
N00000317,79.0,65.9,modelled
N00000318,4.1,19.0,modelled
N00000319,2.3,18.6,modelled
N00000320,5.3,19.1,modelled
N00000321,4.6,19.0,modelled
N00000322,4.1,19.3,modelled
N00000323,35.8,39.3,modelled
N00000324,36.7,39.4,modelled
N00000325,24.3,32.2,modelled
N00000326,6.3,21.8,modelled
N00000327,5.8,22.8,modelled
N00000328,4.8,20.9,modelled
N00000329,6.2,21.2,modelled
N00000330,5.4,21.2,modelled
N00000331,5.4,20.7,modelled
N00000332,7.0,23.3,modelled
N00000333,3.4,19.8,modelled
N00000334,5.8,23.0,modelled
N00000335,13.2,26.0,modelled
N00000336,10.9,23.1,modelled
N00000337,8.9,22.4,modelled
N00000338,18.2,27.7,modelled
N00000339,15.0,25.7,modelled
N00000340,10.5,22.4,modelled
N00000341,10.1,23.0,modelled
N00000342,7.2,21.4,modelled
N00000343,6.3,21.4,modelled
N00000344,78.6,65.0,modelled
N00000345,93.0,74.2,modelled
N00000346,91.7,74.2,modelled
N00000347,88.7,71.9,modelled
N00000348,84.0,68.5,modelled
N00000349,88.0,71.9,modelled
N00000350,82.7,68.0,modelled
N00000351,64.5,56.9,modelled
N00000352,90.8,73.1,modelled
N00000353,63.3,55.4,modelled
N00000354,42.2,41.8,modelled
N00000355,68.7,58.6,modelled
N00000356,94.2,76.3,modelled
N00000357,90.5,74.0,modelled
N00000358,93.5,75.4,modelled
N00000359,71.1,61.8,modelled
N00000360,85.8,70.1,modelled
N00000361,58.4,52.7,modelled
N00000362,68.7,58.9,modelled
N00000363,88.8,71.7,modelled
N00000364,45.5,44.1,modelled
N00000365,77.3,64.7,modelled
N00000366,78.5,65.9,modelled
N00000367,91.2,72.9,modelled
N00000368,77.8,65.0,modelled
N00000369,44.8,44.6,modelled
N00000370,46.2,44.8,modelled
N00000371,54.1,50.2,modelled
N00000372,65.5,57.9,modelled
N00000373,56.5,52.3,modelled
N00000374,60.3,53.8,modelled
N00000375,56.8,51.3,modelled
N00000376,50.2,46.7,modelled
N00000377,44.8,43.4,modelled
N00000378,57.4,51.9,modelled
N00000379,50.4,47.8,modelled
N00000380,92.5,73.9,modelled
N00000381,88.5,71.9,modelled
N00000382,89.6,72.2,modelled
N00000383,53.4,49.5,modelled
N00000384,89.0,72.1,modelled
N00000385,61.6,54.8,modelled
N00000386,87.6,71.7,modelled
N00000387,90.3,72.6,modelled
N00000388,90.8,73.3,modelled
N00000389,93.5,74.7,modelled
N00000390,14.7,24.6,modelled
N00000391,8.2,21.5,modelled
N00000392,6.3,20.0,modelled
N00000393,5.0,18.3,modelled
N00000394,10.3,22.5,modelled
N00000395,27.2,32.5,modelled
N00000396,25.3,31.3,modelled
N00000397,36.2,38.8,modelled
N00000398,5.2,18.3,modelled
N00000399,3.6,17.5,modelled
N00000400,93.8,74.3,modelled
N00000401,94.1,75.1,modelled
N00000402,87.9,70.7,modelled
N00000403,89.1,72.0,modelled
N00000404,94.6,74.7,modelled
N00000405,86.5,70.6,modelled
N00000406,19.4,27.6,modelled
N00000407,71.7,61.3,modelled
N00000408,66.9,58.4,modelled
N00000409,11.9,22.8,modelled
N00000410,20.4,28.0,modelled
N00000411,93.0,74.2,modelled
N00000412,55.0,50.1,modelled
N00000413,83.0,68.1,modelled
N00000414,38.2,39.6,modelled
N00000415,13.2,23.9,modelled
N00000416,35.0,38.1,modelled
N00000417,7.3,21.3,modelled
N00000418,9.3,21.8,modelled
N00000419,27.1,32.9,modelled
N00000420,13.6,24.1,modelled
N00000421,3.8,18.8,modelled
N00000422,7.6,21.0,modelled
N00000423,23.9,31.2,modelled
N00000424,80.0,66.5,modelled
N00000425,39.7,40.7,modelled
N00000426,13.7,23.9,modelled
N00000427,55.5,51.9,modelled
N00000428,23.6,30.3,modelled
N00000429,22.8,29.9,modelled
N00000430,5.2,18.8,modelled
N00000431,23.5,30.5,modelled
N00000432,5.3,18.7,modelled
N00000433,28.9,33.2,modelled
N00000434,10.1,22.6,modelled
N00000435,28.6,34.5,modelled
N00000436,9.6,22.6,modelled
N00000437,75.5,63.7,modelled
N00000438,61.3,54.2,modelled
N00000439,44.4,43.5,modelled
N00000440,78.2,65.0,modelled
N00000441,78.5,65.8,modelled
N00000442,70.3,60.3,modelled
N00000443,44.1,44.2,modelled
N00000444,45.8,45.3,modelled
N00000445,55.4,50.7,modelled
N00000446,59.8,53.2,modelled
N00000447,40.8,40.6,modelled
N00000448,75.2,63.7,modelled
N00000449,14.3,24.5,modelled
N00000450,56.2,51.5,modelled
N00000451,67.7,58.3,modelled
N00000452,27.4,33.0,modelled
N00000453,22.1,29.9,modelled
N00000454,15.6,25.8,modelled
N00000455,6.2,19.5,modelled
N00000456,5.0,19.0,modelled
N00000457,4.6,18.6,modelled
N00000458,5.7,19.0,modelled
N00000459,8.7,20.9,modelled
N00000460,13.4,24.8,modelled
N00000461,2.4,17.3,modelled
N00000462,6.0,21.6,modelled
N00000463,22.7,30.6,modelled
N00000464,7.3,20.8,modelled
N00000465,13.8,24.9,modelled
N00000466,7.7,20.8,modelled
N00000467,10.0,21.6,modelled
N00000468,10.6,22.9,modelled
N00000469,9.1,21.6,modelled
N00000470,37.1,39.8,modelled
N00000471,7.3,21.0,modelled
N00000472,40.1,41.9,modelled
N00000473,14.4,24.0,modelled
N00000474,39.2,40.8,modelled
N00000475,17.6,27.3,modelled
N00000476,5.1,18.5,modelled
N00000477,13.9,24.1,modelled
N00000478,34.4,37.2,modelled
N00000479,8.6,21.3,modelled
N00000480,6.6,20.2,modelled
N00000481,18.6,27.0,modelled
N00000482,4.4,17.9,modelled
N00000483,3.9,17.9,modelled
N00000484,3.9,18.1,modelled
N00000485,0.8,16.5,modelled
N00000486,4.8,19.1,modelled
N00000487,2.1,16.7,modelled
N00000488,6.1,19.3,modelled
N00000489,4.6,18.9,modelled
N00000490,8.5,21.6,modelled
N00000491,8.0,20.8,modelled
N00000492,10.9,22.9,modelled
N00000493,20.8,28.2,modelled
N00000494,22.2,30.2,modelled
N00000495,15.2,25.1,modelled
N00000496,13.5,25.7,modelled
N00000497,12.2,25.2,modelled
N00000498,21.4,30.2,modelled
N00000499,9.5,21.9,modelled
N00000500,3.8,17.6,modelled
N00000501,7.0,21.2,modelled
N00000502,4.6,21.9,modelled
N00000503,9.9,23.6,modelled
N00000504,5.1,20.3,modelled
N00000505,7.1,21.3,modelled
N00000506,4.3,18.8,modelled
N00000507,4.8,19.4,modelled
N00000508,3.8,17.7,modelled
N00000509,5.9,22.0,modelled
