SA2011,catholic_bg_pct,proj_unity_pct,provenance
N00000816,24.9,31.2,modelled
N00000817,29.7,34.4,modelled
N00000818,22.5,29.6,modelled
N00000819,34.8,37.9,modelled
N00000820,27.7,34.0,modelled
N00000821,38.3,40.4,modelled
N00000822,44.5,44.1,modelled
N00000823,36.2,38.7,modelled
N00000824,37.9,40.5,modelled
N00000825,95.4,75.4,modelled
N00000826,92.1,73.6,modelled
N00000827,95.3,75.2,modelled
N00000828,96.5,76.3,modelled
N00000829,95.8,75.9,modelled
N00000830,95.4,75.3,modelled
N00000831,95.1,75.4,modelled
N00000832,91.6,74.0,modelled
N00000833,98.0,77.1,modelled
N00000834,94.9,75.0,modelled
N00000835,94.4,75.0,modelled
N00000836,96.5,76.8,modelled
N00000837,91.7,74.4,modelled
N00000838,90.5,73.3,modelled
N00000839,95.0,75.8,modelled
N00000840,94.9,75.1,modelled
N00000841,91.2,73.6,modelled
N00000842,90.5,73.6,modelled
N00000843,94.4,75.3,modelled
N00000844,94.4,75.2,modelled
N00000845,96.5,76.4,modelled
N00000846,94.7,75.2,modelled
N00000847,89.5,73.5,modelled
N00000848,97.1,76.8,modelled
N00000849,91.2,73.2,modelled
N00000850,92.2,74.6,modelled
N00000851,94.2,75.4,modelled
N00000852,94.4,75.7,modelled
N00000853,91.8,74.4,modelled
N00000854,94.0,75.8,modelled
N00000855,26.0,32.2,modelled
N00000856,20.9,30.8,modelled
N00000857,13.7,24.6,modelled
N00000858,25.5,35.9,modelled
N00000859,27.9,35.6,modelled
N00000860,18.3,29.1,modelled
N00000861,19.5,30.7,modelled
N00000862,19.5,29.9,modelled
N00000863,9.2,22.3,modelled
N00000864,13.8,27.8,modelled
N00000865,19.0,30.7,modelled
N00000866,20.5,32.2,modelled
N00000867,23.3,33.1,modelled
N00000868,17.2,29.0,modelled
N00000869,16.1,26.8,modelled
N00000870,7.9,23.1,modelled
N00000871,7.6,21.9,modelled
N00000872,10.2,23.1,modelled
N00000873,95.7,76.3,modelled
N00000874,62.5,57.2,modelled
N00000875,82.4,68.2,modelled
N00000876,66.0,56.8,modelled
N00000877,13.4,25.4,modelled
N00000878,35.9,38.6,modelled
N00000879,88.6,72.2,modelled
N00000880,76.8,65.0,modelled
N00000881,13.9,25.3,modelled
N00000882,12.3,25.3,modelled
N00000883,14.8,26.2,modelled
N00000884,8.3,21.3,modelled
N00000885,17.2,29.4,modelled
N00000886,63.6,57.5,modelled
N00000887,73.7,63.2,modelled
N00000888,67.9,59.3,modelled
N00000889,77.6,66.1,modelled
N00000890,59.6,55.9,modelled
N00000891,59.8,55.9,modelled
N00000892,63.2,56.9,modelled
N00000893,51.8,51.5,modelled
N00000894,60.5,55.5,modelled
N00000895,46.0,47.4,modelled
N00000896,63.4,57.0,modelled
N00000897,61.0,56.8,modelled
N00000898,53.7,53.3,modelled
N00000899,61.1,56.2,modelled
N00000900,30.6,38.0,modelled
N00000901,65.5,59.5,modelled
N00000902,60.5,55.9,modelled
N00000903,20.4,38.3,modelled
N00000904,43.3,46.3,modelled
N00000905,46.2,48.0,modelled
N00000906,3.0,17.0,modelled
N00000907,4.8,21.9,modelled
N00000908,2.7,18.2,modelled
N00000909,8.9,21.0,modelled
N00000910,10.3,24.1,modelled
N00000911,5.0,20.1,modelled
N00000912,8.6,23.3,modelled
N00000913,6.2,20.2,modelled
N00000914,10.5,22.9,modelled
N00000915,10.7,22.5,modelled
N00000916,6.0,20.9,modelled
N00000917,11.1,22.8,modelled
N00000918,10.0,23.2,modelled
N00000919,11.4,23.8,modelled
N00000920,3.4,18.4,modelled
N00000921,4.3,19.6,modelled
N00000922,25.0,32.6,modelled
N00000923,8.2,22.3,modelled
N00000924,6.7,19.8,modelled
N00000925,4.2,19.5,modelled
N00000926,89.4,72.6,modelled
N00000927,86.0,69.7,modelled
N00000928,93.0,74.1,modelled
N00000929,89.7,73.0,modelled
N00000930,88.2,72.3,modelled
N00000931,92.2,75.0,modelled
N00000932,90.9,73.7,modelled
N00000933,91.0,73.8,modelled
N00000934,90.1,73.5,modelled
N00000935,84.5,70.3,modelled
N00000936,96.0,76.4,modelled
N00000937,92.4,74.2,modelled
N00000938,95.9,76.6,modelled
N00000939,86.4,70.6,modelled
N00000940,90.1,73.3,modelled
N00000941,71.1,61.2,modelled
N00000942,77.9,64.8,modelled
N00000943,82.0,68.5,modelled
N00000944,82.4,68.8,modelled
N00000945,78.0,64.7,modelled
N00000946,24.9,33.1,modelled
N00000947,87.5,71.2,modelled
N00000948,80.9,67.6,modelled
N00000949,80.6,67.0,modelled
N00000950,63.4,57.1,modelled
N00000951,53.8,49.6,modelled
N00000952,20.5,32.0,modelled
N00000953,79.0,66.1,modelled
N00000954,13.8,26.3,modelled
N00000955,70.3,60.5,modelled
N00000956,78.1,65.9,modelled
N00000957,10.3,23.1,modelled
N00000958,8.2,21.9,modelled
N00000959,4.0,19.2,modelled
N00000960,11.1,24.0,modelled
N00000961,5.5,20.1,modelled
N00000962,11.5,24.4,modelled
N00000963,8.3,22.3,modelled
N00000964,6.1,20.0,modelled
N00000965,5.3,19.4,modelled
N00000966,7.3,21.2,modelled
N00000967,13.0,25.6,modelled
N00000968,7.1,21.0,modelled
N00000969,11.4,23.9,modelled
N00000970,14.0,26.2,modelled
N00000971,3.1,18.5,modelled
N00000972,5.0,20.2,modelled
N00000973,12.4,25.6,modelled
N00000974,6.2,21.6,modelled
N00000975,13.7,26.8,modelled
N00000976,17.0,27.5,modelled
N00000977,8.8,22.5,modelled
N00000978,14.2,26.7,modelled
N00000979,12.9,25.7,modelled
N00000980,24.2,32.2,modelled
N00000981,17.4,28.3,modelled
N00000982,21.0,31.7,modelled
N00000983,11.0,24.7,modelled
N00000984,24.6,34.2,modelled
N00000985,9.8,22.9,modelled
N00000986,15.4,27.2,modelled
N00000987,12.5,26.1,modelled
N00000988,23.3,32.1,modelled
N00000989,5.0,20.2,modelled
N00000990,15.3,28.4,modelled
N00000991,15.6,27.6,modelled
N00000992,13.4,27.0,modelled
N00000993,15.3,28.4,modelled
N00000994,16.8,28.8,modelled
N00000995,7.2,21.9,modelled
N00000996,15.4,26.9,modelled
N00000997,14.8,26.5,modelled
N00000998,15.8,27.9,modelled
N00000999,14.1,26.8,modelled
N00001000,12.4,24.2,modelled
N00001001,20.9,31.4,modelled
N00001002,21.2,30.3,modelled
N00001003,11.9,24.3,modelled
N00001004,17.5,29.4,modelled
N00001005,15.9,27.2,modelled
N00001006,43.6,49.4,modelled
N00001007,46.4,50.0,modelled
N00001008,50.2,51.9,modelled
N00001009,48.4,51.3,modelled
N00001010,74.9,67.0,modelled
N00001011,64.4,61.6,modelled
N00001012,55.8,54.8,modelled
N00001013,60.7,57.9,modelled
N00001014,50.2,52.1,modelled
N00001015,47.6,51.2,modelled
N00001016,70.2,64.0,modelled
N00001017,77.1,68.2,modelled
N00001018,46.5,49.9,modelled
N00001019,80.5,70.1,modelled
N00001020,59.1,56.2,modelled
N00001021,54.0,55.8,modelled
N00001022,47.5,51.5,modelled
N00001023,59.5,58.2,modelled
N00001024,62.1,59.4,modelled
N00001025,48.1,52.2,modelled
N00001026,48.7,51.6,modelled
N00001027,75.4,65.6,modelled
N00001028,85.1,70.0,modelled
N00001029,80.1,69.1,modelled
N00001030,70.4,62.9,modelled
N00001031,73.4,63.9,modelled
N00001032,7.6,21.2,modelled
N00001033,4.7,18.7,modelled
N00001034,33.7,38.0,modelled
N00001035,17.3,28.3,modelled
N00001036,21.2,30.8,modelled
N00001037,82.3,67.9,modelled
N00001038,70.5,61.2,modelled
N00001039,72.6,62.3,modelled
N00001040,7.4,21.5,modelled
N00001041,7.4,21.0,modelled
N00001042,49.4,47.1,modelled
N00001043,2.4,17.0,modelled
N00001044,13.2,25.6,modelled
N00001045,10.9,22.7,modelled
N00001046,68.1,58.9,modelled
N00001047,33.1,37.3,modelled
N00001048,68.9,59.0,modelled
N00001049,12.7,24.5,modelled
N00001050,69.3,60.0,modelled
N00001051,78.7,66.7,modelled
N00001052,72.8,61.2,modelled
N00001053,81.1,67.4,modelled
N00001054,83.6,69.1,modelled
N00001055,77.7,65.2,modelled
N00001056,35.2,38.7,modelled
N00001057,18.7,27.7,modelled
N00001058,75.1,63.2,modelled
N00001059,62.8,56.2,modelled
N00001060,8.6,22.0,modelled
N00001061,8.2,21.5,modelled
N00001062,17.8,27.0,modelled
N00001063,9.2,22.2,modelled
N00001064,16.9,27.6,modelled
N00001065,19.3,28.2,modelled
N00001066,8.4,22.3,modelled
N00001067,11.5,22.8,modelled
N00001068,20.2,29.8,modelled
N00001069,19.6,30.3,modelled
N00001070,14.3,26.7,modelled
N00001071,22.0,32.8,modelled
N00001072,10.9,22.7,modelled
N00001073,9.9,24.0,modelled
N00001074,6.7,20.6,modelled
N00001075,12.7,24.5,modelled
N00001076,12.1,23.7,modelled
N00001077,9.2,21.7,modelled
N00001078,24.9,31.8,modelled
N00001079,79.7,67.4,modelled
N00001080,73.8,64.0,modelled
N00001081,66.3,59.7,modelled
N00001082,86.8,71.3,modelled
N00001083,83.3,69.6,modelled
N00001084,81.2,67.8,modelled
N00001085,81.1,68.2,modelled
N00001086,75.3,64.8,modelled
N00001087,80.1,67.7,modelled
N00001088,83.9,69.7,modelled
N00001089,40.2,43.8,modelled
N00001090,7.2,21.9,modelled
N00001091,88.8,73.2,modelled
N00001092,92.0,74.5,modelled
N00001093,84.9,71.3,modelled
N00001094,92.5,74.6,modelled
N00001095,87.2,72.3,modelled
N00001096,88.7,72.5,modelled
N00001097,79.7,66.0,modelled
N00001098,85.4,69.8,modelled
N00001099,40.4,41.3,modelled
N00001100,86.3,70.6,modelled
N00001101,69.7,60.0,modelled
N00001102,10.2,22.7,modelled
N00001103,52.5,51.9,modelled
N00001104,66.7,57.7,modelled
N00001105,55.3,52.1,modelled
N00001106,94.3,75.4,modelled
N00001107,93.9,75.3,modelled
N00001108,96.3,77.1,modelled
N00001109,85.5,71.1,modelled
N00001110,88.7,72.6,modelled
N00001111,93.6,75.2,modelled
N00001112,87.5,71.8,modelled
N00001113,91.3,73.8,modelled
N00001114,89.3,72.8,modelled
N00001115,88.7,71.7,modelled
N00001116,85.5,70.0,modelled
N00001117,3.7,17.8,modelled
N00001118,11.5,23.6,modelled
N00001119,2.8,17.6,modelled
N00001120,8.0,20.9,modelled
N00001121,4.7,19.1,modelled
N00001122,8.0,20.2,modelled
N00001123,9.7,21.2,modelled
N00001124,6.5,20.8,modelled
N00001125,7.0,20.9,modelled
N00001126,7.9,22.5,modelled
N00001127,23.3,31.0,modelled
N00001128,9.2,22.0,modelled
N00001129,30.0,35.3,modelled
N00001130,19.0,31.7,modelled
N00001131,51.4,50.8,modelled
N00001132,6.4,20.4,modelled
N00001133,10.0,23.7,modelled
N00001134,13.7,25.3,modelled
N00001135,9.6,21.6,modelled
N00001136,8.0,22.6,modelled
N00001137,12.7,25.6,modelled
N00001138,6.7,19.9,modelled
N00001139,46.5,47.5,modelled
N00001140,11.0,25.6,modelled
N00001141,12.2,24.2,modelled
N00001142,12.6,24.0,modelled
N00001143,7.9,20.7,modelled
N00001144,11.2,23.9,modelled
N00001145,85.9,69.6,modelled
N00001146,95.2,75.4,modelled
N00001147,89.1,72.5,modelled
N00001148,95.8,75.8,modelled
N00001149,91.2,73.8,modelled
N00001150,90.1,73.6,modelled
N00001151,91.8,73.9,modelled
N00001152,89.0,72.5,modelled
N00001153,90.2,72.7,modelled
N00001154,92.5,74.3,modelled
N00001155,61.9,59.4,modelled
N00001156,91.6,73.8,modelled
N00001157,96.4,76.5,modelled
N00001158,96.2,76.2,modelled
N00001159,95.3,75.9,modelled
N00001160,95.2,76.0,modelled
N00001161,84.0,70.1,modelled
N00001162,86.4,71.7,modelled
N00001163,95.8,75.2,modelled
N00001164,93.0,75.1,modelled
N00001165,98.4,77.6,modelled
N00001166,94.4,75.2,modelled
N00001167,94.7,75.6,modelled
N00001168,95.8,76.3,modelled
N00001169,94.4,75.4,modelled
N00001170,95.2,75.5,modelled
N00001171,93.6,75.0,modelled
N00001172,95.8,75.8,modelled
N00001173,10.7,24.3,modelled
N00001174,58.9,54.5,modelled
N00001175,61.1,55.6,modelled
N00001176,9.5,21.3,modelled
N00001177,14.7,25.9,modelled
N00001178,80.3,67.1,modelled
N00001179,91.2,73.5,modelled
N00001180,55.4,51.8,modelled
N00001181,38.6,40.7,modelled
N00001182,93.8,75.0,modelled
N00001183,39.6,42.4,modelled
N00001184,37.1,39.1,modelled
N00001185,17.9,27.0,modelled
N00001186,21.7,31.8,modelled
N00001187,63.5,57.4,modelled
N00001188,73.9,62.7,modelled
N00001189,45.7,45.3,modelled
N00001190,17.6,27.7,modelled
N00001191,5.7,20.4,modelled
N00001192,13.3,24.6,modelled
N00001193,20.3,30.3,modelled
N00001194,5.9,18.9,modelled
N00001195,38.0,42.4,modelled
N00001196,8.8,22.3,modelled
N00001197,24.1,33.6,modelled
N00001198,51.6,48.4,modelled
N00001199,18.0,28.3,modelled
N00001200,70.9,62.0,modelled
N00001201,85.9,70.4,modelled
N00001202,85.4,70.9,modelled
N00001203,96.5,76.4,modelled
N00001204,97.1,76.7,modelled
N00001205,95.7,76.0,modelled
N00001206,90.8,73.9,modelled
N00001207,98.8,78.1,modelled
N00001208,95.6,76.0,modelled
N00001209,95.7,75.8,modelled
N00001210,96.4,76.5,modelled
N00001211,94.4,75.5,modelled
N00001212,97.7,77.2,modelled
N00001213,97.3,77.3,modelled
N00001214,92.7,74.7,modelled
N00001215,90.7,73.7,modelled
N00001216,95.3,76.7,modelled
N00001217,9.0,22.4,modelled
N00001218,8.2,21.8,modelled
N00001219,8.0,21.9,modelled
N00001220,3.5,18.8,modelled
N00001221,7.8,20.7,modelled
N00001222,5.2,20.0,modelled
N00001223,9.0,21.5,modelled
N00001224,8.3,21.9,modelled
N00001225,2.5,18.0,modelled
N00001226,4.2,19.0,modelled
N00001227,2.4,17.3,modelled
N00001228,12.7,23.3,modelled
N00001229,72.5,61.5,modelled
N00001230,83.6,68.8,modelled
N00001231,85.5,69.4,modelled
N00001232,93.6,75.6,modelled
N00001233,94.5,76.5,modelled
N00001234,98.0,77.7,modelled
N00001235,94.6,75.7,modelled
N00001236,92.7,74.9,modelled
N00001237,95.8,76.0,modelled
N00001238,98.0,77.3,modelled
N00001239,96.5,76.5,modelled
N00001240,93.2,74.6,modelled
N00001241,93.8,75.0,modelled
N00001242,95.2,76.0,modelled
N00001243,93.1,74.2,modelled
N00001244,78.8,66.2,modelled
N00001245,92.8,74.7,modelled
N00001246,6.2,22.6,modelled
N00001247,7.8,21.0,modelled
N00001248,2.1,17.6,modelled
N00001249,4.7,18.4,modelled
N00001250,3.0,18.6,modelled
N00001251,8.3,21.8,modelled
N00001252,66.4,58.0,modelled
N00001253,12.0,23.4,modelled
N00001254,1.6,18.5,modelled
N00001255,4.0,18.1,modelled
N00001256,2.7,17.4,modelled
N00001257,5.2,20.0,modelled
N00001258,4.8,19.3,modelled
N00001259,7.0,20.0,modelled
N00001260,8.5,23.0,modelled
N00001261,1.6,17.1,modelled
N00001262,17.2,26.4,modelled
N00001263,8.0,22.8,modelled
N00001264,20.6,30.4,modelled
N00001265,16.5,30.9,modelled
N00001266,6.4,21.4,modelled
N00001267,3.4,18.4,modelled
N00001268,6.0,20.4,modelled
N00001269,18.4,29.2,modelled
N00001270,7.9,23.0,modelled
N00001271,16.2,28.7,modelled
N00001272,16.2,26.9,modelled
N00001273,14.0,26.0,modelled
N00001274,2.5,17.8,modelled
N00001275,5.7,20.7,modelled
N00001276,4.6,21.3,modelled
N00001277,6.8,21.5,modelled
N00001278,19.9,31.0,modelled
N00001279,6.5,21.2,modelled
N00001280,5.2,19.4,modelled
N00001281,22.8,31.4,modelled
N00001282,13.3,26.4,modelled
N00001283,18.0,28.8,modelled
N00001284,11.6,25.1,modelled
N00001285,6.6,21.2,modelled
N00001286,8.0,22.1,modelled
N00001287,4.1,18.8,modelled
N00001288,2.4,17.6,modelled
N00001289,6.2,20.1,modelled
N00001290,1.9,16.8,modelled
N00001291,92.4,74.3,modelled
N00001292,92.8,74.8,modelled
N00001293,97.8,77.3,modelled
N00001294,95.8,76.6,modelled
N00001295,96.5,76.2,modelled
N00001296,54.2,50.6,modelled
N00001297,95.8,76.4,modelled
N00001298,17.0,30.4,modelled
N00001299,59.2,54.1,modelled
N00001300,96.2,76.0,modelled
N00001301,96.8,77.1,modelled
N00001302,92.6,75.6,modelled
N00001303,91.6,73.8,modelled
N00001304,96.9,76.4,modelled
N00001305,96.6,76.7,modelled
N00001306,54.2,50.5,modelled
N00001307,96.0,76.8,modelled
N00001308,21.6,29.7,modelled
N00001309,78.0,65.8,modelled
N00001310,84.5,70.0,modelled
N00001311,90.5,74.0,modelled
N00001312,81.8,69.2,modelled
N00001313,54.9,51.4,modelled
N00001314,50.9,48.5,modelled
N00001315,5.3,19.5,modelled
N00001316,10.2,22.9,modelled
N00001317,4.9,18.4,modelled
N00001318,7.7,22.1,modelled
N00001319,47.0,46.3,modelled
N00001320,18.2,26.9,modelled
N00001321,75.9,63.9,modelled
N00001322,10.9,24.3,modelled
N00001323,19.0,27.9,modelled
N00001324,20.6,28.9,modelled
N00001325,73.0,62.4,modelled
N00001326,55.6,51.3,modelled
N00001327,65.5,57.6,modelled
N00001328,59.7,54.7,modelled
N00001329,65.8,57.8,modelled
N00001330,66.1,57.9,modelled
N00001331,43.1,43.7,modelled
N00001332,57.0,53.3,modelled
N00001333,54.0,51.8,modelled
N00001334,47.7,49.0,modelled
N00001335,55.2,53.3,modelled
N00001336,59.7,55.1,modelled
N00001337,57.3,53.7,modelled
N00001338,22.1,31.6,modelled
N00001339,14.6,26.0,modelled
N00001340,18.9,28.9,modelled
N00001341,97.3,76.9,modelled
N00001342,93.6,74.8,modelled
N00001343,93.9,75.1,modelled
N00001344,93.6,74.8,modelled
N00001345,95.2,75.5,modelled
N00001346,48.2,47.0,modelled
N00001347,77.8,65.1,modelled
N00001348,74.0,62.9,modelled
N00001349,77.4,65.4,modelled
N00001350,90.0,72.6,modelled
N00001351,91.5,73.8,modelled
N00001352,79.2,66.6,modelled
N00001353,79.1,65.7,modelled
N00001354,93.1,74.2,modelled
N00001355,90.2,72.6,modelled
N00001356,92.5,74.1,modelled
N00001357,94.8,75.6,modelled
N00001358,88.7,73.3,modelled
N00001359,90.8,73.2,modelled
N00001360,84.4,70.7,modelled
N00001361,89.5,72.9,modelled
N00001362,92.8,73.9,modelled
N00001363,5.7,21.7,modelled
N00001364,19.9,29.6,modelled
N00001365,16.8,27.8,modelled
N00001366,15.5,27.6,modelled
N00001367,11.3,25.1,modelled
N00001368,7.8,21.1,modelled
N00001369,11.5,23.5,modelled
N00001370,8.4,22.4,modelled
N00001371,13.1,25.8,modelled
N00001372,8.2,22.3,modelled
N00001373,7.5,22.4,modelled
N00001374,4.4,19.9,modelled
N00001375,8.0,21.6,modelled
N00001376,8.9,23.3,modelled
N00001377,7.6,21.5,modelled
N00001378,13.2,25.5,modelled
N00001379,13.8,25.1,modelled
N00001380,60.1,54.9,modelled
N00001381,50.1,49.8,modelled
N00001382,52.5,50.7,modelled
N00001383,51.5,49.3,modelled
N00001384,26.1,34.4,modelled
N00001385,62.7,56.5,modelled
N00001386,31.2,38.0,modelled
N00001387,31.9,38.9,modelled
N00001388,10.7,23.3,modelled
N00001389,36.2,40.3,modelled
N00001390,29.6,35.8,modelled
N00001391,25.9,33.4,modelled
N00001392,36.5,40.1,modelled
N00001393,55.4,51.7,modelled
N00001394,34.5,40.3,modelled
N00001395,23.8,33.5,modelled
N00001396,48.4,47.7,modelled
N00001397,23.0,30.4,modelled
N00001398,29.6,36.5,modelled
N00001399,61.4,55.3,modelled
N00001400,53.9,51.2,modelled
N00001401,37.8,42.7,modelled
N00001402,64.9,57.7,modelled
N00001403,69.8,61.9,modelled
N00001404,62.0,56.3,modelled
N00001405,23.4,31.1,modelled
N00001406,32.4,37.3,modelled
N00001407,71.1,61.8,modelled
N00001408,64.0,56.9,modelled
N00001409,70.5,62.0,modelled
N00001410,74.1,62.8,modelled
N00001411,76.1,64.1,modelled
N00001412,56.7,51.4,modelled
N00001413,63.9,56.9,modelled
N00001414,68.3,59.3,modelled
N00001415,96.0,76.6,modelled
N00001416,48.4,52.6,modelled
N00001417,15.5,25.8,modelled
N00001418,65.7,59.3,modelled
N00001419,66.9,60.2,modelled
N00001420,13.6,27.8,modelled
N00001421,32.0,39.0,modelled
N00001422,13.5,27.4,modelled
N00001423,80.0,68.3,modelled
N00001424,14.8,27.8,modelled
N00001425,5.6,21.7,modelled
N00001426,5.2,20.7,modelled
N00001427,4.4,19.5,modelled
N00001428,6.1,20.1,modelled
N00001429,21.0,32.8,modelled
N00001430,9.5,22.0,modelled
N00001431,2.1,17.8,modelled
N00001432,4.6,19.1,modelled
N00001433,3.1,19.5,modelled
N00001434,4.0,18.3,modelled
N00001435,3.0,17.7,modelled
N00001436,24.3,32.2,modelled
N00001437,10.4,25.3,modelled
N00001438,5.8,20.2,modelled
N00001439,14.8,25.9,modelled
N00001440,2.8,17.1,modelled
N00001441,10.3,22.8,modelled
N00001442,11.5,23.5,modelled
N00001443,6.2,19.8,modelled
N00001444,4.9,19.3,modelled
N00001445,5.7,20.0,modelled
N00001446,6.9,20.7,modelled
N00001447,5.7,19.2,modelled
N00001448,11.1,23.0,modelled
N00001449,11.8,24.6,modelled
N00001450,7.6,21.1,modelled
N00001451,18.5,28.4,modelled
N00001452,13.9,25.8,modelled
N00001453,10.5,22.2,modelled
N00001454,7.5,22.0,modelled
N00001455,15.3,28.2,modelled
N00001456,11.7,24.1,modelled
N00001457,14.2,26.3,modelled
N00001458,17.3,28.4,modelled
N00001459,20.0,32.0,modelled
N00001460,20.7,31.4,modelled
N00001461,49.2,48.5,modelled
N00001462,47.9,47.7,modelled
N00001463,53.0,50.4,modelled
N00001464,46.7,47.9,modelled
N00001465,53.8,50.9,modelled
N00001466,45.4,47.5,modelled
N00001467,48.4,52.2,modelled
N00001468,44.2,48.1,modelled
N00001469,45.1,47.6,modelled
N00001470,47.4,49.9,modelled
N00001471,45.6,50.3,modelled
N00001472,40.9,43.8,modelled
N00001473,44.8,47.3,modelled
N00001474,52.2,50.6,modelled
N00001475,44.0,45.5,modelled
N00001476,50.5,49.8,modelled
N00001477,43.2,44.3,modelled
N00001478,47.8,48.9,modelled
N00001479,52.3,50.6,modelled
N00001480,6.3,22.4,modelled
N00001481,6.6,20.9,modelled
N00001482,8.1,22.7,modelled
N00001483,15.4,28.0,modelled
N00001484,14.1,26.1,modelled
N00001485,13.7,26.5,modelled
N00001486,7.5,22.7,modelled
N00001487,6.4,20.8,modelled
N00001488,9.0,23.4,modelled
N00001489,6.8,21.6,modelled
N00001490,8.2,22.5,modelled
N00001491,9.2,22.3,modelled
N00001492,9.3,23.4,modelled
N00001493,10.0,23.6,modelled
N00001494,15.2,25.8,modelled
N00001495,11.5,26.0,modelled
N00001496,13.2,26.9,modelled
N00001497,14.8,26.9,modelled
N00001498,18.9,31.9,modelled
N00001499,13.1,26.9,modelled
N00001500,20.1,30.6,modelled
N00001501,9.9,23.8,modelled
N00001502,13.4,26.0,modelled
N00001503,7.4,21.7,modelled
N00001504,5.5,20.6,modelled
N00001505,28.1,36.7,modelled
N00001506,16.3,27.6,modelled
N00001507,2.8,20.0,modelled
N00001508,18.0,31.2,modelled
N00001509,14.5,25.9,modelled
N00001510,15.3,27.8,modelled
N00001511,22.3,31.6,modelled
N00001512,21.4,33.3,modelled
N00001513,15.7,27.8,modelled
N00001514,22.1,31.6,modelled
N00001515,48.1,46.3,modelled
N00001516,31.3,35.9,modelled
N00001517,54.0,50.3,modelled
N00001518,57.8,53.9,modelled
N00001519,17.1,26.7,modelled
N00001520,3.8,19.7,modelled
N00001521,10.8,23.5,modelled
N00001522,11.5,24.1,modelled
N00001523,9.5,23.8,modelled
N00001524,6.7,21.5,modelled
N00001525,9.2,23.3,modelled
N00001526,7.3,21.9,modelled
N00001527,38.3,41.1,modelled
N00001528,49.2,48.6,modelled
N00001529,25.2,33.7,modelled
N00001530,48.2,48.2,modelled
N00001531,91.9,74.1,modelled
N00001532,95.2,76.1,modelled
N00001533,94.2,74.9,modelled
N00001534,94.4,75.1,modelled
N00001535,87.0,72.0,modelled
N00001536,88.5,72.5,modelled
N00001537,95.5,76.3,modelled
N00001538,97.2,76.8,modelled
N00001539,95.1,76.2,modelled
N00001540,90.0,73.4,modelled
N00001541,95.8,76.4,modelled
N00001542,97.2,77.2,modelled
N00001543,93.7,75.5,modelled
N00001544,95.0,75.6,modelled
N00001545,87.5,72.6,modelled
N00001546,86.6,71.8,modelled
N00001547,89.2,72.8,modelled
N00001548,87.7,71.1,modelled
N00001549,92.6,74.8,modelled
N00001550,84.0,68.6,modelled
N00001551,78.1,66.4,modelled
N00001552,92.3,74.2,modelled
N00001553,83.3,69.3,modelled
N00001554,90.8,73.5,modelled
N00001555,92.3,73.9,modelled
N00001556,93.4,74.5,modelled
N00001557,94.8,76.3,modelled
N00001558,81.4,68.9,modelled
N00001559,87.2,71.2,modelled
N00001560,84.2,70.5,modelled
N00001561,88.1,72.1,modelled
N00001562,78.6,66.2,modelled
N00001563,89.0,72.3,modelled
N00001564,89.5,73.7,modelled
N00001565,94.0,75.2,modelled
N00001566,93.8,75.4,modelled
N00001567,89.6,73.3,modelled
N00001568,93.9,75.7,modelled
N00001569,86.0,70.6,modelled
N00001570,95.2,76.8,modelled
N00001571,92.3,74.6,modelled
N00001572,96.9,77.2,modelled
N00001573,92.8,75.1,modelled
N00001574,94.5,75.5,modelled
N00001575,90.5,73.4,modelled
N00001576,91.2,74.2,modelled
N00001577,95.1,75.9,modelled
N00001578,92.0,73.9,modelled
N00001579,44.8,47.2,modelled
N00001580,54.3,52.6,modelled
N00001581,50.3,48.7,modelled
N00001582,58.7,53.3,modelled
N00001583,56.4,53.0,modelled
N00001584,48.4,48.2,modelled
N00001585,45.5,50.0,modelled
N00001586,42.1,46.8,modelled
N00001587,49.8,51.3,modelled
N00001588,42.4,45.8,modelled
N00001589,38.7,42.1,modelled
N00001590,44.9,47.2,modelled
N00001591,44.4,49.8,modelled
N00001592,29.8,39.1,modelled
N00001593,33.4,41.3,modelled
N00001594,28.6,39.1,modelled
N00001595,37.4,43.9,modelled
N00001596,34.9,42.3,modelled
N00001597,37.6,45.0,modelled
N00001598,40.4,46.0,modelled
N00001599,35.3,42.6,modelled
N00001600,38.2,44.5,modelled
N00001601,38.6,43.7,modelled
N00001602,37.7,43.9,modelled
N00001603,44.3,47.6,modelled
N00001604,17.8,30.1,modelled
N00001605,16.3,27.6,modelled
N00001606,22.3,32.6,modelled
N00001607,19.1,29.9,modelled
N00001608,24.8,32.5,modelled
N00001609,17.7,30.7,modelled
N00001610,25.5,35.1,modelled
N00001611,13.0,26.4,modelled
N00001612,13.2,26.2,modelled
N00001613,16.6,29.0,modelled
N00001614,17.6,30.9,modelled
N00001615,27.7,36.4,modelled
N00001616,15.4,28.9,modelled
N00001617,37.6,40.7,modelled
N00001618,21.6,32.8,modelled
N00001619,8.3,22.5,modelled
N00001620,23.1,34.8,modelled
N00001621,16.2,28.7,modelled
N00001622,21.7,32.4,modelled
N00001623,9.8,23.0,modelled
N00001624,3.3,17.8,modelled
N00001625,11.9,24.7,modelled
N00001626,10.6,22.4,modelled
N00001627,5.0,20.5,modelled
N00001628,7.7,21.1,modelled
N00001629,4.3,18.1,modelled
N00001630,7.0,20.6,modelled
N00001631,1.8,17.6,modelled
N00001632,2.5,17.2,modelled
N00001633,7.1,19.9,modelled
N00001634,9.2,22.1,modelled
N00001635,2.3,18.2,modelled
N00001636,2.9,17.8,modelled
