id,provider,title,proposedAction,currentProviderUrl,waybackUrl,internetArchiveStatus,sourceProvenanceDraft
medium-prep:2-irish-election-source-enrichment-data:constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633:00001,Local standalone source,ConstituencyBoundariesUngeneralised National Electoral Boundaries 2023,new-interactive-map,,,pending-upload-or-linking,Local standalone source | ConstituencyBoundariesUngeneralised National Electoral Boundaries 2023 | formats: GEOJSON | IA mirror/download link pending; do not expose local drive paths.
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:bcni2018:00002,Open Data NI,Boundary Commission for Northern Ireland - Provisional Proposals for Parliamentary Constituencies,variant-child-map,https://admin.opendatani.gov.uk/dataset/bcni2018,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/bcni2018,pending-upload-or-linking,"The Boundary Commission for Northern Ireland | Boundary Commission for Northern Ireland - Provisional Proposals for Parliamentary Constituencies | formats: GEOJSON, SHP | current URL: https://admin.opendatani.gov.uk/dataset/bcni2018 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection:00003,Open Data NI,Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract,variant-child-map,https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,pending-upload-or-linking,Department for Infrastructure - Rivers | Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract | formats: SHP | current URL: https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection | IA mirror/download link pending; do not expose local drive paths.
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:department-of-health-trust-boundaries:00004,Open Data NI,Department of Health trust boundaries,variant-child-map,https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries,pending-upload-or-linking,"Department of Health | Department of Health trust boundaries | formats: GEOJSON, SHP | current URL: https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries | IA mirror/download link pending; do not expose local drive paths."
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:mid-ulster-council-district-electoral-areas2:00005,Open Data NI,Mid Ulster Council District Electoral Areas,variant-child-map,https://admin.opendatani.gov.uk/dataset/mid-ulster-council-district-electoral-areas2,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/mid-ulster-council-district-electoral-areas2,pending-upload-or-linking,"Mid Ulster District Council | Mid Ulster Council District Electoral Areas | formats: CSV, GEOJSON, HTML, JSON, KML, SHP | current URL: https://admin.opendatani.gov.uk/dataset/mid-ulster-council-district-electoral-areas2 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-district-electoral-areas-1993:00006,Open Data NI,OSNI Open Data - 50K Boundaries - District Electoral Areas (1993),variant-child-map,https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-district-electoral-areas-1993,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-district-electoral-areas-1993,pending-upload-or-linking,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - District Electoral Areas (1993) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-district-electoral-areas-1993 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-local-government-districts-1993:00007,Open Data NI,OSNI Open Data - 50K Boundaries - Local Government Districts (1993),variant-child-map,https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-local-government-districts-1993,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-local-government-districts-1993,pending-upload-or-linking,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - Local Government Districts (1993) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-local-government-districts-1993 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-parliamentary-constituencies:00008,Open Data NI,OSNI Open Data - 50K Boundaries - Parliamentary Constituencies,variant-child-map,https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-parliamentary-constituencies,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-parliamentary-constituencies,pending-upload-or-linking,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - Parliamentary Constituencies | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-parliamentary-constituencies | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:osni-open-data-50k-boundaries-townlands:00009,Open Data NI,OSNI Open Data - 50K Boundaries - Townlands (2013),variant-child-map,https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-townlands,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-townlands,pending-upload-or-linking,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - Townlands (2013) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-townlands | IA mirror/download link pending; do not expose local drive paths."
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-wards-1993:00010,Open Data NI,OSNI Open Data - 50K Boundaries - Wards (1993),variant-child-map,https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-wards-1993,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-wards-1993,pending-upload-or-linking,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - 50K Boundaries - Wards (1993) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-wards-1993 | IA mirror/download link pending; do not expose local drive paths."
