year,district,cath91,nat_pct,votes,yhat,resid
1989,newtownabbey,13.0,3.71,21039.0,3.64,0.07
1989,antrim,31.7,23.68,15044.0,22.12,1.56
1989,ards,11.3,0.0,19194.0,1.96,-1.96
1989,armagh,45.4,39.93,24998.0,35.66,4.27
1989,cookstown,53.2,46.08,16091.0,43.37,2.72
1989,moyle,52.2,35.15,5937.0,42.38,-7.23
1989,ballymena,18.3,9.15,21052.0,8.88,0.27
1989,ballymoney,30.2,31.07,6440.0,20.64,10.43
1989,down,56.0,54.06,24825.0,46.13,7.93
1989,belfast,39.0,35.28,103819.0,29.33,5.94
1989,banbridge,27.6,19.23,15387.0,18.07,1.16
1989,limavady,51.7,46.29,11770.0,41.88,4.4
1989,dungannon,55.7,38.78,23416.0,45.84,-7.06
1989,carrickfergus,6.9,0.0,9817.0,-2.39,2.39
1989,castlereagh,9.4,0.0,20164.0,0.08,-0.08
1989,derry,69.5,66.12,37109.0,59.47,6.65
1989,larne,22.1,0.0,10532.0,12.63,-12.63
1989,coleraine,22.4,13.54,19432.0,12.93,0.61
1989,craigavon,40.1,29.91,29453.0,30.42,-0.51
1989,strabane,61.8,39.01,16507.0,51.86,-12.86
1989,lisburn,26.9,15.62,33667.0,17.38,-1.76
1989,fermanagh,54.9,39.17,30168.0,45.05,-5.88
1989,newry and mourne,71.8,66.54,36283.0,61.75,4.79
1989,north down,9.0,0.0,20570.0,-0.31,0.31
1989,magherafelt,58.9,48.75,17960.0,49.0,-0.25
1989,omagh,64.3,51.06,21381.0,54.33,-3.27
1993,newtownabbey,13.0,5.88,21602.0,4.16,1.73
1993,antrim,31.7,26.27,14790.0,23.37,2.9
1993,ards,11.3,0.0,19235.0,2.41,-2.41
1993,armagh,45.4,44.0,25396.0,37.45,6.55
1993,cookstown,53.2,50.7,16924.0,45.46,5.24
1993,moyle,52.2,34.12,6574.0,44.43,-10.31
1993,ballymena,18.3,11.95,22452.0,9.6,2.35
1993,ballymoney,30.2,22.14,9030.0,21.83,0.31
1993,down,56.0,54.41,25578.0,48.34,6.07
1993,belfast,39.0,38.67,108434.0,30.87,7.8
1993,banbridge,27.6,22.66,16347.0,19.16,3.51
1993,coleraine,22.4,12.7,19495.0,13.81,-1.11
1993,limavady,51.7,49.29,12544.0,43.92,5.37
1993,dungannon,55.7,44.55,24136.0,48.03,-3.48
1993,carrickfergus,6.9,0.0,10944.0,-2.11,2.11
1993,castlereagh,9.4,0.0,20114.0,0.46,-0.46
1993,derry,69.5,67.06,38517.0,62.21,4.85
1993,larne,22.1,0.0,9553.0,13.51,-13.51
1993,craigavon,40.1,34.11,28826.0,32.0,2.11
1993,strabane,61.8,48.44,16853.0,54.3,-5.86
1993,lisburn,26.9,17.14,33826.0,18.44,-1.29
1993,fermanagh,54.9,36.39,29140.0,47.21,-10.81
1993,newry and mourne,71.8,65.99,36573.0,64.57,1.42
1993,north down,9.0,0.0,19870.0,0.05,-0.05
1993,magherafelt,58.9,56.42,18662.0,51.32,5.1
1993,omagh,64.3,48.75,22000.0,56.87,-8.12
1997,newtownabbey,13.0,7.54,19904.0,6.98,0.55
1997,antrim,31.7,29.75,14265.0,26.03,3.72
1997,ards,11.3,4.6,19599.0,5.25,-0.65
1997,armagh,45.4,45.4,26167.0,39.98,5.42
1997,cookstown,53.2,53.38,17593.0,47.93,5.46
1997,moyle,52.2,29.94,6075.0,46.91,-16.97
1997,ballymena,18.3,17.53,22539.0,12.38,5.15
1997,ballymoney,30.2,29.02,9499.0,24.5,4.52
1997,down,56.0,53.51,22809.0,50.78,2.73
1997,belfast,39.0,43.24,106454.0,33.46,9.78
1997,banbridge,27.6,17.88,16055.0,21.85,-3.98
1997,coleraine,22.4,16.3,18966.0,16.56,-0.26
1997,limavady,51.7,49.82,13094.0,46.4,3.42
1997,dungannon,55.7,48.17,24599.0,50.47,-2.3
1997,carrickfergus,6.9,0.0,10783.0,0.77,-0.77
1997,castlereagh,9.4,8.19,20833.0,3.31,4.88
1997,derry,69.5,71.36,41206.0,64.53,6.83
1997,larne,22.1,4.22,9702.0,16.25,-12.03
1997,craigavon,40.1,31.16,30503.0,34.58,-3.43
1997,strabane,61.8,55.99,19235.0,56.69,-0.69
1997,lisburn,26.9,21.52,31534.0,21.14,0.38
1997,fermanagh,54.9,40.75,28824.0,49.66,-8.91
1997,newry and mourne,71.8,66.2,36956.0,66.87,-0.67
1997,north down,9.0,0.0,18807.0,2.91,-2.91
1997,magherafelt,58.9,59.05,20045.0,53.73,5.32
1997,omagh,64.3,54.63,22345.0,59.23,-4.6
