DZ2021_cd,OA_CODE_dominant,OA_CODE_point
N20000001,95AA140001,95AA140001
N20000002,95WW130005,95WW130005
N20000003,95AA070002,95AA070002
N20000004,95AA140004,95AA140003
N20000005,95AA120006,95AA120006
N20000006,95AA140002,95AA140002
N20000007,95AA190001,95AA190002
N20000008,95AA140004,95AA140004
N20000009,95AA070001,95AA070001
N20000010,95AA120001,95AA120001
N20000011,95AA070004,95AA070005
N20000012,95AA070003,95AA070003
N20000013,95AA140005,95AA140005
N20000014,95AA050004,95AA050004
N20000015,95AA190002,95AA190002
N20000016,95AA130005,95AA130001
N20000017,95AA130005,95AA130005
N20000018,95AA130002,95AA130002
N20000019,95AA130004,95AA130004
N20000020,95AA130004,95AA130004
N20000021,95AA130007,95AA130007
N20000022,95AA190003,95AA190003
N20000023,95AA050002,95AA050006
N20000024,95AA190003,95AA190003
N20000025,95AA130008,95AA130008
N20000026,95AA120001,95AA120001
N20000027,95AA110001,95AA110001
N20000028,95AA050003,95AA050003
N20000029,95AA130008,95AA130008
N20000030,95AA120004,95AA120004
N20000031,95AA120003,95AA120003
N20000032,95AA050001,95AA050001
N20000033,95AA190004,95AA190004
N20000034,95AA050001,95AA050001
N20000035,95AA150007,95AA150007
N20000036,95AA150007,95AA150007
N20000037,95AA150001,95AA150001
N20000038,95AA150007,95AA150007
N20000039,95AA150004,95AA150004
N20000040,95AA150001,95AA150001
N20000041,95AA110001,95AA110001
N20000042,95AA080002,95AA080002
N20000043,95AA150004,95AA150004
N20000044,95AA130008,95AA130008
N20000045,95AA110003,95AA110003
N20000046,95AA160005,95AA160005
N20000047,95AA150005,95AA150005
N20000048,95AA110005,95AA110002
N20000049,95AA150006,95AA150006
N20000050,95AA160003,95AA160003
N20000051,95AA080002,95AA080002
N20000052,95AA080002,95AA080002
N20000053,95AA170005,95AA170006
N20000054,95AA090007,95AA090007
N20000055,95AA160003,95AA090007
N20000056,95AA170002,95AA170002
N20000057,95AA110006,95AA110006
N20000058,95AA090001,95AA090001
N20000059,95AA080003,95AA170003
N20000060,95AA170002,95AA170001
N20000061,95AA090005,95AA170001
N20000062,95AA090004,95AA090005
N20000063,95AA110006,95AA110009
N20000064,95AA100002,95AA170004
N20000065,95AA090006,95AA090006
N20000066,95AA100004,95AA100004
N20000067,95AA100006,95AA100006
N20000068,95AA110010,95AA110010
N20000069,95AA110007,95AA110007
N20000070,95AA100002,95AA100002
N20000071,95AA110009,95AA110008
N20000072,95AA090006,95AA090006
N20000073,95AA080005,95AA080005
N20000074,95AA030003,95AA030003
N20000075,95AA110010,95AA110010
N20000076,95AA020004,95AA020004
N20000077,95AA020003,95AA020003
N20000078,95AA030005,95AA030006
N20000079,95AA030006,95AA030007
N20000080,95AA100005,95AA100005
N20000081,95AA020001,95AA020001
N20000082,95AA030007,95AA030004
N20000083,95AA020002,95AA020002
N20000084,95AA020001,95AA020001
N20000085,95AA110010,95AA110010
N20000086,95WW060003,95WW060003
N20000087,95WW060002,95WW130005
N20000088,95WW060005,95WW060005
N20000089,95WW060005,95WW060005
N20000090,95WW020011,95WW020011
N20000091,95WW130008,95WW130008
N20000092,95WW030005,95WW030005
N20000093,95WW020001,95WW020011
N20000094,95WW130007,95WW130007
N20000095,95WW020002,95WW020002
N20000096,95WW130010,95WW130010
N20000097,95WW020003,95WW020004
