SA2011,SOA2011,dea_1972,dea_1984,dea_1993,dea_2012
N00003841,95VV24S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003842,95VV24S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003838,95VV23W1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003837,95VV23W1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003840,95VV23W1,NEWRY AND MOURNE AREA A,THE MOURNES,CROTLIEVE,The Mournes
N00003839,95VV23W1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003834,95VV23W1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003835,95VV23W1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003699,95VV05S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003697,95VV05S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003860,95VV26W1,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
N00003825,95VV21S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003826,95VV21S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003701,95VV05S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003704,95VV05S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003703,95VV05S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003698,95VV05S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003700,95VV05S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003836,95VV23W1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003844,95VV24S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003845,95VV24S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003847,95VV24S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003848,95VV24S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003714,95VV07S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003712,95VV07S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
