SA2011,SOA2011,dea_1972,dea_1984,dea_1993,dea_2012
N00003831,95VV22W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003833,95VV22W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00000364,95CC04W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Cusher
N00000365,95CC04W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Cusher
N00000382,95CC07W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000380,95CC07W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000384,95CC07W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000383,95CC07W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000385,95CC07W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000402,95CC11W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000400,95CC11W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000405,95CC11W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000404,95CC11W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000403,95CC11W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000401,95CC11W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000381,95CC07W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000360,95CC04W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Cusher
N00000362,95CC04W1,ARMAGH AREA B,CUSHER,CROSSMORE,Cusher
N00000438,95CC17W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000361,95CC04W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Cusher
N00000440,95CC17W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000439,95CC17W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000416,95CC13W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000415,95CC13W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000441,95CC17W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000442,95CC17W1,ARMAGH AREA C,CROSSMORE,CROSSMORE,Armagh
N00000437,95CC17W1,ARMAGH AREA B,CROSSMORE,CROSSMORE,Armagh
N00000373,95CC06S1,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000374,95CC06S1,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000389,95CC08W1,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000386,95CC08W1,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000388,95CC08W1,ARMAGH AREA C,ARMAGH CITY,ARMAGH CITY,Armagh
N00000375,95CC06S1,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000377,95CC06S2,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000472,95CC22W1,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000376,95CC06S2,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000471,95CC22W1,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000409,95CC12W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000378,95CC06S2,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000379,95CC06S2,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000372,95CC06S1,ARMAGH AREA B,ARMAGH CITY,ARMAGH CITY,Armagh
N00000410,95CC12W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000390,95CC09S1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000408,95CC12W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000406,95CC12W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000434,95CC16W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000433,95CC16W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000435,95CC16W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000436,95CC16W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000430,95CC16W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000391,95CC09S1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000432,95CC16W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000450,95CC19W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000454,95CC19W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000463,95CC21W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000799,95FF13W1,BANBRIDGE AREA A,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
N00000728,95FF03W1,BANBRIDGE AREA A,BANBRIDGE TOWN,BANBRIDGE TOWN,Banbridge
N00000794,95FF13W1,BANBRIDGE AREA A,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
N00000796,95FF13W1,BANBRIDGE AREA A,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
N00000797,95FF13W1,BANBRIDGE AREA A,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
N00000795,95FF13W1,BANBRIDGE AREA A,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
N00000798,95FF13W1,BANBRIDGE AREA A,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
N00000451,95CC19W1,ARMAGH AREA B,CUSHER,CUSHER,Banbridge
N00000449,95CC19W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00000452,95CC19W1,ARMAGH AREA B,CUSHER,CUSHER,Cusher
N00003879,95VV29W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003874,95VV29W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003878,95VV29W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003876,95VV29W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003688,95VV03W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003683,95VV03W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003709,95VV06W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003705,95VV06W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003686,95VV03W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003685,95VV03W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003684,95VV03W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003753,95VV12S1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003759,95VV12S2,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003689,95VV03W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003687,95VV03W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003877,95VV29W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003758,95VV12S2,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003757,95VV12S2,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003760,95VV12S2,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003677,95VV02W1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003676,95VV02W1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Slieve Gullion
N00003781,95VV15S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003780,95VV15S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003680,95VV02W1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003777,95VV15S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003783,95VV15S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003776,95VV15S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003884,95VV30S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003886,95VV30S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003885,95VV30S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003782,95VV15S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Slieve Gullion
N00003751,95VV11S2,NEWRY AND MOURNE AREA F,THE FEWS,CROTLIEVE,Newry
N00003750,95VV11S2,NEWRY AND MOURNE AREA F,THE FEWS,CROTLIEVE,Newry
N00003882,95VV30S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003881,95VV30S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003749,95VV11S2,NEWRY AND MOURNE AREA F,THE FEWS,CROTLIEVE,Newry
N00003748,95VV11S2,NEWRY AND MOURNE AREA C,THE FEWS,CROTLIEVE,Crotlieve
N00003765,95VV13S2,NEWRY AND MOURNE AREA C,THE FEWS,THE FEWS,Crotlieve
N00003880,95VV29W1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Crotlieve
N00003767,95VV13S2,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Crotlieve
N00003766,95VV13S2,NEWRY AND MOURNE AREA C,THE FEWS,THE FEWS,Crotlieve
N00003763,95VV13S1,NEWRY AND MOURNE AREA C,THE FEWS,THE FEWS,Crotlieve
N00003762,95VV13S1,NEWRY AND MOURNE AREA C,THE FEWS,THE FEWS,Crotlieve
N00003823,95VV21S1,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
N00003761,95VV13S1,NEWRY AND MOURNE AREA C,THE FEWS,THE FEWS,Crotlieve
N00003764,95VV13S1,NEWRY AND MOURNE AREA C,THE FEWS,THE FEWS,Crotlieve
N00003824,95VV21S1,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
N00003827,95VV21S2,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
N00003857,95VV26W1,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
N00003859,95VV26W1,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
N00003862,95VV26W1,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,The Mournes
N00000809,95FF15W1,NEWRY AND MOURNE AREA C,CROTLIEVE,KNOCKIVEAGH,Banbridge
N00000810,95FF15W1,NEWRY AND MOURNE AREA C,CROTLIEVE,KNOCKIVEAGH,Banbridge
N00000812,95FF15W1,NEWRY AND MOURNE AREA C,CROTLIEVE,KNOCKIVEAGH,Banbridge
N00000807,95FF15W1,NEWRY AND MOURNE AREA C,CROTLIEVE,KNOCKIVEAGH,Banbridge
N00000811,95FF15W1,NEWRY AND MOURNE AREA C,CROTLIEVE,KNOCKIVEAGH,Banbridge
N00000808,95FF15W1,NEWRY AND MOURNE AREA C,CROTLIEVE,KNOCKIVEAGH,Banbridge
