SA2011,Geography,AllUsualResidents,Female_pct,Age_10_19_pct,Median_age,Catholic_background_pct,Protestant_background_pct,NSSeC_higher_pct
N00001224,Glencairn_2,265,51.70,11.3,40,8.3,81.9,25.7
N00001225,Glencairn_2,242,56.61,9.5,44,2.5,88.4,25.7
N00001226,Glencairn_2,236,47.88,12.7,38,4.2,87.7,25.3
N00001227,Glencairn_2,246,53.66,13.4,42,2.4,92.3,18.7
N00001228,Glencairn_2,212,53.77,9.4,45,12.7,83.5,17.5
N00001229,Glencairn_2,255,54.12,10.2,43,72.5,24.3,30.1
N00001230,Glencairn_2,298,57.38,14.1,43,83.6,13.4,36.7
N00001231,Glencolin_1,401,51.37,11.0,44,85.5,13.2,28.9
N00001232,Glencolin_1,375,50.13,22.1,28,93.6,4.3,39.4
N00001233,Glencolin_1,421,50.12,24.2,23,94.5,3.6,36.4
N00001234,Glencolin_1,351,52.71,16.5,30,98.0,1.4,44.2
N00001235,Glencolin_2,953,54.46,20.0,31,94.6,4.5,28.1
N00001236,Glencolin_2,372,51.61,19.9,26,92.7,5.9,30.5
N00001237,Glencolin_2,289,51.56,11.8,39,95.8,2.4,23.8
N00001238,Glencolin_3,297,50.51,11.4,36,98.0,1.7,29.9
N00001239,Glencolin_3,313,49.84,13.7,46,96.5,1.6,39.1
N00001240,Glencolin_3,1095,44.75,11.3,34,93.2,4.4,28.3
N00001241,Glencolin_4,352,53.69,18.5,36,93.8,5.4,20.9
N00001242,Glencolin_4,335,50.75,15.8,33,95.2,3.6,25.9
N00001243,Glencolin_4,275,51.27,12.7,39,93.1,5.5,24.2
N00001244,Glencolin_4,335,51.64,11.9,43,78.8,15.2,25.9
N00001245,Glencolin_4,334,54.49,11.1,32,92.8,4.8,26.8
N00001246,Highfield_1,608,49.84,11.7,32,6.2,75.5,42.3
N00001247,Highfield_1,245,54.69,14.3,40,7.8,85.7,20.8
N00001248,Highfield_1,430,49.30,13.5,33,2.1,91.2,40.8
N00001249,Highfield_1,403,51.61,12.9,42,4.7,91.1,41.9
N00001250,Highfield_1,463,53.78,14.5,33,3.0,89.2,39.9
N00001251,Highfield_2,327,52.60,17.4,32,8.3,84.7,26.0
N00001252,Highfield_2,321,48.29,10.6,36,66.4,28.0,36.8
N00001253,Highfield_2,233,53.22,15.5,44,12.0,82.0,23.4
N00001254,Highfield_2,314,52.55,14.3,39,1.6,85.7,35.4
N00001255,Highfield_2,276,54.35,10.9,45,4.0,90.9,31.3
N00001256,Highfield_2,262,51.91,12.2,47,2.7,90.8,42.9
N00001257,Highfield_3,233,57.08,12.0,36,5.2,85.8,26.7
N00001258,Highfield_3,250,50.80,10.0,38,4.8,88.4,19.8
N00001259,Highfield_3,285,55.79,15.8,33,7.0,90.2,12.6
N00001260,Highfield_3,363,56.20,20.9,25,8.5,81.8,18.0
N00001261,Highfield_3,249,53.01,18.9,38,1.6,92.0,12.5
N00001262,Highfield_3,389,53.73,10.8,33,17.2,78.7,32.4
N00001263,Island_1,289,50.52,8.0,37,8.0,76.5,36.1
N00001264,Island_1,204,56.86,11.8,28,20.6,69.6,38.5
N00001265,Island_1,971,48.09,11.0,29,16.5,56.8,47.7
N00001266,Island_1,188,52.66,18.1,32,6.4,82.4,15.3
N00001267,Island_1,322,59.01,16.5,40,3.4,89.4,19.4
N00001268,Island_1,283,53.71,12.0,45,6.0,84.1,16.1
N00001269,Island_2,522,55.94,8.0,34,18.4,67.2,44.1
N00001270,Island_2,278,50.00,4.7,39,7.9,74.5,39.3
N00001271,Island_2,1514,52.71,11.7,30,16.2,67.4,45.5
N00001272,Island_2,222,53.15,9.9,37,16.2,73.4,42.7
N00001273,Island_2,221,54.75,10.0,33,14.0,73.3,37.4
N00001274,Knock_1,238,56.72,10.5,44,2.5,89.1,34.0
N00001275,Knock_1,210,53.33,9.5,44,5.7,81.9,25.2
N00001276,Knock_1,218,52.75,15.6,35,4.6,80.3,30.9
N00001277,Knock_1,266,49.25,9.4,44,6.8,80.5,61.8
N00001278,Knock_1,291,49.83,12.7,38,19.9,63.2,58.4
N00001279,Knock_1,168,47.62,13.1,42,6.5,81.5,22.3
N00001280,Knock_1,213,53.99,9.4,46,5.2,86.4,28.4
N00001281,Knock_2,334,53.59,14.4,43,22.8,66.8,64.5
N00001282,Knock_2,330,51.82,14.8,43,13.3,71.5,63.1
N00001283,Knock_2,338,53.85,13.9,42,18.0,70.4,68.5
N00001284,Knock_2,352,50.85,13.9,42,11.6,74.4,54.0
N00001285,Knock_2,331,56.19,7.6,42,6.6,81.3,58.9
N00001286,Knock_3,348,52.59,11.2,40,8.0,80.7,44.2
N00001287,Knock_3,295,49.83,10.2,43,4.1,87.8,54.4
N00001288,Knock_3,289,53.63,11.1,45,2.4,89.6,52.1
N00001289,Knock_3,288,51.04,10.8,45,6.2,85.8,47.5
N00001290,Knock_3,318,53.14,11.0,45,1.9,92.1,52.2
N00001291,Ladybrook_1,344,56.40,15.4,32,92.4,6.1,44.5
N00001292,Ladybrook_1,878,53.53,20.3,29,92.8,5.0,52.3
N00001293,Ladybrook_1,358,51.96,13.7,44,97.8,1.1,49.5
N00001294,Ladybrook_1,335,50.45,14.0,47,95.8,0.3,41.8
N00001295,Ladybrook_1,312,50.96,11.2,43,96.5,2.6,40.3
N00001296,Ladybrook_2,273,51.65,14.3,37,54.2,39.9,29.3
N00001297,Ladybrook_2,384,51.82,18.2,38,95.8,2.3,37.6
N00001298,Ladybrook_2,394,50.25,15.7,28,17.0,62.9,23.2
N00001299,Ladybrook_2,319,54.86,10.7,37,59.2,33.9,27.3
N00001300,Ladybrook_2,287,52.61,15.3,47,96.2,3.1,38.8
N00001301,Ladybrook_2,375,51.47,14.1,42,96.8,0.0,36.7
N00001302,Ladybrook_3,745,58.26,27.9,22,92.6,3.9,20.6
N00001303,Ladybrook_3,333,49.85,14.1,42,91.6,5.1,27.6
N00001304,Ladybrook_3,322,52.17,14.3,44,96.9,3.1,38.7
N00001305,Ladybrook_3,325,51.38,14.5,44,96.6,2.2,39.6
N00001306,Ladybrook_3,214,45.79,9.3,36,54.2,39.3,27.5
N00001307,Ladybrook_3,321,51.40,17.1,31,96.0,1.6,25.5
N00001308,Legoniel_1,486,51.44,12.6,40,21.6,72.0,38.6
N00001309,Legoniel_1,368,51.36,14.9,31,78.0,16.8,26.6
N00001310,Legoniel_1,981,52.91,17.6,28,84.5,11.7,34.1
N00001311,Legoniel_1,326,59.51,19.0,22,90.5,7.4,17.8
N00001312,Legoniel_1,654,56.42,18.0,26,81.8,10.9,24.8
N00001313,Legoniel_1,417,47.24,7.9,32,54.9,35.7,38.5
N00001314,Legoniel_2,401,50.62,16.0,31,50.9,44.9,30.2
N00001315,Legoniel_2,246,54.88,7.7,45,5.3,86.6,29.1
N00001316,Legoniel_2,352,52.56,10.2,40,10.2,81.0,27.1
N00001317,Legoniel_2,267,53.56,12.4,46,4.9,90.6,25.6
N00001318,Legoniel_2,287,53.66,9.4,36,7.7,80.1,38.0
N00001319,Legoniel_3,285,50.53,14.0,44,47.0,46.0,44.9
N00001320,Legoniel_3,253,53.36,9.9,44,18.2,77.5,33.3
N00001321,Legoniel_3,274,54.01,17.9,43,75.9,20.4,38.3
N00001322,Legoniel_3,274,52.92,7.3,32,10.9,77.0,33.5
N00001323,Legoniel_3,295,50.17,8.8,43,19.0,73.9,31.6
N00001324,Legoniel_3,243,53.50,7.0,45,20.6,72.8,44.7
N00001325,Malone_1,1263,51.62,14.3,38,73.0,21.2,71.5
N00001326,Malone_1,360,49.72,13.9,48,55.6,38.3,71.4
N00001327,Malone_1,328,55.79,15.5,48,65.5,29.3,69.1
N00001328,Malone_2,1036,51.64,15.4,43,59.7,31.9,67.8
N00001329,Malone_2,281,49.82,11.0,45,65.8,28.1,61.6
N00001330,Malone_2,322,52.17,14.3,46,66.1,28.6,65.0
N00001331,Malone_3,274,48.91,15.7,41,43.1,49.3,63.2
N00001332,Malone_3,186,50.54,3.8,30,57.0,30.6,50.3
N00001333,Malone_3,337,46.88,13.9,37,54.0,34.4,74.5
N00001334,Malone_3,354,53.11,19.5,39,47.7,35.6,65.7
N00001335,Malone_3,194,53.09,2.1,31,55.2,24.2,69.1
N00001336,Malone_3,318,49.69,20.4,43,59.7,31.8,75.4
N00001337,Malone_3,302,56.95,13.2,38,57.3,31.8,68.2
N00001338,Musgrave_1,303,55.45,10.6,41,22.1,65.0,42.5
N00001339,Musgrave_1,370,56.76,14.6,39,14.6,76.5,35.3
N00001340,Musgrave_1,779,53.02,12.2,41,18.9,70.3,43.2
N00001341,Musgrave_2,329,48.33,16.1,40,97.3,2.4,42.0
N00001342,Musgrave_2,388,52.58,15.2,42,93.6,5.2,51.9
N00001343,Musgrave_2,293,52.56,16.0,42,93.9,3.4,54.8
N00001344,Musgrave_2,330,49.70,14.5,43,93.6,4.2,51.5
N00001345,Musgrave_2,250,52.00,10.8,50,95.2,2.4,60.3
N00001346,Musgrave_3,820,51.95,10.1,43,48.2,43.0,65.7
N00001347,Musgrave_3,513,50.29,8.8,33,77.8,16.4,60.0
N00001348,Musgrave_3,304,49.01,10.9,36,74.0,21.1,59.6
N00001349,Musgrave_3,248,44.76,8.9,35,77.4,14.5,62.0
N00001350,New Lodge_1,919,52.56,13.8,41,90.0,7.8,18.2
N00001351,New Lodge_1,390,52.82,14.1,33,91.5,6.4,17.8
N00001352,New Lodge_1,303,50.50,4.0,35,79.2,11.9,36.3
N00001353,New Lodge_1,358,49.72,12.3,44,79.1,17.9,22.5
N00001354,New Lodge_2,756,48.15,11.6,40,93.1,5.3,20.1
N00001355,New Lodge_2,287,54.70,15.0,37,90.2,8.0,24.4
N00001356,New Lodge_2,280,56.79,14.6,36,92.5,5.7,18.9
N00001357,New Lodge_2,155,44.52,10.3,43,94.8,3.2,18.5
N00001358,New Lodge_3,344,48.84,11.0,34,88.7,2.9,22.0
N00001359,New Lodge_3,294,60.88,13.9,28,90.8,8.2,27.7
N00001360,New Lodge_3,276,53.62,16.7,29,84.4,7.6,23.8
N00001361,New Lodge_3,295,49.49,14.6,28,89.5,7.8,17.0
N00001362,New Lodge_3,293,50.17,16.0,41,92.8,6.5,13.7
N00001363,Orangefield_1,263,52.47,12.2,36,5.7,78.3,50.0
N00001364,Orangefield_1,539,52.13,10.2,35,19.9,67.3,48.3
N00001365,Orangefield_1,387,50.90,8.3,35,16.8,71.3,54.6
N00001366,Orangefield_1,252,52.78,8.3,37,15.5,68.7,55.9
N00001367,Orangefield_1,353,50.14,9.9,40,11.3,73.1,31.1
N00001368,Orangefield_2,295,48.47,9.5,43,7.8,83.7,56.4
N00001369,Orangefield_2,365,51.23,9.0,40,11.5,79.5,49.3
N00001370,Orangefield_2,369,53.39,10.0,49,8.4,78.9,52.2
N00001371,Orangefield_2,313,52.72,14.4,36,13.1,74.4,58.1
N00001372,Orangefield_2,584,53.42,11.8,40,8.2,80.3,54.2
N00001373,Orangefield_3,293,52.22,10.6,39,7.5,79.2,49.5
N00001374,Orangefield_3,297,48.82,14.1,42,4.4,84.5,51.7
N00001375,Orangefield_3,338,56.80,14.5,44,8.0,82.8,44.6
N00001376,Orangefield_3,191,57.07,8.4,37,8.9,75.4,41.8
N00001377,Orangefield_3,276,51.81,12.0,44,7.6,82.2,52.5
N00001378,Orangefield_3,258,48.45,7.0,34,13.2,75.2,53.5
N00001379,Orangefield_3,246,54.88,13.0,42,13.8,77.2,43.1
N00001380,Ravenhill_1,381,52.23,9.7,43,60.1,29.4,64.2
N00001381,Ravenhill_1,395,47.59,5.8,30,50.1,33.2,69.2
N00001382,Ravenhill_1,316,49.68,13.0,40,52.5,36.4,68.3
N00001383,Ravenhill_1,344,60.47,14.2,52,51.5,39.8,67.5
N00001384,Ravenhill_1,287,48.08,12.5,41,26.1,59.2,55.6
N00001385,Ravenhill_1,359,53.20,16.2,41,62.7,29.0,67.5
N00001386,Ravenhill_2,532,53.57,7.1,32,31.2,51.7,53.7
N00001387,Ravenhill_2,263,52.47,6.1,32,31.9,47.5,51.6
N00001388,Ravenhill_2,270,60.00,8.5,51,10.7,78.5,49.7
N00001389,Ravenhill_2,188,55.85,2.1,33,36.2,48.9,60.3
N00001390,Ravenhill_2,287,46.34,11.8,41,29.6,59.6,60.3
N00001391,Ravenhill_2,286,54.20,12.2,41,25.9,62.6,62.6
N00001392,Ravenhill_3,263,51.71,9.9,34,36.5,51.3,50.2
N00001393,Ravenhill_3,269,53.16,4.8,31,55.4,32.3,69.4
N00001394,Ravenhill_3,284,53.52,7.7,34,34.5,48.6,62.9
N00001395,Ravenhill_3,277,53.43,10.5,38,23.8,58.8,60.9
N00001396,Ravenhill_3,607,44.48,3.8,29,48.4,37.6,68.4
N00001397,Ravenhill_3,183,55.74,4.4,41,23.0,67.2,59.3
N00001398,Ravenhill_3,250,49.20,7.6,35,29.6,54.4,61.1
N00001399,Rosetta_1,889,50.51,8.5,41,61.4,30.3,73.9
N00001400,Rosetta_1,330,49.39,7.6,43,53.9,35.5,73.1
N00001401,Rosetta_1,851,52.17,6.3,30,37.8,43.0,62.4
N00001402,Rosetta_1,652,53.68,7.7,32,64.9,25.6,67.5
N00001403,Rosetta_1,377,52.25,13.3,36,69.8,16.7,56.5
N00001404,Rosetta_2,706,54.11,9.1,39,62.0,26.5,60.9
N00001405,Rosetta_2,235,54.04,13.6,38,23.4,68.5,45.5
N00001406,Rosetta_2,216,55.56,8.3,37,32.4,56.9,50.0
N00001407,Rosetta_2,256,58.98,6.2,33,71.1,16.4,57.4
N00001408,Rosetta_2,467,54.60,11.8,33,64.0,28.7,77.1
N00001409,Rosetta_3,292,49.66,12.0,38,70.5,18.5,66.8
N00001410,Rosetta_3,294,56.12,9.9,41,74.1,21.4,67.7
N00001411,Rosetta_3,280,53.21,8.9,42,76.1,18.2,63.6
N00001412,Rosetta_3,164,55.49,10.4,52,56.7,37.2,53.2
N00001413,Rosetta_3,277,54.51,12.3,38,63.9,28.5,67.5
N00001414,Rosetta_3,278,55.76,11.2,38,68.3,25.5,66.1
N00001415,Shaftesbury_1,275,53.45,18.5,31,96.0,2.5,17.9
N00001416,Shaftesbury_1,947,43.08,5.0,30,48.4,16.4,58.1
N00001417,Shaftesbury_1,277,49.10,12.6,41,15.5,78.0,15.0
N00001418,Shaftesbury_1,662,44.86,9.7,30,65.7,19.8,42.4
N00001419,Shaftesbury_1,248,47.58,9.3,30,66.9,20.6,43.9
N00001420,Shaftesbury_2,243,53.09,10.3,36,13.6,65.4,27.3
N00001421,Shaftesbury_2,1333,45.31,9.6,30,32.0,48.7,45.5
N00001422,Shaftesbury_2,200,50.50,15.0,42,13.5,67.0,24.8
N00001423,Shaftesbury_2,445,50.34,15.5,38,80.0,9.7,17.0
N00001424,Shaftesbury_2,223,53.81,10.3,35,14.8,67.7,27.4
N00001425,Shaftesbury_2,267,50.94,14.2,33,5.6,79.8,16.8
N00001426,Shaftesbury_3,229,56.77,12.7,36,5.2,83.4,18.8
N00001427,Shaftesbury_3,251,55.38,14.3,36,4.4,86.5,17.1
N00001428,Shaftesbury_3,279,54.12,12.5,27,6.1,88.9,22.1
N00001429,Shaftesbury_3,1073,46.23,7.3,29,21.0,58.2,33.3
N00001430,Shaftesbury_3,262,52.67,21.4,33,9.5,85.9,21.7
N00001431,Shankill_1,326,50.92,18.7,36,2.1,90.5,16.5
N00001432,Shankill_1,281,54.80,16.7,33,4.6,89.3,17.1
N00001433,Shankill_1,254,52.76,10.2,31,3.1,84.6,24.0
N00001434,Shankill_1,302,53.97,16.9,36,4.0,91.4,19.9
N00001435,Shankill_1,233,54.08,14.6,40,3.0,91.4,14.0
N00001436,Shankill_1,301,54.49,19.9,27,24.3,69.1,14.4
N00001437,Shankill_2,201,60.20,13.4,29,10.4,74.1,18.3
N00001438,Shankill_2,291,58.08,17.5,36,5.8,86.6,19.2
N00001439,Shankill_2,270,48.15,5.2,40,14.8,75.2,29.0
N00001440,Shankill_2,251,51.39,9.6,53,2.8,91.6,17.2
N00001441,Shankill_2,282,50.35,13.5,33,10.3,83.3,20.1
N00001442,Shankill_2,347,58.79,12.1,43,11.5,81.0,14.1
N00001443,Shankill_2,209,46.41,8.6,48,6.2,86.1,14.7
N00001444,Shankill_2,268,48.51,10.8,36,4.9,88.4,13.2
N00001445,Stormont_1,371,50.13,13.7,48,5.7,85.4,69.3
N00001446,Stormont_1,304,48.68,10.5,53,6.9,83.6,72.8
N00001447,Stormont_1,315,56.51,9.2,57,5.7,87.3,70.8
N00001448,Stormont_1,350,52.29,13.1,46,11.1,82.9,73.8
N00001449,Stormont_1,323,51.39,10.2,44,11.8,76.2,79.6
N00001450,Stormont_1,263,49.43,8.4,53,7.6,82.9,73.7
N00001451,Stormont_2,248,51.61,10.9,51,18.5,71.8,62.3
N00001452,Stormont_2,324,51.23,13.3,47,13.9,75.3,66.5
N00001453,Stormont_2,372,53.49,14.8,47,10.5,85.2,73.7
N00001454,Stormont_2,319,47.02,12.5,49,7.5,80.3,66.0
N00001455,Stormont_2,261,50.96,10.7,41,15.3,67.8,60.5
N00001456,Stormont_3,334,50.90,9.0,42,11.7,78.1,75.1
N00001457,Stormont_3,318,55.35,15.7,41,14.2,74.5,64.0
N00001458,Stormont_3,376,60.64,7.2,47,17.3,68.4,65.1
N00001459,Stormont_3,471,42.25,31.6,38,20.0,62.4,57.7
N00001460,Stormont_3,599,55.76,11.4,38,20.7,62.6,58.0
N00001461,Stranmillis_1,317,56.78,12.3,41,49.2,40.1,65.6
N00001462,Stranmillis_1,357,50.42,11.8,41,47.9,39.5,74.6
N00001463,Stranmillis_1,385,52.73,18.2,41,53.0,39.2,68.9
N00001464,Stranmillis_1,345,50.43,15.9,43,46.7,38.0,67.4
N00001465,Stranmillis_1,422,51.18,16.6,46,53.8,37.4,68.6
N00001466,Stranmillis_2,280,52.86,12.1,26,45.4,40.7,41.5
N00001467,Stranmillis_2,1504,57.18,63.0,19,48.4,34.2,9.2
N00001468,Stranmillis_3,283,42.40,15.5,22,44.2,38.9,31.0
N00001469,Stranmillis_3,246,44.72,11.0,26,45.1,38.6,43.8
N00001470,Stranmillis_3,348,58.05,8.6,22,47.4,37.9,25.7
N00001471,Stranmillis_3,493,51.72,12.8,21,45.6,36.9,18.7
N00001472,Stranmillis_3,891,54.77,26.7,22,40.9,49.2,45.1
N00001473,Stranmillis_4,426,44.84,5.2,29,44.8,34.7,66.8
N00001474,Stranmillis_4,347,50.72,15.6,41,52.2,36.3,69.7
N00001475,Stranmillis_4,302,48.01,5.0,32,44.0,41.4,69.3
N00001476,Stranmillis_4,277,53.43,10.5,33,50.5,36.1,67.0
N00001477,Stranmillis_4,271,50.92,9.2,40,43.2,45.8,70.8
N00001478,Stranmillis_4,301,51.16,8.3,34,47.8,34.6,72.1
N00001479,Stranmillis_4,344,51.16,14.2,37,52.3,36.9,65.3
N00001480,Sydenham_1,477,49.90,8.0,47,6.3,75.3,34.6
N00001481,Sydenham_1,229,51.97,12.2,42,6.6,83.4,22.1
N00001482,Sydenham_1,307,54.07,13.7,34,8.1,77.9,36.7
N00001483,Sydenham_1,254,51.18,7.1,34,15.4,67.7,53.9
N00001484,Sydenham_1,213,50.70,6.1,36,14.1,73.2,41.5
N00001485,Sydenham_2,248,48.39,5.6,34,13.7,70.2,44.6
N00001486,Sydenham_2,358,55.31,12.8,44,7.5,76.8,52.4
N00001487,Sydenham_2,298,52.68,8.7,44,6.4,82.2,40.8
N00001488,Sydenham_2,277,51.26,13.4,35,9.0,77.6,38.7
N00001489,Sydenham_2,293,53.58,10.2,42,6.8,79.9,34.5
N00001490,Sydenham_2,196,57.65,9.7,33,8.2,80.1,37.5
N00001491,Sydenham_3,250,53.60,8.8,52,9.2,80.0,43.3
N00001492,Sydenham_3,226,53.10,10.2,32,9.3,78.3,37.1
N00001493,Sydenham_3,260,48.85,7.3,34,10.0,77.7,44.4
N00001494,Sydenham_3,198,48.48,12.6,34,15.2,78.3,44.3
N00001495,Sydenham_3,288,51.04,10.8,32,11.5,70.5,37.6
N00001496,Sydenham_3,266,50.75,2.6,32,13.2,67.3,50.0
N00001497,Sydenham_3,236,52.97,12.3,33,14.8,72.5,46.5
N00001498,The Mount_1,460,50.00,14.1,28,18.9,58.5,23.5
N00001499,The Mount_1,335,51.04,11.3,31,13.1,69.3,29.4
N00001500,The Mount_1,214,33.64,4.2,38,20.1,61.7,41.1
N00001501,The Mount_1,497,50.30,12.7,34,9.9,76.7,20.2
N00001502,The Mount_1,409,52.57,12.0,31,13.4,74.1,34.4
N00001503,The Mount_1,204,50.49,11.8,39,7.4,81.4,25.2
N00001504,The Mount_1,272,52.94,13.6,29,5.5,84.9,21.2
N00001505,The Mount_1,473,48.84,12.3,29,28.1,53.7,35.6
N00001506,The Mount_2,239,49.79,7.1,32,16.3,70.7,27.3
N00001507,The Mount_2,254,50.79,15.0,38,2.8,81.9,19.4
N00001508,The Mount_2,466,46.78,12.7,29,18.0,60.7,30.0
N00001509,The Mount_2,385,49.09,9.4,38,14.5,75.6,29.8
N00001510,The Mount_2,215,50.23,6.5,35,15.3,67.9,41.0
N00001511,The Mount_2,638,50.94,16.3,30,22.3,67.2,20.1
N00001512,The Mount_2,294,47.28,9.5,31,21.4,55.1,39.6
N00001513,The Mount_2,236,44.92,11.9,31,15.7,69.5,26.8
N00001514,Upper Malone_1,249,55.02,10.4,38,22.1,65.1,55.3
N00001515,Upper Malone_1,351,52.71,12.8,53,48.1,46.4,61.0
N00001516,Upper Malone_1,275,56.00,9.5,62,31.3,60.7,75.0
N00001517,Upper Malone_1,359,52.65,8.9,53,54.0,37.9,75.0
N00001518,Upper Malone_1,436,49.31,11.2,44,57.8,30.7,66.4
N00001519,Upper Malone_2,298,56.38,11.4,36,17.1,77.2,33.0
N00001520,Upper Malone_2,265,50.19,18.9,32,3.8,86.0,19.1
N00001521,Upper Malone_2,249,52.61,12.0,33,10.8,81.1,24.1
N00001522,Upper Malone_2,278,55.40,10.8,42,11.5,78.4,45.1
N00001523,Upper Malone_2,211,53.55,17.5,37,9.5,77.3,21.4
N00001524,Upper Malone_2,253,51.78,12.3,36,6.7,82.2,21.7
N00001525,Upper Malone_3,239,53.56,10.5,34,9.2,78.2,43.8
N00001526,Upper Malone_3,219,55.71,13.2,38,7.3,80.4,35.0
N00001527,Upper Malone_3,243,55.56,7.0,37,38.3,51.4,45.8
N00001528,Upper Malone_3,244,52.05,7.8,37,49.2,36.9,66.8
N00001529,Upper Malone_3,286,53.50,15.0,36,25.2,60.5,48.6
N00001530,Upper Malone_3,386,53.89,8.3,41,48.2,37.6,71.8
N00001531,Upper Springfield_1,320,56.25,20.0,30,91.9,6.9,15.2
N00001532,Upper Springfield_1,435,52.18,17.7,33,95.2,3.2,30.5
N00001533,Upper Springfield_1,636,53.62,14.2,38,94.2,5.0,20.8
N00001534,Upper Springfield_1,321,52.34,15.3,39,94.4,4.7,17.6
N00001535,Upper Springfield_2,385,55.06,22.9,25,87.0,9.1,14.0
N00001536,Upper Springfield_2,401,56.11,16.0,34,88.5,6.0,27.8
N00001537,Upper Springfield_2,356,52.25,16.0,34,95.5,3.1,12.4
N00001538,Upper Springfield_2,386,51.30,15.5,40,97.2,2.8,30.1
N00001539,Upper Springfield_2,346,54.62,19.4,29,95.1,4.0,21.6
N00001540,Upper Springfield_3,408,51.23,19.1,30,90.0,6.6,21.9
N00001541,Upper Springfield_3,286,53.15,19.2,36,95.8,2.8,10.8
N00001542,Upper Springfield_3,324,50.00,17.0,40,97.2,1.5,14.3
N00001543,Upper Springfield_3,366,52.73,17.8,33,93.7,3.3,19.3
N00001544,Upper Springfield_3,280,53.57,12.5,40,95.0,3.9,19.9
N00001545,Water Works_1,352,50.85,13.6,32,87.5,4.3,36.8
N00001546,Water Works_1,352,51.42,21.9,25,86.6,8.8,21.9
N00001547,Water Works_1,316,50.00,14.2,30,89.2,6.0,35.9
N00001548,Water Works_1,317,35.96,11.4,38,87.7,7.6,22.0
N00001549,Water Works_1,376,49.20,17.8,29,92.6,4.5,20.4
N00001550,Water Works_1,213,44.13,6.1,47,84.0,11.7,21.1
N00001551,Water Works_1,388,45.88,17.0,32,78.1,14.4,25.6
N00001552,Water Works_2,376,52.39,18.4,39,92.3,5.6,29.2
N00001553,Water Works_2,264,45.45,7.6,40,83.3,8.0,23.4
N00001554,Water Works_2,326,50.61,12.9,36,90.8,4.9,31.4
N00001555,Water Works_2,272,51.47,17.3,30,92.3,7.7,11.8
N00001556,Water Works_2,211,52.13,12.8,37,93.4,5.2,33.8
N00001557,Water Works_2,268,61.19,20.1,31,94.8,2.2,10.3
N00001558,Water Works_3,247,43.72,20.6,27,81.4,9.3,30.2
N00001559,Water Works_3,328,41.77,8.8,40,87.2,7.3,37.3
N00001560,Water Works_3,266,51.13,14.7,28,84.2,7.5,35.1
N00001561,Water Works_3,218,49.54,10.6,34,88.1,5.0,36.9
N00001562,Water Works_3,215,44.19,12.6,34,78.6,14.0,29.5
N00001563,Water Works_3,172,53.49,8.1,55,89.0,4.7,16.8
N00001564,Water Works_3,352,58.24,17.6,34,89.5,4.0,26.8
N00001565,Whiterock_1,351,50.14,14.8,35,94.0,4.0,15.4
N00001566,Whiterock_1,387,54.52,19.9,33,93.8,4.4,22.1
N00001567,Whiterock_1,251,54.98,14.7,30,89.6,6.4,29.8
N00001568,Whiterock_1,297,52.53,20.5,29,93.9,4.0,32.1
N00001569,Whiterock_1,329,51.67,11.9,33,86.0,8.8,29.0
N00001570,Whiterock_2,1119,55.05,22.7,24,95.2,2.8,20.0
N00001571,Whiterock_2,493,53.35,15.0,39,92.3,4.3,14.0
N00001572,Whiterock_2,355,54.65,21.1,31,96.9,3.1,14.0
N00001573,Whiterock_2,444,50.45,24.8,27,92.8,5.4,13.2
N00001574,Whiterock_3,310,55.48,15.5,30,94.5,4.8,20.0
N00001575,Whiterock_3,317,53.00,21.5,31,90.5,7.3,18.2
N00001576,Whiterock_3,365,53.15,21.9,35,91.2,5.2,16.1
N00001577,Whiterock_3,364,53.30,18.7,30,95.1,4.7,20.8
N00001578,Whiterock_3,312,50.64,20.8,34,92.0,6.7,16.0
N00001579,Windsor_1,317,51.42,9.5,26,44.8,39.7,45.5
N00001580,Windsor_1,328,51.83,11.0,30,54.3,30.5,60.8
N00001581,Windsor_1,306,50.65,20.6,38,50.3,42.5,66.0
N00001582,Windsor_1,293,56.31,7.8,38,58.7,35.8,63.7
N00001583,Windsor_1,234,55.56,5.1,29,56.4,31.6,49.8
N00001584,Windsor_1,184,54.35,2.7,40,48.4,37.5,44.8
N00001585,Windsor_2,444,35.59,10.4,22,45.5,32.7,21.6
N00001586,Windsor_2,254,50.00,4.7,31,42.1,33.1,52.7
N00001587,Windsor_2,333,45.65,6.0,25,49.8,30.6,44.1
N00001588,Windsor_2,290,46.90,9.3,26,42.4,41.7,38.3
N00001589,Windsor_2,318,55.03,15.4,27,38.7,51.3,43.0
N00001590,Windsor_2,356,48.60,8.7,25,44.9,39.3,41.5
N00001591,Windsor_2,275,53.09,9.1,23,44.4,30.9,28.8
N00001592,Windsor_3,305,49.51,8.2,26,29.8,48.5,28.3
N00001593,Windsor_3,518,55.60,10.0,23,33.4,47.1,31.1
N00001594,Windsor_3,364,49.18,6.0,23,28.6,48.6,24.9
N00001595,Windsor_3,289,49.13,17.6,23,37.4,43.9,24.0
N00001596,Windsor_3,395,58.23,9.4,22,34.9,48.4,19.5
N00001597,Windsor_3,271,47.60,7.4,25,37.6,36.2,31.0
N00001598,Windsor_4,381,52.23,13.1,22,40.4,42.0,23.8
N00001599,Windsor_4,445,51.46,16.4,21,35.3,48.1,20.6
N00001600,Windsor_4,317,56.15,7.9,24,38.2,40.7,31.9
N00001601,Windsor_4,277,48.38,6.9,25,38.6,44.0,37.7
