SA2011,DZ2021_cd_dominant,DZ2021_cd_point
N00000086,N20000029,N20000029
N00000087,N20000029,N20000029
N00000088,N20000016,N20000016
N00000089,N20000029,N20000029
N00000090,N20000017,N20000017
N00000091,N20000008,N20000008
N00000092,N20000001,N20000001
N00000093,N20000013,N20000006
N00000094,N20000004,N20000004
N00000095,N20000004,N20000004
N00000096,N20000013,N20000013
N00000097,N20000041,N20000043
N00000098,N20000039,N20000039
N00000099,N20000047,N20000047
N00000100,N20000049,N20000049
N00000101,N20000037,N20000037
N00000102,N20000037,N20000040
N00000103,N20000038,N20000035
N00000104,N20000035,N20000035
N00000105,N20000054,N20000054
N00000106,N20000050,N20000054
N00000107,N20000050,N20000055
N00000108,N20000047,N20000046
N00000109,N20000046,N20000046
N00000110,N20000050,N20000050
N00000111,N20000065,N20000061
N00000112,N20000056,N20000060
N00000113,N20000059,N20000059
N00000114,N20000064,N20000064
N00000115,N20000053,N20000053
N00000116,N20000053,N20000053
N00000117,N20000053,N20000056
N00000118,N20000258,N20000258
N00000119,N20000260,N20000260
N00000120,N20000261,N20000261
N00000121,N20000258,N20000258
N00000122,N20000258,N20000258
N00000123,N20000258,N20000258
N00000124,N20000258,N20000258
N00000125,N20000007,N20000007
N00000126,N20000007,N20000007
N00000127,N20000024,N20000024
N00000128,N20000033,
N00000129,N20000015,N20000015
N00000130,N20003458,N20003458
N00000131,N20003461,N20003461
N00000132,N20003471,N20003471
N00000133,N20003471,N20003471
N00000134,N20003456,N20003464
N00000135,N20003456,N20003456
N00000136,N20003471,N20003466
N00000137,N20003463,N20003463
N00000138,N20003466,N20003466
N00000139,N20003535,N20003535
N00000140,N20003535,N20003535
N00000141,N20003521,N20003521
N00000142,N20003524,N20003524
N00000143,N20003527,N20003527
N00000144,N20003527,N20003527
N00000145,N20003527,N20003527
N00000146,N20003523,N20003523
N00000147,N20003521,N20003521
N00000148,N20003755,N20003755
N00000149,N20003747,N20003747
N00000150,N20003747,N20003747
N00000151,N20003751,N20003749
N00000152,N20003747,N20003747
N00000153,N20003754,N20003754
N00000154,N20003752,N20003752
N00000155,N20003747,N20003747
N00000156,N20003746,N20003746
N00000157,N20003755,N20003755
N00000158,N20003755,N20003755
N00000159,N20003516,N20003516
N00000160,N20003516,N20003516
N00000161,N20003523,N20003508
N00000162,N20003490,N20003490
N00000163,N20003500,N20003500
N00000164,N20003475,N20003475
N00000165,N20003523,N20003523
N00000166,N20003483,N20003483
N00000167,N20003475,N20003475
N00000168,N20003490,N20003490
N00000169,N20003744,N20003744
N00000170,N20003746,N20003746
N00000171,N20003746,N20003746
N00000172,N20003743,N20003743
N00000173,N20003743,N20003743
N00000174,N20003741,N20003741
N00000175,N20003745,N20003745
N00000176,N20003518,N20003518
N00000177,N20003529,N20003529
N00000178,N20003503,N20003503
N00000179,N20003504,N20003504
N00000180,N20003512,N20003512
N00000181,N20003509,N20003509
N00000182,N20003445,N20003445
N00000183,N20003443,N20003443
N00000184,N20003440,N20003449
N00000185,N20003450,N20003450
N00000186,N20003450,N20003450
N00000187,N20003447,N20003447
N00000188,N20003450,N20003450
N00000189,N20003433,N20003433
N00000190,N20003439,N20003447
N00000191,N20003438,N20003438
N00000192,N20003436,N20003436
N00000193,N20003440,N20003440
N00000194,N20003438,N20003438
N00000195,N20003441,N20003441
N00000196,N20003436,N20003436
N00000197,N20003435,N20003435
N00000198,N20003433,N20003433
N00000199,N20003433,N20003433
N00000200,N20003434,N20003434
N00000201,N20003433,N20003433
N00000202,N20003433,N20003448
N00000203,N20003433,N20003433
N00000204,N20003437,N20003437
N00000205,N20003456,N20003433
N00000206,N20003451,N20003451
N00000207,N20003446,N20003446
N00000208,N20003456,N20003448
N00000209,N20003456,N20003452
N00000210,N20003718,N20003718
N00000211,N20003713,N20003713
N00000212,N20003718,N20003718
N00000213,N20003713,N20003704
N00000214,N20003704,N20003704
N00000215,N20003726,N20003685
N00000216,N20003721,N20003721
N00000217,N20003685,
N00000218,N20003685,N20003685
N00000219,N20003726,N20003723
N00000220,N20003720,N20003720
N00000221,N20003723,N20003723
N00000222,N20003726,N20003726
N00000223,N20003727,N20003727
N00000224,N20003715,N20003715
N00000225,N20003722,N20003722
N00000226,N20003722,N20003722
N00000227,N20003725,N20003718
N00000228,N20003724,N20003724
N00000229,N20003725,N20003725
N00000230,N20003493,N20003485
N00000231,N20003493,N20003493
N00000232,N20003495,N20003495
N00000233,N20003493,N20003493
N00000234,N20003499,N20003499
N00000235,N20003474,N20003474
N00000236,N20003482,N20003482
N00000237,N20003474,N20003474
N00000238,N20003475,N20003475
N00000239,N20003519,N20003515
N00000240,N20003740,N20003740
N00000241,N20003528,N20003525
N00000242,N20003740,N20003740
N00000243,N20003514,N20003514
N00000244,N20003506,N20003506
N00000245,N20003514,N20003514
N00000246,N20003517,N20003517
N00000247,N20003525,N20003525
N00000248,N20003514,N20003514
N00000249,N20003507,N20003507
N00000250,N20003519,N20003519
N00000251,N20003507,N20003507
N00000252,N20003467,
N00000253,N20003459,N20003470
N00000254,N20003467,N20003467
N00000255,N20003473,N20003473
N00000256,N20003469,N20003469
N00000257,N20003469,N20003469
N00000258,N20003473,N20003473
N00000259,N20003773,N20003773
N00000260,N20003771,N20003771
N00000261,N20003774,N20003774
N00000262,N20003763,N20003763
N00000263,N20003756,N20003756
N00000264,N20003760,N20003760
N00000265,N20003759,N20003759
N00000266,N20003760,
N00000267,N20003458,N20003458
N00000268,N20003456,N20003456
N00000269,N20003456,N20003456
N00000270,N20003458,N20003458
N00000271,N20003459,N20003459
N00000272,N20003467,N20003467
N00000273,N20003458,N20003458
N00000274,N20003457,N20003457
N00000275,N20003739,N20003738
N00000276,N20003739,N20003739
N00000277,N20003492,N20003492
N00000278,N20003738,N20003738
N00000279,N20003505,N20003505
N00000280,N20003515,N20003515
N00000281,N20003740,N20003740
N00000282,N20003731,N20003731
N00000283,N20003740,N20003739
N00000284,N20003505,N20003505
N00000285,N20003515,N20003515
N00000286,N20003736,N20003736
N00000287,N20003732,N20003732
N00000288,N20003737,N20003737
N00000289,N20003734,N20003734
N00000290,N20003735,N20003735
N00000291,N20003730,N20003730
N00000292,N20003730,N20003730
N00000293,N20003728,N20003726
N00000294,N20003730,N20003730
N00000295,N20003730,N20003726
N00000296,N20003491,N20003489
N00000297,N20003501,N20003501
N00000298,N20003491,N20003491
N00000299,N20003489,N20003489
N00000300,N20003506,N20003506
N00000301,N20003477,N20003477
N00000302,N20003481,N20003481
N00000303,N20003484,N20003484
N00000304,N20003488,N20003488
N00000305,N20003477,N20003477
N00000306,N20003488,N20003488
N00000307,N20003497,N20003497
N00000308,N20003498,N20003498
N00000309,N20003497,N20003497
N00000310,N20003780,N20003780
N00000311,N20003773,N20003773
N00000312,N20003774,N20003780
N00000313,N20003773,N20003773
N00000314,N20003777,N20003777
N00000315,N20003775,N20003775
N00000316,N20003780,N20003780
N00000317,N20003779,N20003779
N00000318,N20003767,N20003767
N00000319,N20003765,N20003765
N00000320,N20003767,N20003767
N00000321,N20003768,N20003768
N00000322,N20003767,N20003762
N00000323,N20003761,N20003761
N00000324,N20003767,N20003767
N00000325,N20003770,N20003770
N00000326,N20003761,N20003761
N00000327,N20003532,N20003532
N00000328,N20003533,N20003533
N00000329,N20003536,N20003536
N00000330,N20003535,N20003535
N00000331,N20003530,N20003530
N00000332,N20003531,N20003531
N00000333,N20003533,N20003533
N00000334,N20003532,N20003532
N00000335,N20003502,N20003502
N00000336,N20003487,N20003487
N00000337,N20003482,N20003482
N00000338,N20003487,N20003487
N00000339,N20003496,N20003496
N00000340,N20003474,N20003474
N00000341,N20003476,N20003476
N00000342,N20003480,N20003480
N00000343,N20003479,N20003479
N00000344,N20000303,N20000304
N00000345,N20000303,N20000303
N00000346,N20000302,N20000302
N00000347,N20000309,N20000309
N00000348,N20000312,N20000312
N00000349,N20000302,N20000302
N00000350,N20000301,N20000301
N00000351,N20000299,N20000299
N00000352,N20000300,N20000300
N00000353,N20000302,N20000302
N00000354,N20000305,N20000305
N00000355,N20000310,N20000310
N00000356,N20000322,N20000322
N00000357,N20000318,N20000318
N00000358,N20000317,N20000317
N00000359,N20000319,N20000319
N00000360,N20000707,N20000707
N00000361,N20000705,N20000705
N00000362,N20000701,N20000701
N00000363,N20000709,N20000709
N00000364,N20000709,N20000709
N00000365,N20000710,N20000710
N00000366,N20000295,N20000295
N00000367,N20000300,N20000300
N00000368,N20000298,N20000298
N00000369,N20000295,N20000295
N00000370,N20000369,N20000369
N00000371,N20000296,N20000296
N00000372,N20000339,N20000339
N00000373,N20000339,N20000339
N00000374,N20000331,N20000339
N00000375,N20000331,N20000331
N00000376,N20000325,N20000325
N00000377,N20000332,N20000332
N00000378,N20000333,N20000333
N00000379,N20000332,N20000332
N00000380,N20000354,N20000354
N00000381,N20000350,N20000350
N00000382,N20000353,N20000353
N00000383,N20000347,N20000346
N00000384,N20000355,N20000355
N00000385,N20000354,N20000353
N00000386,N20000327,N20000327
N00000387,N20000323,N20000323
N00000388,N20000329,N20000329
N00000389,N20000331,N20000331
N00000390,N20000681,N20000681
N00000391,N20000691,N20000691
N00000392,N20000689,N20000689
N00000393,N20000685,N20000685
N00000394,N20000674,N20000674
N00000395,N20000418,N20000674
N00000396,N20000416,N20000416
N00000397,N20000418,N20000418
N00000398,N20000665,N20000665
N00000399,N20000664,N20000664
N00000400,N20000352,N20000350
N00000401,N20000351,N20000348
N00000402,N20000352,N20000352
N00000403,N20000348,N20000348
N00000404,N20000349,N20000349
N00000405,N20000349,N20000350
N00000406,N20000699,N20000699
N00000407,N20000709,N20000702
N00000408,N20000699,N20000699
N00000409,N20000688,N20000688
N00000410,N20000688,N20000688
N00000411,N20000342,N20000342
N00000412,N20000346,N20000346
N00000413,N20000347,N20000347
N00000414,N20000340,N20000340
N00000415,N20000338,N20000338
N00000416,N20000344,N20000344
N00000417,N20000678,N20000678
N00000418,N20000685,N20000685
N00000419,N20000676,N20000676
N00000420,N20000672,N20000672
N00000421,N20000667,N20000667
N00000422,N20000680,N20000680
N00000423,N20000367,N20000367
N00000424,N20000401,N20000401
N00000425,N20000383,N20000383
N00000426,N20000418,N20000408
N00000427,N20000363,N20000363
N00000428,N20000367,N20000367
