SA2011,DZ2021_cd_dominant,DZ2021_cd_point
N00000928,N20001318,N20001318
N00000929,N20001321,N20001321
N00000930,N20001324,N20001324
N00000931,N20001304,N20001304
N00000932,N20001311,N20001311
N00000933,N20001307,N20001307
N00000934,N20001311,N20001311
N00000935,N20001315,N20001315
N00000936,N20001428,N20001428
N00000937,N20001303,N20001303
N00000938,N20001442,N20001442
N00000939,N20001303,N20001303
N00000940,N20001303,N20001307
N00000941,N20000796,N20000796
N00000942,N20000787,N20000787
N00000943,N20000787,N20000787
N00000944,N20000788,N20000788
N00000945,N20000789,N20000789
N00000946,N20000825,N20000795
N00000947,N20000792,N20000792
N00000948,N20000793,N20000793
N00000949,N20000794,N20000794
N00000950,N20000794,N20000794
N00000951,N20000797,N20000797
N00000952,N20000790,N20000790
N00000953,N20000793,N20000791
N00000954,N20000790,N20000790
N00000955,N20000791,N20000791
N00000956,N20000789,N20000789
N00000957,N20000956,N20000956
N00000958,N20000958,N20000958
N00000959,N20000962,N20000962
N00000960,N20000963,N20000963
N00000961,N20000962,N20000961
N00000962,N20000957,N20000957
N00000963,N20000950,N20000951
N00000964,N20000956,N20000956
N00000965,N20000956,N20000956
N00000966,N20000958,N20000958
N00000967,N20000950,N20000950
N00000968,N20000945,N20000945
N00000969,N20000948,N20000948
N00000970,N20000947,N20000947
N00000971,N20000949,N20000949
N00000972,N20000949,N20000949
N00000973,N20000950,N20000950
N00000974,N20000949,N20000949
N00000975,N20001149,N20001149
N00000976,N20001116,N20001116
N00000977,N20001117,N20001117
N00000978,N20001111,N20001111
N00000979,N20001129,N20001116
N00000980,N20001128,N20001128
N00000981,N20001149,N20001149
N00000982,N20001129,N20001129
N00000983,N20001096,N20001096
N00000984,N20001108,N20001108
N00000985,N20001092,N20001092
N00000986,N20001096,N20001096
N00000987,N20001098,N20001098
N00000988,N20001106,N20001106
N00000989,N20001104,N20001104
N00000990,N20001104,N20001104
N00000991,N20000891,N20000899
N00000992,N20000891,N20000891
N00000993,N20000899,N20000899
N00000994,N20000899,N20000911
N00000995,N20000923,N20000923
N00000996,N20000909,N20000909
N00000997,N20000897,N20000897
N00000998,N20000909,N20000909
N00000999,N20000909,N20000907
N00001000,N20000909,N20000909
N00001001,N20000916,N20000916
N00001002,N20000929,N20000926
N00001003,N20000923,N20000923
N00001004,N20000907,N20000907
N00001005,N20000920,N20000916
N00001006,N20001123,N20001123
N00001007,N20001135,N20001135
N00001008,N20001136,N20001136
N00001009,N20001137,N20001137
N00001010,N20001131,N20001127
N00001011,N20001134,N20001134
N00001012,N20001142,N20001142
N00001013,N20001131,N20001131
N00001014,N20001136,N20001136
N00001015,N20001151,N20001151
N00001016,N20001120,N20001120
N00001017,N20001120,N20001130
N00001018,N20001136,N20001136
N00001019,N20001130,N20001130
N00001020,N20001114,N20001114
N00001021,N20001119,N20001119
N00001022,N20001103,N20001112
N00001023,N20001103,N20001103
N00001024,N20001103,N20001105
N00001025,N20001107,N20001107
N00001026,N20001105,N20001107
N00001027,N20001127,N20001127
N00001028,N20001094,N20001094
N00001029,N20001109,N20001109
N00001030,N20001101,N20001101
N00001031,N20001118,N20001118
N00001032,N20000825,N20000801
N00001033,N20000825,N20000825
N00001034,N20000811,N20000811
N00001035,N20000811,N20000811
N00001036,N20000813,N20000813
N00001037,N20000803,N20000803
N00001038,N20000804,N20000810
N00001039,N20000797,N20000797
N00001040,N20000801,N20000801
N00001041,N20000797,N20000798
N00001042,N20000797,N20000797
N00001043,N20000798,N20000798
N00001044,N20000800,N20000798
N00001045,N20000800,N20000800
N00001046,N20000807,N20000807
N00001047,N20000809,N20000809
N00001048,N20000816,N20000816
N00001049,N20000809,N20000805
N00001050,N20000827,N20000827
N00001051,N20000808,N20000808
N00001052,N20000814,N20000814
N00001053,N20000799,N20000799
N00001054,N20000802,N20000802
N00001055,N20000807,N20000807
N00001056,N20000796,N20000796
N00001057,N20000796,N20000796
N00001058,N20000796,N20000796
N00001059,N20000796,N20000809
N00001060,N20000805,N20000805
N00001061,N20000988,N20000988
N00001062,N20000997,N20000997
N00001063,N20001005,N20001005
N00001064,N20001001,N20001001
N00001065,N20001010,N20001010
N00001066,N20000981,N20000981
N00001067,N20000997,N20000988
N00001068,N20000988,N20000988
N00001069,N20000979,N20000979
N00001070,N20000982,N20000982
N00001071,N20000978,N20000978
N00001072,N20000986,N20000986
N00001073,N20000980,N20000980
N00001074,N20000960,N20000977
N00001075,N20000977,N20000977
N00001076,N20000960,N20000960
N00001077,N20000980,N20000980
N00001078,N20000981,N20000981
N00001079,N20000833,N20000833
N00001080,N20000839,N20000839
N00001081,N20000839,N20000839
N00001082,N20000840,N20000840
N00001083,N20000818,N20000818
N00001084,N20000824,N20000824
N00001085,N20000830,N20000830
N00001086,N20000827,N20000827
N00001087,N20000827,N20000815
N00001088,N20000815,N20000815
N00001089,N20000827,N20000827
N00001090,N20000827,N20000827
N00001091,N20000741,N20000734
N00001092,N20000735,N20000735
N00001093,N20000746,N20000749
N00001094,N20000746,N20000746
N00001095,N20000741,N20000741
N00001096,N20000734,N20000735
N00001097,N20000740,N20000740
N00001098,N20000735,N20000735
N00001099,N20000726,N20000726
N00001100,N20000732,N20000732
N00001101,N20000733,N20000733
N00001102,N20000733,N20000739
N00001103,N20000744,N20000744
N00001104,N20000732,N20000732
N00001105,N20000733,N20000733
N00001106,N20001435,N20001435
N00001107,N20001428,N20001441
N00001108,N20001441,N20001441
N00001109,N20001428,N20001428
N00001110,N20001420,N20001420
N00001111,N20001427,N20001427
N00001112,N20001427,N20001427
N00001113,N20001426,N20001425
N00001114,N20001439,N20001439
N00001115,N20001439,N20001439
N00001116,N20001443,N20001443
N00001117,N20001399,N20001399
N00001118,N20001397,N20001397
N00001119,N20001398,N20001398
N00001120,N20001399,N20001398
N00001121,N20001387,N20001387
N00001122,N20001397,N20001397
N00001123,N20001395,N20001395
N00001124,N20001383,N20001383
N00001125,N20001390,N20001390
N00001126,N20000776,N20000776
N00001127,N20000767,N20000767
N00001128,N20000776,N20000776
N00001129,N20001385,N20001385
N00001130,N20000852,N20000852
N00001131,N20000825,N20000825
N00001132,N20000853,N20000853
N00001133,N20000825,N20000825
N00001134,N20000835,N20000835
N00001135,N20000825,N20000825
N00001136,N20000850,N20000850
N00001137,N20000851,N20000851
N00001138,N20000852,N20000852
N00001139,N20000841,N20000841
N00001140,N20000842,N20000842
N00001141,N20000845,N20000845
N00001142,N20000847,N20000847
N00001143,N20000848,N20000848
N00001144,N20000852,N20000852
N00001145,N20001445,N20001445
N00001146,N20001440,N20001440
N00001147,N20001445,N20001445
N00001148,N20001445,N20001445
N00001149,N20001444,N20001444
N00001150,N20001433,N20001433
N00001151,N20001432,N20001432
N00001152,N20001438,N20001438
N00001153,N20001432,N20001440
N00001154,N20001444,N20001444
N00001155,N20001079,N20001079
N00001156,N20001421,N20001423
N00001157,N20001336,N20001336
N00001158,N20001350,N20001350
N00001159,N20001320,N20001320
N00001160,N20001336,N20001336
N00001161,N20001336,N20001336
N00001162,N20001336,N20001336
N00001163,N20001347,N20001347
N00001164,N20001333,N20001333
N00001165,N20001334,N20001334
N00001166,N20001340,N20001334
N00001167,N20001340,N20001340
N00001168,N20001328,N20001328
N00001169,N20001331,N20001331
N00001170,N20001320,N20001320
N00001171,N20001329,N20001331
N00001172,N20001331,N20001331
N00001173,N20001215,N20001215
N00001174,N20001233,N20001233
N00001175,N20001230,N20001230
N00001176,N20001233,N20001233
N00001177,N20001233,N20001233
N00001178,N20001197,N20001204
N00001179,N20001204,N20001204
N00001180,N20001204,N20001202
N00001181,N20001202,N20001202
N00001182,N20001233,N20001233
N00001183,N20001221,N20001215
N00001184,N20001233,N20001233
N00001185,N20001220,N20001215
N00001186,N20001220,N20001220
N00001187,N20001230,N20001230
N00001188,N20000822,N20000826
N00001189,N20000823,N20000823
N00001190,N20000826,N20000826
N00001191,N20000835,N20000835
N00001192,N20000828,N20000828
N00001193,N20000829,N20000829
N00001194,N20000835,N20000835
N00001195,N20000832,N20000832
N00001196,N20000837,N20000837
N00001197,N20000821,N20000821
N00001198,N20000817,N20000823
N00001199,N20000829,N20000823
N00001200,N20000817,N20000817
N00001201,N20000812,N20000812
N00001202,N20001328,N20001328
N00001203,N20001332,N20001335
N00001204,N20001339,N20001339
N00001205,N20001337,N20001337
N00001206,N20001352,N20001352
N00001207,N20001339,N20001339
N00001208,N20001342,N20001342
N00001209,N20001349,N20001349
N00001210,N20001355,N20001355
N00001211,N20001355,N20001352
N00001212,N20001349,N20001349
N00001213,N20001344,N20001344
N00001214,N20001344,N20001344
N00001215,N20001356,N20001356
N00001216,N20001356,N20001356
N00001217,N20001378,N20001378
N00001218,N20001378,N20001380
N00001219,N20001378,N20001378
N00001220,N20001370,N20001369
N00001221,N20001370,N20001370
N00001222,N20001370,N20001370
N00001223,N20001378,N20001378
N00001224,N20001379,N20001379
N00001225,N20001375,N20001375
N00001226,N20001379,N20001379
N00001227,N20001372,N20001372
N00001228,N20001373,N20001373
N00001229,N20001376,N20001376
N00001230,N20001374,N20001374
N00001231,N20001309,N20001309
N00001232,N20001309,N20001309
N00001233,N20001309,N20001309
N00001234,N20001309,N20001341
N00001235,N20001360,N20001360
N00001236,N20001351,N20001351
N00001237,N20001346,N20001358
N00001238,N20001362,N20001362
N00001239,N20001362,N20001362
N00001240,N20001363,N20001363
N00001241,N20001358,N20001356
N00001242,N20001346,N20001346
N00001243,N20001358,N20001358
N00001244,N20001338,N20001348
N00001245,N20001356,N20001356
N00001246,N20001402,N20001402
N00001247,N20001378,N20001378
N00001248,N20001378,N20001378
N00001249,N20001380,N20001380
N00001250,N20001378,N20001378
N00001251,N20001405,N20001405
N00001252,N20001401,N20001401
N00001253,N20001401,N20001401
N00001254,N20001392,N20001392
N00001255,N20001401,N20001401
N00001256,N20001386,N20001386
N00001257,N20001403,N20001403
N00001258,N20001416,N20001416
N00001259,N20001417,N20001417
N00001260,N20001424,N20001424
N00001261,N20001416,N20001416
N00001262,N20001424,N20001424
N00001263,N20000867,N20000867
N00001264,N20000867,N20000867
N00001265,N20000857,N20000857
N00001266,N20000874,N20000874
N00001267,N20000880,N20000880
N00001268,N20000877,N20000877
N00001269,N20000872,N20000872
N00001270,N20000879,N20000879
N00001271,N20000880,N20000878
N00001272,N20000876,N20000876
N00001273,N20000883,N20000883
N00001274,N20001009,N20001009
N00001275,N20001003,N20001003
N00001276,N20001009,N20001009
N00001277,N20000995,N20000995
N00001278,N20000995,N20000995
N00001279,N20001000,N20001000
N00001280,N20001000,N20001003
N00001281,N20000983,N20000983
N00001282,N20000983,N20000983
N00001283,N20000995,N20000995
N00001284,N20000993,N20000993
N00001285,N20000993,N20000993
N00001286,N20000990,N20000990
N00001287,N20000987,N20000987
N00001288,N20000987,N20000987
N00001289,N20000994,N20000994
N00001290,N20000994,N20000994
N00001291,N20001253,N20001253
N00001292,N20001253,N20001253
N00001293,N20001253,N20001253
N00001294,N20001245,N20001245
N00001295,N20001251,N20001251
N00001296,N20001247,N20001247
N00001297,N20001251,N20001251
N00001298,N20001249,N20001254
N00001299,N20001254,N20001254
N00001300,N20001244,N20001244
N00001301,N20001244,N20001244
N00001302,N20001242,N20001242
N00001303,N20001240,N20001240
N00001304,N20001237,N20001237
N00001305,N20001247,N20001247
N00001306,N20001249,N20001249
N00001307,N20001242,N20001242
N00001308,N20000711,N20000711
N00001309,N20000711,N20000711
N00001310,N20000712,N20000712
N00001311,N20000713,N20000713
N00001312,N20000725,N20000725
N00001313,N20000731,N20000731
N00001314,N20000721,N20000721
N00001315,N20000728,N20000728
N00001316,N20000728,N20000736
N00001317,N20000730,N20000730
N00001318,N20000730,N20000730
N00001319,N20001373,N20001373
N00001320,N20001371,N20001371
N00001321,N20001373,N20001373
N00001322,N20000737,N20000737
N00001323,N20000742,N20000742
N00001324,N20001371,N20001371
N00001325,N20001194,N20001191
N00001326,N20001198,N20001198
N00001327,N20001198,N20001198
N00001328,N20001185,N20001185
N00001329,N20001193,N20001193
N00001330,N20001196,N20001196
N00001331,N20001185,N20001185
N00001332,N20001179,N20001179
N00001333,N20001167,N20001167
N00001334,N20001167,N20001167
N00001335,N20001179,N20001181
N00001336,N20001180,N20001180
N00001337,N20001182,N20001182
N00001338,N20001203,N20001203
N00001339,N20001210,N20001210
N00001340,N20001205,N20001205
N00001341,N20001192,N20001192
N00001342,N20001192,N20001192
N00001343,N20001190,N20001190
N00001344,N20001197,N20001197
N00001345,N20001190,N20001190
N00001346,N20001194,N20001194
N00001347,N20001184,N20001184
N00001348,N20001195,N20001195
N00001349,N20001184,N20001184
N00001350,N20000781,N20000781
N00001351,N20000784,N20000784
N00001352,N20000786,N20000786
N00001353,N20000785,N20000785
N00001354,N20000783,N20000778
N00001355,N20000771,N20000771
N00001356,N20000771,N20000771
N00001357,N20000779,N20000779
N00001358,N20000764,N20000764
N00001359,N20000766,N20000766
N00001360,N20000773,N20000766
N00001361,N20000769,N20000769
N00001362,N20000773,N20000779
N00001363,N20001019,N20001019
N00001364,N20001028,N20001028
N00001365,N20000937,N20000937
N00001366,N20001028,N20001028
N00001367,N20001018,N20001018
N00001368,N20001022,N20001022
N00001369,N20001025,N20001025
N00001370,N20001033,N20001033
N00001371,N20001034,N20001034
N00001372,N20001033,N20001033
N00001373,N20001020,N20001022
N00001374,N20001020,N20001020
N00001375,N20000935,N20000935
N00001376,N20001017,N20001017
N00001377,N20001020,N20001020
N00001378,N20000937,N20000935
N00001379,N20001020,N20001020
N00001380,N20001121,N20001121
N00001381,N20001121,N20001121
N00001382,N20001035,N20001035
N00001383,N20001042,N20001042
N00001384,N20001037,N20001037
N00001385,N20001042,N20001042
N00001386,N20001021,N20001029
N00001387,N20001029,N20001029
N00001388,N20001038,N20001038
N00001389,N20001032,N20001032
N00001390,N20001037,N20001037
N00001391,N20001037,N20001037
N00001392,N20001027,N20001027
N00001393,N20001024,N20001024
N00001394,N20001030,N20001030
N00001395,N20001026,N20001026
N00001396,N20000942,N20000942
N00001397,N20001021,N20001021
N00001398,N20001026,N20001026
N00001399,N20001187,N20001187
N00001400,N20001200,N20001200
N00001401,N20001059,N20001064
N00001402,N20001066,N20001062
N00001403,N20001062,N20001062
N00001404,N20001070,N20001072
N00001405,N20001053,N20001053
N00001406,N20001063,N20001063
N00001407,N20001061,N20001061
N00001408,N20001057,N20001057
N00001409,N20001072,N20001072
N00001410,N20001073,N20001073
N00001411,N20001076,N20001076
N00001412,N20001057,N20001057
N00001413,N20001063,N20001063
N00001414,N20001073,N20001073
N00001415,N20001083,N20001083
N00001416,N20001079,N20001079
N00001417,N20001084,N20001084
N00001418,N20001081,N20001081
N00001419,N20001081,N20001081
N00001420,N20001094,N20001091
N00001421,N20001090,N20001090
N00001422,N20001097,N20001101
N00001423,N20001094,N20001094
N00001424,N20001091,N20001091
N00001425,N20001097,N20001097
N00001426,N20001093,N20001093
N00001427,N20001084,N20001084
N00001428,N20001095,N20001095
N00001429,N20001108,N20001108
N00001430,N20001084,N20001084
N00001431,N20001411,N20001411
N00001432,N20001408,N20001408
N00001433,N20001407,N20001407
N00001434,N20001410,N20001410
N00001435,N20001410,N20001410
N00001436,N20001421,N20001421
N00001437,N20001406,N20001406
N00001438,N20001412,N20001412
N00001439,N20001418,N20001418
N00001440,N20001409,N20001409
N00001441,N20001389,N20001389
N00001442,N20001396,N20001396
N00001443,N20001398,N20001398
N00001444,N20001396,N20001396
N00001445,N20000960,N20000960
N00001446,N20000953,N20000953
N00001447,N20000952,N20000952
N00001448,N20000953,N20000952
N00001449,N20000959,N20000959
N00001450,N20000967,N20000967
N00001451,N20000967,N20000982
N00001452,N20000967,N20000967
N00001453,N20000960,N20000960
N00001454,N20000960,N20000960
N00001455,N20000967,N20000971
N00001456,N20000974,N20000974
N00001457,N20000971,N20000971
N00001458,N20000970,N20000970
N00001459,N20000967,N20000967
N00001460,N20000970,N20000970
N00001461,N20001178,N20001178
N00001462,N20001178,N20001174
N00001463,N20001176,N20001176
N00001464,N20001178,N20001178
N00001465,N20001178,N20001178
N00001466,N20001162,N20001162
N00001467,N20001162,N20001162
N00001468,N20001151,N20001151
N00001469,N20001168,N20001168
N00001470,N20001151,N20001151
N00001471,N20001153,N20001153
N00001472,N20001172,N20001172
N00001473,N20001168,N20001168
N00001474,N20001176,N20001176
N00001475,N20001168,N20001170
N00001476,N20001170,N20001170
N00001477,N20001174,N20001172
N00001478,N20001175,N20001175
N00001479,N20001173,N20001175
N00001480,N20000856,N20000856
N00001481,N20000856,N20000856
N00001482,N20000859,N20000859
N00001483,N20000856,N20000856
N00001484,N20000860,N20000860
N00001485,N20000859,N20000859
N00001486,N20000863,N20000863
N00001487,N20000860,N20000860
N00001488,N20000862,N20000862
N00001489,N20000861,N20000861
N00001490,N20000865,N20000865
N00001491,N20000869,N20000869
N00001492,N20000867,N20000867
N00001493,N20000866,N20000866
N00001494,N20000868,N20000868
N00001495,N20000867,N20000867
N00001496,N20000866,N20000866
N00001497,N20000869,N20000869
N00001498,N20000910,N20000910
N00001499,N20000908,N20000908
N00001500,N20000908,N20000908
N00001501,N20000914,N20000914
N00001502,N20000921,N20000921
N00001503,N20000900,N20000900
N00001504,N20000903,N20000903
N00001505,N20000905,N20000905
N00001506,N20000900,N20000900
N00001507,N20000919,N20000919
N00001508,N20000937,N20000927
N00001509,N20000927,N20000927
N00001510,N20000930,N20000930
N00001511,N20000936,N20000936
N00001512,N20000933,N20000933
N00001513,N20000937,N20000937
N00001514,N20001218,N20001218
N00001515,N20001233,N20001233
N00001516,N20001226,N20001226
N00001517,N20001199,N20001199
N00001518,N20001217,N20001217
N00001519,N20001201,N20001194
N00001520,N20001208,N20001208
N00001521,N20001208,N20001208
N00001522,N20001211,N20001211
N00001523,N20001207,N20001194
N00001524,N20001207,N20001207
N00001525,N20001213,N20001213
N00001526,N20001211,N20001211
N00001527,N20001218,N20001218
N00001528,N20001216,N20001216
N00001529,N20001219,N20001219
N00001530,N20001219,N20001231
N00001531,N20001298,N20001298
N00001532,N20001309,N20001309
N00001533,N20001309,N20001309
N00001534,N20001317,N20001317
N00001535,N20001298,N20001299
N00001536,N20001297,N20001297
N00001537,N20001298,N20001299
N00001538,N20001308,N20001308
N00001539,N20001298,N20001298
N00001540,N20001320,N20001317
N00001541,N20001320,N20001320
N00001542,N20001325,N20001325
N00001543,N20001325,N20001325
N00001544,N20001326,N20001326
N00001545,N20000849,N20000849
N00001546,N20000757,N20000757
N00001547,N20000759,N20000759
N00001548,N20000764,N20000764
N00001549,N20000775,N20000775
N00001550,N20000775,N20000775
N00001551,N20000775,N20000775
N00001552,N20000734,N20000741
N00001553,N20000754,N20000754
N00001554,N20000750,N20000750
N00001555,N20000761,N20000761
N00001556,N20000750,N20000750
N00001557,N20000761,N20000761
N00001558,N20000849,N20000849
N00001559,N20000745,N20000745
N00001560,N20000840,N20000840
N00001561,N20000734,N20000734
N00001562,N20000843,N20000843
N00001563,N20000843,N20000848
N00001564,N20000846,N20000846
N00001565,N20001314,N20001314
N00001566,N20001316,N20001316
N00001567,N20001313,N20001313
N00001568,N20001316,N20001316
N00001569,N20001321,N20001321
N00001570,N20001300,N20001300
N00001571,N20001305,N20001305
N00001572,N20001301,N20001301
N00001573,N20001313,N20001313
N00001574,N20001302,N20001302
N00001575,N20001301,N20001301
N00001576,N20001302,N20001302
N00001577,N20001310,N20001310
N00001578,N20001310,N20001310
N00001579,N20001167,N20001161
N00001580,N20001148,N20001148
N00001581,N20001167,N20001169
N00001582,N20001156,N20001156
N00001583,N20001161,N20001161
N00001584,N20001161,N20001161
N00001585,N20001139,N20001143
N00001586,N20001148,N20001143
N00001587,N20001144,N20001144
N00001588,N20001152,N20001152
N00001589,N20001156,N20001156
N00001590,N20001139,N20001139
N00001591,N20001137,N20001137
N00001592,N20001149,N20001140
N00001593,N20001133,N20001133
N00001594,N20001126,N20001126
N00001595,N20001140,N20001140
N00001596,N20001133,N20001133
N00001597,N20001140,N20001140
N00001598,N20001115,N20001115
N00001599,N20001122,N20001122
N00001600,N20001115,N20001125
N00001601,N20001124,N20001124
N00001602,N20001125,N20001124
N00001603,N20001132,N20001124
N00001604,N20000941,N20000941
N00001605,N20000941,N20000940
N00001606,N20000943,N20000943
N00001607,N20000940,N20000940
N00001608,N20000941,N20000941
N00001609,N20000943,N20000943
N00001610,N20000912,N20000912
N00001611,N20000922,N20000922
N00001612,N20000904,N20000904
N00001613,N20000922,N20000922
N00001614,N20000931,N20000931
N00001615,N20000931,N20000930
N00001616,N20000912,N20000924
N00001617,N20000934,N20000934
N00001618,N20000939,N20000939
N00001619,N20000928,N20000928
N00001620,N20000924,N20000924
N00001621,N20000934,N20000934
N00001622,N20000934,N20000934
N00001623,N20001400,N20001404
N00001624,N20001401,N20001401
N00001625,N20001401,N20001401
N00001626,N20001404,N20001404
N00001627,N20001413,N20001413
N00001628,N20001413,N20001413
N00001629,N20001382,N20001382
N00001630,N20001384,N20001384
N00001631,N20001384,N20001384
N00001632,N20001381,N20001381
N00001633,N20001394,N20001394
N00001634,N20001401,N20001401
N00001635,N20001375,N20001375
N00001636,N20001377,N20001377
N00001637,N20001381,N20001377
N00001638,N20001377,N20001384
N00001639,N20001381,N20001381
N00001640,N20001381,N20001381
N00001641,N20002760,N20002760
N00001642,N20002751,N20002751
N00001643,N20002758,N20002758
N00001644,N20002755,N20002755
N00001645,N20002756,N20002756
N00001646,N20002760,N20002760
N00001647,N20002775,N20002782
N00001648,N20002788,N20002788
N00001649,N20002775,N20002777
N00001650,N20002782,N20002782
N00001651,N20002764,N20002764
N00001652,N20002766,N20002766
N00001653,N20002775,N20002775
N00001654,N20002771,N20002771
N00001655,N20002784,N20002784
N00001656,N20002789,N20002783
N00001657,N20002785,N20002785
N00001658,N20002789,N20002789
N00001659,N20002783,N20002778
N00001660,N20002783,N20002783
N00001661,N20002808,N20002808
N00001662,N20002808,N20002808
N00001663,N20002814,N20002814
N00001664,N20002814,N20002814
N00001665,N20002814,N20002814
N00001666,N20002804,N20002804
N00001667,N20002805,N20002805
N00001668,N20002808,N20002808
N00001669,N20002804,N20002804
N00001670,N20002819,N20002819
N00001671,N20002818,N20002818
N00001672,N20002822,N20002822
N00001673,N20002822,N20002822
N00001674,N20002821,N20002821
N00001675,N20002821,N20002821
N00001676,N20002818,N20002818
N00001677,N20002768,N20002768
N00001678,N20002763,N20002763
N00001679,N20002765,N20002765
N00001680,N20002765,N20002765
N00001681,N20002767,N20002767
N00001682,N20002778,N20002778
N00001683,N20002768,N20002768
N00001684,N20002768,N20002768
N00001685,N20002775,N20002775
N00001686,N20002778,N20002778
N00001687,N20002775,N20002775
N00001688,N20002834,N20002834
N00001689,N20002831,N20002831
N00001690,N20002828,N20002828
N00001691,N20002829,N20002829
N00001692,N20002833,N20002833
N00001693,N20002830,N20002830
N00001694,N20002823,N20002823
N00001695,N20002823,N20002823
N00001696,N20002809,N20002809
N00001697,N20000140,N20000140
N00001698,N20002809,N20002809
N00001699,N20002836,N20002836
N00001700,N20002835,N20002835
N00001701,N20002799,N20002799
N00001702,N20002799,N20002799
N00001703,N20002800,N20002800
N00001704,N20002795,N20002798
N00001705,N20002796,N20002796
N00001706,N20002832,N20002832
N00001707,N20002825,N20002825
N00001708,N20002827,N20002827
N00001709,N20002829,N20002829
N00001710,N20002809,N20002809
N00001711,N20002809,N20002809
N00001712,N20002790,N20002790
N00001713,N20002790,N20002790
N00001714,N20002790,N20002780
N00001715,N20002781,N20002781
N00001716,N20002803,N20002803
N00001717,N20002776,N20002776
N00001718,N20002773,N20002803
N00001719,N20002772,N20002772
N00001720,N20002773,N20002773
N00001721,N20002813,N20002813
N00001722,N20002817,N20002817
N00001723,N20002815,N20002815
N00001724,N20002813,N20002813
N00001725,N20002818,N20002818
N00001726,N20002794,N20002794
N00001727,N20002794,N20002794
N00001728,N20002811,N20002811
N00001729,N20002816,N20002792
N00001730,N20002795,N20002795
N00001731,N20002792,N20002792
N00001732,N20002774,N20002774
N00001733,N20002786,N20002786
N00001734,N20002786,N20002786
N00001735,N20002791,N20002787
N00001736,N20002793,N20002793
N00001737,N20002791,N20002786
N00001738,N20002762,N20002762
N00001739,N20002758,N20002758
N00001740,N20002758,N20002758
N00001741,N20002761,N20002761
N00001742,N20002760,N20002760
N00001743,N20002761,N20002761
N00001744,N20002809,N20002809
N00001745,N20002806,N20002806
N00001746,N20002807,N20002807
N00001747,N20002809,N20002809
N00001748,N20002802,N20002802
N00001749,N20002809,N20002809
N00001750,N20002531,N20002524
N00001751,N20002532,N20002532
N00001752,N20002532,N20002532
N00001753,N20002534,N20002534
N00001754,N20002540,N20002540
N00001755,N20002540,N20002540
N00001756,N20002541,N20002541
N00001757,N20002531,N20002531
N00001758,N20002536,N20002536
N00001759,N20002540,N20002540
N00001760,N20002484,N20002484
N00001761,N20002478,N20002478
N00001762,N20001217,N20001217
N00001763,N20002474,N20002474
N00001764,N20001223,N20001223
N00001765,N20002477,N20002477
N00001766,N20001223,N20001223
N00001767,N20002465,N20002465
N00001768,N20002469,N20002471
N00001769,N20002469,N20002469
N00001770,N20002483,N20002483
N00001771,N20002483,N20002480
N00001772,N20002467,N20002467
N00001773,N20002467,N20002467
N00001774,N20002465,N20002465
N00001775,N20002467,N20002467
N00001776,N20002471,N20002483
N00001777,N20002464,N20002464
N00001778,N20002515,N20002515
N00001779,N20002541,N20002541
N00001780,N20002501,N20002501
N00001781,N20002501,N20002501
N00001782,N20002500,N20002500
N00001783,N20002501,N20002501
N00001784,N20002513,N20002513
N00001785,N20002514,N20002514
N00001786,N20002513,N20002513
N00001787,N20002523,N20002523
N00001788,N20002527,N20002527
N00001789,N20002515,N20002515
N00001790,N20002483,N20002483
N00001791,N20002485,N20002485
N00001792,N20002486,N20002486
N00001793,N20002488,N20002488
N00001794,N20002488,N20002498
N00001795,N20002499,N20002499
N00001796,N20002496,N20002496
N00001797,N20002488,N20002488
N00001798,N20002499,N20002499
N00001799,N20002484,N20002484
N00001800,N20002484,N20002484
N00001801,N20002495,N20002484
N00001802,N20002497,N20002497
N00001803,N20002484,N20002484
N00001804,N20002490,N20002490
N00001805,N20002494,N20002494
N00001806,N20001058,N20001058
N00001807,N20001063,N20001063
N00001808,N20001055,N20001055
N00001809,N20001058,N20001058
N00001810,N20001041,N20001041
N00001811,N20001041,N20001041
N00001812,N20001044,N20001044
N00001813,N20001053,N20001053
N00001814,N20001038,N20001038
N00001815,N20001046,N20001046
N00001816,N20001056,N20001056
N00001817,N20001054,N20001054
N00001818,N20001056,N20001056
N00001819,N20001060,N20001068
N00001820,N20002508,N20002508
N00001821,N20002508,N20002508
N00001822,N20002508,N20002508
N00001823,N20002519,N20002519
N00001824,N20002500,N20002500
N00001825,N20002506,N20002506
N00001826,N20002503,N20002503
N00001827,N20002502,N20002502
N00001828,N20002503,N20002504
N00001829,N20002500,N20002503
N00001830,N20002527,N20002527
N00001831,N20002533,N20002533
N00001832,N20002521,N20002521
N00001833,N20002522,N20002522
N00001834,N20002522,N20002522
N00001835,N20002530,N20002530
N00001836,N20002527,N20002527
N00001837,N20002530,N20002530
N00001838,N20002529,N20002527
N00001839,N20001077,N20001077
N00001840,N20002456,N20002458
N00001841,N20002456,N20002456
N00001842,N20002457,N20002457
N00001843,N20002458,N20002458
N00001844,N20002457,N20002457
N00001845,N20002459,N20002459
N00001846,N20002459,N20002459
N00001847,N20001002,N20001002
N00001848,N20001008,N20001008
N00001849,N20001006,N20001006
N00001850,N20001006,N20001006
N00001851,N20001008,N20001008
N00001852,N20000992,N20000992
N00001853,N20000998,N20000998
N00001854,N20002510,N20002510
N00001855,N20002520,N20002512
N00001856,N20002524,N20002524
N00001857,N20002512,N20002512
N00001858,N20002511,N20002511
