SA2011,sex,religion_brought_up_in,count
N00000068,Male,Protestant and Other Christian,113
N00000068,Male,Other religions and none,26
N00000068,Female,Catholic,46
N00000068,Female,Protestant and Other Christian,122
N00000068,Female,Other religions and none,19
N00000069,Male,Catholic,75
N00000069,Male,Protestant and Other Christian,66
N00000069,Male,Other religions and none,15
N00000069,Female,Catholic,92
N00000069,Female,Protestant and Other Christian,66
N00000069,Female,Other religions and none,20
N00000070,Male,Catholic,41
N00000070,Male,Protestant and Other Christian,63
N00000070,Male,Other religions and none,6
N00000070,Female,Catholic,62
N00000070,Female,Protestant and Other Christian,70
N00000070,Female,Other religions and none,1
N00000071,Male,Catholic,63
N00000071,Male,Protestant and Other Christian,52
N00000071,Male,Other religions and none,14
N00000071,Female,Catholic,63
N00000071,Female,Protestant and Other Christian,81
N00000071,Female,Other religions and none,10
N00000072,Male,Catholic,273
N00000072,Male,Protestant and Other Christian,490
N00000072,Male,Other religions and none,119
N00000072,Female,Catholic,285
N00000072,Female,Protestant and Other Christian,503
N00000072,Female,Other religions and none,83
N00000073,Male,Catholic,74
N00000073,Male,Protestant and Other Christian,124
N00000073,Male,Other religions and none,34
N00000073,Female,Catholic,94
N00000073,Female,Protestant and Other Christian,165
N00000073,Female,Other religions and none,30
N00000074,Male,Catholic,210
N00000074,Male,Protestant and Other Christian,254
N00000074,Male,Other religions and none,55
N00000074,Female,Catholic,232
N00000074,Female,Protestant and Other Christian,254
N00000074,Female,Other religions and none,42
N00000075,Male,Catholic,87
N00000075,Male,Protestant and Other Christian,124
N00000075,Male,Other religions and none,41
N00000075,Female,Catholic,77
N00000075,Female,Protestant and Other Christian,70
N00000075,Female,Other religions and none,11
N00000076,Male,Catholic,76
N00000076,Male,Protestant and Other Christian,79
N00000076,Male,Other religions and none,18
N00000076,Female,Catholic,74
N00000076,Female,Protestant and Other Christian,87
N00000076,Female,Other religions and none,10
N00000077,Male,Catholic,75
N00000077,Male,Protestant and Other Christian,55
N00000077,Male,Other religions and none,5
N00000077,Female,Catholic,76
N00000077,Female,Protestant and Other Christian,60
N00000077,Female,Other religions and none,4
N00000078,Male,Catholic,112
N00000078,Male,Protestant and Other Christian,102
N00000078,Male,Other religions and none,32
N00000078,Female,Catholic,111
N00000078,Female,Protestant and Other Christian,105
N00000078,Female,Other religions and none,26
N00000079,Male,Catholic,28
N00000079,Male,Protestant and Other Christian,233
N00000079,Male,Other religions and none,13
N00000079,Female,Catholic,26
N00000079,Female,Protestant and Other Christian,248
N00000079,Female,Other religions and none,16
N00000080,Male,Catholic,14
N00000080,Male,Protestant and Other Christian,186
N00000080,Male,Other religions and none,25
N00000080,Female,Catholic,14
N00000080,Female,Protestant and Other Christian,172
N00000080,Female,Other religions and none,13
N00000081,Male,Catholic,10
N00000081,Male,Protestant and Other Christian,145
N00000081,Male,Other religions and none,10
N00000081,Female,Catholic,8
N00000081,Female,Protestant and Other Christian,155
N00000081,Female,Other religions and none,11
N00000082,Male,Catholic,17
N00000082,Male,Protestant and Other Christian,151
N00000082,Male,Other religions and none,7
N00000082,Female,Catholic,14
N00000082,Female,Protestant and Other Christian,151
N00000082,Female,Other religions and none,2
N00000083,Male,Catholic,20
N00000083,Male,Protestant and Other Christian,281
N00000083,Male,Other religions and none,24
N00000083,Female,Catholic,29
N00000083,Female,Protestant and Other Christian,268
N00000083,Female,Other religions and none,28
N00000084,Male,Catholic,8
N00000084,Male,Protestant and Other Christian,207
N00000084,Male,Other religions and none,22
N00000084,Female,Catholic,9
N00000084,Female,Protestant and Other Christian,198
N00000084,Female,Other religions and none,12
N00000085,Male,Catholic,120
N00000085,Male,Protestant and Other Christian,74
N00000085,Male,Other religions and none,22
N00000085,Female,Catholic,132
N00000085,Female,Protestant and Other Christian,77
N00000085,Female,Other religions and none,12
N00000086,Male,Catholic,159
N00000086,Male,Protestant and Other Christian,32
N00000086,Male,Other religions and none,6
N00000086,Female,Catholic,165
N00000086,Female,Protestant and Other Christian,22
N00000086,Female,Other religions and none,11
N00000087,Male,Catholic,302
N00000087,Male,Protestant and Other Christian,128
N00000087,Male,Other religions and none,16
N00000087,Female,Catholic,323
N00000087,Female,Protestant and Other Christian,123
N00000087,Female,Other religions and none,21
N00000088,Male,Catholic,16
N00000088,Male,Protestant and Other Christian,73
N00000088,Male,Other religions and none,7
N00000088,Female,Catholic,21
N00000088,Female,Protestant and Other Christian,99
N00000088,Female,Other religions and none,0
N00000089,Male,Catholic,196
N00000089,Male,Protestant and Other Christian,31
N00000089,Male,Other religions and none,12
N00000089,Female,Catholic,195
N00000089,Female,Protestant and Other Christian,36
N00000089,Female,Other religions and none,8
N00000090,Male,Catholic,152
N00000090,Male,Protestant and Other Christian,30
N00000090,Male,Other religions and none,9
N00000090,Female,Catholic,170
N00000090,Female,Protestant and Other Christian,23
N00000090,Female,Other religions and none,8
N00000091,Male,Catholic,161
N00000091,Male,Protestant and Other Christian,58
N00000091,Male,Other religions and none,14
N00000091,Female,Catholic,170
N00000091,Female,Protestant and Other Christian,62
N00000091,Female,Other religions and none,11
N00000092,Male,Catholic,33
N00000092,Male,Protestant and Other Christian,196
N00000092,Male,Other religions and none,18
N00000092,Female,Catholic,28
N00000092,Female,Protestant and Other Christian,215
N00000092,Female,Other religions and none,14
N00000093,Male,Catholic,101
N00000093,Male,Protestant and Other Christian,87
N00000093,Male,Other religions and none,8
N00000093,Female,Catholic,111
N00000093,Female,Protestant and Other Christian,110
N00000093,Female,Other religions and none,4
N00000094,Male,Catholic,99
N00000094,Male,Protestant and Other Christian,138
N00000094,Male,Other religions and none,6
N00000094,Female,Catholic,107
N00000094,Female,Protestant and Other Christian,127
N00000094,Female,Other religions and none,15
N00000095,Male,Catholic,156
N00000095,Male,Protestant and Other Christian,71
N00000095,Male,Other religions and none,10
N00000095,Female,Catholic,163
N00000095,Female,Protestant and Other Christian,66
N00000095,Female,Other religions and none,2
N00000096,Male,Catholic,33
N00000096,Male,Protestant and Other Christian,184
N00000096,Male,Other religions and none,10
N00000096,Female,Catholic,41
N00000096,Female,Protestant and Other Christian,179
N00000096,Female,Other religions and none,17
N00000097,Male,Catholic,151
N00000097,Male,Protestant and Other Christian,208
N00000097,Male,Other religions and none,61
N00000097,Female,Catholic,164
N00000097,Female,Protestant and Other Christian,228
N00000097,Female,Other religions and none,38
N00000098,Male,Catholic,216
N00000098,Male,Protestant and Other Christian,287
N00000098,Male,Other religions and none,94
N00000098,Female,Catholic,223
N00000098,Female,Protestant and Other Christian,308
N00000098,Female,Other religions and none,64
N00000099,Male,Catholic,59
N00000099,Male,Protestant and Other Christian,47
N00000099,Male,Other religions and none,12
N00000099,Female,Catholic,71
N00000099,Female,Protestant and Other Christian,57
N00000099,Female,Other religions and none,12
N00000100,Male,Catholic,91
N00000100,Male,Protestant and Other Christian,39
N00000100,Male,Other religions and none,21
N00000100,Female,Catholic,116
