SA2011,sex,religion_brought_up_in,count
N00000550,Male,Other religions and none,21
N00000550,Female,Catholic,108
N00000550,Female,Protestant and Other Christian,99
N00000550,Female,Other religions and none,22
N00000551,Male,Catholic,67
N00000551,Male,Protestant and Other Christian,49
N00000551,Male,Other religions and none,14
N00000551,Female,Catholic,70
N00000551,Female,Protestant and Other Christian,55
N00000551,Female,Other religions and none,14
N00000552,Male,Catholic,73
N00000552,Male,Protestant and Other Christian,46
N00000552,Male,Other religions and none,6
N00000552,Female,Catholic,81
N00000552,Female,Protestant and Other Christian,41
N00000552,Female,Other religions and none,7
N00000553,Male,Catholic,101
N00000553,Male,Protestant and Other Christian,47
N00000553,Male,Other religions and none,17
N00000553,Female,Catholic,102
N00000553,Female,Protestant and Other Christian,63
N00000553,Female,Other religions and none,17
N00000554,Male,Catholic,70
N00000554,Male,Protestant and Other Christian,47
N00000554,Male,Other religions and none,8
N00000554,Female,Catholic,90
N00000554,Female,Protestant and Other Christian,28
N00000554,Female,Other religions and none,7
N00000555,Male,Catholic,77
N00000555,Male,Protestant and Other Christian,22
N00000555,Male,Other religions and none,11
N00000555,Female,Catholic,93
N00000555,Female,Protestant and Other Christian,35
N00000555,Female,Other religions and none,13
N00000556,Male,Catholic,80
N00000556,Male,Protestant and Other Christian,53
N00000556,Male,Other religions and none,13
N00000556,Female,Catholic,120
N00000556,Female,Protestant and Other Christian,70
N00000556,Female,Other religions and none,12
N00000557,Male,Catholic,99
N00000557,Male,Protestant and Other Christian,170
N00000557,Male,Other religions and none,10
N00000557,Female,Catholic,89
N00000557,Female,Protestant and Other Christian,168
N00000557,Female,Other religions and none,16
N00000558,Male,Catholic,6
N00000558,Male,Protestant and Other Christian,219
N00000558,Male,Other religions and none,17
N00000558,Female,Catholic,13
N00000558,Female,Protestant and Other Christian,202
N00000558,Female,Other religions and none,9
N00000559,Male,Catholic,14
N00000559,Male,Protestant and Other Christian,142
N00000559,Male,Other religions and none,13
N00000559,Female,Catholic,9
N00000559,Female,Protestant and Other Christian,134
N00000559,Female,Other religions and none,10
N00000560,Male,Catholic,3
N00000560,Male,Protestant and Other Christian,212
N00000560,Male,Other religions and none,7
N00000560,Female,Catholic,5
N00000560,Female,Protestant and Other Christian,181
N00000560,Female,Other religions and none,5
N00000561,Male,Catholic,75
N00000561,Male,Protestant and Other Christian,177
N00000561,Male,Other religions and none,3
N00000561,Female,Catholic,79
N00000561,Female,Protestant and Other Christian,156
N00000561,Female,Other religions and none,3
N00000562,Male,Catholic,5
N00000562,Male,Protestant and Other Christian,168
N00000562,Male,Other religions and none,15
N00000562,Female,Catholic,10
N00000562,Female,Protestant and Other Christian,153
N00000562,Female,Other religions and none,13
N00000563,Male,Catholic,261
N00000563,Male,Protestant and Other Christian,153
N00000563,Male,Other religions and none,49
N00000563,Female,Catholic,245
N00000563,Female,Protestant and Other Christian,187
N00000563,Female,Other religions and none,28
N00000564,Male,Catholic,101
N00000564,Male,Protestant and Other Christian,52
N00000564,Male,Other religions and none,13
N00000564,Female,Catholic,102
N00000564,Female,Protestant and Other Christian,48
N00000564,Female,Other religions and none,7
N00000565,Male,Catholic,30
N00000565,Male,Protestant and Other Christian,65
N00000565,Male,Other religions and none,11
N00000565,Female,Catholic,49
N00000565,Female,Protestant and Other Christian,59
N00000565,Female,Other religions and none,4
N00000566,Male,Catholic,100
N00000566,Male,Protestant and Other Christian,41
N00000566,Male,Other religions and none,7
N00000566,Female,Catholic,113
N00000566,Female,Protestant and Other Christian,49
N00000566,Female,Other religions and none,10
N00000567,Male,Catholic,14
N00000567,Male,Protestant and Other Christian,224
N00000567,Male,Other religions and none,19
N00000567,Female,Catholic,16
N00000567,Female,Protestant and Other Christian,229
N00000567,Female,Other religions and none,15
N00000568,Male,Catholic,2
N00000568,Male,Protestant and Other Christian,159
N00000568,Male,Other religions and none,11
N00000568,Female,Catholic,1
N00000568,Female,Protestant and Other Christian,177
N00000568,Female,Other religions and none,19
N00000569,Male,Catholic,6
N00000569,Male,Protestant and Other Christian,150
N00000569,Male,Other religions and none,11
N00000569,Female,Catholic,5
N00000569,Female,Protestant and Other Christian,194
N00000569,Female,Other religions and none,14
N00000570,Male,Catholic,10
N00000570,Male,Protestant and Other Christian,148
N00000570,Male,Other religions and none,12
N00000570,Female,Catholic,8
N00000570,Female,Protestant and Other Christian,141
N00000570,Female,Other religions and none,18
N00000571,Male,Catholic,2
N00000571,Male,Protestant and Other Christian,148
N00000571,Male,Other religions and none,5
N00000571,Female,Catholic,2
N00000571,Female,Protestant and Other Christian,141
N00000571,Female,Other religions and none,5
N00000572,Male,Catholic,26
N00000572,Male,Protestant and Other Christian,216
N00000572,Male,Other religions and none,25
N00000572,Female,Catholic,34
N00000572,Female,Protestant and Other Christian,256
N00000572,Female,Other religions and none,15
N00000573,Male,Catholic,38
N00000573,Male,Protestant and Other Christian,138
N00000573,Male,Other religions and none,8
N00000573,Female,Catholic,30
N00000573,Female,Protestant and Other Christian,139
N00000573,Female,Other religions and none,11
N00000574,Male,Catholic,23
N00000574,Male,Protestant and Other Christian,178
N00000574,Male,Other religions and none,17
N00000574,Female,Catholic,22
N00000574,Female,Protestant and Other Christian,182
N00000574,Female,Other religions and none,13
N00000575,Male,Catholic,32
N00000575,Male,Protestant and Other Christian,207
N00000575,Male,Other religions and none,7
N00000575,Female,Catholic,20
N00000575,Female,Protestant and Other Christian,193
N00000575,Female,Other religions and none,3
N00000576,Male,Catholic,159
N00000576,Male,Protestant and Other Christian,10
N00000576,Male,Other religions and none,2
N00000576,Female,Catholic,166
N00000576,Female,Protestant and Other Christian,4
N00000576,Female,Other religions and none,3
N00000577,Male,Catholic,161
N00000577,Male,Protestant and Other Christian,53
N00000577,Male,Other religions and none,2
N00000577,Female,Catholic,180
N00000577,Female,Protestant and Other Christian,38
N00000577,Female,Other religions and none,0
N00000578,Male,Catholic,303
N00000578,Male,Protestant and Other Christian,32
N00000578,Male,Other religions and none,7
N00000578,Female,Catholic,347
N00000578,Female,Protestant and Other Christian,22
N00000578,Female,Other religions and none,7
N00000579,Male,Catholic,203
N00000579,Male,Protestant and Other Christian,22
N00000579,Male,Other religions and none,9
N00000579,Female,Catholic,217
N00000579,Female,Protestant and Other Christian,17
N00000579,Female,Other religions and none,12
N00000580,Male,Catholic,21
N00000580,Male,Protestant and Other Christian,205
N00000580,Male,Other religions and none,6
N00000580,Female,Catholic,22
N00000580,Female,Protestant and Other Christian,210
N00000580,Female,Other religions and none,10
N00000581,Male,Catholic,132
N00000581,Male,Protestant and Other Christian,139
N00000581,Male,Other religions and none,16
N00000581,Female,Catholic,124
N00000581,Female,Protestant and Other Christian,113
N00000581,Female,Other religions and none,15
N00000582,Male,Catholic,5
N00000582,Male,Protestant and Other Christian,187
N00000582,Male,Other religions and none,8
N00000582,Female,Catholic,8
N00000582,Female,Protestant and Other Christian,183
N00000582,Female,Other religions and none,10
N00000583,Male,Catholic,19
N00000583,Male,Protestant and Other Christian,135
N00000583,Male,Other religions and none,8
N00000583,Female,Catholic,25
N00000583,Female,Protestant and Other Christian,112
N00000583,Female,Other religions and none,6
N00000584,Male,Catholic,30
N00000584,Male,Protestant and Other Christian,198
N00000584,Male,Other religions and none,12
N00000584,Female,Catholic,25
N00000584,Female,Protestant and Other Christian,212
N00000584,Female,Other religions and none,16
N00000585,Male,Catholic,10
N00000585,Male,Protestant and Other Christian,212
N00000585,Male,Other religions and none,18
N00000585,Female,Catholic,13
N00000585,Female,Protestant and Other Christian,211
N00000585,Female,Other religions and none,13
N00000586,Male,Catholic,51
N00000586,Male,Protestant and Other Christian,175
N00000586,Male,Other religions and none,7
N00000586,Female,Catholic,47
N00000586,Female,Protestant and Other Christian,160
N00000586,Female,Other religions and none,6
N00000587,Male,Catholic,62
N00000587,Male,Protestant and Other Christian,165
N00000587,Male,Other religions and none,21
N00000587,Female,Catholic,56
N00000587,Female,Protestant and Other Christian,144
N00000587,Female,Other religions and none,17
N00000588,Male,Catholic,10
N00000588,Male,Protestant and Other Christian,189
N00000588,Male,Other religions and none,4
N00000588,Female,Catholic,11
N00000588,Female,Protestant and Other Christian,175
N00000588,Female,Other religions and none,5
N00000589,Male,Catholic,239
N00000589,Male,Protestant and Other Christian,61
N00000589,Male,Other religions and none,8
N00000589,Female,Catholic,264
N00000589,Female,Protestant and Other Christian,61
N00000589,Female,Other religions and none,6
N00000590,Male,Catholic,7
N00000590,Male,Protestant and Other Christian,188
N00000590,Male,Other religions and none,7
N00000590,Female,Catholic,2
N00000590,Female,Protestant and Other Christian,198
N00000590,Female,Other religions and none,14
N00000591,Male,Catholic,93
N00000591,Male,Protestant and Other Christian,124
N00000591,Male,Other religions and none,7
N00000591,Female,Catholic,96
N00000591,Female,Protestant and Other Christian,126
N00000591,Female,Other religions and none,8
N00000592,Male,Catholic,31
N00000592,Male,Protestant and Other Christian,187
N00000592,Male,Other religions and none,14
N00000592,Female,Catholic,35
N00000592,Female,Protestant and Other Christian,199
N00000592,Female,Other religions and none,14
N00000593,Male,Catholic,224
N00000593,Male,Protestant and Other Christian,66
N00000593,Male,Other religions and none,9
N00000593,Female,Catholic,215
N00000593,Female,Protestant and Other Christian,58
N00000593,Female,Other religions and none,4
N00000594,Male,Catholic,9
N00000594,Male,Protestant and Other Christian,167
N00000594,Male,Other religions and none,9
N00000594,Female,Catholic,19
N00000594,Female,Protestant and Other Christian,161
N00000594,Female,Other religions and none,6
N00000595,Male,Catholic,76
N00000595,Male,Protestant and Other Christian,172
N00000595,Male,Other religions and none,17
N00000595,Female,Catholic,70
N00000595,Female,Protestant and Other Christian,185
N00000595,Female,Other religions and none,5
N00000596,Male,Catholic,15
N00000596,Male,Protestant and Other Christian,123
N00000596,Male,Other religions and none,10
N00000596,Female,Catholic,11
N00000596,Female,Protestant and Other Christian,121
N00000596,Female,Other religions and none,13
N00000597,Male,Catholic,6
N00000597,Male,Protestant and Other Christian,103
N00000597,Male,Other religions and none,10
N00000597,Female,Catholic,9
N00000597,Female,Protestant and Other Christian,101
N00000597,Female,Other religions and none,6
N00000598,Male,Catholic,31
N00000598,Male,Protestant and Other Christian,99
N00000598,Male,Other religions and none,21
N00000598,Female,Catholic,23
N00000598,Female,Protestant and Other Christian,96
N00000598,Female,Other religions and none,17
N00000599,Male,Catholic,9
N00000599,Male,Protestant and Other Christian,93
N00000599,Male,Other religions and none,14
N00000599,Female,Catholic,6
N00000599,Female,Protestant and Other Christian,96
N00000599,Female,Other religions and none,5
N00000600,Male,Catholic,16
N00000600,Male,Protestant and Other Christian,125
N00000600,Male,Other religions and none,16
N00000600,Female,Catholic,15
N00000600,Female,Protestant and Other Christian,167
N00000600,Female,Other religions and none,11
N00000601,Male,Catholic,8
N00000601,Male,Protestant and Other Christian,119
N00000601,Male,Other religions and none,13
N00000601,Female,Catholic,10
N00000601,Female,Protestant and Other Christian,129
N00000601,Female,Other religions and none,4
N00000602,Male,Catholic,3
N00000602,Male,Protestant and Other Christian,92
N00000602,Male,Other religions and none,2
N00000602,Female,Catholic,2
N00000602,Female,Protestant and Other Christian,108
N00000602,Female,Other religions and none,7
N00000603,Male,Catholic,7
N00000603,Male,Protestant and Other Christian,180
N00000603,Male,Other religions and none,5
N00000603,Female,Catholic,15
N00000603,Female,Protestant and Other Christian,202
N00000603,Female,Other religions and none,5
N00000604,Male,Catholic,5
N00000604,Male,Protestant and Other Christian,148
N00000604,Male,Other religions and none,13
N00000604,Female,Catholic,5
N00000604,Female,Protestant and Other Christian,162
N00000604,Female,Other religions and none,7
N00000605,Male,Catholic,9
N00000605,Male,Protestant and Other Christian,216
N00000605,Male,Other religions and none,13
N00000605,Female,Catholic,16
N00000605,Female,Protestant and Other Christian,218
N00000605,Female,Other religions and none,16
N00000606,Male,Catholic,13
N00000606,Male,Protestant and Other Christian,143
N00000606,Male,Other religions and none,16
N00000606,Female,Catholic,8
N00000606,Female,Protestant and Other Christian,163
N00000606,Female,Other religions and none,9
N00000607,Male,Catholic,3
N00000607,Male,Protestant and Other Christian,127
N00000607,Male,Other religions and none,17
N00000607,Female,Catholic,3
N00000607,Female,Protestant and Other Christian,150
N00000607,Female,Other religions and none,10
N00000608,Male,Catholic,19
N00000608,Male,Protestant and Other Christian,159
N00000608,Male,Other religions and none,11
N00000608,Female,Catholic,18
N00000608,Female,Protestant and Other Christian,149
N00000608,Female,Other religions and none,9
N00000609,Male,Catholic,16
N00000609,Male,Protestant and Other Christian,159
N00000609,Male,Other religions and none,8
N00000609,Female,Catholic,12
N00000609,Female,Protestant and Other Christian,171
N00000609,Female,Other religions and none,9
N00000610,Male,Catholic,12
N00000610,Male,Protestant and Other Christian,186
N00000610,Male,Other religions and none,17
N00000610,Female,Catholic,12
N00000610,Female,Protestant and Other Christian,177
N00000610,Female,Other religions and none,15
N00000611,Male,Catholic,1
N00000611,Male,Protestant and Other Christian,140
N00000611,Male,Other religions and none,11
N00000611,Female,Catholic,3
N00000611,Female,Protestant and Other Christian,137
N00000611,Female,Other religions and none,9
N00000612,Male,Catholic,21
N00000612,Male,Protestant and Other Christian,231
N00000612,Male,Other religions and none,25
N00000612,Female,Catholic,15
N00000612,Female,Protestant and Other Christian,234
N00000612,Female,Other religions and none,17
N00000613,Male,Catholic,13
N00000613,Male,Protestant and Other Christian,89
N00000613,Male,Other religions and none,10
N00000613,Female,Catholic,9
N00000613,Female,Protestant and Other Christian,108
N00000613,Female,Other religions and none,7
N00000614,Male,Catholic,5
N00000614,Male,Protestant and Other Christian,93
N00000614,Male,Other religions and none,5
N00000614,Female,Catholic,7
N00000614,Female,Protestant and Other Christian,99
N00000614,Female,Other religions and none,8
N00000615,Male,Catholic,7
N00000615,Male,Protestant and Other Christian,55
N00000615,Male,Other religions and none,7
N00000615,Female,Catholic,4
N00000615,Female,Protestant and Other Christian,61
N00000615,Female,Other religions and none,5
N00000616,Male,Catholic,8
N00000616,Male,Protestant and Other Christian,119
N00000616,Male,Other religions and none,13
N00000616,Female,Catholic,11
N00000616,Female,Protestant and Other Christian,136
N00000616,Female,Other religions and none,14
N00000617,Male,Catholic,14
N00000617,Male,Protestant and Other Christian,125
N00000617,Male,Other religions and none,12
N00000617,Female,Catholic,10
N00000617,Female,Protestant and Other Christian,136
N00000617,Female,Other religions and none,13
N00000618,Male,Catholic,82
N00000618,Male,Protestant and Other Christian,183
N00000618,Male,Other religions and none,31
N00000618,Female,Catholic,90
N00000618,Female,Protestant and Other Christian,196
N00000618,Female,Other religions and none,39
N00000619,Male,Catholic,75
N00000619,Male,Protestant and Other Christian,104
N00000619,Male,Other religions and none,3
N00000619,Female,Catholic,75
N00000619,Female,Protestant and Other Christian,109
N00000619,Female,Other religions and none,5
N00000620,Male,Catholic,61
N00000620,Male,Protestant and Other Christian,102
N00000620,Male,Other religions and none,20
N00000620,Female,Catholic,71
N00000620,Female,Protestant and Other Christian,110
N00000620,Female,Other religions and none,8
N00000621,Male,Catholic,72
N00000621,Male,Protestant and Other Christian,99
N00000621,Male,Other religions and none,21
N00000621,Female,Catholic,81
N00000621,Female,Protestant and Other Christian,108
N00000621,Female,Other religions and none,9
N00000622,Male,Catholic,60
N00000622,Male,Protestant and Other Christian,89
N00000622,Male,Other religions and none,29
N00000622,Female,Catholic,77
N00000622,Female,Protestant and Other Christian,116
N00000622,Female,Other religions and none,14
N00000623,Male,Catholic,78
N00000623,Male,Protestant and Other Christian,96
N00000623,Male,Other religions and none,6
N00000623,Female,Catholic,63
N00000623,Female,Protestant and Other Christian,87
N00000623,Female,Other religions and none,2
N00000624,Male,Catholic,9
N00000624,Male,Protestant and Other Christian,206
N00000624,Male,Other religions and none,7
N00000624,Female,Catholic,14
N00000624,Female,Protestant and Other Christian,230
N00000624,Female,Other religions and none,3
N00000625,Male,Catholic,87
N00000625,Male,Protestant and Other Christian,40
N00000625,Male,Other religions and none,3
N00000625,Female,Catholic,74
N00000625,Female,Protestant and Other Christian,55
N00000625,Female,Other religions and none,3
N00000626,Male,Catholic,114
N00000626,Male,Protestant and Other Christian,118
N00000626,Male,Other religions and none,8
N00000626,Female,Catholic,112
N00000626,Female,Protestant and Other Christian,137
N00000626,Female,Other religions and none,3
N00000627,Male,Catholic,74
N00000627,Male,Protestant and Other Christian,158
N00000627,Male,Other religions and none,8
N00000627,Female,Catholic,73
N00000627,Female,Protestant and Other Christian,139
N00000627,Female,Other religions and none,4
N00000628,Male,Catholic,50
N00000628,Male,Protestant and Other Christian,158
N00000628,Male,Other religions and none,6
N00000628,Female,Catholic,57
N00000628,Female,Protestant and Other Christian,140
N00000628,Female,Other religions and none,4
N00000629,Male,Catholic,84
N00000629,Male,Protestant and Other Christian,130
N00000629,Male,Other religions and none,9
N00000629,Female,Catholic,91
N00000629,Female,Protestant and Other Christian,119
N00000629,Female,Other religions and none,5
N00000630,Male,Catholic,61
N00000630,Male,Protestant and Other Christian,59
N00000630,Male,Other religions and none,5
N00000630,Female,Catholic,61
N00000630,Female,Protestant and Other Christian,85
N00000630,Female,Other religions and none,1
N00000631,Male,Catholic,15
N00000631,Male,Protestant and Other Christian,201
N00000631,Male,Other religions and none,5
N00000631,Female,Catholic,12
N00000631,Female,Protestant and Other Christian,160
N00000631,Female,Other religions and none,13
N00000632,Male,Catholic,37
N00000632,Male,Protestant and Other Christian,186
N00000632,Male,Other religions and none,14
N00000632,Female,Catholic,28
N00000632,Female,Protestant and Other Christian,184
N00000632,Female,Other religions and none,25
N00000633,Male,Catholic,17
N00000633,Male,Protestant and Other Christian,142
N00000633,Male,Other religions and none,13
N00000633,Female,Catholic,16
N00000633,Female,Protestant and Other Christian,129
N00000633,Female,Other religions and none,8
N00000634,Male,Catholic,8
N00000634,Male,Protestant and Other Christian,221
N00000634,Male,Other religions and none,25
N00000634,Female,Catholic,7
N00000634,Female,Protestant and Other Christian,223
N00000634,Female,Other religions and none,11
N00000635,Male,Catholic,60
N00000635,Male,Protestant and Other Christian,134
N00000635,Male,Other religions and none,10
N00000635,Female,Catholic,56
N00000635,Female,Protestant and Other Christian,140
N00000635,Female,Other religions and none,10
N00000636,Male,Catholic,21
N00000636,Male,Protestant and Other Christian,171
N00000636,Male,Other religions and none,3
N00000636,Female,Catholic,29
N00000636,Female,Protestant and Other Christian,161
N00000636,Female,Other religions and none,14
N00000637,Male,Catholic,226
N00000637,Male,Protestant and Other Christian,137
N00000637,Male,Other religions and none,30
N00000637,Female,Catholic,241
N00000637,Female,Protestant and Other Christian,178
N00000637,Female,Other religions and none,20
N00000638,Male,Catholic,112
N00000638,Male,Protestant and Other Christian,73
N00000638,Male,Other religions and none,13
N00000638,Female,Catholic,120
N00000638,Female,Protestant and Other Christian,72
N00000638,Female,Other religions and none,8
N00000639,Male,Catholic,164
N00000639,Male,Protestant and Other Christian,37
N00000639,Male,Other religions and none,5
N00000639,Female,Catholic,169
N00000639,Female,Protestant and Other Christian,31
N00000639,Female,Other religions and none,2
N00000640,Male,Catholic,141
N00000640,Male,Protestant and Other Christian,22
N00000640,Male,Other religions and none,13
N00000640,Female,Catholic,121
N00000640,Female,Protestant and Other Christian,27
N00000640,Female,Other religions and none,19
N00000641,Male,Catholic,135
N00000641,Male,Protestant and Other Christian,28
N00000641,Male,Other religions and none,6
N00000641,Female,Catholic,134
N00000641,Female,Protestant and Other Christian,32
N00000641,Female,Other religions and none,6
N00000642,Male,Catholic,105
N00000642,Male,Protestant and Other Christian,66
N00000642,Male,Other religions and none,12
N00000642,Female,Catholic,134
N00000642,Female,Protestant and Other Christian,66
N00000642,Female,Other religions and none,6
N00000643,Male,Catholic,218
N00000643,Male,Protestant and Other Christian,14
N00000643,Male,Other religions and none,1
N00000643,Female,Catholic,232
N00000643,Female,Protestant and Other Christian,12
N00000643,Female,Other religions and none,0
N00000644,Male,Catholic,272
N00000644,Male,Protestant and Other Christian,15
N00000644,Male,Other religions and none,2
N00000644,Female,Catholic,243
N00000644,Female,Protestant and Other Christian,14
N00000644,Female,Other religions and none,2
N00000645,Male,Catholic,197
N00000645,Male,Protestant and Other Christian,24
N00000645,Male,Other religions and none,3
N00000645,Female,Catholic,207
N00000645,Female,Protestant and Other Christian,15
N00000645,Female,Other religions and none,5
N00000646,Male,Catholic,181
N00000646,Male,Protestant and Other Christian,29
N00000646,Male,Other religions and none,5
N00000646,Female,Catholic,182
N00000646,Female,Protestant and Other Christian,18
N00000646,Female,Other religions and none,4
N00000647,Male,Catholic,19
N00000647,Male,Protestant and Other Christian,320
N00000647,Male,Other religions and none,19
N00000647,Female,Catholic,22
N00000647,Female,Protestant and Other Christian,334
N00000647,Female,Other religions and none,9
N00000648,Male,Catholic,19
N00000648,Male,Protestant and Other Christian,156
N00000648,Male,Other religions and none,15
N00000648,Female,Catholic,22
N00000648,Female,Protestant and Other Christian,156
N00000648,Female,Other religions and none,13
N00000649,Male,Catholic,9
N00000649,Male,Protestant and Other Christian,173
N00000649,Male,Other religions and none,15
N00000649,Female,Catholic,10
N00000649,Female,Protestant and Other Christian,174
N00000649,Female,Other religions and none,8
N00000650,Male,Catholic,18
N00000650,Male,Protestant and Other Christian,259
N00000650,Male,Other religions and none,29
N00000650,Female,Catholic,7
N00000650,Female,Protestant and Other Christian,267
N00000650,Female,Other religions and none,22
N00000651,Male,Catholic,18
N00000651,Male,Protestant and Other Christian,88
N00000651,Male,Other religions and none,18
N00000651,Female,Catholic,31
N00000651,Female,Protestant and Other Christian,103
N00000651,Female,Other religions and none,20
N00000652,Male,Catholic,47
N00000652,Male,Protestant and Other Christian,196
N00000652,Male,Other religions and none,13
N00000652,Female,Catholic,39
N00000652,Female,Protestant and Other Christian,224
N00000652,Female,Other religions and none,14
N00000653,Male,Catholic,24
N00000653,Male,Protestant and Other Christian,106
N00000653,Male,Other religions and none,13
N00000653,Female,Catholic,26
N00000653,Female,Protestant and Other Christian,136
N00000653,Female,Other religions and none,4
N00000654,Male,Catholic,15
N00000654,Male,Protestant and Other Christian,108
N00000654,Male,Other religions and none,9
N00000654,Female,Catholic,25
N00000654,Female,Protestant and Other Christian,105
N00000654,Female,Other religions and none,7
N00000655,Male,Catholic,35
N00000655,Male,Protestant and Other Christian,134
N00000655,Male,Other religions and none,13
N00000655,Female,Catholic,35
N00000655,Female,Protestant and Other Christian,137
N00000655,Female,Other religions and none,14
N00000656,Male,Catholic,18
N00000656,Male,Protestant and Other Christian,98
N00000656,Male,Other religions and none,6
N00000656,Female,Catholic,22
N00000656,Female,Protestant and Other Christian,96
N00000656,Female,Other religions and none,2
N00000657,Male,Catholic,124
N00000657,Male,Protestant and Other Christian,265
N00000657,Male,Other religions and none,20
N00000657,Female,Catholic,150
N00000657,Female,Protestant and Other Christian,276
N00000657,Female,Other religions and none,16
N00000658,Male,Catholic,122
N00000658,Male,Protestant and Other Christian,71
N00000658,Male,Other religions and none,6
N00000658,Female,Catholic,105
N00000658,Female,Protestant and Other Christian,54
N00000658,Female,Other religions and none,6
N00000659,Male,Catholic,70
N00000659,Male,Protestant and Other Christian,115
N00000659,Male,Other religions and none,10
N00000659,Female,Catholic,76
N00000659,Female,Protestant and Other Christian,111
N00000659,Female,Other religions and none,9
N00000660,Male,Catholic,59
N00000660,Male,Protestant and Other Christian,119
N00000660,Male,Other religions and none,6
N00000660,Female,Catholic,63
N00000660,Female,Protestant and Other Christian,130
N00000660,Female,Other religions and none,10
N00000661,Male,Catholic,26
N00000661,Male,Protestant and Other Christian,159
N00000661,Male,Other religions and none,4
N00000661,Female,Catholic,28
N00000661,Female,Protestant and Other Christian,156
N00000661,Female,Other religions and none,11
N00000662,Male,Catholic,13
N00000662,Male,Protestant and Other Christian,143
N00000662,Male,Other religions and none,18
N00000662,Female,Catholic,16
N00000662,Female,Protestant and Other Christian,150
N00000662,Female,Other religions and none,12
N00000663,Male,Catholic,28
N00000663,Male,Protestant and Other Christian,167
N00000663,Male,Other religions and none,14
N00000663,Female,Catholic,17
N00000663,Female,Protestant and Other Christian,156
N00000663,Female,Other religions and none,13
N00000664,Male,Catholic,16
N00000664,Male,Protestant and Other Christian,164
N00000664,Male,Other religions and none,8
N00000664,Female,Catholic,13
N00000664,Female,Protestant and Other Christian,168
N00000664,Female,Other religions and none,9
N00000665,Male,Catholic,204
N00000665,Male,Protestant and Other Christian,20
N00000665,Male,Other religions and none,5
N00000665,Female,Catholic,230
N00000665,Female,Protestant and Other Christian,26
N00000665,Female,Other religions and none,0
N00000666,Male,Catholic,87
N00000666,Male,Protestant and Other Christian,133
N00000666,Male,Other religions and none,4
N00000666,Female,Catholic,76
N00000666,Female,Protestant and Other Christian,134
N00000666,Female,Other religions and none,5
N00000667,Male,Catholic,257
N00000667,Male,Protestant and Other Christian,12
N00000667,Male,Other religions and none,5
N00000667,Female,Catholic,250
N00000667,Female,Protestant and Other Christian,12
N00000667,Female,Other religions and none,2
N00000668,Male,Catholic,152
N00000668,Male,Protestant and Other Christian,7
N00000668,Male,Other religions and none,2
N00000668,Female,Catholic,156
N00000668,Female,Protestant and Other Christian,5
N00000668,Female,Other religions and none,1
N00000669,Male,Catholic,236
N00000669,Male,Protestant and Other Christian,12
N00000669,Male,Other religions and none,2
N00000669,Female,Catholic,227
N00000669,Female,Protestant and Other Christian,12
N00000669,Female,Other religions and none,4
N00000670,Male,Catholic,17
N00000670,Male,Protestant and Other Christian,109
N00000670,Male,Other religions and none,11
N00000670,Female,Catholic,29
N00000670,Female,Protestant and Other Christian,122
N00000670,Female,Other religions and none,4
N00000671,Male,Catholic,13
N00000671,Male,Protestant and Other Christian,92
N00000671,Male,Other religions and none,4
N00000671,Female,Catholic,10
N00000671,Female,Protestant and Other Christian,112
N00000671,Female,Other religions and none,8
N00000672,Male,Catholic,55
N00000672,Male,Protestant and Other Christian,87
N00000672,Male,Other religions and none,5
N00000672,Female,Catholic,56
N00000672,Female,Protestant and Other Christian,112
N00000672,Female,Other religions and none,9
N00000673,Male,Catholic,51
N00000673,Male,Protestant and Other Christian,351
N00000673,Male,Other religions and none,48
N00000673,Female,Catholic,68
N00000673,Female,Protestant and Other Christian,386
N00000673,Female,Other religions and none,39
N00000674,Male,Catholic,32
N00000674,Male,Protestant and Other Christian,100
N00000674,Male,Other religions and none,14
N00000674,Female,Catholic,35
N00000674,Female,Protestant and Other Christian,129
N00000674,Female,Other religions and none,6
N00000675,Male,Catholic,21
N00000675,Male,Protestant and Other Christian,148
N00000675,Male,Other religions and none,14
N00000675,Female,Catholic,24
N00000675,Female,Protestant and Other Christian,165
N00000675,Female,Other religions and none,15
N00000676,Male,Catholic,55
N00000676,Male,Protestant and Other Christian,246
N00000676,Male,Other religions and none,23
N00000676,Female,Catholic,49
N00000676,Female,Protestant and Other Christian,326
N00000676,Female,Other religions and none,22
N00000677,Male,Catholic,29
N00000677,Male,Protestant and Other Christian,100
N00000677,Male,Other religions and none,13
N00000677,Female,Catholic,33
N00000677,Female,Protestant and Other Christian,109
N00000677,Female,Other religions and none,11
N00000678,Male,Catholic,108
N00000678,Male,Protestant and Other Christian,146
N00000678,Male,Other religions and none,13
N00000678,Female,Catholic,111
N00000678,Female,Protestant and Other Christian,141
N00000678,Female,Other religions and none,12
N00000679,Male,Catholic,42
N00000679,Male,Protestant and Other Christian,228
N00000679,Male,Other religions and none,11
N00000679,Female,Catholic,54
N00000679,Female,Protestant and Other Christian,216
N00000679,Female,Other religions and none,10
N00000680,Male,Catholic,148
N00000680,Male,Protestant and Other Christian,50
N00000680,Male,Other religions and none,11
N00000680,Female,Catholic,154
N00000680,Female,Protestant and Other Christian,47
N00000680,Female,Other religions and none,3
N00000681,Male,Catholic,21
N00000681,Male,Protestant and Other Christian,159
N00000681,Male,Other religions and none,17
N00000681,Female,Catholic,24
N00000681,Female,Protestant and Other Christian,144
N00000681,Female,Other religions and none,20
N00000682,Male,Catholic,163
