OA_CODE,ward_2001,lgd_2001,DZ2021_cd,SA2011,dea_1972,dea_1984,dea_1993,dea_2012
95NN220006,95NN22,95NN,N20003420,N00002784,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010007,95NN01,95NN,N20003423,N00002638,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010008,95NN01,95NN,N20003420,N00002639,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010002,95NN01,95NN,N20003423,N00002636,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN140001,95NN14,95NN,N20003424,N00002720,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010006,95NN01,95NN,N20003414,N00002637,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN220001,95NN22,95NN,N20003414,N00002779,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN220005,95NN22,95NN,N20003414,N00002783,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020002,95NN02,95NN,N20003402,N00002641,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070008,95NN07,95NN,N20003417,N00002674,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070002,95NN07,95NN,N20003422,N00002673,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070005,95NN07,95NN,N20003421,N00002671,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070006,95NN07,95NN,N20003419,N00002672,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070004,95NN07,95NN,N20003415,N00002671,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070007,95NN07,95NN,N20003421,N00002671,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070003,95NN07,95NN,N20003418,N00002673,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
