OA_CODE,SA2011,weight
95AA010001,N00000002,0.9999999336415375
95AA010002,N00000003,0.9913803131477158
95AA010002,N00000001,0.008620027728595306
95AA010003,N00000004,0.9999999924648346
95AA010004,N00000007,0.9999999804741803
95AA010005,N00000008,0.999999927456899
95AA010006,N00000009,0.9999999730947496
95AA010007,N00000005,0.9999999885798031
95AA010008,N00000008,0.9999999502464948
95AA010009,N00000010,0.7626784517798075
95AA010009,N00000001,0.2373202584266621
95AA010010,N00000001,0.9999999912045464
95AA010011,N00000006,0.6511834478002224
95AA010011,N00000001,0.3488160951105642
95AA010011,N00000003,1.5683838263957074e-06
95AA020001,N00000011,0.9999999730628726
95AA020002,N00000012,0.999999792245002
95AA020003,N00000013,0.9999997858029577
95AA020004,N00000014,0.9999998238409911
95AA020005,N00000015,0.9999997519788372
95AA020006,N00000016,0.9999996245686176
95AA030001,N00000017,0.99999971490093
95AA030002,N00000018,0.9999997906897062
95AA030003,N00000019,0.9999997051808546
95AA030004,N00000020,0.9999995581630404
95AA030005,N00000021,0.9999997212351933
95AA030006,N00000022,0.9999995985504911
95AA030007,N00000023,0.9999996462076216
95AA040001,N00000024,0.9999999611912811
95AA040002,N00000025,0.9999999630461792
95AA040003,N00000026,0.9999999650230972
95AA040004,N00000027,0.9999999718781611
95AA040005,N00000028,0.9999998336962117
95AA040006,N00000029,0.9999999781901544
95AA040007,N00000030,0.9999999831292457
95AA050001,N00000031,0.999999991370301
95AA050002,N00000032,0.9999999464164634
95AA050003,N00000033,0.9999999753237407
95AA050004,N00000034,0.9999998991745791
95AA050005,N00000035,0.9999996656868041
95AA050006,N00000036,0.9999997968642245
95AA060001,N00000040,0.999999813944814
95AA060002,N00000037,0.9999997924500964
95AA060003,N00000041,0.9999997008602328
95AA060004,N00000038,0.999999972500887
95AA060005,N00000042,0.9999996717035172
95AA060006,N00000039,0.999999839663702
95AA060007,N00000039,0.9999998882288531
95AA060008,N00000043,0.9999999405675772
95AA060009,N00000044,0.9999998308288572
95AA060010,N00000043,0.9999998061641759
95AA060011,N00000039,0.9999997290166196
95AA070001,N00000045,0.9999999647965339
95AA070002,N00000046,0.9999999698503226
95AA070003,N00000047,0.9999999425437897
95AA070004,N00000048,0.9999998136300114
95AA070005,N00000049,0.9999997476437981
95AA070006,N00000050,0.999999778213894
95AA080001,N00000051,0.9999998030124774
95AA080002,N00000052,0.9999999492277312
95AA080003,N00000053,0.9999998295783934
95AA080004,N00000054,0.9999997078817664
95AA080005,N00000055,0.9999998594679074
95AA080006,N00000056,0.99999964810074
95AA090001,N00000057,0.9999996098324334
95AA090002,N00000058,0.9999995845310644
95AA090003,N00000059,0.9999995726137797
95AA090004,N00000060,0.9999996413486383
95AA090005,N00000061,0.9999998487583641
95AA090006,N00000062,0.9999998513850729
95AA090007,N00000063,0.9999997822424606
95AA100001,N00000064,0.9999997181625557
95AA100002,N00000065,0.9999997827730185
95AA100003,N00000066,0.9999998072283821
95AA100004,N00000067,0.9999996853146398
95AA100005,N00000068,0.9999998078031057
95AA100006,N00000069,0.9999997505494754
95AA110001,N00000074,0.9999999423045509
95AA110002,N00000075,0.9999998505607239
95AA110003,N00000076,0.9999997518261903
95AA110004,N00000077,0.9999997778291025
95AA110005,N00000070,0.9999998523202166
95AA110006,N00000071,0.9999998603316834
95AA110007,N00000072,0.9999999808118777
