DZ2021_cd,DZ2021_nm,lgd1993
N20003536,Newtownards_N4,ARDS
N20003534,Newtownards_S5,ARDS
N20003535,Newtownards_N3,ARDS
N20003532,Newtownards_S3,ARDS
N20003531,Newtownards_S2,ARDS
N20003533,Newtownards_S4,ARDS
N20003526,Newtownards_P3,ARDS
N20003527,Newtownards_P4,ARDS
N20003530,Newtownards_S1,ARDS
N20003529,Newtownards_R4,ARDS
N20003528,Newtownards_Q4,ARDS
N20003525,Newtownards_Q3,ARDS
N20003744,Ards_Peninsula_D3,ARDS
N20003740,Ards_Peninsula_C4,ARDS
N20003731,Ards_Peninsula_C2,ARDS
N20003678,Bangor_Central_Q5,NORTH DOWN
N20003476,Newtownards_A3,ARDS
N20003479,Newtownards_B2,ARDS
N20003482,Newtownards_C1,ARDS
N20003489,Newtownards_C3,ARDS
N20003487,Newtownards_C2,ARDS
N20003491,Newtownards_G1,ARDS
N20003488,Newtownards_D2,ARDS
N20003484,Newtownards_D1,ARDS
N20003481,Newtownards_B4,ARDS
N20003480,Newtownards_B3,ARDS
N20003477,Newtownards_B1,ARDS
N20003738,Ards_Peninsula_B1,ARDS
N20003492,Newtownards_D3,ARDS
N20003497,Newtownards_H1,ARDS
N20003505,Newtownards_H2,ARDS
N20003739,Ards_Peninsula_B2,ARDS
N20003515,Newtownards_H5,ARDS
N20003520,Newtownards_Q2,ARDS
N20003519,Newtownards_Q1,ARDS
N20003511,Newtownards_H4,ARDS
N20003507,Newtownards_H3,ARDS
N20003498,Newtownards_G2,ARDS
N20003501,Newtownards_G3,ARDS
N20003506,Newtownards_K2,ARDS
N20003502,Newtownards_K1,ARDS
N20003512,Newtownards_R2,ARDS
N20003509,Newtownards_R1,ARDS
N20003517,Newtownards_R3,ARDS
N20003514,Newtownards_G4,ARDS
N20003522,Newtownards_L4,ARDS
N20003521,Newtownards_P1,ARDS
N20003524,Newtownards_P2,ARDS
N20003516,Newtownards_L2,ARDS
N20003518,Newtownards_L3,ARDS
N20003510,Newtownards_J4,ARDS
N20003500,Newtownards_L1,ARDS
N20003499,Newtownards_J1,ARDS
N20003504,Newtownards_J3,ARDS
N20003513,Newtownards_J5,ARDS
N20003503,Newtownards_J2,ARDS
N20003496,Newtownards_C4,ARDS
N20003493,Newtownards_F3,ARDS
N20003495,Newtownards_F4,ARDS
N20003485,Newtownards_F1,ARDS
N20003486,Newtownards_F2,ARDS
N20003478,Newtownards_A4,ARDS
N20003483,Newtownards_E1,ARDS
N20003490,Newtownards_E2,ARDS
N20003494,Newtownards_E3,ARDS
N20003508,Newtownards_N1,ARDS
N20003523,Newtownards_N2,ARDS
N20002509,Castlereagh_East_B2,CASTLEREAGH
N20003475,Newtownards_A2,ARDS
N20003474,Newtownards_A1,ARDS
N20003620,Bangor_West_J4,NORTH DOWN
N20003618,Bangor_West_H6,NORTH DOWN
N20003617,Bangor_West_H5,NORTH DOWN
N20003616,Bangor_West_H4,NORTH DOWN
N20003569,Holywood_and_Clandeboye_F4,NORTH DOWN
N20003547,Holywood_and_Clandeboye_C2,NORTH DOWN
N20003544,Holywood_and_Clandeboye_F2,NORTH DOWN
N20003539,Holywood_and_Clandeboye_F1,NORTH DOWN
N20003540,Holywood_and_Clandeboye_A3,NORTH DOWN
N20003546,Holywood_and_Clandeboye_C1,NORTH DOWN
N20003591,Bangor_West_E1,NORTH DOWN
N20003594,Bangor_West_E2,NORTH DOWN
N20003588,Bangor_West_B3,NORTH DOWN
N20003598,Bangor_West_C4,NORTH DOWN
N20003600,Bangor_West_E3,NORTH DOWN
N20003604,Bangor_West_E4,NORTH DOWN
N20003612,Bangor_West_E6,NORTH DOWN
N20003606,Bangor_West_E5,NORTH DOWN
N20003607,Bangor_West_H1,NORTH DOWN
N20003608,Bangor_West_H2,NORTH DOWN
N20003609,Bangor_West_H3,NORTH DOWN
N20003602,Bangor_West_D5,NORTH DOWN
N20003597,Bangor_West_D4,NORTH DOWN
N20003595,Bangor_West_C3,NORTH DOWN
N20003587,Bangor_West_B2,NORTH DOWN
N20003589,Bangor_West_C2,NORTH DOWN
N20003580,Bangor_West_A3,NORTH DOWN
N20003582,Bangor_West_C1,NORTH DOWN
N20003585,Bangor_West_B1,NORTH DOWN
N20003543,Holywood_and_Clandeboye_B3,NORTH DOWN
N20003541,Holywood_and_Clandeboye_B1,NORTH DOWN
N20003542,Holywood_and_Clandeboye_B2,NORTH DOWN
N20003578,Bangor_West_A1,NORTH DOWN
N20003579,Bangor_West_A2,NORTH DOWN
N20003584,Bangor_West_A6,NORTH DOWN
N20003581,Bangor_West_A4,NORTH DOWN
N20003583,Bangor_West_A5,NORTH DOWN
N20003642,Bangor_Central_C4,NORTH DOWN
N20003640,Bangor_Central_C3,NORTH DOWN
N20003632,Bangor_Central_C2,NORTH DOWN
N20003628,Bangor_Central_C1,NORTH DOWN
N20003624,Bangor_Central_A3,NORTH DOWN
N20003623,Bangor_Central_A2,NORTH DOWN
N20003630,Bangor_Central_D2,NORTH DOWN
N20003626,Bangor_Central_D1,NORTH DOWN
N20003639,Bangor_Central_D3,NORTH DOWN
N20003633,Bangor_Central_F2,NORTH DOWN
N20003631,Bangor_Central_F1,NORTH DOWN
N20003636,Bangor_Central_F3,NORTH DOWN
N20003644,Bangor_Central_F4,NORTH DOWN
N20003647,Bangor_Central_G3,NORTH DOWN
N20003650,Bangor_Central_J1,NORTH DOWN
N20003648,Bangor_Central_H1,NORTH DOWN
N20003653,Bangor_Central_K2,NORTH DOWN
N20003651,Bangor_Central_K1,NORTH DOWN
N20003649,Bangor_Central_H2,NORTH DOWN
N20003596,Bangor_West_F2,NORTH DOWN
N20003599,Bangor_West_F3,NORTH DOWN
N20003592,Bangor_West_F1,NORTH DOWN
N20003586,Bangor_West_D1,NORTH DOWN
N20003593,Bangor_West_D3,NORTH DOWN
N20003590,Bangor_West_D2,NORTH DOWN
N20003601,Bangor_West_G1,NORTH DOWN
N20003603,Bangor_West_G2,NORTH DOWN
N20003605,Bangor_West_F4,NORTH DOWN
N20003614,Bangor_West_G4,NORTH DOWN
N20003610,Bangor_West_G3,NORTH DOWN
N20003611,Bangor_West_J1,NORTH DOWN
N20003613,Bangor_West_J2,NORTH DOWN
N20003619,Bangor_West_J3,NORTH DOWN
N20003615,Bangor_West_G5,NORTH DOWN
N20003657,Bangor_Central_K4,NORTH DOWN
N20003663,Bangor_Central_N1,NORTH DOWN
N20003557,Holywood_and_Clandeboye_G3,NORTH DOWN
N20003556,Holywood_and_Clandeboye_G2,NORTH DOWN
N20003554,Holywood_and_Clandeboye_G1,NORTH DOWN
N20003562,Holywood_and_Clandeboye_J1,NORTH DOWN
N20003568,Holywood_and_Clandeboye_J2,NORTH DOWN
N20003572,Holywood_and_Clandeboye_J3,NORTH DOWN
N20003677,Bangor_Central_Q4,NORTH DOWN
N20003674,Bangor_Central_Q2,NORTH DOWN
N20003670,Bangor_Central_N3,NORTH DOWN
N20003671,Bangor_Central_N4,NORTH DOWN
N20003675,Bangor_Central_P5,NORTH DOWN
N20003673,Bangor_Central_Q1,NORTH DOWN
N20003676,Bangor_Central_Q3,NORTH DOWN
N20003672,Bangor_Central_P4,NORTH DOWN
N20003668,Bangor_Central_L5,NORTH DOWN
N20003667,Bangor_Central_P2,NORTH DOWN
N20003662,Bangor_Central_L2,NORTH DOWN
N20003664,Bangor_Central_L3,NORTH DOWN
N20003665,Bangor_Central_L4,NORTH DOWN
N20003666,Bangor_Central_N2,NORTH DOWN
N20003659,Bangor_Central_L1,NORTH DOWN
N20003660,Bangor_Central_K5,NORTH DOWN
N20003656,Bangor_Central_K3,NORTH DOWN
N20003654,Bangor_Central_H3,NORTH DOWN
N20003655,Bangor_Central_J3,NORTH DOWN
N20003658,Bangor_Central_J4,NORTH DOWN
N20003661,Bangor_Central_P1,NORTH DOWN
N20003712,Bangor_East_and_Donaghadee_H2,NORTH DOWN
N20003716,Bangor_East_and_Donaghadee_H4,NORTH DOWN
N20003708,Bangor_East_and_Donaghadee_G5,NORTH DOWN
N20003709,Bangor_East_and_Donaghadee_G6,NORTH DOWN
N20003710,Bangor_East_and_Donaghadee_H1,NORTH DOWN
N20003714,Bangor_East_and_Donaghadee_H3,NORTH DOWN
N20003717,Bangor_East_and_Donaghadee_H5,NORTH DOWN
N20003719,Bangor_East_and_Donaghadee_H6,NORTH DOWN
N20003669,Bangor_Central_P3,NORTH DOWN
N20003706,Bangor_East_and_Donaghadee_F5,NORTH DOWN
N20003697,Bangor_East_and_Donaghadee_F2,NORTH DOWN
N20003702,Bangor_East_and_Donaghadee_F4,NORTH DOWN
N20003699,Bangor_East_and_Donaghadee_G2,NORTH DOWN
N20003701,Bangor_East_and_Donaghadee_F3,NORTH DOWN
N20003703,Bangor_East_and_Donaghadee_G3,NORTH DOWN
N20003705,Bangor_East_and_Donaghadee_G4,NORTH DOWN
N20003652,Bangor_Central_J2,NORTH DOWN
N20003698,Bangor_East_and_Donaghadee_G1,NORTH DOWN
N20003695,Bangor_East_and_Donaghadee_D3,NORTH DOWN
N20003646,Bangor_Central_G2,NORTH DOWN
N20003645,Bangor_Central_G1,NORTH DOWN
N20003643,Bangor_Central_B5,NORTH DOWN
N20003692,Bangor_East_and_Donaghadee_D1,NORTH DOWN
N20003694,Bangor_East_and_Donaghadee_D2,NORTH DOWN
N20003696,Bangor_East_and_Donaghadee_F1,NORTH DOWN
N20003691,Bangor_East_and_Donaghadee_B7,NORTH DOWN
N20003690,Bangor_East_and_Donaghadee_B6,NORTH DOWN
N20003635,Bangor_Central_B3,NORTH DOWN
N20003641,Bangor_Central_E5,NORTH DOWN
N20003634,Bangor_Central_E3,NORTH DOWN
N20003638,Bangor_Central_E4,NORTH DOWN
N20003637,Bangor_Central_B4,NORTH DOWN
N20003627,Bangor_Central_E1,NORTH DOWN
N20003629,Bangor_Central_E2,NORTH DOWN
N20003622,Bangor_Central_B1,NORTH DOWN
N20003625,Bangor_Central_B2,NORTH DOWN
N20003687,Bangor_East_and_Donaghadee_B4,NORTH DOWN
N20003684,Bangor_East_and_Donaghadee_B2,NORTH DOWN
N20003683,Bangor_East_and_Donaghadee_B1,NORTH DOWN
N20003686,Bangor_East_and_Donaghadee_B3,NORTH DOWN
N20003689,Bangor_East_and_Donaghadee_B5,NORTH DOWN
N20003688,Bangor_East_and_Donaghadee_C1,ARDS
N20003693,Bangor_East_and_Donaghadee_C2,ARDS
N20003700,Bangor_East_and_Donaghadee_C3,ARDS
N20003713,Bangor_East_and_Donaghadee_J3,ARDS
N20003723,Bangor_East_and_Donaghadee_J7,ARDS
N20003720,Bangor_East_and_Donaghadee_J6,ARDS
N20003707,Bangor_East_and_Donaghadee_J1,ARDS
N20003704,Bangor_East_and_Donaghadee_C4,ARDS
N20003711,Bangor_East_and_Donaghadee_J2,ARDS
N20003715,Bangor_East_and_Donaghadee_J4,ARDS
N20003718,Bangor_East_and_Donaghadee_J5,ARDS
N20003725,Bangor_East_and_Donaghadee_K3,ARDS
N20003722,Bangor_East_and_Donaghadee_K1,ARDS
N20003728,Bangor_East_and_Donaghadee_K5,ARDS
N20003729,Bangor_East_and_Donaghadee_K6,ARDS
N20003727,Bangor_East_and_Donaghadee_K4,ARDS
N20003724,Bangor_East_and_Donaghadee_K2,ARDS
N20003726,Bangor_East_and_Donaghadee_E4,ARDS
N20003721,Bangor_East_and_Donaghadee_E3,ARDS
N20003730,Ards_Peninsula_C1,ARDS
N20003737,Ards_Peninsula_C3,ARDS
N20003736,Ards_Peninsula_A5,ARDS
N20003734,Ards_Peninsula_A3,ARDS
N20003735,Ards_Peninsula_A4,ARDS
N20003732,Ards_Peninsula_A1,ARDS
N20003733,Ards_Peninsula_A2,ARDS
N20003685,Bangor_East_and_Donaghadee_E2,NORTH DOWN
N20003679,Bangor_East_and_Donaghadee_E1,NORTH DOWN
N20002743,Larne_Lough_E2,LARNE
N20002752,Larne_Lough_G3,LARNE
N20002750,Larne_Lough_G2,LARNE
N20002749,Larne_Lough_G1,LARNE
N20002753,Larne_Lough_G4,LARNE
N20002748,Larne_Lough_F4,LARNE
N20002751,Larne_Lough_E3,LARNE
N20002757,Larne_Lough_J2,CARRICKFERGUS
N20002754,Larne_Lough_H1,CARRICKFERGUS
N20002755,Larne_Lough_J1,CARRICKFERGUS
N20002756,Larne_Lough_H2,CARRICKFERGUS
N20002760,Larne_Lough_H4,CARRICKFERGUS
N20002761,Larne_Lough_J3,CARRICKFERGUS
N20002762,Larne_Lough_J4,CARRICKFERGUS
N20002759,Larne_Lough_H3,CARRICKFERGUS
N20002758,Larne_Lough_F5,CARRICKFERGUS
N20002767,Carrick_Castle_B1,CARRICKFERGUS
N20002779,Carrick_Castle_B3,CARRICKFERGUS
N20003680,Bangor_East_and_Donaghadee_A1,NORTH DOWN
N20003682,Bangor_East_and_Donaghadee_A3,NORTH DOWN
N20003681,Bangor_East_and_Donaghadee_A2,NORTH DOWN
N20003621,Bangor_Central_A1,NORTH DOWN
N20003538,Holywood_and_Clandeboye_A2,NORTH DOWN
N20003537,Holywood_and_Clandeboye_A1,NORTH DOWN
N20002830,Knockagh_J1,CARRICKFERGUS
N20002800,Carrick_Castle_J3,CARRICKFERGUS
N20002798,Carrick_Castle_J1,CARRICKFERGUS
N20002796,Carrick_Castle_H2,CARRICKFERGUS
N20002795,Carrick_Castle_G4,CARRICKFERGUS
N20002792,Carrick_Castle_G2,CARRICKFERGUS
N20002794,Carrick_Castle_H1,CARRICKFERGUS
N20002821,Knockagh_E3,CARRICKFERGUS
N20002817,Knockagh_E1,CARRICKFERGUS
N20002811,Knockagh_D1,CARRICKFERGUS
N20002816,Knockagh_D4,CARRICKFERGUS
N20002815,Knockagh_D3,CARRICKFERGUS
N20002790,Carrick_Castle_G1,CARRICKFERGUS
N20002786,Carrick_Castle_E5,CARRICKFERGUS
N20002782,Carrick_Castle_E4,CARRICKFERGUS
N20002785,Carrick_Castle_F1,CARRICKFERGUS
N20002788,Carrick_Castle_F3,CARRICKFERGUS
N20002787,Carrick_Castle_F2,CARRICKFERGUS
N20002791,Carrick_Castle_F5,CARRICKFERGUS
N20002793,Carrick_Castle_G3,CARRICKFERGUS
N20002789,Carrick_Castle_F4,CARRICKFERGUS
N20002783,Carrick_Castle_C4,CARRICKFERGUS
N20002784,Carrick_Castle_B4,CARRICKFERGUS
N20002778,Carrick_Castle_B2,CARRICKFERGUS
N20002777,Carrick_Castle_E3,CARRICKFERGUS
N20002775,Carrick_Castle_C3,CARRICKFERGUS
N20002771,Carrick_Castle_E1,CARRICKFERGUS
N20002769,Carrick_Castle_A5,CARRICKFERGUS
N20002770,Carrick_Castle_C2,CARRICKFERGUS
N20002768,Carrick_Castle_C1,CARRICKFERGUS
N20002764,Carrick_Castle_A2,CARRICKFERGUS
N20002765,Carrick_Castle_A3,CARRICKFERGUS
N20002766,Carrick_Castle_A4,CARRICKFERGUS
N20002773,Carrick_Castle_D2,CARRICKFERGUS
N20002772,Carrick_Castle_D1,CARRICKFERGUS
N20002774,Carrick_Castle_E2,CARRICKFERGUS
N20002780,Carrick_Castle_D4,CARRICKFERGUS
N20002781,Carrick_Castle_D5,CARRICKFERGUS
N20002776,Carrick_Castle_D3,CARRICKFERGUS
N20002803,Knockagh_B1,CARRICKFERGUS
N20002804,Knockagh_B2,CARRICKFERGUS
N20002805,Knockagh_C1,CARRICKFERGUS
N20002807,Knockagh_C3,CARRICKFERGUS
N20002806,Knockagh_C2,CARRICKFERGUS
N20002809,Knockagh_A2,CARRICKFERGUS
N20002812,Knockagh_F1,CARRICKFERGUS
N20002810,Knockagh_C4,CARRICKFERGUS
N20002808,Knockagh_B3,CARRICKFERGUS
N20002813,Knockagh_D2,CARRICKFERGUS
N20002814,Knockagh_C5,CARRICKFERGUS
N20002819,Knockagh_F2,CARRICKFERGUS
N20002818,Knockagh_E2,CARRICKFERGUS
N20002822,Knockagh_F4,CARRICKFERGUS
N20002820,Knockagh_F3,CARRICKFERGUS
N20002797,Carrick_Castle_H3,CARRICKFERGUS
N20002799,Carrick_Castle_J2,CARRICKFERGUS
N20002801,Carrick_Castle_J4,CARRICKFERGUS
N20002823,Knockagh_F5,CARRICKFERGUS
N20002824,Knockagh_F6,CARRICKFERGUS
N20000121,Ballyclare_F5,NEWTOWNABBEY
N20000135,Three_Mile_Water_D2,NEWTOWNABBEY
N20000144,Three_Mile_Water_D4,NEWTOWNABBEY
N20000151,Three_Mile_Water_H2,NEWTOWNABBEY
N20000148,Three_Mile_Water_H1,NEWTOWNABBEY
N20000136,Three_Mile_Water_D3,NEWTOWNABBEY
N20000142,Three_Mile_Water_F1,NEWTOWNABBEY
N20000145,Three_Mile_Water_F2,NEWTOWNABBEY
N20000147,Three_Mile_Water_F3,NEWTOWNABBEY
N20000139,Three_Mile_Water_B3,NEWTOWNABBEY
N20000137,Three_Mile_Water_B2,NEWTOWNABBEY
N20000138,Three_Mile_Water_K1,NEWTOWNABBEY
N20000146,Three_Mile_Water_J1,NEWTOWNABBEY
N20000128,Three_Mile_Water_C2,NEWTOWNABBEY
N20000133,Three_Mile_Water_C3,NEWTOWNABBEY
N20000126,Three_Mile_Water_C1,NEWTOWNABBEY
N20000125,Three_Mile_Water_B1,NEWTOWNABBEY
N20002825,Knockagh_G1,CARRICKFERGUS
N20002828,Knockagh_H1,CARRICKFERGUS
N20002827,Knockagh_G3,CARRICKFERGUS
N20002826,Knockagh_G2,CARRICKFERGUS
N20002832,Knockagh_G4,CARRICKFERGUS
N20002833,Knockagh_H4,CARRICKFERGUS
N20002829,Knockagh_H2,CARRICKFERGUS
N20002831,Knockagh_H3,CARRICKFERGUS
N20002834,Knockagh_H5,CARRICKFERGUS
N20002835,Knockagh_J2,CARRICKFERGUS
N20002836,Knockagh_J3,CARRICKFERGUS
N20000140,Three_Mile_Water_G1,CARRICKFERGUS
N20000132,Three_Mile_Water_E1,NEWTOWNABBEY
N20000134,Three_Mile_Water_E2,NEWTOWNABBEY
N20000143,Three_Mile_Water_E3,NEWTOWNABBEY
N20000149,Three_Mile_Water_E4,NEWTOWNABBEY
N20000160,Three_Mile_Water_G4,NEWTOWNABBEY
N20000169,Macedon_B3,NEWTOWNABBEY
N20000167,Macedon_B2,NEWTOWNABBEY
N20000166,Macedon_B1,NEWTOWNABBEY
N20000162,Three_Mile_Water_G5,NEWTOWNABBEY
N20000158,Three_Mile_Water_G3,NEWTOWNABBEY
N20000152,Three_Mile_Water_G2,NEWTOWNABBEY
N20000177,Macedon_B5,NEWTOWNABBEY
N20000172,Macedon_B4,NEWTOWNABBEY
N20000178,Macedon_E1,NEWTOWNABBEY
N20000186,Macedon_H1,NEWTOWNABBEY
N20000185,Macedon_E3,NEWTOWNABBEY
N20000179,Macedon_E2,NEWTOWNABBEY
N20000183,Macedon_F2,NEWTOWNABBEY
N20000184,Macedon_F3,NEWTOWNABBEY
N20000182,Macedon_D3,NEWTOWNABBEY
N20000181,Macedon_F1,NEWTOWNABBEY
N20000174,Macedon_D1,NEWTOWNABBEY
N20000176,Macedon_C5,NEWTOWNABBEY
N20000175,Macedon_C4,NEWTOWNABBEY
N20000171,Macedon_C3,NEWTOWNABBEY
N20000163,Three_Mile_Water_K4,NEWTOWNABBEY
N20000168,Macedon_C1,NEWTOWNABBEY
N20000170,Macedon_C2,NEWTOWNABBEY
N20000159,Three_Mile_Water_J4,NEWTOWNABBEY
N20000150,Three_Mile_Water_J2,NEWTOWNABBEY
N20000155,Three_Mile_Water_J3,NEWTOWNABBEY
N20000161,Three_Mile_Water_K3,NEWTOWNABBEY
N20000153,Three_Mile_Water_K2,NEWTOWNABBEY
N20000165,Macedon_A2,NEWTOWNABBEY
N20000154,Three_Mile_Water_F4,NEWTOWNABBEY
N20000156,Three_Mile_Water_H3,NEWTOWNABBEY
N20000157,Three_Mile_Water_H4,NEWTOWNABBEY
N20000164,Macedon_A1,NEWTOWNABBEY
N20000173,Macedon_A3,NEWTOWNABBEY
N20000180,Macedon_D2,NEWTOWNABBEY
N20000244,Glengormley_Urban_J2,NEWTOWNABBEY
N20000245,Glengormley_Urban_J3,NEWTOWNABBEY
N20000249,Glengormley_Urban_J4,NEWTOWNABBEY
N20000246,Glengormley_Urban_K1,NEWTOWNABBEY
N20000240,Glengormley_Urban_F4,NEWTOWNABBEY
N20000243,Glengormley_Urban_J1,NEWTOWNABBEY
N20000238,Glengormley_Urban_F3,NEWTOWNABBEY
N20000231,Glengormley_Urban_F1,NEWTOWNABBEY
N20000233,Glengormley_Urban_F2,NEWTOWNABBEY
N20000230,Glengormley_Urban_D4,NEWTOWNABBEY
N20000237,Glengormley_Urban_H2,NEWTOWNABBEY
N20000236,Glengormley_Urban_H1,NEWTOWNABBEY
N20000232,Glengormley_Urban_G1,NEWTOWNABBEY
N20000235,Glengormley_Urban_G3,NEWTOWNABBEY
N20000241,Glengormley_Urban_G5,NEWTOWNABBEY
N20000242,Glengormley_Urban_H3,NEWTOWNABBEY
N20000247,Glengormley_Urban_K2,NEWTOWNABBEY
N20000248,Glengormley_Urban_L1,NEWTOWNABBEY
N20000273,Airport_E3,NEWTOWNABBEY
N20000276,Airport_E5,NEWTOWNABBEY
N20000270,Airport_E1,NEWTOWNABBEY
N20000239,Glengormley_Urban_G4,NEWTOWNABBEY
N20000234,Glengormley_Urban_G2,NEWTOWNABBEY
N20000227,Glengormley_Urban_C4,NEWTOWNABBEY
N20000267,Airport_D2,NEWTOWNABBEY
N20000219,Glengormley_Urban_C3,NEWTOWNABBEY
N20000215,Glengormley_Urban_C2,NEWTOWNABBEY
N20000217,Glengormley_Urban_A3,NEWTOWNABBEY
N20000218,Glengormley_Urban_B3,NEWTOWNABBEY
N20000222,Glengormley_Urban_E1,NEWTOWNABBEY
N20000225,Glengormley_Urban_E2,NEWTOWNABBEY
N20000228,Glengormley_Urban_E3,NEWTOWNABBEY
N20000229,Glengormley_Urban_E4,NEWTOWNABBEY
N20000221,Glengormley_Urban_D1,NEWTOWNABBEY
N20000223,Glengormley_Urban_D2,NEWTOWNABBEY
N20000226,Glengormley_Urban_D3,NEWTOWNABBEY
N20000224,Glengormley_Urban_B5,NEWTOWNABBEY
N20000220,Glengormley_Urban_B4,NEWTOWNABBEY
N20000216,Glengormley_Urban_B2,NEWTOWNABBEY
N20000214,Glengormley_Urban_B1,NEWTOWNABBEY
N20000213,Glengormley_Urban_A2,NEWTOWNABBEY
N20000212,Glengormley_Urban_A1,NEWTOWNABBEY
N20000141,Three_Mile_Water_A5,NEWTOWNABBEY
N20000129,Three_Mile_Water_A3,NEWTOWNABBEY
N20000127,Three_Mile_Water_A2,NEWTOWNABBEY
N20000131,Three_Mile_Water_A4,NEWTOWNABBEY
N20000130,Three_Mile_Water_D1,NEWTOWNABBEY
N20000211,Glengormley_Urban_C1,NEWTOWNABBEY
N20000262,Airport_C2,NEWTOWNABBEY
N20000266,Airport_C3,NEWTOWNABBEY
N20000265,Airport_D1,NEWTOWNABBEY
N20000269,Airport_D3,NEWTOWNABBEY
N20000271,Airport_D4,NEWTOWNABBEY
N20000272,Airport_E2,NEWTOWNABBEY
N20000275,Airport_E4,NEWTOWNABBEY
N20000261,Airport_C1,ANTRIM
N20000259,Airport_A2,ANTRIM
N20000257,Airport_A1,ANTRIM
N20000260,Airport_A3,ANTRIM
N20000031,Dunsilly_B6,ANTRIM
N20000026,Dunsilly_B4,ANTRIM
N20000119,Ballyclare_G4,NEWTOWNABBEY
N20000118,Ballyclare_G3,NEWTOWNABBEY
N20000116,Ballyclare_G1,NEWTOWNABBEY
N20000117,Ballyclare_G2,NEWTOWNABBEY
N20000114,Ballyclare_E4,NEWTOWNABBEY
N20000112,Ballyclare_C6,NEWTOWNABBEY
N20000113,Ballyclare_D6,NEWTOWNABBEY
N20000115,Ballyclare_E5,NEWTOWNABBEY
N20000120,Ballyclare_H1,NEWTOWNABBEY
N20000122,Ballyclare_H2,NEWTOWNABBEY
N20000123,Ballyclare_H3,NEWTOWNABBEY
N20000124,Three_Mile_Water_A1,NEWTOWNABBEY
N20000106,Ballyclare_D4,NEWTOWNABBEY
N20000101,Ballyclare_D2,NEWTOWNABBEY
N20000100,Ballyclare_F4,NEWTOWNABBEY
N20000086,Ballyclare_F1,NEWTOWNABBEY
N20000087,Ballyclare_A1,NEWTOWNABBEY
N20000094,Ballyclare_B4,NEWTOWNABBEY
N20000092,Ballyclare_B2,NEWTOWNABBEY
N20000093,Ballyclare_B3,NEWTOWNABBEY
N20000090,Ballyclare_B1,NEWTOWNABBEY
N20000097,Ballyclare_B5,NEWTOWNABBEY
N20000103,Ballyclare_C2,NEWTOWNABBEY
N20000095,Ballyclare_C1,NEWTOWNABBEY
N20000098,Ballyclare_D1,NEWTOWNABBEY
N20000102,Ballyclare_D3,NEWTOWNABBEY
N20000107,Ballyclare_D5,NEWTOWNABBEY
N20000108,Ballyclare_C5,NEWTOWNABBEY
N20000105,Ballyclare_C4,NEWTOWNABBEY
N20000111,Ballyclare_E3,NEWTOWNABBEY
N20000109,Ballyclare_E1,NEWTOWNABBEY
N20000110,Ballyclare_E2,NEWTOWNABBEY
N20000104,Ballyclare_C3,NEWTOWNABBEY
N20000096,Ballyclare_A3,NEWTOWNABBEY
N20000099,Ballyclare_A4,NEWTOWNABBEY
N20000091,Ballyclare_A2,NEWTOWNABBEY
N20000005,Dunsilly_B2,ANTRIM
N20000002,Dunsilly_B1,NEWTOWNABBEY
N20002679,Braid_F5,BALLYMENA
N20002742,Larne_Lough_D1,LARNE
N20002746,Larne_Lough_D3,LARNE
N20000088,Ballyclare_F2,NEWTOWNABBEY
N20000089,Ballyclare_F3,NEWTOWNABBEY
N20002802,Knockagh_A1,CARRICKFERGUS
N20002763,Carrick_Castle_A1,CARRICKFERGUS
N20002747,Larne_Lough_F3,LARNE
N20002744,Larne_Lough_D2,LARNE
N20002741,Larne_Lough_F1,LARNE
N20002745,Larne_Lough_F2,LARNE
N20002735,Larne_Lough_B5,LARNE
N20002738,Larne_Lough_C5,LARNE
N20002733,Larne_Lough_C3,LARNE
N20002737,Larne_Lough_C4,LARNE
N20002736,Larne_Lough_B6,LARNE
N20002732,Larne_Lough_B3,LARNE
N20002734,Larne_Lough_B4,LARNE
N20002729,Larne_Lough_B2,LARNE
N20002724,Coast_Road_J5,LARNE
N20002721,Coast_Road_J3,LARNE
N20002720,Coast_Road_J2,LARNE
N20002715,Coast_Road_E5,LARNE
N20002713,Coast_Road_J1,LARNE
N20002712,Coast_Road_H3,LARNE
N20002711,Coast_Road_H2,LARNE
N20002719,Coast_Road_H4,LARNE
N20002723,Coast_Road_H5,LARNE
N20002722,Coast_Road_J4,LARNE
N20002731,Larne_Lough_C2,LARNE
N20002730,Larne_Lough_C1,LARNE
N20002716,Coast_Road_F5,LARNE
N20002710,Coast_Road_H1,LARNE
N20002704,Coast_Road_E3,LARNE
N20002706,Coast_Road_F4,LARNE
N20002705,Coast_Road_F3,LARNE
N20002700,Coast_Road_F2,LARNE
N20002699,Coast_Road_F1,LARNE
N20002702,Coast_Road_E1,LARNE
N20002708,Coast_Road_E4,LARNE
N20002703,Coast_Road_E2,LARNE
N20002697,Coast_Road_D3,LARNE
N20002698,Coast_Road_D4,LARNE
N20002709,Coast_Road_G2,LARNE
N20002701,Coast_Road_D5,LARNE
N20002707,Coast_Road_G1,LARNE
N20002714,Coast_Road_G3,LARNE
N20002725,Larne_Lough_A1,LARNE
N20002718,Coast_Road_G4,LARNE
N20002717,Coast_Road_E6,LARNE
N20002727,Larne_Lough_B1,LARNE
N20002728,Larne_Lough_A3,LARNE
N20002726,Larne_Lough_A2,LARNE
N20002693,Coast_Road_C3,LARNE
N20002695,Coast_Road_D1,LARNE
N20002696,Coast_Road_D2,LARNE
N20002694,Coast_Road_C4,LARNE
