DZ21,population,catholic_bg_pct
N20000001,738,9.2
N20000004,663,44.3
N20000005,676,6.3
N20000006,464,36.1
N20000007,880,87.7
N20000008,642,52.6
N20000009,401,18.3
N20000010,544,5.9
N20000011,525,23.5
N20000012,503,18.5
N20000013,407,28.2
N20000015,586,91.6
N20000016,453,54.4
N20000017,674,87.1
N20000018,486,84.5
N20000019,393,44.7
N20000020,562,52.6
N20000022,441,93.8
N20000023,502,58.3
N20000025,415,44.5
N20000026,554,5.0
N20000027,558,47.6
N20000028,550,58.3
N20000030,496,13.9
N20000031,531,4.9
N20000032,459,85.4
N20000033,536,85.8
N20000034,439,86.8
N20000035,671,50.1
N20000036,374,47.3
N20000037,423,43.9
N20000038,628,39.5
N20000039,499,33.9
N20000040,371,55.1
N20000041,931,37.6
N20000042,661,40.0
N20000043,820,34.6
N20000044,493,39.5
N20000045,466,48.2
N20000046,570,19.7
N20000047,516,29.7
N20000048,562,44.4
N20000049,554,59.7
N20000051,493,71.1
N20000052,501,32.2
N20000053,408,43.3
N20000054,517,13.9
N20000055,336,12.9
N20000056,483,29.6
N20000057,465,47.8
N20000058,415,18.8
N20000059,413,53.9
N20000060,355,41.3
N20000061,382,26.9
N20000062,597,18.6
N20000063,354,37.7
N20000064,391,32.8
N20000065,491,41.3
N20000066,325,53.4
N20000067,521,45.8
N20000068,423,35.8
N20000069,461,33.3
N20000070,426,31.4
N20000071,337,37.8
N20000072,559,26.1
N20000073,473,16.5
N20000074,468,13.9
N20000075,432,33.4
N20000076,373,44.1
N20000077,306,25.6
N20000078,324,17.4
N20000079,387,6.4
N20000080,633,24.7
N20000081,334,27.1
N20000082,452,9.0
N20000083,270,32.0
N20000084,288,39.2
N20000085,594,26.0
N20000086,611,3.5
N20000087,473,4.6
N20000088,485,3.2
N20000089,680,7.5
N20000090,804,6.2
N20000091,509,2.3
N20000092,802,6.9
N20000093,408,3.0
N20000094,427,5.7
N20000096,582,3.7
N20000097,574,4.8
N20000100,705,4.2
N20000101,463,3.0
N20000102,475,7.1
N20000103,353,7.2
N20000104,533,4.5
N20000105,408,7.5
N20000106,413,7.0
N20000107,402,12.0
N20000108,349,7.0
N20000109,552,4.0
N20000110,661,3.6
N20000111,557,3.6
N20000112,323,6.9
N20000113,402,5.5
N20000114,439,3.8
N20000115,727,5.7
N20000116,311,7.5
N20000117,343,3.4
N20000118,418,3.3
N20000119,332,2.6
N20000120,402,2.6
N20000121,705,6.9
N20000122,712,4.3
N20000123,487,6.1
N20000124,457,10.1
N20000125,438,6.6
N20000126,611,16.6
N20000127,193,4.3
N20000128,701,14.8
N20000129,826,6.2
N20000130,561,7.8
N20000131,390,7.2
N20000132,606,23.4
N20000133,740,13.9
N20000134,676,23.9
N20000135,523,16.3
N20000136,493,9.1
N20000137,456,6.5
N20000138,497,4.8
N20000139,462,8.0
N20000140,719,31.0
N20000141,351,18.4
N20000143,625,21.3
N20000144,382,14.0
N20000145,260,6.2
N20000146,402,5.4
N20000149,615,20.6
N20000150,319,2.4
N20000151,609,12.2
N20000152,368,26.1
N20000153,546,2.4
N20000154,786,4.0
N20000156,674,14.3
N20000157,675,17.0
N20000158,596,18.8
N20000159,385,2.9
N20000160,365,26.9
N20000161,547,26.0
N20000162,748,19.6
N20000163,532,19.1
N20000164,570,29.3
N20000165,460,8.8
N20000166,392,23.6
N20000167,307,23.6
N20000168,428,6.2
N20000169,429,58.3
N20000170,474,7.9
N20000171,456,14.6
N20000172,596,41.2
N20000173,639,44.1
N20000174,623,2.1
N20000175,440,22.7
N20000176,411,9.5
N20000177,353,51.0
N20000178,439,53.5
N20000179,591,14.0
N20000180,482,2.3
N20000181,462,6.4
N20000182,680,3.9
N20000183,423,5.7
N20000184,416,3.7
N20000185,242,10.2
N20000186,203,30.0
N20000187,371,3.0
N20000188,501,21.6
N20000189,572,2.0
N20000190,358,6.9
N20000191,404,6.6
N20000193,238,4.3
N20000194,357,3.9
N20000196,216,6.1
N20000197,213,7.9
N20000198,359,5.8
N20000200,561,6.8
N20000201,567,40.3
N20000203,314,35.4
N20000204,380,33.2
N20000205,319,21.1
N20000206,283,22.7
N20000207,445,87.6
N20000208,484,79.0
N20000209,499,86.1
N20000210,659,85.5
N20000211,614,29.8
N20000212,513,5.8
N20000214,322,10.6
N20000215,500,26.8
N20000216,280,13.5
N20000217,595,17.6
N20000218,584,17.0
N20000219,722,45.6
N20000220,434,19.7
N20000221,524,16.9
N20000222,484,20.2
N20000223,492,27.4
N20000224,461,36.8
N20000225,310,12.2
N20000226,605,27.4
N20000227,489,32.9
N20000228,426,16.5
N20000229,462,12.7
N20000230,522,31.2
N20000231,488,44.6
N20000232,316,51.2
N20000233,479,53.9
N20000234,422,55.6
N20000235,366,44.6
N20000236,441,37.0
N20000237,415,31.1
N20000238,584,67.7
N20000239,463,42.5
N20000240,348,57.1
N20000241,291,28.9
N20000242,451,23.8
N20000243,354,72.5
N20000244,692,76.4
N20000245,398,88.9
N20000246,544,77.4
N20000247,457,67.9
N20000249,353,82.8
N20000250,390,85.0
N20000251,714,85.0
N20000252,449,82.3
N20000254,500,80.0
N20000255,545,83.6
N20000256,561,81.9
N20000257,308,16.7
N20000258,516,13.6
N20000259,588,12.2
N20000260,652,16.8
N20000261,893,9.0
N20000262,651,14.2
N20000263,562,18.0
N20000264,683,28.3
N20000265,537,35.6
N20000266,377,17.4
N20000267,808,61.0
N20000268,666,29.7
N20000270,350,68.4
N20000271,511,57.3
N20000272,657,65.9
N20000273,405,79.2
N20000274,535,11.0
N20000275,491,61.7
N20000276,601,68.3
N20000277,434,88.6
N20000278,523,17.0
N20000279,1333,24.0
N20000280,657,15.4
N20000282,429,54.5
N20000283,749,75.4
N20000284,616,79.8
N20000285,650,34.5
N20000286,520,86.1
N20000287,738,89.1
N20000288,480,63.4
N20000289,356,74.4
N20000290,299,70.9
N20000291,317,67.9
N20000292,562,87.0
N20000293,534,59.8
N20000294,726,88.9
N20000295,701,62.5
N20000296,555,54.6
N20000297,638,87.6
N20000298,664,90.3
N20000299,544,68.5
N20000300,486,84.9
N20000301,715,76.3
N20000303,670,92.3
N20000304,508,60.7
N20000305,568,24.3
N20000306,536,51.9
N20000307,416,50.3
N20000308,437,50.3
N20000310,440,59.5
N20000311,519,62.4
N20000312,696,78.5
N20000313,437,71.1
N20000314,355,25.5
N20000315,512,43.9
N20000316,498,82.9
N20000317,711,86.7
N20000318,528,87.7
N20000319,260,71.1
N20000320,509,27.6
N20000321,328,92.7
N20000322,474,91.4
N20000323,231,75.7
N20000324,362,48.1
N20000325,410,47.9
N20000326,530,9.4
N20000328,325,52.2
N20000329,808,88.5
N20000330,562,84.2
N20000331,573,84.7
N20000332,499,58.6
N20000334,570,53.5
N20000335,389,83.7
N20000336,465,65.8
N20000337,481,67.4
N20000338,406,25.7
N20000339,561,65.2
N20000340,543,32.4
N20000341,678,71.7
N20000342,416,87.8
N20000343,671,54.3
N20000344,583,55.7
N20000346,657,65.5
N20000348,525,89.1
N20000350,628,91.4
N20000351,431,87.0
N20000352,580,83.9
N20000353,512,84.9
N20000354,736,78.6
N20000355,527,94.3
N20000356,701,53.2
N20000357,392,6.5
N20000358,562,36.9
N20000360,403,47.9
N20000361,669,63.2
N20000362,648,20.3
N20000364,559,33.6
N20000366,467,23.9
N20000367,597,40.9
N20000368,668,15.6
N20000371,609,90.1
N20000372,652,89.6
N20000373,580,92.7
N20000375,324,85.7
N20000377,473,30.5
N20000378,409,94.0
N20000379,657,79.6
N20000380,387,72.0
N20000381,576,84.2
N20000382,591,75.1
N20000383,655,29.0
N20000384,650,11.1
N20000385,344,12.9
N20000386,437,78.3
N20000387,293,11.8
N20000388,383,11.3
N20000389,701,17.1
N20000390,437,17.8
N20000392,536,9.3
N20000393,460,25.8
N20000395,542,42.4
N20000396,430,10.6
N20000397,716,3.9
N20000398,457,31.7
N20000400,458,42.5
N20000401,635,69.2
N20000402,787,16.8
N20000403,460,40.7
N20000404,629,17.7
N20000405,494,29.0
N20000407,403,14.5
N20000408,321,20.5
N20000409,238,5.7
N20000410,353,16.4
N20000411,526,37.1
N20000412,524,20.0
N20000413,707,23.6
N20000414,472,19.0
N20000415,445,19.2
N20000416,641,33.3
N20000417,579,8.5
N20000418,714,38.1
N20000419,484,23.4
N20000420,473,18.0
N20000422,796,77.6
N20000423,778,93.0
N20000424,794,82.4
N20000425,318,78.7
N20000426,550,95.8
N20000427,591,92.9
N20000428,854,91.7
N20000429,368,91.5
N20000430,454,22.6
N20000431,520,90.7
N20000432,576,92.4
N20000433,719,61.5
N20000434,613,54.8
N20000435,699,75.7
N20000436,481,60.3
N20000437,368,55.6
N20000438,363,51.7
N20000439,457,91.5
N20000440,406,20.5
N20000441,448,70.2
N20000442,471,76.5
N20000443,443,37.1
N20000444,408,53.6
N20000445,520,65.9
N20000446,667,33.6
N20000447,520,42.8
N20000448,582,84.5
N20000449,413,79.4
N20000450,313,8.6
N20000451,722,26.1
N20000452,421,82.6
N20000453,601,81.3
N20000454,322,80.1
N20000455,458,22.8
N20000456,422,14.2
N20000457,619,14.0
N20000458,404,41.4
N20000459,418,18.4
N20000460,706,18.8
N20000461,656,16.7
N20000462,489,8.8
N20000463,414,7.3
N20000464,524,14.0
N20000465,241,47.2
N20000466,504,8.2
N20000467,485,47.2
N20000468,460,17.2
N20000469,573,10.4
N20000470,466,8.7
N20000472,611,12.8
N20000473,466,30.7
N20000474,724,15.6
N20000475,648,9.4
N20000476,569,79.7
N20000477,566,89.4
N20000478,618,80.6
N20000481,661,91.9
N20000482,777,59.9
N20000483,682,93.8
N20000484,551,93.0
N20000488,544,54.8
N20000489,443,96.6
N20000490,786,94.9
N20000492,529,96.6
N20000493,593,95.0
N20000494,615,95.6
N20000495,650,94.9
N20000496,671,87.5
N20000498,491,68.3
N20000500,398,82.0
N20000501,548,24.0
N20000502,449,31.6
N20000503,407,94.4
N20000504,356,76.8
N20000505,342,86.9
N20000506,502,78.6
N20000507,660,29.8
N20000508,388,85.0
N20000509,334,82.1
N20000510,619,12.3
N20000512,513,73.1
N20000513,384,36.5
N20000514,487,22.6
N20000515,526,36.9
N20000516,473,86.6
N20000517,494,7.0
N20000518,458,6.0
N20000519,315,14.1
N20000520,677,7.0
N20000521,675,32.8
N20000522,497,92.2
N20000523,447,13.6
N20000524,521,75.7
N20000526,340,18.2
N20000527,527,31.0
N20000528,417,93.5
N20000529,459,18.8
N20000530,478,92.7
N20000531,409,8.5
N20000532,260,87.4
N20000533,337,12.3
N20000534,389,23.0
N20000535,481,80.2
N20000536,851,82.9
N20000537,497,8.0
N20000538,689,90.1
N20000539,432,14.3
N20000540,453,20.7
N20000542,494,13.8
N20000543,509,94.4
N20000544,540,9.6
N20000545,450,7.0
N20000546,297,18.3
N20000547,548,13.4
N20000548,488,12.2
N20000549,638,8.2
N20000550,498,18.6
N20000551,624,9.2
N20000552,624,8.7
N20000553,711,11.9
N20000554,477,11.4
N20000555,513,5.1
N20000556,321,12.7
N20000557,440,6.1
N20000558,715,9.9
N20000559,462,5.9
N20000560,322,19.4
N20000561,776,7.9
N20000562,435,8.6
N20000563,701,26.4
N20000564,560,9.2
N20000565,572,20.6
N20000566,498,14.3
N20000567,684,5.4
N20000568,535,16.5
N20000569,684,19.7
