code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Health Depr. and Disability_score,Health Depr. and Disability_rank,Education Skills and Training_score,Education Skills and Training_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank,Living Environment_score,Living Environment_rank,IDAC and IDAOP_score,IDAC and IDAOP_rank
95BB03S1,Ballywalter_1,Ards,21.88,345,4,0.21,384,0.17,299,0.04,396,25.92,279,0.69,205,17.84,411,7.11,776,0.26,328
95BB03S2,Ballywalter_2,Ards,10.67,650,8,0.08,718,0.1,663,-0.27,538,11.29,557,0.9,151,7.03,679,8,749,0.06,762
95BB04S1,Bradshaw's Brae_1,Ards,8.02,736,9,0.12,605,0.12,598,-0.65,711,6,706,-1.06,820,31.09,219,9,717,0.08,708
95BB04S2,Bradshaw's Brae_2,Ards,3.9,857,10,0.04,858,0.08,806,-1.04,835,4.23,751,0.06,376,7.03,678,4.03,848,0.04,845
95BB05S1,Carrowdore_1,Ards,8.63,712,8,0.1,688,0.1,691,-1.03,829,8.73,632,0.92,142,3.87,772,4.27,846,0.1,665
95BB05S2,Carrowdore_2,Ards,14.2,542,7,0.14,581,0.14,478,-0.78,758,13.99,487,1.07,99,13.51,503,7.26,772,0.15,540
95BB06W1,Central_Ards,Ards,28.02,235,3,0.25,290,0.2,183,0.13,344,36.93,164,-1.33,855,40.63,139,33.88,175,0.29,281
95BB07S1,Comber East_1,Ards,20.63,373,5,0.22,348,0.17,331,0.26,297,20.93,362,-0.67,723,32.48,206,20.17,408,0.16,520
95BB07S2,Comber East_2,Ards,9.48,682,8,0.08,717,0.11,645,-0.25,526,16.34,440,-0.1,452,7.57,664,11.65,649,0.12,630
95BB08S1,Comber North_1,Ards,21.34,362,5,0.24,301,0.15,391,-0.4,595,46.33,110,-0.28,537,11.95,534,15.45,551,0.32,246
95BB08S2,Comber North_2,Ards,4.85,825,10,0.04,867,0.07,830,-1.22,859,13.09,512,0.02,391,4.15,762,9.13,715,0.03,867
95BB09S1,Comber West_1,Ards,7.94,738,9,0.07,756,0.09,734,-0.05,442,5.04,730,0.07,372,13.41,507,8.97,720,0.07,743
