code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Health Depr. and Disability_score,Health Depr. and Disability_rank,Education Skills and Training_score,Education Skills and Training_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank,Living Environment_score,Living Environment_rank,IDAC and IDAOP_score,IDAC and IDAOP_rank
95FF17W1,The Cut,Banbridge,26.17,271,4,0.24,300,0.21,174,0.1,356,26.73,265,-1.04,818,52.32,76,19.62,423,0.24,380
95GG01S1,Andersonstown_1,Belfast,23.9,305,4,0.26,273,0.19,218,0.27,294,16.23,442,-0.82,763,22.7,335,33.52,180,0.33,236
95GG01S2,Andersonstown_2,Belfast,40.29,115,2,0.36,139,0.28,61,0.82,129,32.12,203,-1.51,872,28.49,251,41.72,89,0.31,256
95GG01S3,Andersonstown_3,Belfast,36.9,141,2,0.35,144,0.26,85,1.01,97,21.54,350,-1.02,811,31.67,213,30.49,222,0.35,208
95GG02S1,Ardoyne_1,Belfast,61.18,28,1,0.58,30,0.29,45,1.41,47,71.85,23,-1.14,839,29.2,240,73.23,2,0.69,28
95GG02S2,Ardoyne_2,Belfast,65.86,20,1,0.59,25,0.31,32,1.84,21,73.32,19,-0.86,772,22.01,341,77.59,1,0.69,26
95GG02S3,Ardoyne_3,Belfast,70.32,13,1,0.67,8,0.32,26,1.69,25,76.42,16,-1.44,867,35.1,178,59.56,8,0.72,23
95GG03S1,Ballyhackamore_1,Belfast,9.84,667,8,0.09,694,0.1,707,0.29,281,1.38,851,-1.14,840,40.22,141,20.06,409,0.07,757
95GG03S2,Ballyhackamore_2,Belfast,9.19,694,8,0.08,729,0.08,794,0.18,328,2.49,810,-1.11,831,53.57,72,18.88,444,0.09,703
95GG03S3,Ballyhackamore_3,Belfast,20.08,383,5,0.16,493,0.14,481,1.19,70,4.3,750,-0.94,793,50.15,89,29.93,228,0.19,477
95GG04S1,Ballymacarrett_1,Belfast,62.43,27,1,0.57,34,0.31,39,1.89,15,59.18,56,-0.73,739,51.37,79,55.66,14,0.67,34
95GG04S2,Ballymacarrett_2,Belfast,56.65,37,1,0.53,43,0.28,55,1.1,80,63.16,43,-0.98,802,66,34,54.53,17,0.61,54
95GG04S3,Ballymacarrett_3,Belfast,72.94,10,1,0.56,35,0.38,8,2.16,7,79.2,12,-1.13,838,68.45,30,50.37,32,0.65,40
95GG05S1,Ballynafeigh_1,Belfast,20.04,385,5,0.2,394,0.1,696,1.01,98,6.95,683,-1.41,862,76.78,16,32.43,195,0.38,191
95GG05S2,Ballynafeigh_2,Belfast,17.75,449,6,0.15,515,0.09,746,0.93,114,10.01,596,-0.84,768,63.1,40,33.54,179,0.3,265
95GG05S3,Ballynafeigh_3,Belfast,29.19,219,3,0.28,222,0.15,399,1.04,92,31.01,214,-1.06,821,54.76,69,31.1,214,0.43,151
95GG06S1,Ballysillan_1,Belfast,44.02,92,2,0.37,125,0.24,100,1.18,71,63.68,41,-0.45,615,20.64,364,22.98,347,0.55,84
95GG06S2,Ballysillan_2,Belfast,26.15,272,4,0.22,358,0.17,300,0.82,131,37.96,156,-0.7,733,23.47,326,23.52,337,0.35,209
95GG06S3,Ballysillan_3,Belfast,26.62,264,3,0.24,314,0.18,278,0.87,119,29.15,236,-0.48,625,32.85,202,15.75,540,0.29,287
95GG07S1,Beechmount_1,Belfast,37.36,135,2,0.35,142,0.21,172,1.25,61,20.74,367,-1.38,860,34.15,187,58.71,9,0.42,156
95GG07S2,Beechmount_2,Belfast,50.09,61,1,0.49,60,0.28,65,1.52,36,41.35,140,-1.6,879,42.79,125,42.72,83,0.65,42
95GG07S3,Beechmount_3,Belfast,46.71,72,1,0.42,87,0.24,105,1.5,38,49.75,88,-1.03,813,15.83,449,49.66,35,0.46,129
95GG08S1,Bellevue_1,Belfast,16.75,479,6,0.14,545,0.14,472,0.56,187,4.36,747,-0.2,495,50.6,86,16.73,507,0.2,443
95GG08S2,Bellevue_2,Belfast,31.26,189,3,0.32,175,0.19,227,0.64,173,32.33,202,-1.07,823,51.18,81,25.25,300,0.43,146
95GG08S3,Bellevue_3,Belfast,26.75,260,3,0.27,245,0.17,307,0.74,152,22.92,325,-0.6,695,54.53,70,19.62,422,0.37,197
95GG09S1,Belmont_1,Belfast,4.62,832,10,0.04,860,0.07,849,-0.49,638,0.85,863,-0.32,557,28.34,253,12.76,616,0.01,886
95GG09S2,Belmont_2,Belfast,14.85,523,6,0.13,598,0.13,533,0.68,165,9.67,605,-0.06,432,16.51,436,10.19,695,0.18,499
95GG09S3,Belmont_3,Belfast,27.86,240,3,0.27,242,0.16,350,0.91,115,33.12,196,-0.27,535,33.73,192,14.9,563,0.37,196
95GG10S1,Blackstaff_1,Belfast,42.28,99,2,0.32,172,0.21,167,1.28,57,52.08,77,-0.99,805,34.04,189,69.19,3,0.56,76
95GG10S2,Blackstaff_2,Belfast,50.47,59,1,0.35,145,0.24,103,1.68,27,64.06,38,-1.45,868,51.27,80,68.93,4,0.58,66
95GG11S1,Bloomfield_1_Belfast,Belfast,40.36,114,2,0.4,110,0.2,198,0.88,118,48.64,94,-1.16,841,56.06,66,47.35,42,0.56,78
95GG11S2,Bloomfield_2_Belfast,Belfast,14.74,528,6,0.14,547,0.12,569,0.25,303,4.39,744,-0.63,711,64.89,37,26.51,283,0.09,687
95GG11S3,Bloomfield_3_Belfast,Belfast,28,237,3,0.25,281,0.19,248,0.71,159,25.35,288,-0.78,757,38.23,155,41.03,98,0.41,158
95GG12S1,Botanic_1,Belfast,13.18,574,7,0.07,776,0.05,877,0.52,201,0.41,879,-1.56,875,62.32,41,53.85,19,0.1,669
95GG12S2,Botanic_2,Belfast,16.42,482,6,0.11,659,0.06,864,0.64,174,9.08,622,-1.23,846,81.89,10,48.44,37,0.34,225
95GG12S3,Botanic_3,Belfast,15.57,504,6,0.1,689,0.07,854,0.62,178,5.88,709,-1.24,847,93.01,1,42.35,85,0.12,624
95GG12S4,Botanic_4,Belfast,18.25,432,5,0.14,556,0.09,756,0.55,191,6.35,696,-1.77,888,75.11,18,66.88,5,0.25,360
95GG12S5,Botanic_5,Belfast,44.58,85,1,0.47,70,0.22,135,1.08,87,44.17,121,-1.22,844,58.58,55,44.48,70,0.62,52
95GG13S1,Castleview_1,Belfast,34.99,156,2,0.32,174,0.22,136,0.4,247,50.29,85,-0.59,689,24.91,307,31.02,216,0.41,161
95GG13S2,Castleview_2,Belfast,10.63,651,8,0.12,616,0.12,575,0.02,401,1.3,852,-0.55,667,39.38,146,15.11,557,0.06,772
95GG13S3,Castleview_3,Belfast,27.71,242,3,0.26,255,0.21,164,0.65,169,22.57,332,-0.67,725,19.8,377,20.49,399,0.33,242
95GG14S1,Cavehill_1,Belfast,8.32,723,9,0.07,777,0.11,647,-0.04,440,2.95,798,-0.43,604,38.36,153,6.14,802,0.06,764
95GG14S2,Cavehill_2,Belfast,4.64,831,10,0.05,843,0.05,872,-0.5,643,0.7,871,-0.5,638,41.64,133,6.89,786,0.04,839
95GG14S3,Cavehill_3,Belfast,11.1,633,8,0.07,768,0.11,642,0.44,236,3.3,783,-0.12,468,36.74,162,6.31,798,0.06,781
95GG15S1,Cherryvalley_1,Belfast,5.09,817,10,0.07,778,0.06,856,-0.36,573,0.46,877,-0.5,637,30,229,9.28,712,0.04,842
95GG15S2,Cherryvalley_2,Belfast,5.86,793,9,0.05,828,0.07,824,0.02,405,1.27,853,-0.55,665,25.69,292,9.4,709,0.05,823
95GG15S3,Cherryvalley_3,Belfast,13.6,560,7,0.19,429,0.13,552,0.1,357,12.86,518,-0.55,663,10.38,579,17.12,495,0.26,335
95GG16S1,Chichester Park_1,Belfast,42.1,100,2,0.41,105,0.25,93,1.35,51,16.11,445,-1.59,878,82.74,8,33.18,186,0.5,104
95GG16S2,Chichester Park_2,Belfast,24,304,4,0.24,307,0.16,360,0.93,111,3.63,771,-0.92,787,68.68,29,31.47,212,0.26,326
95GG16S3,Chichester Park_3,Belfast,24.06,302,4,0.24,295,0.17,329,1.02,96,6.61,693,-0.7,731,50.91,84,21.46,378,0.35,214
95GG17S1,Cliftonville_1,Belfast,38.94,121,2,0.4,111,0.21,165,0.96,105,33.18,195,-1.18,842,68.73,28,37.79,137,0.5,99
95GG17S2,Cliftonville_2,Belfast,18.62,420,5,0.17,471,0.16,366,0.52,200,8.69,633,-0.91,785,45.42,111,25.29,299,0.19,469
95GG17S3,Cliftonville_3,Belfast,45.74,76,1,0.37,128,0.23,118,1.45,44,48.17,95,-0.56,670,79.64,13,34.74,165,0.4,177
95GG18S1,Clonard_1,Belfast,58.21,34,1,0.55,36,0.32,28,1.25,63,62.21,45,-1.12,835,28.56,249,47.28,43,0.6,58
95GG18S2,Clonard_2,Belfast,54.96,47,1,0.52,47,0.28,50,1.64,30,55.49,67,-1.66,885,33.97,190,44.3,73,0.6,57
95GG19S1,Crumlin_1_Belfast,Belfast,65.89,19,1,0.53,42,0.35,17,1.6,33,90.6,6,-1.52,873,35.83,169,48.67,36,0.67,35
95GG19S2,Crumlin_2_Belfast,Belfast,80.36,4,1,0.61,21,0.43,3,2.56,2,93.26,4,-1.4,861,68.32,31,62.22,6,0.76,13
95GG20S1,Duncairn_1,Belfast,67.05,17,1,0.54,37,0.37,10,1.97,11,69.98,25,-0.72,736,44.49,114,32.53,192,0.68,30
95GG20S2,Duncairn_2,Belfast,55.76,44,1,0.45,78,0.28,57,1.56,35,67.84,29,-0.95,797,80.87,11,35.34,159,0.55,86
95GG21S1,Falls_1,Belfast,69.5,14,1,0.65,15,0.34,21,2.06,10,75.3,18,-1.9,890,47.7,102,41.1,96,0.73,18
95GG21S2,Falls_2,Belfast,81.52,3,1,0.78,1,0.4,5,2.53,3,85.98,8,-1.74,887,58.61,54,40.33,107,0.85,5
95GG21S3,Falls_3,Belfast,77.09,6,1,0.69,6,0.37,9,2.22,5,75.3,17,-1.56,876,77.18,15,37.1,146,0.75,14
95GG22S1,Falls Park_1,Belfast,36.62,142,2,0.35,150,0.23,115,1.2,69,19.42,387,-1.07,825,47.04,105,31.74,207,0.39,187
95GG22S2,Falls Park_2,Belfast,27.64,244,3,0.25,285,0.2,187,0.81,133,9.32,614,-1.08,826,64.11,39,27.84,257,0.22,411
95GG22S3,Falls Park_3,Belfast,37.55,132,2,0.38,124,0.25,92,0.86,122,23.8,318,-0.96,799,41.65,132,32.17,201,0.43,153
95GG23S1,Finaghy_1,Belfast,5.62,798,9,0.05,827,0.08,795,-0.38,589,4.04,758,-0.2,500,22.25,338,7.94,750,0.08,717
95GG23S2,Finaghy_2,Belfast,8.15,730,9,0.08,738,0.09,761,0.18,330,0.73,867,-0.55,662,33.58,195,11.75,646,0.03,864
95GG23S3,Finaghy_3,Belfast,8.69,708,8,0.09,705,0.1,702,0.14,343,2.06,826,-0.43,608,27.94,260,10.07,699,0.05,813
95GG24S1,Fortwilliam_1,Belfast,20.8,367,5,0.18,462,0.15,426,1.2,68,5.58,717,-0.98,804,49.96,92,22.32,357,0.07,730
95GG24S2,Fortwilliam_2,Belfast,26.08,276,4,0.2,405,0.16,367,0.76,147,40.02,146,-0.8,761,43.04,124,37.19,144,0.27,310
95GG24S3,Fortwilliam_3,Belfast,17.85,445,5,0.18,451,0.14,484,0.6,179,3.33,781,-0.59,686,59.1,51,22.4,354,0.13,607
95GG25S1,Glen Road_1,Belfast,44.91,82,1,0.39,116,0.28,51,1.16,72,29.86,224,-0.48,624,39.07,149,41.63,91,0.41,157
95GG25S2,Glen Road_2,Belfast,47.84,69,1,0.49,57,0.31,40,1.24,64,27.62,255,-0.56,672,15.48,458,38.61,124,0.48,118
95GG25S3,Glen Road_3,Belfast,44.33,90,2,0.42,90,0.26,80,1.21,67,34.3,185,-0.36,567,25.79,288,41.34,93,0.43,150
95GG26S1,Glencairn_1,Belfast,58.65,33,1,0.47,68,0.32,30,1.38,49,79.06,13,-0.26,531,35.31,175,34.81,164,0.57,73
95GG26S2,Glencairn_2,Belfast,40.45,113,2,0.31,183,0.23,120,1.12,77,54.45,68,-0.57,675,35.63,171,30.68,219,0.38,190
95GG27S1,Glencolin_1,Belfast,26.69,262,3,0.25,276,0.16,346,0.72,157,24.59,300,0.21,321,20.82,360,35.85,153,0.26,336
95GG27S2,Glencolin_2,Belfast,50.34,60,1,0.45,77,0.29,46,1.24,65,47.74,98,0.02,396,24.86,309,38.47,128,0.46,128
95GG27S3,Glencolin_3,Belfast,40.88,108,2,0.42,88,0.26,82,0.63,176,36.19,172,-0.49,630,25.85,286,37.75,138,0.49,106
95GG27S4,Glencolin_4,Belfast,56.4,39,1,0.52,48,0.31,31,1.64,31,49.08,92,-0.43,601,26.7,273,43.41,77,0.56,77
95GG28S1,Highfield_1,Belfast,17.76,448,6,0.12,607,0.14,458,0.07,375,37.16,160,-0.1,456,21.28,353,16.09,530,0.14,579
95GG28S2,Highfield_2,Belfast,33.81,163,2,0.26,256,0.23,125,0.82,130,37.78,158,-0.54,659,41.06,136,20.93,386,0.41,164
95GG28S3,Highfield_3,Belfast,56,42,1,0.48,67,0.28,60,1.49,39,86.16,7,-0.45,614,26.38,281,30.39,224,0.62,49
95GG29S1,Island_1,Belfast,54.68,48,1,0.4,108,0.26,86,1.61,32,72.5,21,-0.67,724,59.31,50,60.14,7,0.5,102
95GG29S2,Island_2,Belfast,37.46,133,2,0.32,179,0.19,238,1.49,40,33.75,189,-1.12,836,48.55,94,48.02,39,0.41,159
95GG30S1,Knock_1,Belfast,21.35,361,5,0.21,383,0.17,322,0.5,211,22.57,333,-0.2,498,10.97,563,19.69,421,0.25,341
95GG30S2,Knock_2,Belfast,4.06,848,10,0.05,840,0.07,838,-0.38,587,1.93,833,-0.6,694,13.6,501,14.41,570,0.05,820
95GG30S3,Knock_3,Belfast,10.58,652,8,0.06,806,0.11,620,0.11,353,17.14,421,-0.47,623,20.52,366,13.58,591,0.07,741
95GG31S1,Ladybrook_1,Belfast,21.46,358,5,0.2,400,0.17,298,0.75,150,12.55,530,-0.66,720,27.56,263,24.92,306,0.25,356
95GG31S2,Ladybrook_2,Belfast,32.57,172,2,0.3,198,0.22,137,0.95,109,22.11,343,-0.49,633,38.84,151,19.09,436,0.29,288
95GG31S3,Ladybrook_3,Belfast,44.13,91,2,0.44,83,0.26,89,1.25,62,38.7,151,-0.61,703,33.58,194,30.96,217,0.54,88
95GG32S1,Legoniel_1,Belfast,51.24,57,1,0.41,99,0.27,70,1.46,43,56.59,64,-0.04,420,68.21,32,32.46,194,0.44,138
95GG32S2,Legoniel_2,Belfast,40.26,116,2,0.28,218,0.24,111,1.06,89,52.72,73,-0.66,721,57.8,56,30.78,218,0.39,183
95GG32S3,Legoniel_3,Belfast,22.97,329,4,0.19,420,0.18,267,0.4,245,21.79,346,-0.61,700,62.16,42,16.07,532,0.21,432
95GG33S1,Malone_1,Belfast,4.91,822,10,0.03,875,0.06,868,-0.32,559,0.09,888,-0.36,571,37.62,158,6.39,796,0.02,883
95GG33S2,Malone_2,Belfast,3.64,866,10,0.04,861,0.06,866,-0.69,729,0.08,889,-0.51,646,30.07,227,11.16,666,0.02,882
95GG33S3,Malone_3,Belfast,5.09,818,10,0.05,822,0.06,863,0.01,412,0.1,887,-1.03,816,23.86,322,13.83,586,0.03,863
95GG34S1,Musgrave_1,Belfast,24.65,296,4,0.26,262,0.18,264,0.76,145,16.92,426,-0.58,681,26.31,283,13.86,583,0.35,211
95GG34S2,Musgrave_2,Belfast,9.92,666,8,0.11,637,0.12,563,-0.16,489,4.17,755,-0.45,612,29.11,241,14.19,575,0.11,647
95GG34S3,Musgrave_3,Belfast,10.14,660,8,0.1,668,0.09,724,0.28,286,1.12,857,-0.48,626,39.27,147,15.54,548,0.14,561
95GG35S1,New Lodge_1,Belfast,73.5,9,1,0.68,7,0.36,16,1.84,20,68.99,26,-1.54,874,77.48,14,53.43,24,0.87,3
95GG35S2,New Lodge_2,Belfast,74.09,8,1,0.69,5,0.37,12,2.09,9,66.79,31,-1.61,884,50.74,85,47.21,45,0.74,15
95GG35S3,New Lodge_3,Belfast,68.76,15,1,0.63,16,0.32,27,1.96,12,73.24,20,-1.83,889,45.56,110,51.1,30,0.83,6
95GG36S1,Orangefield_1,Belfast,19.98,386,5,0.16,498,0.12,561,1.12,76,20.43,374,-1.32,854,35.05,179,24.36,318,0.11,653
95GG36S2,Orangefield_2,Belfast,9.73,671,8,0.06,804,0.1,680,0.54,192,7.49,669,-0.76,748,12.02,533,14.44,569,0.06,789
95GG36S3,Orangefield_3,Belfast,8.41,721,9,0.08,734,0.08,802,0.01,413,6.84,688,-0.44,611,33.08,199,17.36,484,0.07,747
95GG37S1,Ravenhill_1,Belfast,13.36,569,7,0.08,715,0.07,845,0.81,135,0.6,874,-0.73,740,72.01,25,27.03,276,0.04,836
95GG37S2,Ravenhill_2,Belfast,15.68,500,6,0.16,502,0.11,641,0.54,193,12.63,527,-1.1,830,35.89,167,31.52,209,0.26,329
95GG37S3,Ravenhill_3,Belfast,14.34,538,7,0.15,541,0.1,682,0.34,269,11.21,560,-0.9,782,44.29,118,34,171,0.28,302
95GG38S1,Rosetta_1,Belfast,11.18,630,8,0.1,670,0.09,770,0.42,242,1.16,856,-0.72,737,59.48,48,16.71,508,0.07,738
95GG38S2,Rosetta_2,Belfast,16.82,477,6,0.2,391,0.13,508,0.5,213,3.07,792,-0.94,790,51.17,82,20.22,406,0.25,350
95GG38S3,Rosetta_3,Belfast,9.07,699,8,0.07,766,0.07,855,0.49,216,0.83,864,-0.83,764,42.52,128,16.32,523,0.05,805
95GG39S1,Shaftesbury_1,Belfast,56.09,40,1,0.53,45,0.26,83,1.87,18,63.71,40,-1.48,871,40.64,138,47.06,50,0.73,20
95GG39S2,Shaftesbury_2,Belfast,53.81,49,1,0.49,59,0.26,87,1.87,17,51.26,80,-1.67,886,82.32,9,35.63,155,0.63,46
95GG39S3,Shaftesbury_3,Belfast,46.66,73,1,0.41,100,0.23,128,1.48,41,60.62,52,-1.61,883,51.09,83,38.46,129,0.63,47
95GG40S1,Shankill_1,Belfast,74.94,7,1,0.62,19,0.37,11,2.11,8,98.18,2,-1.43,865,48.61,93,47.24,44,0.74,16
95GG40S2,Shankill_2,Belfast,81.92,2,1,0.66,9,0.38,7,2.56,1,99.05,1,-1.43,866,85.24,6,43.1,79,0.78,11
95GG41S1,Stormont_1,Belfast,4.98,820,10,0.03,882,0.06,860,-0.13,481,0.31,880,-0.01,407,12.55,522,8.18,740,0.01,885
95GG41S2,Stormont_2,Belfast,4.09,846,10,0.03,878,0.04,884,-0.58,680,0.23,883,-0.24,518,30.47,221,8.62,733,0.02,884
95GG41S3,Stormont_3,Belfast,10,663,8,0.11,643,0.1,700,0.47,227,1.83,837,-0.76,747,25.46,294,11.09,669,0.07,740
95GG42S1,Stranmillis_1,Belfast,3.38,872,10,0.02,885,0.04,882,-0.49,636,0.15,886,-0.19,492,13.97,492,5.79,815,0.01,887
95GG42S2,Stranmillis_2,Belfast,4.75,828,10,0.01,889,0.02,889,0.02,409,0.06,890,-0.79,759,25.17,301,14.07,576,0.02,875
95GG42S3,Stranmillis_3,Belfast,7.24,758,9,0.05,841,0.03,886,0.19,325,0.15,885,-0.89,779,32.77,203,29.39,237,0.09,688
95GG42S4,Stranmillis_4,Belfast,3.61,867,10,0.05,820,0.06,867,-0.54,654,0.2,884,-0.55,668,20.38,367,9.27,713,0.09,698
95GG43S1,Sydenham_1,Belfast,33.58,166,2,0.27,244,0.21,166,1.09,83,41.74,134,-0.21,502,6.91,684,25.07,304,0.27,313
95GG43S2,Sydenham_2,Belfast,18.29,431,5,0.15,525,0.15,392,0.66,167,17.53,413,-0.5,642,19.15,388,18.52,453,0.2,455
95GG43S3,Sydenham_3,Belfast,26.77,259,3,0.24,302,0.15,381,1.09,85,33.31,193,-0.95,795,34.51,182,21.49,375,0.35,212
95GG44S1,The Mount_1,Belfast,65.55,21,1,0.49,58,0.31,33,1.89,16,83.54,10,-1.43,864,72.07,24,57.77,10,0.62,51
95GG44S2,The Mount_2,Belfast,49.31,62,1,0.41,104,0.24,101,1.28,56,59.88,55,-1.22,845,61.63,43,54.65,16,0.53,91
95GG45S1,Upper Malone_1,Belfast,6.72,776,9,0.04,847,0.07,843,0.06,383,0.67,872,-0.05,424,24.12,317,11.33,660,0.05,803
95GG45S2,Upper Malone_2,Belfast,37.4,134,2,0.33,167,0.21,156,0.96,104,54.2,69,-0.25,526,12.83,517,22.55,350,0.41,165
95GG45S3,Upper Malone_3,Belfast,9.84,668,8,0.12,619,0.1,703,0.18,332,4.68,737,-0.22,510,15.48,459,13,610,0.19,472
95GG46S1,Upper Springfield_1,Belfast,60.95,29,1,0.54,39,0.33,22,1.16,73,65.57,35,-0.53,656,37.5,159,54.71,15,0.59,63
95GG46S2,Upper Springfield_2,Belfast,65.11,23,1,0.6,23,0.31,38,1.92,13,63.24,42,-0.55,666,42.56,127,56.78,12,0.67,36
95GG46S3,Upper Springfield_3,Belfast,70.52,12,1,0.6,24,0.41,4,1.66,28,78.4,14,-0.7,732,27.05,269,46.65,54,0.62,50
95GG47S1,Water Works_1,Belfast,65.19,22,1,0.63,17,0.33,23,1.65,29,50.18,86,-1.61,881,73.87,19,53.69,22,0.74,17
95GG47S2,Water Works_2,Belfast,53.6,50,1,0.48,62,0.27,73,1.85,19,43.91,124,-1.35,858,84.88,7,41.61,92,0.51,95
95GG47S3,Water Works_3,Belfast,52.42,54,1,0.47,69,0.28,53,1.77,23,25.22,291,-1.34,856,88.91,5,48.08,38,0.58,65
95GG48S1,Whiterock_1,Belfast,59.13,31,1,0.5,51,0.34,20,1.57,34,61.57,49,-0.88,777,28.14,257,44.61,67,0.58,70
95GG48S2,Whiterock_2,Belfast,83.06,1,1,0.78,2,0.44,1,2.28,4,94.28,3,-0.56,669,19.09,390,47.73,41,0.87,4
95GG48S3,Whiterock_3,Belfast,77.75,5,1,0.66,11,0.43,2,2.17,6,85.24,9,-1.1,829,30.99,220,47.05,51,0.68,32
95GG49S1,Windsor_1,Belfast,10.06,661,8,0.11,656,0.07,850,0.44,234,0.24,882,-1.03,815,35.42,174,29.42,236,0.16,529
95GG49S2,Windsor_2,Belfast,17.21,462,6,0.12,630,0.09,745,0.98,101,2.73,804,-1.25,848,52.5,75,53.74,21,0.24,378
95GG49S3,Windsor_3,Belfast,19.17,407,5,0.16,491,0.08,776,0.96,106,20.06,380,-1.29,850,56.39,65,38.28,133,0.49,111
95GG49S4,Windsor_4,Belfast,17.93,444,5,0.14,548,0.08,801,0.99,100,10.34,587,-1.35,857,65.4,36,40.99,99,0.57,72
95GG50S1,Woodstock_1,Belfast,37.64,129,2,0.32,168,0.18,271,1.11,79,53.54,72,-1.32,852,59.07,52,39.39,115,0.44,143
95GG50S2,Woodstock_2,Belfast,49.16,64,1,0.43,86,0.24,112,1.51,37,57.16,62,-1.47,870,59.61,47,44.55,68,0.6,60
95GG50S3,Woodstock_3,Belfast,40.73,112,2,0.35,153,0.2,182,1.33,53,52.25,76,-1.37,859,37.96,156,44.5,69,0.56,79
95GG51S1,Woodvale_1,Belfast,51.01,58,1,0.36,137,0.25,95,1.84,22,71.91,22,-1.11,833,28.86,245,53.63,23,0.51,98
95GG51S2,Woodvale_2,Belfast,55.96,43,1,0.44,84,0.29,44,1.44,46,80.87,11,-1.26,849,29.25,237,45.16,63,0.64,44
95GG51S3,Woodvale_3,Belfast,66,18,1,0.54,40,0.33,24,1.92,14,93.26,4,-0.94,791,31.38,214,40.31,108,0.67,37
95HH01W1,Blackhead,Carrickfergus,11.14,631,8,0.15,516,0.12,581,-0.63,705,7.58,668,0.38,274,9.61,599,18.4,459,0.19,481
95HH02S1,Bluefield_1,Carrickfergus,3.67,864,10,0.04,846,0.08,798,-0.71,738,6.86,685,-0.6,698,9.2,613,8.93,723,0.05,798
95HH02S2,Bluefield_2,Carrickfergus,4.01,851,10,0.03,883,0.07,827,-0.84,778,4.83,734,0.09,362,3.5,780,8.81,725,0.03,872
95HH03W1,Boneybefore,Carrickfergus,5.58,801,9,0.06,800,0.1,666,-0.31,556,3,795,-0.75,744,8.22,638,15.29,555,0.07,755
95HH04S1,Burleigh Hill_1,Carrickfergus,7.7,748,9,0.05,810,0.11,617,-0.69,730,14.78,468,0.05,381,6.19,709,3.21,865,0.05,824
95HH04S2,Burleigh Hill_2,Carrickfergus,6.28,783,9,0.04,850,0.08,797,-0.15,486,3.53,773,0.05,380,17.91,410,3.24,862,0.06,787
95HH05W1,Clipperstown,Carrickfergus,25.75,281,4,0.21,373,0.17,321,0.21,317,44.25,119,-0.29,544,35.99,165,35.19,162,0.25,353
95HH06S1,Eden_1,Carrickfergus,6.5,780,9,0.06,808,0.07,821,-0.53,652,8.52,639,0.36,277,3.14,789,14.81,565,0.06,785
95HH06S2,Eden_2,Carrickfergus,7.84,743,9,0.08,716,0.12,607,-0.54,661,9.26,616,-0.11,462,4.6,747,13.67,589,0.1,683
95HH07W1,Gortalee,Carrickfergus,29.71,212,3,0.27,247,0.21,175,0.48,217,41.08,145,-0.49,631,15.89,448,22.71,349,0.32,243
95HH08W1,Greenisland,Carrickfergus,8.68,709,8,0.1,681,0.11,618,-0.62,698,10.63,575,-0.02,411,12.73,520,12.32,626,0.13,604
95HH09W1,Killycrot,Carrickfergus,22.25,338,4,0.21,380,0.18,289,-0.02,430,26.13,272,-0.76,745,39,150,39.24,117,0.26,331
95HH10W1,Knockagh,Carrickfergus,4.74,829,10,0.07,769,0.08,780,-1.02,826,1.8,839,0.1,360,10.26,581,7.23,774,0.07,758
95HH11W1,Love Lane,Carrickfergus,33.71,164,2,0.33,163,0.19,251,0.38,257,52.28,75,-0.43,602,30.12,226,40.75,102,0.48,115
95HH12W1,Milebush,Carrickfergus,10.19,657,8,0.13,596,0.12,604,-1,818,21.37,353,-0.17,486,7.55,665,16.02,535,0.23,386
95HH13W1,Northland,Carrickfergus,41.05,106,2,0.39,114,0.23,114,0.51,207,62.09,46,-0.52,651,29.29,236,31.76,205,0.54,90
95HH14W1,Sunnylands,Carrickfergus,29.02,224,3,0.24,299,0.22,142,0.17,335,41.27,143,-0.76,746,28.25,256,28.66,245,0.31,261
95HH15W1,Victoria_Carrickfergus,Carrickfergus,12.77,580,7,0.14,574,0.13,524,0.17,333,10.94,569,-0.74,741,9.52,602,30.59,221,0.15,554
95HH16W1,Whitehead,Carrickfergus,7.49,752,9,0.1,683,0.11,655,-0.76,750,2.96,797,0.13,353,14.86,477,13.83,585,0.06,780
95HH17W1,Woodburn,Carrickfergus,7.45,754,9,0.07,750,0.09,723,-1.15,850,12.27,535,0.4,270,12.98,516,5.19,822,0.1,667
95II01S1,Ballyhanwood_1,Castlereagh,5.51,803,10,0.06,794,0.1,669,-0.79,764,4.48,741,-0.24,522,13.28,509,8.81,726,0.07,737
95II01S2,Ballyhanwood_2,Castlereagh,5.63,797,9,0.04,866,0.09,760,-0.53,651,2.17,821,0.08,367,20.7,363,8.09,745,0.02,873
95II02S1,Beechill_1,Castlereagh,8.13,731,9,0.1,662,0.1,659,-0.12,468,1.22,854,-0.09,444,7.48,666,14.4,571,0.17,513
95II02S2,Beechill_2,Castlereagh,7.2,762,9,0.08,743,0.09,725,-0.07,455,2.62,809,-0.2,496,11.27,554,14.91,562,0.06,790
95II02S3,Beechill_3,Castlereagh,13.98,548,7,0.16,495,0.14,474,0.13,345,9.84,602,-0.31,554,15.31,463,18.1,468,0.11,640
95II03S1,Cairnshill_1,Castlereagh,3.44,871,10,0.03,876,0.05,874,-0.31,554,1.04,858,-0.3,545,6.66,692,5.21,821,0.02,880
95II03S2,Cairnshill_2,Castlereagh,2.54,885,10,0.04,845,0.06,862,-1.02,827,2.86,801,-0.49,635,12.03,532,4.85,832,0.07,756
