SA2011,lgd1993,catholic_pct_1971,lgd1971_pop
N00003675,NEWRY and MOURNE,71.4,72243
N00003669,NEWRY and MOURNE,71.4,72243
N00003667,NEWRY and MOURNE,71.4,72243
N00003668,NEWRY and MOURNE,71.4,72243
N00003692,NEWRY and MOURNE,71.4,72243
N00003674,NEWRY and MOURNE,71.4,72243
N00003812,NEWRY and MOURNE,71.4,72243
N00003813,NEWRY and MOURNE,71.4,72243
N00003807,NEWRY and MOURNE,71.4,72243
N00003810,NEWRY and MOURNE,71.4,72243
N00003808,NEWRY and MOURNE,71.4,72243
N00003811,NEWRY and MOURNE,71.4,72243
N00003809,NEWRY and MOURNE,71.4,72243
N00003803,NEWRY and MOURNE,71.4,72243
N00003800,NEWRY and MOURNE,71.4,72243
N00003799,NEWRY and MOURNE,71.4,72243
N00003695,NEWRY and MOURNE,71.4,72243
N00003693,NEWRY and MOURNE,71.4,72243
N00003690,NEWRY and MOURNE,71.4,72243
N00003694,NEWRY and MOURNE,71.4,72243
N00003804,NEWRY and MOURNE,71.4,72243
N00003801,NEWRY and MOURNE,71.4,72243
N00003802,NEWRY and MOURNE,71.4,72243
N00003806,NEWRY and MOURNE,71.4,72243
N00003815,NEWRY and MOURNE,71.4,72243
N00003805,NEWRY and MOURNE,71.4,72243
N00003814,NEWRY and MOURNE,71.4,72243
N00003816,NEWRY and MOURNE,71.4,72243
N00003821,NEWRY and MOURNE,71.4,72243
N00003822,NEWRY and MOURNE,71.4,72243
N00003818,NEWRY and MOURNE,71.4,72243
N00003819,NEWRY and MOURNE,71.4,72243
N00003843,NEWRY and MOURNE,71.4,72243
N00003717,NEWRY and MOURNE,71.4,72243
N00003846,NEWRY and MOURNE,71.4,72243
N00003841,NEWRY and MOURNE,71.4,72243
N00003842,NEWRY and MOURNE,71.4,72243
N00003838,NEWRY and MOURNE,71.4,72243
N00003837,NEWRY and MOURNE,71.4,72243
N00003840,NEWRY and MOURNE,71.4,72243
N00003839,NEWRY and MOURNE,71.4,72243
N00003834,NEWRY and MOURNE,71.4,72243
N00003835,NEWRY and MOURNE,71.4,72243
N00003699,NEWRY and MOURNE,71.4,72243
N00003697,NEWRY and MOURNE,71.4,72243
N00003860,NEWRY and MOURNE,71.4,72243
N00003825,NEWRY and MOURNE,71.4,72243
N00003826,NEWRY and MOURNE,71.4,72243
N00003701,NEWRY and MOURNE,71.4,72243
N00003704,NEWRY and MOURNE,71.4,72243
N00003703,NEWRY and MOURNE,71.4,72243
N00003698,NEWRY and MOURNE,71.4,72243
N00003700,NEWRY and MOURNE,71.4,72243
N00003836,NEWRY and MOURNE,71.4,72243
N00003844,NEWRY and MOURNE,71.4,72243
N00003845,NEWRY and MOURNE,71.4,72243
N00003847,NEWRY and MOURNE,71.4,72243
N00003848,NEWRY and MOURNE,71.4,72243
N00003714,NEWRY and MOURNE,71.4,72243
N00003712,NEWRY and MOURNE,71.4,72243
N00003715,NEWRY and MOURNE,71.4,72243
N00003716,NEWRY and MOURNE,71.4,72243
N00003713,NEWRY and MOURNE,71.4,72243
N00003719,NEWRY and MOURNE,71.4,72243
N00003718,NEWRY and MOURNE,71.4,72243
N00003720,NEWRY and MOURNE,71.4,72243
N00003789,NEWRY and MOURNE,71.4,72243
N00003784,NEWRY and MOURNE,71.4,72243
N00003785,NEWRY and MOURNE,71.4,72243
N00003790,NEWRY and MOURNE,71.4,72243
N00003702,NEWRY and MOURNE,71.4,72243
N00003747,NEWRY and MOURNE,71.4,72243
N00003746,NEWRY and MOURNE,71.4,72243
N00003868,NEWRY and MOURNE,71.4,72243
N00003867,NEWRY and MOURNE,71.4,72243
N00003745,NEWRY and MOURNE,71.4,72243
N00003744,NEWRY and MOURNE,71.4,72243
N00003743,NEWRY and MOURNE,71.4,72243
N00003752,NEWRY and MOURNE,71.4,72243
N00003871,NEWRY and MOURNE,71.4,72243
N00003883,NEWRY and MOURNE,71.4,72243
N00003870,NEWRY and MOURNE,71.4,72243
N00003869,NEWRY and MOURNE,71.4,72243
N00003864,NEWRY and MOURNE,71.4,72243
N00003873,NEWRY and MOURNE,71.4,72243
N00003866,NEWRY and MOURNE,71.4,72243
N00003865,NEWRY and MOURNE,71.4,72243
N00003769,NEWRY and MOURNE,71.4,72243
N00003774,NEWRY and MOURNE,71.4,72243
N00003736,NEWRY and MOURNE,71.4,72243
N00003734,NEWRY and MOURNE,71.4,72243
N00003735,NEWRY and MOURNE,71.4,72243
