SA2011,lgd1993,catholic_pct_1971,lgd1971_pop
N00002185,CRAIGAVON,38.7,71202
N00002234,CRAIGAVON,38.7,71202
N00002183,CRAIGAVON,38.7,71202
N00002290,CRAIGAVON,38.7,71202
N00002310,CRAIGAVON,38.7,71202
N00002309,CRAIGAVON,38.7,71202
N00002289,CRAIGAVON,38.7,71202
N00002293,CRAIGAVON,38.7,71202
N00002297,CRAIGAVON,38.7,71202
N00002296,CRAIGAVON,38.7,71202
N00002295,CRAIGAVON,38.7,71202
N00002294,CRAIGAVON,38.7,71202
N00002180,CRAIGAVON,38.7,71202
N00002205,CRAIGAVON,38.7,71202
N00002179,CRAIGAVON,38.7,71202
N00002187,CRAIGAVON,38.7,71202
N00002360,CRAIGAVON,38.7,71202
N00002212,CRAIGAVON,38.7,71202
N00002218,CRAIGAVON,38.7,71202
N00002217,CRAIGAVON,38.7,71202
N00002219,CRAIGAVON,38.7,71202
N00002220,CRAIGAVON,38.7,71202
N00002214,CRAIGAVON,38.7,71202
N00002182,CRAIGAVON,38.7,71202
N00002181,CRAIGAVON,38.7,71202
N00002203,CRAIGAVON,38.7,71202
N00002312,CRAIGAVON,38.7,71202
N00002311,CRAIGAVON,38.7,71202
N00002316,CRAIGAVON,38.7,71202
N00002308,CRAIGAVON,38.7,71202
N00002302,CRAIGAVON,38.7,71202
N00002208,CRAIGAVON,38.7,71202
N00002210,CRAIGAVON,38.7,71202
N00002209,CRAIGAVON,38.7,71202
N00002206,CRAIGAVON,38.7,71202
N00002256,CRAIGAVON,38.7,71202
N00000789,BANBRIDGE,31.2,29885
N00002204,CRAIGAVON,38.7,71202
N00000774,BANBRIDGE,31.2,29885
N00000776,BANBRIDGE,31.2,29885
N00000773,BANBRIDGE,31.2,29885
N00000791,BANBRIDGE,31.2,29885
N00000790,BANBRIDGE,31.2,29885
N00000764,BANBRIDGE,31.2,29885
N00000793,BANBRIDGE,31.2,29885
N00000772,BANBRIDGE,31.2,29885
N00000465,ARMAGH,44.5,47618
N00000464,ARMAGH,44.5,47618
N00000469,ARMAGH,44.5,47618
N00000422,ARMAGH,44.5,47618
N00000467,ARMAGH,44.5,47618
N00000468,ARMAGH,44.5,47618
N00000775,BANBRIDGE,31.2,29885
N00000466,ARMAGH,44.5,47618
N00000420,ARMAGH,44.5,47618
N00000421,ARMAGH,44.5,47618
N00000417,ARMAGH,44.5,47618
N00000418,ARMAGH,44.5,47618
N00000393,ARMAGH,44.5,47618
N00000392,ARMAGH,44.5,47618
N00000457,ARMAGH,44.5,47618
N00000455,ARMAGH,44.5,47618
N00000458,ARMAGH,44.5,47618
N00000419,ARMAGH,44.5,47618
N00002213,CRAIGAVON,38.7,71202
N00000398,ARMAGH,44.5,47618
N00002211,CRAIGAVON,38.7,71202
N00002192,CRAIGAVON,38.7,71202
N00002194,CRAIGAVON,38.7,71202
N00002190,CRAIGAVON,38.7,71202
N00000425,ARMAGH,44.5,47618
N00000396,ARMAGH,44.5,47618
N00000399,ARMAGH,44.5,47618
N00000397,ARMAGH,44.5,47618
N00000424,ARMAGH,44.5,47618
N00000426,ARMAGH,44.5,47618
N00000443,ARMAGH,44.5,47618
N00000395,ARMAGH,44.5,47618
N00000461,ARMAGH,44.5,47618
N00000462,ARMAGH,44.5,47618
N00000460,ARMAGH,44.5,47618
N00000459,ARMAGH,44.5,47618
N00000394,ARMAGH,44.5,47618
N00000456,ARMAGH,44.5,47618
N00000446,ARMAGH,44.5,47618
N00000445,ARMAGH,44.5,47618
N00000476,ARMAGH,44.5,47618
N00000470,ARMAGH,44.5,47618
N00000475,ARMAGH,44.5,47618
N00000473,ARMAGH,44.5,47618
N00000359,ARMAGH,44.5,47618
N00000474,ARMAGH,44.5,47618
N00000387,ARMAGH,44.5,47618
N00000356,ARMAGH,44.5,47618
N00000357,ARMAGH,44.5,47618
N00000348,ARMAGH,44.5,47618
N00000347,ARMAGH,44.5,47618
N00000448,ARMAGH,44.5,47618
N00000345,ARMAGH,44.5,47618
N00000349,ARMAGH,44.5,47618
N00000346,ARMAGH,44.5,47618
N00000444,ARMAGH,44.5,47618
N00000447,ARMAGH,44.5,47618
N00000344,ARMAGH,44.5,47618
N00000353,ARMAGH,44.5,47618
N00000355,ARMAGH,44.5,47618
N00000358,ARMAGH,44.5,47618
N00000354,ARMAGH,44.5,47618
N00000350,ARMAGH,44.5,47618
N00000351,ARMAGH,44.5,47618
N00002822,DUNGANNON,52.3,41073
N00000367,ARMAGH,44.5,47618
N00000352,ARMAGH,44.5,47618
N00000368,ARMAGH,44.5,47618
N00000371,ARMAGH,44.5,47618
N00000369,ARMAGH,44.5,47618
N00002893,DUNGANNON,52.3,41073
N00002895,DUNGANNON,52.3,41073
N00002891,DUNGANNON,52.3,41073
N00002894,DUNGANNON,52.3,41073
N00000366,ARMAGH,44.5,47618
N00002821,DUNGANNON,52.3,41073
N00002820,DUNGANNON,52.3,41073
N00002825,DUNGANNON,52.3,41073
N00002824,DUNGANNON,52.3,41073
N00002899,DUNGANNON,52.3,41073
N00002900,DUNGANNON,52.3,41073
N00002901,DUNGANNON,52.3,41073
N00002823,DUNGANNON,52.3,41073
N00002897,DUNGANNON,52.3,41073
N00002814,DUNGANNON,52.3,41073
N00002819,DUNGANNON,52.3,41073
N00002815,DUNGANNON,52.3,41073
N00002816,DUNGANNON,52.3,41073
N00002885,DUNGANNON,52.3,41073
N00002903,DUNGANNON,52.3,41073
N00002886,DUNGANNON,52.3,41073
N00002862,DUNGANNON,52.3,41073
N00002863,DUNGANNON,52.3,41073
N00002858,DUNGANNON,52.3,41073
N00002861,DUNGANNON,52.3,41073
N00002898,DUNGANNON,52.3,41073
N00002864,DUNGANNON,52.3,41073
N00002859,DUNGANNON,52.3,41073
N00002860,DUNGANNON,52.3,41073
N00002884,DUNGANNON,52.3,41073
N00002881,DUNGANNON,52.3,41073
N00002896,DUNGANNON,52.3,41073
N00002890,DUNGANNON,52.3,41073
N00002892,DUNGANNON,52.3,41073
N00002879,DUNGANNON,52.3,41073
N00002882,DUNGANNON,52.3,41073
N00002374,CRAIGAVON,38.7,71202
N00002880,DUNGANNON,52.3,41073
N00000428,ARMAGH,44.5,47618
N00000370,ARMAGH,44.5,47618
N00000423,ARMAGH,44.5,47618
N00000429,ARMAGH,44.5,47618
N00000427,ARMAGH,44.5,47618
N00002369,CRAIGAVON,38.7,71202
N00002370,CRAIGAVON,38.7,71202
N00002195,CRAIGAVON,38.7,71202
N00002189,CRAIGAVON,38.7,71202
N00002202,CRAIGAVON,38.7,71202
N00002196,CRAIGAVON,38.7,71202
N00002368,CRAIGAVON,38.7,71202
N00002371,CRAIGAVON,38.7,71202
N00002372,CRAIGAVON,38.7,71202
N00002255,CRAIGAVON,38.7,71202
N00002252,CRAIGAVON,38.7,71202
N00002375,CRAIGAVON,38.7,71202
N00002112,COOKSTOWN,49.2,26624
N00002911,DUNGANNON,52.3,41073
N00002373,CRAIGAVON,38.7,71202
N00002909,DUNGANNON,52.3,41073
N00002910,DUNGANNON,52.3,41073
N00002907,DUNGANNON,52.3,41073
N00002846,DUNGANNON,52.3,41073
N00002852,DUNGANNON,52.3,41073
N00002842,DUNGANNON,52.3,41073
N00002843,DUNGANNON,52.3,41073
N00002844,DUNGANNON,52.3,41073
N00002845,DUNGANNON,52.3,41073
N00002850,DUNGANNON,52.3,41073
N00002849,DUNGANNON,52.3,41073
N00002853,DUNGANNON,52.3,41073
N00002851,DUNGANNON,52.3,41073
N00002848,DUNGANNON,52.3,41073
N00002883,DUNGANNON,52.3,41073
N00002887,DUNGANNON,52.3,41073
N00002870,DUNGANNON,52.3,41073
N00002871,DUNGANNON,52.3,41073
N00002888,DUNGANNON,52.3,41073
N00002889,DUNGANNON,52.3,41073
N00002873,DUNGANNON,52.3,41073
N00002874,DUNGANNON,52.3,41073
N00002872,DUNGANNON,52.3,41073
N00002906,DUNGANNON,52.3,41073
N00002902,DUNGANNON,52.3,41073
N00002818,DUNGANNON,52.3,41073
N00002817,DUNGANNON,52.3,41073
N00002905,DUNGANNON,52.3,41073
N00002904,DUNGANNON,52.3,41073
N00002869,DUNGANNON,52.3,41073
N00002867,DUNGANNON,52.3,41073
N00002854,DUNGANNON,52.3,41073
N00002857,DUNGANNON,52.3,41073
N00002855,DUNGANNON,52.3,41073
N00002866,DUNGANNON,52.3,41073
N00002865,DUNGANNON,52.3,41073
N00002149,COOKSTOWN,49.2,26624
N00002156,COOKSTOWN,49.2,26624
N00002155,COOKSTOWN,49.2,26624
N00002157,COOKSTOWN,49.2,26624
N00002856,DUNGANNON,52.3,41073
N00002841,DUNGANNON,52.3,41073
N00002847,DUNGANNON,52.3,41073
N00002908,DUNGANNON,52.3,41073
N00002153,COOKSTOWN,49.2,26624
N00002154,COOKSTOWN,49.2,26624
N00002152,COOKSTOWN,49.2,26624
N00002148,COOKSTOWN,49.2,26624
N00002151,COOKSTOWN,49.2,26624
N00002150,COOKSTOWN,49.2,26624
N00002114,COOKSTOWN,49.2,26624
N00002118,COOKSTOWN,49.2,26624
N00002116,COOKSTOWN,49.2,26624
N00002117,COOKSTOWN,49.2,26624
N00002130,COOKSTOWN,49.2,26624
N00002119,COOKSTOWN,49.2,26624
N00002115,COOKSTOWN,49.2,26624
N00002164,COOKSTOWN,49.2,26624
N00002169,COOKSTOWN,49.2,26624
N00002167,COOKSTOWN,49.2,26624
N00002166,COOKSTOWN,49.2,26624
N00002165,COOKSTOWN,49.2,26624
N00002168,COOKSTOWN,49.2,26624
N00002108,COOKSTOWN,49.2,26624
N00002107,COOKSTOWN,49.2,26624
N00002106,COOKSTOWN,49.2,26624
N00002103,COOKSTOWN,49.2,26624
N00002104,COOKSTOWN,49.2,26624
N00002105,COOKSTOWN,49.2,26624
N00002131,COOKSTOWN,49.2,26624
N00002120,COOKSTOWN,49.2,26624
N00002141,COOKSTOWN,49.2,26624
N00002139,COOKSTOWN,49.2,26624
N00002137,COOKSTOWN,49.2,26624
N00002142,COOKSTOWN,49.2,26624
N00002136,COOKSTOWN,49.2,26624
N00002138,COOKSTOWN,49.2,26624
N00002140,COOKSTOWN,49.2,26624
N00002128,COOKSTOWN,49.2,26624
N00002129,COOKSTOWN,49.2,26624
N00002097,COOKSTOWN,49.2,26624
N00002095,COOKSTOWN,49.2,26624
N00002093,COOKSTOWN,49.2,26624
N00002090,COOKSTOWN,49.2,26624
N00002094,COOKSTOWN,49.2,26624
N00002096,COOKSTOWN,49.2,26624
N00002113,COOKSTOWN,49.2,26624
N00002111,COOKSTOWN,49.2,26624
N00002110,COOKSTOWN,49.2,26624
N00002109,COOKSTOWN,49.2,26624
N00002091,COOKSTOWN,49.2,26624
N00002092,COOKSTOWN,49.2,26624
N00000004,ANTRIM,31.1,44384
N00002178,CRAIGAVON,38.7,71202
N00002174,CRAIGAVON,38.7,71202
N00002177,CRAIGAVON,38.7,71202
N00003350,LISBURN,16.6,82091
N00003355,LISBURN,16.6,82091
N00003243,LISBURN,16.6,82091
N00003247,LISBURN,16.6,82091
N00003249,LISBURN,16.6,82091
N00002170,CRAIGAVON,38.7,71202
N00003246,LISBURN,16.6,82091
N00003245,LISBURN,16.6,82091
N00003248,LISBURN,16.6,82091
N00003240,LISBURN,16.6,82091
N00003445,LISBURN,16.6,82091
N00003241,LISBURN,16.6,82091
N00003244,LISBURN,16.6,82091
N00003357,LISBURN,16.6,82091
N00003356,LISBURN,16.6,82091
N00003358,LISBURN,16.6,82091
N00003354,LISBURN,16.6,82091
N00000027,ANTRIM,31.1,44384
N00003352,LISBURN,16.6,82091
N00003351,LISBURN,16.6,82091
N00003353,LISBURN,16.6,82091
N00000038,ANTRIM,31.1,44384
N00003349,LISBURN,16.6,82091
N00000043,ANTRIM,31.1,44384
N00000039,ANTRIM,31.1,44384
N00000037,ANTRIM,31.1,44384
N00000040,ANTRIM,31.1,44384
N00000042,ANTRIM,31.1,44384
N00000041,ANTRIM,31.1,44384
N00000028,ANTRIM,31.1,44384
N00000044,ANTRIM,31.1,44384
N00000002,ANTRIM,31.1,44384
N00000006,ANTRIM,31.1,44384
N00000001,ANTRIM,31.1,44384
N00000010,ANTRIM,31.1,44384
N00000003,ANTRIM,31.1,44384
N00000026,ANTRIM,31.1,44384
N00000024,ANTRIM,31.1,44384
N00000030,ANTRIM,31.1,44384
N00000025,ANTRIM,31.1,44384
N00003359,LISBURN,16.6,82091
N00001219,BELFAST,34.1,295223
N00001248,BELFAST,34.1,295223
N00001231,BELFAST,34.1,295223
N00001533,BELFAST,34.1,295223
N00001534,BELFAST,34.1,295223
N00001538,BELFAST,34.1,295223
N00001532,BELFAST,34.1,295223
N00001250,BELFAST,34.1,295223
N00001247,BELFAST,34.1,295223
N00001246,BELFAST,34.1,295223
N00001254,BELFAST,34.1,295223
N00001251,BELFAST,34.1,295223
N00001255,BELFAST,34.1,295223
N00001253,BELFAST,34.1,295223
N00001259,BELFAST,34.1,295223
N00001257,BELFAST,34.1,295223
N00001258,BELFAST,34.1,295223
N00001252,BELFAST,34.1,295223
N00001262,BELFAST,34.1,295223
N00001260,BELFAST,34.1,295223
N00001261,BELFAST,34.1,295223
N00001536,BELFAST,34.1,295223
N00001535,BELFAST,34.1,295223
N00001531,BELFAST,34.1,295223
N00001539,BELFAST,34.1,295223
N00001574,BELFAST,34.1,295223
N00001537,BELFAST,34.1,295223
N00001572,BELFAST,34.1,295223
N00001575,BELFAST,34.1,295223
N00001578,BELFAST,34.1,295223
N00001577,BELFAST,34.1,295223
N00001576,BELFAST,34.1,295223
N00001540,BELFAST,34.1,295223
N00001541,BELFAST,34.1,295223
N00001543,BELFAST,34.1,295223
N00001542,BELFAST,34.1,295223
N00001567,BELFAST,34.1,295223
N00001565,BELFAST,34.1,295223
N00001159,BELFAST,34.1,295223
N00001161,BELFAST,34.1,295223
N00001569,BELFAST,34.1,295223
N00001566,BELFAST,34.1,295223
N00001571,BELFAST,34.1,295223
N00001573,BELFAST,34.1,295223
N00001570,BELFAST,34.1,295223
N00000937,BELFAST,34.1,295223
N00000938,BELFAST,34.1,295223
N00001114,BELFAST,34.1,295223
N00001108,BELFAST,34.1,295223
N00001115,BELFAST,34.1,295223
N00000931,BELFAST,34.1,295223
N00000932,BELFAST,34.1,295223
N00000933,BELFAST,34.1,295223
N00000939,BELFAST,34.1,295223
N00000940,BELFAST,34.1,295223
N00001568,BELFAST,34.1,295223
N00000926,BELFAST,34.1,295223
N00000928,BELFAST,34.1,295223
N00000929,BELFAST,34.1,295223
N00000930,BELFAST,34.1,295223
N00000927,BELFAST,34.1,295223
N00000935,BELFAST,34.1,295223
N00000934,BELFAST,34.1,295223
N00001147,BELFAST,34.1,295223
N00000986,BELFAST,34.1,295223
N00000989,BELFAST,34.1,295223
N00000990,BELFAST,34.1,295223
N00000988,BELFAST,34.1,295223
N00000987,BELFAST,34.1,295223
N00000985,BELFAST,34.1,295223
N00000983,BELFAST,34.1,295223
N00001148,BELFAST,34.1,295223
N00001116,BELFAST,34.1,295223
N00001145,BELFAST,34.1,295223
N00001146,BELFAST,34.1,295223
N00001153,BELFAST,34.1,295223
N00001151,BELFAST,34.1,295223
N00001436,BELFAST,34.1,295223
N00001435,BELFAST,34.1,295223
N00001113,BELFAST,34.1,295223
N00001106,BELFAST,34.1,295223
N00001111,BELFAST,34.1,295223
N00001112,BELFAST,34.1,295223
N00001107,BELFAST,34.1,295223
N00000936,BELFAST,34.1,295223
N00001109,BELFAST,34.1,295223
N00001110,BELFAST,34.1,295223
N00001433,BELFAST,34.1,295223
N00001623,BELFAST,34.1,295223
N00001626,BELFAST,34.1,295223
N00001627,BELFAST,34.1,295223
N00001628,BELFAST,34.1,295223
N00001625,BELFAST,34.1,295223
N00001634,BELFAST,34.1,295223
N00001624,BELFAST,34.1,295223
N00001122,BELFAST,34.1,295223
N00001118,BELFAST,34.1,295223
N00001432,BELFAST,34.1,295223
N00001431,BELFAST,34.1,295223
N00001434,BELFAST,34.1,295223
N00001119,BELFAST,34.1,295223
N00001123,BELFAST,34.1,295223
N00001120,BELFAST,34.1,295223
N00001117,BELFAST,34.1,295223
N00001121,BELFAST,34.1,295223
N00001124,BELFAST,34.1,295223
N00001125,BELFAST,34.1,295223
N00001129,BELFAST,34.1,295223
N00001639,BELFAST,34.1,295223
N00001127,BELFAST,34.1,295223
N00000854,BELFAST,34.1,295223
N00001555,BELFAST,34.1,295223
N00000853,BELFAST,34.1,295223
N00000847,BELFAST,34.1,295223
N00000846,BELFAST,34.1,295223
N00000845,BELFAST,34.1,295223
N00000852,BELFAST,34.1,295223
N00000849,BELFAST,34.1,295223
N00000851,BELFAST,34.1,295223
N00000848,BELFAST,34.1,295223
N00000841,BELFAST,34.1,295223
N00000844,BELFAST,34.1,295223
N00000843,BELFAST,34.1,295223
N00000842,BELFAST,34.1,295223
N00001230,BELFAST,34.1,295223
N00001635,BELFAST,34.1,295223
N00001225,BELFAST,34.1,295223
N00001637,BELFAST,34.1,295223
N00001636,BELFAST,34.1,295223
N00001638,BELFAST,34.1,295223
N00001630,BELFAST,34.1,295223
N00001640,BELFAST,34.1,295223
N00001632,BELFAST,34.1,295223
N00001633,BELFAST,34.1,295223
N00001631,BELFAST,34.1,295223
N00001629,BELFAST,34.1,295223
N00001224,BELFAST,34.1,295223
N00001226,BELFAST,34.1,295223
N00001217,BELFAST,34.1,295223
N00001218,BELFAST,34.1,295223
N00001256,BELFAST,34.1,295223
N00001249,BELFAST,34.1,295223
N00001223,BELFAST,34.1,295223
N00001228,BELFAST,34.1,295223
N00001229,BELFAST,34.1,295223
N00001319,BELFAST,34.1,295223
N00001321,BELFAST,34.1,295223
N00001324,BELFAST,34.1,295223
N00001323,BELFAST,34.1,295223
N00001322,BELFAST,34.1,295223
N00001318,BELFAST,34.1,295223
N00001320,BELFAST,34.1,295223
N00001222,BELFAST,34.1,295223
N00001221,BELFAST,34.1,295223
N00001227,BELFAST,34.1,295223
N00001220,BELFAST,34.1,295223
N00001313,BELFAST,34.1,295223
N00001312,BELFAST,34.1,295223
N00001315,BELFAST,34.1,295223
N00001316,BELFAST,34.1,295223
N00000912,BELFAST,34.1,295223
N00001317,BELFAST,34.1,295223
N00000911,BELFAST,34.1,295223
N00000909,BELFAST,34.1,295223
N00000910,BELFAST,34.1,295223
N00000908,BELFAST,34.1,295223
N00000917,BELFAST,34.1,295223
N00000918,BELFAST,34.1,295223
N00001099,BELFAST,34.1,295223
N00000919,BELFAST,34.1,295223
N00001104,BELFAST,34.1,295223
N00001101,BELFAST,34.1,295223
N00001102,BELFAST,34.1,295223
N00001103,BELFAST,34.1,295223
N00000850,BELFAST,34.1,295223
N00001105,BELFAST,34.1,295223
N00001097,BELFAST,34.1,295223
N00001094,BELFAST,34.1,295223
N00001092,BELFAST,34.1,295223
N00001093,BELFAST,34.1,295223
N00001095,BELFAST,34.1,295223
N00001091,BELFAST,34.1,295223
N00001096,BELFAST,34.1,295223
N00001089,BELFAST,34.1,295223
N00001098,BELFAST,34.1,295223
N00001100,BELFAST,34.1,295223
N00001090,BELFAST,34.1,295223
N00001086,BELFAST,34.1,295223
N00001050,BELFAST,34.1,295223
N00001048,BELFAST,34.1,295223
N00000922,BELFAST,34.1,295223
N00000915,BELFAST,34.1,295223
N00000924,BELFAST,34.1,295223
N00000916,BELFAST,34.1,295223
N00000914,BELFAST,34.1,295223
N00000913,BELFAST,34.1,295223
N00000925,BELFAST,34.1,295223
N00000923,BELFAST,34.1,295223
N00000920,BELFAST,34.1,295223
N00000921,BELFAST,34.1,295223
N00001060,BELFAST,34.1,295223
N00001049,BELFAST,34.1,295223
N00001047,BELFAST,34.1,295223
N00001046,BELFAST,34.1,295223
N00001059,BELFAST,34.1,295223
N00001057,BELFAST,34.1,295223
N00001056,BELFAST,34.1,295223
N00001308,BELFAST,34.1,295223
N00001309,BELFAST,34.1,295223
N00000907,BELFAST,34.1,295223
N00000906,BELFAST,34.1,295223
N00001314,BELFAST,34.1,295223
N00001311,BELFAST,34.1,295223
N00001310,BELFAST,34.1,295223
N00004061,NEWTOWNABBEY,18.0,71631
N00003974,NEWTOWNABBEY,18.0,71631
N00003975,NEWTOWNABBEY,18.0,71631
N00003973,NEWTOWNABBEY,18.0,71631
N00003980,NEWTOWNABBEY,18.0,71631
N00003976,NEWTOWNABBEY,18.0,71631
N00003978,NEWTOWNABBEY,18.0,71631
N00003977,NEWTOWNABBEY,18.0,71631
N00003979,NEWTOWNABBEY,18.0,71631
N00004011,NEWTOWNABBEY,18.0,71631
N00000942,BELFAST,34.1,295223
N00000944,BELFAST,34.1,295223
N00000943,BELFAST,34.1,295223
N00004097,NEWTOWNABBEY,18.0,71631
N00004005,NEWTOWNABBEY,18.0,71631
N00004002,NEWTOWNABBEY,18.0,71631
N00004001,NEWTOWNABBEY,18.0,71631
N00004003,NEWTOWNABBEY,18.0,71631
N00004004,NEWTOWNABBEY,18.0,71631
N00004006,NEWTOWNABBEY,18.0,71631
N00004096,NEWTOWNABBEY,18.0,71631
N00004108,NEWTOWNABBEY,18.0,71631
N00004105,NEWTOWNABBEY,18.0,71631
N00003986,NEWTOWNABBEY,18.0,71631
N00003989,NEWTOWNABBEY,18.0,71631
N00004104,NEWTOWNABBEY,18.0,71631
N00003887,NEWTOWNABBEY,18.0,71631
N00004107,NEWTOWNABBEY,18.0,71631
N00004106,NEWTOWNABBEY,18.0,71631
N00004109,NEWTOWNABBEY,18.0,71631
N00004101,NEWTOWNABBEY,18.0,71631
N00004103,NEWTOWNABBEY,18.0,71631
N00004102,NEWTOWNABBEY,18.0,71631
N00004098,NEWTOWNABBEY,18.0,71631
N00004099,NEWTOWNABBEY,18.0,71631
N00004094,NEWTOWNABBEY,18.0,71631
N00004092,NEWTOWNABBEY,18.0,71631
N00004093,NEWTOWNABBEY,18.0,71631
N00003888,NEWTOWNABBEY,18.0,71631
N00004095,NEWTOWNABBEY,18.0,71631
N00000947,BELFAST,34.1,295223
N00000949,BELFAST,34.1,295223
N00000948,BELFAST,34.1,295223
N00000953,BELFAST,34.1,295223
N00000955,BELFAST,34.1,295223
N00000952,BELFAST,34.1,295223
N00000954,BELFAST,34.1,295223
N00004100,NEWTOWNABBEY,18.0,71631
N00000956,BELFAST,34.1,295223
N00000945,BELFAST,34.1,295223
N00000941,BELFAST,34.1,295223
N00000951,BELFAST,34.1,295223
N00001039,BELFAST,34.1,295223
N00001042,BELFAST,34.1,295223
N00001053,BELFAST,34.1,295223
N00001058,BELFAST,34.1,295223
N00001055,BELFAST,34.1,295223
N00001054,BELFAST,34.1,295223
N00001051,BELFAST,34.1,295223
N00001052,BELFAST,34.1,295223
N00001088,BELFAST,34.1,295223
N00001087,BELFAST,34.1,295223
N00001084,BELFAST,34.1,295223
N00001083,BELFAST,34.1,295223
N00001189,BELFAST,34.1,295223
N00001198,BELFAST,34.1,295223
N00001036,BELFAST,34.1,295223
N00001035,BELFAST,34.1,295223
N00001200,BELFAST,34.1,295223
N00001201,BELFAST,34.1,295223
N00001038,BELFAST,34.1,295223
N00001037,BELFAST,34.1,295223
N00001040,BELFAST,34.1,295223
N00001032,BELFAST,34.1,295223
N00001034,BELFAST,34.1,295223
N00001033,BELFAST,34.1,295223
N00001197,BELFAST,34.1,295223
N00001045,BELFAST,34.1,295223
N00001044,BELFAST,34.1,295223
N00001043,BELFAST,34.1,295223
N00001041,BELFAST,34.1,295223
N00000946,BELFAST,34.1,295223
N00000950,BELFAST,34.1,295223
N00001133,BELFAST,34.1,295223
N00004219,NORTH DOWN,11.3,65849
N00004242,NORTH DOWN,11.3,65849
N00004236,NORTH DOWN,11.3,65849
N00004237,NORTH DOWN,11.3,65849
N00004239,NORTH DOWN,11.3,65849
N00004240,NORTH DOWN,11.3,65849
N00004241,NORTH DOWN,11.3,65849
N00004283,NORTH DOWN,11.3,65849
N00004284,NORTH DOWN,11.3,65849
N00004235,NORTH DOWN,11.3,65849
N00004278,NORTH DOWN,11.3,65849
N00004277,NORTH DOWN,11.3,65849
N00004288,NORTH DOWN,11.3,65849
N00004289,NORTH DOWN,11.3,65849
N00004276,NORTH DOWN,11.3,65849
N00004279,NORTH DOWN,11.3,65849
N00004285,NORTH DOWN,11.3,65849
N00004280,NORTH DOWN,11.3,65849
N00004281,NORTH DOWN,11.3,65849
N00004238,NORTH DOWN,11.3,65849
N00004282,NORTH DOWN,11.3,65849
N00004271,NORTH DOWN,11.3,65849
N00004275,NORTH DOWN,11.3,65849
N00004274,NORTH DOWN,11.3,65849
N00004272,NORTH DOWN,11.3,65849
N00004273,NORTH DOWN,11.3,65849
N00004293,NORTH DOWN,11.3,65849
N00004292,NORTH DOWN,11.3,65849
N00004270,NORTH DOWN,11.3,65849
N00004287,NORTH DOWN,11.3,65849
N00004291,NORTH DOWN,11.3,65849
N00004294,NORTH DOWN,11.3,65849
N00000968,BELFAST,34.1,295223
N00000970,BELFAST,34.1,295223
N00000969,BELFAST,34.1,295223
N00000973,BELFAST,34.1,295223
N00000971,BELFAST,34.1,295223
N00000972,BELFAST,34.1,295223
N00000974,BELFAST,34.1,295223
N00001446,BELFAST,34.1,295223
N00000963,BELFAST,34.1,295223
N00000967,BELFAST,34.1,295223
N00000964,BELFAST,34.1,295223
N00000957,BELFAST,34.1,295223
N00001447,BELFAST,34.1,295223
N00004290,NORTH DOWN,11.3,65849
N00004286,NORTH DOWN,11.3,65849
N00001824,CASTLEREAGH,10.1,60757
N00001820,CASTLEREAGH,10.1,60757
N00001829,CASTLEREAGH,10.1,60757
N00001828,CASTLEREAGH,10.1,60757
N00001827,CASTLEREAGH,10.1,60757
N00001826,CASTLEREAGH,10.1,60757
N00001780,CASTLEREAGH,10.1,60757
N00001781,CASTLEREAGH,10.1,60757
N00001782,CASTLEREAGH,10.1,60757
N00001783,CASTLEREAGH,10.1,60757
N00001860,CASTLEREAGH,10.1,60757
N00001858,CASTLEREAGH,10.1,60757
N00001859,CASTLEREAGH,10.1,60757
N00001786,CASTLEREAGH,10.1,60757
N00001784,CASTLEREAGH,10.1,60757
N00001789,CASTLEREAGH,10.1,60757
N00001778,CASTLEREAGH,10.1,60757
N00001788,CASTLEREAGH,10.1,60757
N00001787,CASTLEREAGH,10.1,60757
N00001785,CASTLEREAGH,10.1,60757
N00001832,CASTLEREAGH,10.1,60757
N00001833,CASTLEREAGH,10.1,60757
N00001861,CASTLEREAGH,10.1,60757
N00001835,CASTLEREAGH,10.1,60757
N00001834,CASTLEREAGH,10.1,60757
N00001836,CASTLEREAGH,10.1,60757
N00001863,CASTLEREAGH,10.1,60757
N00001751,CASTLEREAGH,10.1,60757
N00001862,CASTLEREAGH,10.1,60757
N00001857,CASTLEREAGH,10.1,60757
N00001855,CASTLEREAGH,10.1,60757
N00001854,CASTLEREAGH,10.1,60757
N00001825,CASTLEREAGH,10.1,60757
N00001821,CASTLEREAGH,10.1,60757
N00001822,CASTLEREAGH,10.1,60757
N00001823,CASTLEREAGH,10.1,60757
N00001856,CASTLEREAGH,10.1,60757
N00001750,CASTLEREAGH,10.1,60757
N00001757,CASTLEREAGH,10.1,60757
N00001073,BELFAST,34.1,295223
N00001921,CASTLEREAGH,10.1,60757
N00001923,CASTLEREAGH,10.1,60757
N00001925,CASTLEREAGH,10.1,60757
N00001922,CASTLEREAGH,10.1,60757
N00001072,BELFAST,34.1,295223
N00001920,CASTLEREAGH,10.1,60757
N00001074,BELFAST,34.1,295223
N00001075,BELFAST,34.1,295223
N00001078,BELFAST,34.1,295223
N00001076,BELFAST,34.1,295223
N00001077,BELFAST,34.1,295223
N00001445,BELFAST,34.1,295223
N00001454,BELFAST,34.1,295223
N00001453,BELFAST,34.1,295223
N00001452,BELFAST,34.1,295223
N00001450,BELFAST,34.1,295223
N00001448,BELFAST,34.1,295223
