W72_ID,ward_key,District,Geography,Area_SqKM,ward_pop_1971,ward_pop_1981,ward_pop_change_pct,ward_male_pct_1981,ward_pop_density_1981
antrim--aldergrove,antrim|aldergrove,ANTRIM,ALDERGROVE,51.65863108534058,2186,2887,32.07,62.24,55.9
antrim--balloo,antrim|balloo,ANTRIM,BALLOO,2.2971978484728934,2471,2011,-18.62,48.68,875.4
antrim--ballycraigy,antrim|ballycraigy,ANTRIM,BALLYCRAIGY,0.4746492821221292,2513,2334,-7.12,51.63,4917.3
antrim--ballyrobin,antrim|ballyrobin,ANTRIM,BALLYROBIN,55.83687143682519,2477,2387,-3.63,51.99,42.7
antrim--cranfield,antrim|cranfield,ANTRIM,CRANFIELD,25.989331438036007,2023,1934,-4.4,50.05,74.4
antrim--crumlin,antrim|crumlin,ANTRIM,CRUMLIN,22.371375020828594,1751,1965,12.22,52.21,87.8
antrim--drumanaway,antrim|drumanaway,ANTRIM,DRUMANAWAY,19.658046227376147,1779,1819,2.25,50.58,92.5
antrim--massereene,antrim|massereene,ANTRIM,MASSEREENE,5.340395410391109,2172,3251,49.68,53.06,608.8
antrim--parkgate,antrim|parkgate,ANTRIM,PARKGATE,56.31728460951427,1664,1702,2.28,50.29,30.2
antrim--parkhall,antrim|parkhall,ANTRIM,PARKHALL,6.943725214770165,3943,5680,44.05,49.17,818.0
antrim--randalstown,antrim|randalstown,ANTRIM,RANDALSTOWN,21.642825659605528,1799,1910,6.17,47.38,88.3
antrim--stiles,antrim|stiles,ANTRIM,STILES,3.8376329229784907,3579,11637,225.15,49.47,3032.3
antrim--tardree,antrim|tardree,ANTRIM,TARDREE,63.51734686756141,1665,1599,-3.96,47.59,25.2
antrim--templepatrick,antrim|templepatrick,ANTRIM,TEMPLEPATRICK,35.81601589203364,1918,2089,8.92,48.88,58.3
antrim--toome,antrim|toome,ANTRIM,TOOME,38.71954786388789,2058,2098,1.94,49.09,54.2
ards--ballygowan,ards|ballygowan,ARDS,BALLYGOWAN,44.80588410709883,2671,3226,20.78,49.94,72.0
ards--ballyhalbert,ards|ballyhalbert,ARDS,BALLYHALBERT,27.042001719101776,2236,2409,7.74,48.4,89.1
ards--carrowdore,ards|carrowdore,ARDS,CARROWDORE,30.613370533521675,2548,2991,17.39,49.21,97.7
ards--central,ards|central,ARDS,CENTRAL,6.258108352109182,3068,5186,69.04,47.61,828.7
ards--comber-north,ards|comber north,ARDS,COMBER NORTH,7.580783551340533,3546,4766,34.4,50.29,628.7
ards--comber-south,ards|comber south,ARDS,COMBER SOUTH,13.024861127407672,2664,3575,34.2,49.71,274.5
ards--donaghadee-north,ards|donaghadee north,ARDS,DONAGHADEE NORTH,16.332232139942356,2226,2248,0.99,46.89,137.6
ards--donaghadee-south,ards|donaghadee south,ARDS,DONAGHADEE SOUTH,9.765280066798498,2868,3310,15.41,45.86,339.0
ards--glen,ards|glen,ARDS,GLEN,4.996498088133736,3291,3405,3.46,48.16,681.5
ards--greyabbey,ards|greyabbey,ARDS,GREYABBEY,43.839123353235514,2646,2913,10.09,48.71,66.4
ards--killinchy,ards|killinchy,ARDS,KILLINCHY,43.37014362458657,2168,2506,15.59,50.4,57.8
ards--kircubbin,ards|kircubbin,ARDS,KIRCUBBIN,40.144495749409614,3006,3146,4.66,50.38,78.4
ards--loughries,ards|loughries,ARDS,LOUGHRIES,13.922139044577133,2909,3847,32.24,50.35,276.3
ards--movilla,ards|movilla,ARDS,MOVILLA,14.360462913360676,2563,5473,113.54,48.11,381.1
ards--portaferry,ards|portaferry,ARDS,PORTAFERRY,41.148953324951584,2686,3183,18.5,49.36,77.4
ards--scrabo,ards|scrabo,ARDS,SCRABO,19.524411114138847,2739,3106,13.4,44.98,159.1
ards--ulsterville,ards|ulsterville,ARDS,ULSTERVILLE,0.3659593241865439,2943,2308,-21.58,48.09,6306.7
armagh--ballymartrim,armagh|ballymartrim,ARMAGH,BALLYMARTRIM,52.82803683590891,2024,1778,-12.15,50.62,33.7
armagh--carrigatuke,armagh|carrigatuke,ARMAGH,CARRIGATUKE,60.18297875492241,2371,2258,-4.77,50.93,37.5
armagh--charlemont,armagh|charlemont,ARMAGH,CHARLEMONT,35.48372485126198,2166,2338,7.94,49.74,65.9
armagh--demesne,armagh|demesne,ARMAGH,DEMESNE,1.955333559535282,2460,2707,10.04,47.8,1384.4
