SA2011,total_pop,total_households,adults18plus,rc_pct,protestant_pct,none_relig_pct,relig_notstated_pct,none_or_notstated_pct,cb_catholic_pct,cb_protestant_pct,irish_speak_pct,econ_active_pct,unemployment_pct,owner_occ_pct,social_rent_pct,private_rent_pct,no_car_pct,llti_pct,qualified_pct,degree_pct
N00000001,2709.7369113817767,567.8261252906296,1998.2555332099146,13.122582684664412,38.275994624578324,,,48.16924291052957,16.401454488391128,65.44029510599881,0.7914939203766086,87.53256685900331,2.8547057929994546,9.634099523058138,1.5342655642089957,88.83163491273285,2.7602023602331,5.541447828712402,92.33509125046332,15.04077870150871
N00000002,230.9999846711952,92.999993828663,185.999987657326,39.3939393939394,53.246753246753244,,,7.359307359307359,40.869565217391305,59.13043478260869,4.824561403508772,62.22222222222223,3.5714285714285716,82.79569892473118,9.677419354838708,7.526881720430109,15.053763440860218,17.748917748917748,58.24175824175824,19.780219780219777
N00000003,181.4229298034032,54.52602700999221,125.90555698470743,36.61205071678636,54.0983289388601,,,9.289620344353535,36.61205763270962,59.56281017220037,5.7471259351510255,72.44093963432746,3.2608689484099838,85.45455460671087,0.0,14.545445393289153,2.3437289713763182e-05,16.939897701889638,66.14174073841521,21.259851376785313
N00000004,486.9999963303745,156.99999881697903,349.9999973626921,36.96098562628337,49.07597535934291,,,13.963039014373718,39.01437371663244,57.49486652977412,5.139186295503213,75.74850299401196,3.952569169960474,94.90445859872612,1.9108280254777072,3.1847133757961785,2.515723270440252,11.293634496919918,66.16766467065868,17.065868263473053
N00000005,223.9999974418759,74.99999914348524,159.99999817276853,35.267857142857146,54.017857142857146,,,10.714285714285715,38.116591928251125,60.53811659192825,4.166666666666667,75.0,4.385964912280702,91.99999999999999,0.0,8.0,9.09090909090909,14.732142857142858,62.25165562913908,16.556291390728475
N00000006,138.05089093364714,45.58284134601557,106.79408543923648,52.358490566037744,36.79245283018869,,,10.849056603773585,56.132075471698116,42.45283018867926,5.4726368159203975,69.5945945945946,2.9126213592233015,90.0,0.0,10.0,11.267605633802816,20.754716981132077,70.66666666666667,26.0
N00000007,224.9999956066906,80.99999841840861,170.99999666108485,16.071428571428573,69.19642857142858,,,14.732142857142858,17.333333333333332,78.66666666666667,5.633802816901409,70.48192771084337,3.4188034188034186,87.65432098765432,0.0,12.34567901234568,7.407407407407408,20.88888888888889,64.4578313253012,21.68674698795181
N00000008,594.9999679125984,108.99999343738816,523.9999719464685,25.50335577373093,60.0671141324796,,,14.42953009378947,29.07563030071522,66.55462183933463,0.0,29.239765960523233,2.000000015496926,78.89908270365362,0.0,21.100917296346378,10.0917430553915,67.05882369830037,24.999999861981607,8.13953488264246
N00000009,274.99999260105614,97.99999736328546,217.99999413465542,7.971014492753623,84.42028985507247,,,6.521739130434782,8.727272727272728,88.36363636363636,0.0,66.36363636363636,2.0547945205479454,84.6938775510204,5.102040816326531,10.204081632653063,7.142857142857144,13.09090909090909,54.09090909090909,19.545454545454547
N00000010,167.78925939155766,64.06498994950383,138.04479977214515,6.334841628959276,72.85067873303167,,,19.457013574660632,8.256880733944953,86.23853211009174,0.0,68.63905325443787,3.4482758620689653,86.90476190476191,3.571428571428572,9.523809523809524,9.411764705882351,16.363636363636363,57.98816568047337,11.242603550295856
N00000011,296.99999199967317,131.99999644429917,247.9999933195924,28.61952861952862,56.22895622895623,,,15.15151515151515,31.986531986531983,66.66666666666666,1.384083044982699,64.35185185185185,7.194244604316547,68.93939393939394,23.484848484848484,7.575757575757577,33.84615384615385,25.252525252525253,46.51162790697674,7.441860465116279
N00000012,295.99993850452057,120.99997486164524,242.9999495155355,29.72972972972973,56.081081081081095,,,14.189189189189188,33.108108108108105,64.86486486486487,2.0833333333333335,71.5481171548117,2.9239766081871346,77.68595041322313,22.314049586776857,0.0,25.0,20.270270270270274,53.55648535564853,7.94979079497908
