code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income Deprivation_score,Income Deprivation_rank,Employment Deprivation_score,Employment Deprivation_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank
95AA010001,Aldergrove 2,Antrim,10.52,3660,8,0.12,3694,0.08,3588,3.38,1273,36.75,938
95AA010002,Aldergrove 2,Antrim,12.26,3341,7,0.1,3856,0.12,2458,4.76,850,4.64,4242
95AA010003,Aldergrove 2,Antrim,9.51,3854,8,0.06,4576,0.08,3762,6.51,423,0.99,4916
95AA010004,Aldergrove 3,Antrim,8.51,4025,9,0.08,4293,0.04,4744,4.56,902,11.1,3127
95AA010005,Aldergrove 3,Antrim,13.89,3060,7,0.21,2538,0.09,3312,2.27,2060,16.39,2458
95AA010006,Aldergrove 3,Antrim,12.66,3273,7,0.13,3491,0.09,3564,4.36,965,28.62,1371
95AA010007,Aldergrove 2,Antrim,14.58,2940,6,0.11,3723,0.1,3103,7.78,181,8.73,3503
95AA010008,Aldergrove 3,Antrim,36.23,835,2,0.05,4668,0.36,79,4.38,957,3.63,4431
95AA010009,Aldergrove 3,Antrim,12.53,3297,7,0.11,3749,0.08,3595,5.52,648,17.66,2319
95AA010010,Aldergrove 1,Antrim,4.84,4653,10,0,5013,0,5012,4.94,810,0.02,5020
95AA010011,Aldergrove 2,Antrim,11.45,3488,7,0.11,3752,0.11,2981,5.01,793,1.79,4790
95AA020001,Balloo,Antrim,22.61,1885,4,0.24,2275,0.15,1733,2.46,1827,43.44,661
95AA020002,Balloo,Antrim,19.5,2242,5,0.15,3201,0.15,1740,1.73,2939,20.22,2041
95AA020003,Balloo,Antrim,11.25,3521,8,0.15,3272,0.09,3465,0.98,4434,24.73,1658
95AA020004,Balloo,Antrim,14.62,2933,6,0.2,2573,0.09,3278,1.23,3994,11.88,3005
95AA020005,Balloo,Antrim,23.69,1752,4,0.31,1687,0.18,1235,1.28,3881,4.17,4325
95AA020006,Balloo,Antrim,27.98,1379,3,0.4,1135,0.18,1208,1.42,3574,19.8,2093
95AA030001,Ballycraigy,Antrim,29.09,1305,3,0.35,1397,0.15,1739,1.86,2679,26.26,1539
