OA_CODE,SA2011_dominant,SA2011_point
95AA010001,N00000002,N00000002
95AA010002,N00000003,N00000003
95AA010003,N00000004,N00000004
95AA010004,N00000007,N00000007
95AA010005,N00000008,N00000008
95AA010006,N00000009,N00000009
95AA010007,N00000005,N00000005
95AA010008,N00000008,N00000008
95AA010009,N00000010,N00000010
95AA010010,N00000001,N00000001
95AA010011,N00000006,N00000006
95AA020001,N00000011,N00000011
95AA020002,N00000012,N00000012
95AA020003,N00000013,N00000013
95AA020004,N00000014,N00000014
95AA020005,N00000015,N00000015
95AA020006,N00000016,N00000016
95AA030001,N00000017,N00000017
95AA030002,N00000018,N00000018
95AA030003,N00000019,N00000019
95AA030004,N00000020,N00000020
95AA030005,N00000021,N00000021
95AA030006,N00000022,N00000022
95AA030007,N00000023,N00000023
95AA040001,N00000024,N00000024
95AA040002,N00000025,N00000025
95AA040003,N00000026,N00000026
95AA040004,N00000027,N00000027
95AA040005,N00000028,N00000028
95AA040006,N00000029,N00000029
95AA040007,N00000030,N00000030
95AA050001,N00000031,N00000031
95AA050002,N00000032,N00000032
95AA050003,N00000033,N00000033
95AA050004,N00000034,N00000034
95AA050005,N00000035,N00000035
95AA050006,N00000036,N00000036
95AA060001,N00000040,N00000040
95AA060002,N00000037,N00000037
95AA060003,N00000041,N00000041
95AA060004,N00000038,N00000038
95AA060005,N00000042,N00000042
95AA060006,N00000039,N00000039
95AA060007,N00000039,N00000039
95AA060008,N00000043,N00000043
95AA060009,N00000044,N00000044
95AA060010,N00000043,N00000043
95AA060011,N00000039,N00000039
95AA070001,N00000045,N00000045
95AA070002,N00000046,N00000046
95AA070003,N00000047,N00000047
95AA070004,N00000048,N00000048
95AA070005,N00000049,N00000049
95AA070006,N00000050,N00000050
95AA080001,N00000051,N00000051
95AA080002,N00000052,N00000052
95AA080003,N00000053,N00000053
95AA080004,N00000054,N00000054
95AA080005,N00000055,N00000055
95AA080006,N00000056,N00000056
95AA090001,N00000057,N00000057
95AA090002,N00000058,N00000058
95AA090003,N00000059,N00000059
95AA090004,N00000060,N00000060
95AA090005,N00000061,N00000061
95AA090006,N00000062,N00000062
95AA090007,N00000063,N00000063
95AA100001,N00000064,N00000064
95AA100002,N00000065,N00000065
95AA100003,N00000066,N00000066
95AA100004,N00000067,N00000067
95AA100005,N00000068,N00000068
95AA100006,N00000069,N00000069
95AA110001,N00000074,N00000074
95AA110002,N00000075,N00000075
95AA110003,N00000076,N00000076
95AA110004,N00000077,N00000077
95AA110005,N00000070,N00000070
95AA110006,N00000071,N00000071
95AA110007,N00000072,N00000072
95AA110008,N00000073,N00000073
95AA110009,N00000073,N00000073
95AA110010,N00000072,N00000072
95AA110011,N00000078,N00000078
95AA120001,N00000079,N00000079
95AA120002,N00000080,N00000080
95AA120003,N00000081,N00000081
95AA120004,N00000082,N00000082
95AA120005,N00000083,N00000083
95AA120006,N00000084,N00000084
95AA130001,N00000088,N00000088
95AA130002,N00000089,N00000089
95AA130003,N00000090,N00000090
95AA130004,N00000085,N00000085
95AA130005,N00000091,N00000091
95AA130006,N00000086,N00000086
95AA130007,N00000087,N00000087
95AA130008,N00000087,N00000087
95AA140001,N00000092,N00000092
95AA140002,N00000093,N00000093
95AA140003,N00000094,N00000094
95AA140004,N00000095,N00000095
95AA140005,N00000096,N00000096
95AA150001,N00000101,N00000101
95AA150002,N00000102,N00000102
95AA150003,N00000097,N00000097
95AA150004,N00000098,N00000098
95AA150005,N00000099,N00000099
95AA150006,N00000100,N00000100
95AA150007,N00000103,N00000103
95AA150008,N00000104,N00000104
95AA160001,N00000105,N00000105
95AA160002,N00000106,N00000106
95AA160003,N00000107,N00000107
95AA160004,N00000108,N00000108
95AA160005,N00000109,N00000109
95AA160006,N00000110,N00000110
95AA170001,N00000111,N00000111
95AA170002,N00000112,N00000112
95AA170003,N00000113,N00000113
95AA170004,N00000114,N00000114
95AA170005,N00000115,N00000115
95AA170006,N00000116,N00000116
95AA170007,N00000117,N00000117
95AA180001,N00000118,N00000118
95AA180002,N00000119,N00000119
95AA180003,N00000120,N00000120
95AA180004,N00000121,N00000121
95AA180005,N00000122,N00000122
95AA180006,N00000123,N00000123
95AA180007,N00000124,N00000124
95AA190001,N00000125,N00000125
95AA190002,N00000126,N00000126
95AA190003,N00000127,N00000127
95AA190004,N00000128,N00000128
95AA190005,N00000128,N00000128
95AA190006,N00000129,N00000129
95BB010001,N00000130,N00000130
95BB010002,N00000131,N00000131
95BB010003,N00000132,N00000132
95BB010004,N00000134,N00000134
95BB010005,N00000135,N00000135
95BB010006,N00000136,N00000136
95BB010007,N00000137,N00000137
95BB010008,N00000133,N00000133
95BB010009,N00000138,N00000138
95BB020001,N00000139,N00000139
95BB020002,N00000140,N00000140
95BB020003,N00000141,N00000141
95BB020004,N00000141,N00000141
95BB020005,N00000142,N00000142
95BB020006,N00000143,N00000143
95BB020007,N00000144,N00000144
95BB020008,N00000145,N00000145
95BB020009,N00000146,N00000146
95BB020010,N00000147,N00000147
95BB030001,N00000153,N00000153
95BB030002,N00000154,N00000154
