ward_key,sas_code,sas_name,lgd,total_pop,total_households,adults18plus,rc_pct,protestant_pct,none_relig_pct,relig_notstated_pct,irish_speak_pct,econ_active_pct,unemployment_pct,owner_occ_pct,social_rent_pct,private_rent_pct,no_car_pct,llti_pct,qualified_pct,degree_pct
antrim|aldergrove,95T_18,Aldergrove,ANTRIM,4150.0,973.0,3273.0,20.41,67.88,6.02,5.69,1.16,60.39,4.23,60.74,8.02,26.0,14.18,18.82,7.73,5.59
antrim|balloo,95T_10,Balloo,ANTRIM,1657.0,678.0,1339.0,32.17,55.94,4.35,7.54,1.69,62.0,12.33,50.29,47.49,1.77,40.12,14.67,3.51,2.46
antrim|ballycraigy,95T_16,Ballycraigy,ANTRIM,1669.0,642.0,1235.0,2.76,82.62,4.43,10.19,0.24,65.23,16.97,34.42,64.49,1.09,46.26,11.68,1.54,1.05
antrim|clady,95T_17,Clady,ANTRIM,2262.0,686.0,1675.0,6.15,78.25,2.61,13.0,0.88,62.88,8.45,87.32,0.87,10.79,10.64,8.8,12.0,9.25
antrim|cranfield,95T_03,Cranfield,ANTRIM,2440.0,729.0,1633.0,52.87,38.77,2.01,6.35,4.42,62.69,15.43,70.64,25.38,3.16,23.46,9.18,8.14,6.37
antrim|crumlin,95T_19,Crumlin,ANTRIM,2878.0,907.0,1961.0,50.8,34.29,3.47,11.43,2.61,64.28,10.39,71.11,24.7,3.53,26.02,10.46,7.45,5.71
antrim|drumanaway,95T_02,Drumanaway,ANTRIM,2048.0,685.0,1503.0,14.6,76.61,2.59,6.2,1.31,63.34,9.45,70.36,25.84,3.5,21.61,8.89,6.45,4.79
antrim|fountainhill,95T_11,Fountain Hill,ANTRIM,2070.0,722.0,1320.0,22.95,55.94,9.66,11.45,1.55,60.19,21.93,22.02,77.29,0.69,59.28,10.53,1.82,1.21
antrim|greystone,95T_14,Greystone,ANTRIM,2328.0,704.0,1580.0,28.26,55.8,5.11,10.82,1.85,65.86,11.24,70.6,28.41,0.99,23.15,6.4,9.75,7.15
antrim|massereene,95T_09,Massereene,ANTRIM,2299.0,802.0,1734.0,33.45,52.02,4.39,10.13,1.44,56.0,8.43,60.72,33.04,5.49,36.41,15.79,7.32,5.48
antrim|newpark,95T_15,New Park,ANTRIM,2077.0,690.0,1437.0,20.32,62.25,5.15,12.28,1.4,66.1,15.1,36.38,62.17,1.01,43.19,11.12,2.99,1.95
antrim|randalstown,95T_04,Randalstown,ANTRIM,2065.0,659.0,1466.0,61.26,32.74,1.31,4.7,3.54,58.15,10.9,69.65,19.27,9.26,26.4,12.4,9.0,7.23
