DZ2021_cd,SA2011_dominant,SA2011_point
N20000001,N00000092,N00000092
N20000002,N00003995,N00003995
N20000003,N00000046,N00000046
N20000004,N00000095,N00000094
N20000005,N00000084,N00000084
N20000006,N00000093,N00000093
N20000007,N00000125,N00000126
N20000008,N00000095,N00000095
N20000009,N00000045,N00000045
N20000010,N00000079,N00000079
N20000011,N00000048,N00000049
N20000012,N00000047,N00000047
N20000013,N00000096,N00000096
N20000014,N00000034,N00000034
N20000015,N00000126,N00000126
N20000016,N00000091,N00000088
N20000017,N00000091,N00000091
N20000018,N00000089,N00000089
N20000019,N00000085,N00000085
N20000020,N00000085,N00000085
N20000021,N00000087,N00000087
N20000022,N00000127,N00000127
N20000023,N00000032,N00000036
N20000024,N00000127,N00000127
N20000025,N00000087,N00000087
N20000026,N00000079,N00000079
N20000027,N00000074,N00000074
N20000028,N00000033,N00000033
N20000029,N00000087,N00000087
N20000030,N00000082,N00000082
N20000031,N00000081,N00000081
N20000032,N00000031,N00000031
N20000033,N00000128,N00000128
N20000034,N00000031,N00000031
N20000035,N00000103,N00000103
N20000036,N00000103,N00000103
N20000037,N00000101,N00000101
N20000038,N00000103,N00000103
N20000039,N00000098,N00000098
N20000040,N00000101,N00000101
N20000041,N00000074,N00000074
N20000042,N00000052,N00000052
N20000043,N00000098,N00000098
N20000044,N00000087,N00000087
N20000045,N00000076,N00000076
N20000046,N00000109,N00000109
N20000047,N00000099,N00000099
N20000048,N00000070,N00000075
N20000049,N00000100,N00000100
N20000050,N00000107,N00000107
N20000051,N00000052,N00000052
N20000052,N00000052,N00000052
N20000053,N00000115,N00000116
N20000054,N00000063,N00000063
N20000055,N00000107,N00000063
N20000056,N00000112,N00000112
N20000057,N00000071,N00000071
N20000058,N00000057,N00000057
N20000059,N00000053,N00000113
N20000060,N00000112,N00000111
N20000061,N00000061,N00000111
N20000062,N00000060,N00000061
N20000063,N00000071,N00000073
N20000064,N00000065,N00000114
N20000065,N00000062,N00000062
N20000066,N00000067,N00000067
N20000067,N00000069,N00000069
N20000068,N00000073,N00000072
N20000069,N00000072,N00000072
N20000070,N00000065,N00000065
N20000071,N00000073,N00000073
N20000072,N00000062,N00000062
N20000073,N00000055,N00000055
N20000074,N00000019,N00000019
N20000075,N00000072,N00000072
N20000076,N00000014,N00000014
N20000077,N00000013,N00000013
N20000078,N00000021,N00000022
N20000079,N00000022,N00000023
N20000080,N00000068,N00000068
N20000081,N00000011,N00000011
N20000082,N00000023,N00000020
N20000083,N00000012,N00000012
N20000084,N00000011,N00000011
N20000085,N00000072,N00000072
N20000086,N00003936,N00003936
N20000087,N00003935,N00003995
N20000088,N00003933,N00003933
N20000089,N00003933,N00003933
N20000090,N00003904,N00003904
N20000091,N00003998,N00003998
N20000092,N00003912,N00003912
N20000093,N00003900,N00003904
N20000094,N00003997,N00003997
N20000095,N00003901,N00003901
N20000096,N00003994,N00003994
N20000097,N00003902,N00003896
N20000098,N00003912,N00003912
N20000099,N00003997,N00003997
N20000100,N00003937,N00003937
N20000101,N00003911,N00003911
N20000102,N00003911,N00003912
N20000103,N00003896,N00003896
