area,pop_1971,pop_1981,pop_1991,catholic_1981,catholic_1991,cain_pct_1971,raw_pct_1981,raw_pct_1991,notstated_1981,notstated_pct_1981,notstated_1991,stated_pct_1981,stated_pct_1991,proj_stated_pct_1981,implied_catholic_share_of_notstated
Antrim,33998,44384,44516,9960,14117,31.1,22.44,31.71,,,3990,,34.83,,
Ards,46778,57626,64764,6042,7341,16.0,10.48,11.34,,,5708,,12.43,,
Armagh,46449,47618,51817,16000,23518,44.5,33.6,45.39,,,3043,,48.22,,
Ballymena,48998,54426,56641,8421,10392,17.7,15.47,18.35,,,3911,,19.71,,
Ballymoney,21920,22873,24198,5549,7311,29.6,24.26,30.21,,,1494,,32.2,,
Banbridge,28688,29885,33482,6857,9256,31.2,22.94,27.64,,,2726,,30.09,,
Belfast,416679,295223,279237,77037,108954,34.1,26.09,39.02,60672,20.55,22762,32.84,42.48,38.29,59.3
Carrickfergus,27044,28458,32750,1979,2269,16.2,6.95,6.93,,,2589,,7.52,,
Castlereagh,64406,60757,60799,3469,5743,10.1,5.71,9.45,,,5372,,10.36,,
Coleraine,44608,46272,50438,8397,11323,23.9,18.15,22.45,,,3517,,24.13,,
Cookstown,26070,26624,31082,9399,16522,49.2,35.3,53.16,,,1649,,56.13,,
Craigavon,67718,71202,74986,22463,30060,38.7,31.55,40.09,,,5493,,43.26,,
Down,46951,52869,58008,23955,32507,54.1,45.31,56.04,,,4622,,60.89,,
Dungannon,42606,41073,45428,14978,25299,52.3,36.47,55.69,,,2350,,58.73,,
Fermanagh,50979,51008,54033,21934,29657,52.5,43.0,54.89,,,2541,,57.6,,
Larne,29897,28929,29419,5697,6510,26.8,19.69,22.13,,,2521,,24.2,,
Limavady,23809,26270,29567,10094,15281,52.4,38.42,51.68,,,2154,,55.74,,
Lisburn,70694,82091,99458,13278,26786,16.6,16.17,26.93,,,7377,,29.09,,
Londonderry,84901,83384,,45386,,64.3,54.43,,,,,,,,
Magherafelt,31460,30825,36293,11857,21377,54.7,38.47,58.9,,,1968,,62.28,,
Moyle,13979,14252,14789,5436,7723,48.7,38.14,52.22,,,978,,55.92,,
Newry and Mourne,72368,72243,82943,39506,59555,71.4,54.68,71.8,,,6000,,77.4,,
Newtownabbey,66915,71631,74035,6192,9635,18.0,8.64,13.01,,,6776,,14.33,,
North Down,52611,65849,71835,4797,6435,11.3,7.28,8.96,,,6431,,9.84,,
Omagh,41175,41159,45809,18550,29469,62.1,45.07,64.33,,,2168,,67.53,,
Strabane,34364,35028,36141,17299,22339,56.9,49.39,61.81,,,1453,,64.4,,
