SA2011,OA_CODE,weight
N00000001,95AA010011,0.5653356544216779
N00000001,95AA010009,0.3369373887079547
N00000001,95AA010010,0.08967380047595537
N00000001,95AA010002,0.008053133147468028
N00000002,95AA010001,0.9999999353817689
N00000003,95AA010002,0.9999972280106595
N00000003,95AA010011,2.7445080186512093e-06
N00000004,95AA010003,0.9999999948325166
N00000005,95AA010007,0.9999999873867501
N00000006,95AA010011,0.9999999760260069
N00000007,95AA010004,0.9999999793237088
N00000008,95AA010008,0.9144813323336339
N00000008,95AA010005,0.0855186144237501
N00000009,95AA010006,0.9999999714539174
N00000010,95AA010009,0.9999999630723686
N00000011,95AA020001,0.9999999657987514
N00000012,95AA020002,0.9999998043853423
N00000013,95AA020003,0.9999998030691941
N00000014,95AA020004,0.9999997756821363
N00000015,95AA020005,0.999999783022625
N00000016,95AA020006,0.9999995765300133
N00000017,95AA030001,0.9999997569437898
N00000018,95AA030002,0.9999997486631963
N00000019,95AA030003,0.9999997028410244
N00000020,95AA030004,0.999999515562543
N00000021,95AA030005,0.9999997510266643
N00000022,95AA030006,0.999999626391314
N00000023,95AA030007,0.9999996992174038
N00000024,95AA040001,0.9999999597187226
N00000025,95AA040002,0.9999999624619442
N00000026,95AA040003,0.9999999668660093
N00000027,95AA040004,0.9999999695568531
N00000028,95AA040005,0.9999998570965399
N00000029,95AA040006,0.9999999776157249
N00000030,95AA040007,0.9999999838378849
N00000031,95AA050001,0.9999999912361692
N00000032,95AA050002,0.9999999411100323
N00000033,95AA050003,0.9999999746021029
N00000034,95AA050004,0.9999999035903545
N00000035,95AA050005,0.9999996436793852
N00000036,95AA050006,0.999999814876293
N00000037,95AA060002,0.9999997817814473
N00000038,95AA060004,0.9999999784570963
N00000039,95AA060007,0.5350974421752718
N00000039,95AA060006,0.3565182771668564
N00000039,95AA060011,0.10838413723020733
N00000040,95AA060001,0.9999998423177838
N00000041,95AA060003,0.9999997084267774
N00000042,95AA060005,0.9999996482401734
N00000043,95AA060008,0.9097539829435752
N00000043,95AA060010,0.09024593947232924
N00000044,95AA060009,0.9999998115207136
N00000045,95AA070001,0.9999999659926433
N00000046,95AA070002,0.9999999688150008
N00000047,95AA070003,0.9999999473906517
N00000048,95AA070004,0.9999997466086081
N00000049,95AA070005,0.999999757556856
N00000050,95AA070006,0.9999997769753358
N00000051,95AA080001,0.9999997830732859
N00000052,95AA080002,0.999999946887456
N00000053,95AA080003,0.9999998510854601
N00000054,95AA080004,0.9999997191400319
N00000055,95AA080005,0.9999998771135321
N00000056,95AA080006,0.9999995668816343
N00000057,95AA090001,0.9999994847358998
N00000058,95AA090002,0.9999996159742657
N00000059,95AA090003,0.9999994792775166
N00000060,95AA090004,0.9999995891866623
N00000061,95AA090005,0.9999998376812455
N00000062,95AA090006,0.9999998636457823
N00000063,95AA090007,0.9999998211186598
N00000064,95AA100001,0.9999997060720136
N00000065,95AA100002,0.9999997876688346
N00000066,95AA100003,0.9999997578267217
N00000067,95AA100004,0.9999996947735089
N00000068,95AA100005,0.9999998016977149
N00000069,95AA100006,0.9999997329561373
N00000070,95AA110005,0.9999998249364426
N00000071,95AA110006,0.9999998768578403
N00000072,95AA110010,0.7053595174583681
N00000072,95AA110007,0.29464041450743644
N00000073,95AA110009,0.7855753037979247
N00000073,95AA110008,0.21442446963355655
N00000074,95AA110001,0.9999999425563127
N00000075,95AA110002,0.9999998210219304
N00000076,95AA110003,0.9999997292318987
N00000077,95AA110004,0.9999997810071263
N00000078,95AA110011,0.9999997092519946
N00000079,95AA120001,0.9999999723177933
N00000080,95AA120002,0.9999999466936352
N00000081,95AA120003,0.9999999064925991
N00000082,95AA120004,0.9999999769975288
N00000083,95AA120005,0.9999999769223992
N00000084,95AA120006,0.9999999691197181
N00000085,95AA130004,0.9999998768265063
N00000086,95AA130006,0.9999998789977612
N00000087,95AA130008,0.7484097122077269
N00000087,95AA130007,0.25159027344430673
N00000088,95AA130001,0.9999998477961572
N00000089,95AA130002,0.9999999067854147
N00000090,95AA130003,0.9999996952613047
N00000091,95AA130005,0.9999999049397442
N00000092,95AA140001,0.9999999674771094
N00000093,95AA140002,0.999999948193738
N00000094,95AA140003,0.9999999551087561
N00000095,95AA140004,0.9999999761217987
N00000096,95AA140005,0.9999999728342146
N00000097,95AA150003,0.9999997746476412
N00000098,95AA150004,0.9999999293320614
N00000099,95AA150005,0.9999998792531218
N00000100,95AA150006,0.9999997138399805
N00000101,95AA150001,0.9999997835804675
N00000102,95AA150002,0.999999701998285
N00000103,95AA150007,0.9999999234432275
N00000104,95AA150008,0.9999997838196779
N00000105,95AA160001,0.9999996590217275
N00000106,95AA160002,0.9999997245791873
N00000107,95AA160003,0.9999997354985517
N00000108,95AA160004,0.9999996478587883
N00000109,95AA160005,0.9999997851804644
N00000110,95AA160006,0.9999995708937448
N00000111,95AA170001,0.9999997212686028
N00000112,95AA170002,0.9999997549370152
N00000113,95AA170003,0.9999997265290732
N00000114,95AA170004,0.9999996763933612
N00000115,95AA170005,0.999999756902788
N00000116,95AA170006,0.999999806292482
N00000117,95AA170007,0.9999997646943026
N00000118,95AA180001,0.9999999275908659
N00000119,95AA180002,0.9999998294116401
N00000120,95AA180003,0.9999999745906579
N00000121,95AA180004,0.9999998602677386
N00000122,95AA180005,0.9999999671686128
N00000123,95AA180006,0.9999999061883734
N00000124,95AA180007,0.9999999576895955
N00000125,95AA190001,0.9999999693140322
N00000126,95AA190002,0.999999963999075
N00000127,95AA190003,0.999999953526525
N00000128,95AA190004,0.8002025137564909
N00000128,95AA190005,0.1997958100876534
N00000128,95TT010003,1.6681384088606733e-06
N00000129,95AA190006,0.9999998558636802
N00000129,95TT010004,1.557910042213637e-06
N00000130,95BB010001,0.9999998812101102
N00000131,95BB010002,0.999999960654343
N00000132,95BB010003,0.9999999688689669
N00000132,95NN090001,2.8307508358717016e-06
N00000132,95NN090003,1.326461896621827e-06
N00000133,95BB010008,0.9999999188869881
N00000134,95BB010004,0.9999997985044303
N00000135,95BB010005,0.9999999107284802
N00000136,95BB010006,0.9999997699010452
N00000137,95BB010007,0.9999996814338517
N00000138,95BB010009,0.9999997570063077
N00000139,95BB020001,0.9999999108139718
N00000140,95BB020002,0.9999999122804767
N00000141,95BB020003,0.6167948326692507
N00000141,95BB020004,0.38320466982142093
N00000142,95BB020005,0.9999995063442272
N00000143,95BB020006,0.9999997730987541
N00000144,95BB020007,0.999999740290979
N00000145,95BB020008,0.9999997036274645
N00000146,95BB020009,0.9999999672983366
N00000147,95BB020010,0.9999994656718578
N00000148,95BB030007,0.9999999274447934
N00000149,95BB030008,0.9999999022471633
N00000150,95BB030009,0.9999998898126529
N00000151,95BB030010,0.9999996084710401
N00000152,95BB030011,0.9999997410849797
N00000153,95BB030001,0.9999997462876927
N00000154,95BB030002,0.9999997818008657
N00000155,95BB030003,0.9999999627703108
N00000156,95BB030004,0.9999999248740316
N00000157,95BB030005,0.9999999789412403
N00000158,95BB030006,0.999999973037777
N00000159,95BB040001,0.9999998363031029
N00000160,95BB040002,0.9999997079636828
N00000161,95BB040004,0.9999998712069658
N00000162,95BB040007,0.9999997078101309
N00000163,95BB040010,0.999999701828149
N00000164,95BB040003,0.999999970294899
N00000165,95BB040005,0.9999999569410994
N00000166,95BB040006,0.9999997965411195
N00000167,95BB040008,0.999999908984269
N00000168,95BB040009,0.9999997796051341
N00000169,95BB050003,0.780297600619845
N00000169,95BB050006,0.2197023754136665
N00000170,95BB050007,0.9999999427157708
N00000171,95BB050009,0.9999999652150191
N00000172,95BB050001,0.5956668817583415
N00000172,95BB050002,0.4043330931984087
N00000173,95BB050004,0.9999999795344837
N00000174,95BB050005,0.9999998545541856
N00000175,95BB050008,0.9999999456810132
N00000176,95BB060003,0.5241476881318091
N00000176,95BB060001,0.47585210385431614
N00000177,95BB060002,0.9999999486889137
N00000178,95BB060007,0.3991841095639952
N00000178,95BB060004,0.3934535309705398
N00000178,95BB060005,0.20736217759104303
N00000179,95BB060008,0.6239464727644166
N00000179,95BB060011,0.23368389161315833
N00000179,95BB060006,0.14236947656061524
N00000180,95BB060009,0.9999996285921859
N00000181,95BB060010,0.9999997127769886
N00000182,95BB070001,0.9999997887746771
N00000183,95BB070002,0.9999997534236079
N00000184,95BB070003,0.9999997975204931
N00000185,95BB070005,0.9999997267847744
N00000186,95BB070007,0.9999997854595929
N00000187,95BB070010,0.9999998827765451
N00000188,95BB070004,0.9999997963191426
N00000189,95BB070006,0.9999999540630464
N00000190,95BB070008,0.9999997166095141
N00000191,95BB070009,0.9999996940573461
N00000192,95BB080001,0.9999996699229587
N00000193,95BB080002,0.9999998243953874
N00000194,95BB080004,0.9999996257928438
N00000195,95BB080005,0.9999996721806956
N00000196,95BB080006,0.9999994764441118
N00000197,95BB080003,0.9999996233715
N00000198,95BB080007,0.9999999396995409
N00000199,95BB080008,0.999999921936602
N00000200,95BB080009,0.9999997009696278
N00000201,95BB090002,0.9999998038310586
N00000202,95BB090004,0.9999997776544226
N00000203,95BB090008,0.9999999582994196
N00000204,95BB090009,0.9999998159675696
N00000205,95BB090001,0.9999998952246852
N00000206,95BB090003,0.9999997544238706
N00000207,95BB090005,0.9999997039641794
N00000208,95BB090006,0.9999997466500925
N00000209,95BB090007,0.9999999009938836
N00000210,95BB100004,0.635992799507941
N00000210,95BB100001,0.36400696646786623
N00000211,95BB100009,0.7858331991238277
N00000211,95BB100002,0.21416663969545457
N00000212,95BB100003,0.9999996545800846
N00000213,95BB100010,0.9999996813682152
N00000214,95BB100011,0.9999996549228873
N00000215,95BB100005,0.9999999599497459
N00000216,95BB100006,0.9999999751710593
N00000217,95BB100007,0.3647293237322034
N00000218,95BB100008,0.9999998794998506
N00000219,95BB110003,0.9999996134045949
N00000220,95BB110004,0.9999995206197758
N00000221,95BB110006,0.9999996343418078
N00000222,95BB110010,0.9999999326476611
N00000223,95BB110011,0.9999997104089678
N00000224,95BB110001,0.999999592417396
N00000225,95BB110002,0.999999523963172
