DZ2021_cd,DZ2021_nm,ward_key,total_pop,total_households,adults18plus,rc_pct,protestant_pct,none_relig_pct,relig_notstated_pct,irish_speak_pct,econ_active_pct,unemployment_pct,owner_occ_pct,social_rent_pct,private_rent_pct,no_car_pct,llti_pct,qualified_pct,degree_pct
N20003396,Downpatrick_B2,down|strangford,2211.0,640.0,1476.0,75.85,11.71,2.31,10.13,4.19,59.82,10.18,74.84,13.91,8.28,18.75,8.86,10.16,9.01
N20003420,Downpatrick_B3,down|strangford,2211.0,640.0,1476.0,75.85,11.71,2.31,10.13,4.19,59.82,10.18,74.84,13.91,8.28,18.75,8.86,10.16,9.01
N20003423,Downpatrick_H3,down|ardglass,2730.0,767.0,1775.0,78.94,11.5,0.73,8.83,4.36,57.95,14.31,67.54,22.03,9.39,27.12,11.28,8.28,7.32
N20003425,Downpatrick_J1,down|ardglass,2730.0,767.0,1775.0,78.94,11.5,0.73,8.83,4.36,57.95,14.31,67.54,22.03,9.39,27.12,11.28,8.28,7.32
N20003426,Downpatrick_J2,down|ardglass,2730.0,767.0,1775.0,78.94,11.5,0.73,8.83,4.36,57.95,14.31,67.54,22.03,9.39,27.12,11.28,8.28,7.32
N20003424,Downpatrick_H4,down|killough,3555.0,948.0,2393.0,52.88,36.54,2.84,7.74,4.18,64.66,8.67,54.64,19.94,19.83,27.53,8.61,5.64,4.64
N20003414,Downpatrick_H1,down|ardglass,2730.0,767.0,1775.0,78.94,11.5,0.73,8.83,4.36,57.95,14.31,67.54,22.03,9.39,27.12,11.28,8.28,7.32
N20003402,Downpatrick_D1,down|audleysacre,2728.0,786.0,1797.0,81.74,10.48,1.76,6.01,7.37,62.29,10.12,74.81,23.41,1.4,25.7,8.47,12.85,10.68
N20003421,Downpatrick_F4,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
N20003419,Downpatrick_G4,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
N20003415,Downpatrick_F2,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
N20003418,Downpatrick_F3,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
N20003412,Downpatrick_F1,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
N20003410,Downpatrick_E6,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
N20003413,Downpatrick_G1,down|flyinghorse,2237.0,649.0,1549.0,77.6,13.59,2.37,6.44,4.7,41.08,27.84,21.11,74.42,3.08,62.4,27.18,2.65,2.19
N20003416,Downpatrick_G2,down|flyinghorse,2237.0,649.0,1549.0,77.6,13.59,2.37,6.44,4.7,41.08,27.84,21.11,74.42,3.08,62.4,27.18,2.65,2.19
N20003417,Downpatrick_G3,down|flyinghorse,2237.0,649.0,1549.0,77.6,13.59,2.37,6.44,4.7,41.08,27.84,21.11,74.42,3.08,62.4,27.18,2.65,2.19
N20003411,Downpatrick_D4,down|flyinghorse,2237.0,649.0,1549.0,77.6,13.59,2.37,6.44,4.7,41.08,27.84,21.11,74.42,3.08,62.4,27.18,2.65,2.19
N20003409,Downpatrick_D3,down|flyinghorse,2237.0,649.0,1549.0,77.6,13.59,2.37,6.44,4.7,41.08,27.84,21.11,74.42,3.08,62.4,27.18,2.65,2.19
N20003407,Downpatrick_E4,down|audleysacre,2728.0,786.0,1797.0,81.74,10.48,1.76,6.01,7.37,62.29,10.12,74.81,23.41,1.4,25.7,8.47,12.85,10.68
N20003403,Downpatrick_E1,down|audleysacre,2728.0,786.0,1797.0,81.74,10.48,1.76,6.01,7.37,62.29,10.12,74.81,23.41,1.4,25.7,8.47,12.85,10.68
