DZ2021_cd,DZ2021_nm,ward_key,dz_area_ha,ward_pop_1971,ward_pop_1981,ward_pop_change_pct,ward_male_pct_1981,ward_pop_density_1981
N20003396,Downpatrick_B2,down|strangford,1201.27,1987,2052,3.27,50.68,34.2
N20003420,Downpatrick_B3,down|strangford,1020.62,1987,2052,3.27,50.68,34.2
N20003423,Downpatrick_H3,down|ardglass,1553.51,2433,2880,18.37,53.72,66.6
N20003425,Downpatrick_J1,down|ardglass,12.3,2433,2880,18.37,53.72,66.6
N20003426,Downpatrick_J2,down|ardglass,21.41,2433,2880,18.37,53.72,66.6
N20003424,Downpatrick_H4,down|killough,1251.48,3295,3185,-3.34,56.36,60.1
N20003414,Downpatrick_H1,down|ardglass,2165.04,2433,2880,18.37,53.72,66.6
N20003402,Downpatrick_D1,down|quoile,66.85,2551,3233,26.73,50.39,236.6
N20003421,Downpatrick_F4,down|cathedral,24.06,2389,3940,64.92,49.77,260.1
N20003419,Downpatrick_G4,down|cathedral,13.12,2389,3940,64.92,49.77,260.1
N20003415,Downpatrick_F2,down|cathedral,14.02,2389,3940,64.92,49.77,260.1
N20003418,Downpatrick_F3,down|cathedral,10.96,2389,3940,64.92,49.77,260.1
N20003412,Downpatrick_F1,down|cathedral,83.44,2389,3940,64.92,49.77,260.1
N20003410,Downpatrick_E6,down|cathedral,18.77,2389,3940,64.92,49.77,260.1
N20003413,Downpatrick_G1,down|cathedral,37.78,2389,3940,64.92,49.77,260.1
N20003416,Downpatrick_G2,down|cathedral,7.53,2389,3940,64.92,49.77,260.1
N20003417,Downpatrick_G3,down|audleys acre,60.9,3628,3660,0.88,47.13,490.2
N20003411,Downpatrick_D4,down|audleys acre,66.15,3628,3660,0.88,47.13,490.2
N20003409,Downpatrick_D3,down|audleys acre,16.06,3628,3660,0.88,47.13,490.2
N20003407,Downpatrick_E4,down|audleys acre,9.49,3628,3660,0.88,47.13,490.2
N20003403,Downpatrick_E1,down|quoile,19.14,2551,3233,26.73,50.39,236.6
N20003405,Downpatrick_D2,down|quoile,61.84,2551,3233,26.73,50.39,236.6
N20003400,Downpatrick_C4,down|quoile,15.33,2551,3233,26.73,50.39,236.6
N20003399,Downpatrick_C3,down|quoile,53.22,2551,3233,26.73,50.39,236.6
N20003397,Downpatrick_C1,down|quoile,68.77,2551,3233,26.73,50.39,236.6
N20003398,Downpatrick_C2,down|quoile,39.8,2551,3233,26.73,50.39,236.6
N20003401,Downpatrick_C5,down|quoile,15.47,2551,3233,26.73,50.39,236.6
N20003406,Downpatrick_E3,down|audleys acre,9.07,3628,3660,0.88,47.13,490.2
N20003404,Downpatrick_E2,down|quoile,14.72,2551,3233,26.73,50.39,236.6
N20003408,Downpatrick_E5,down|cathedral,17.27,2389,3940,64.92,49.77,260.1
N20003328,Slieve_Croob_D4,down|cathedral,2384.45,2389,3940,64.92,49.77,260.1
N20003422,Downpatrick_H2,down|audleys acre,1522.3,3628,3660,0.88,47.13,490.2
N20003429,Downpatrick_K1,down|killough,2371.92,3295,3185,-3.34,56.36,60.1
N20003427,Downpatrick_J3,down|ardglass,25.04,2433,2880,18.37,53.72,66.6
N20003428,Downpatrick_J4,down|ardglass,29.97,2433,2880,18.37,53.72,66.6
N20003430,Downpatrick_K2,down|killough,23.95,3295,3185,-3.34,56.36,60.1
N20003431,Downpatrick_K3,down|killough,15.82,3295,3185,-3.34,56.36,60.1
N20003279,The_Mournes_D5,down|donard,39.98,2165,2115,-2.31,46.15,211.3
