DZ2021_cd,DZ2021_nm,DEA2014_nm,dea_1972,dea_1984,dea_1993,dea_2012
N20003396,Downpatrick_B2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003420,Downpatrick_B3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003423,Downpatrick_H3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003425,Downpatrick_J1,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003426,Downpatrick_J2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003424,Downpatrick_H4,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003414,Downpatrick_H1,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003402,Downpatrick_D1,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003421,Downpatrick_F4,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003419,Downpatrick_G4,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003415,Downpatrick_F2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003418,Downpatrick_F3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003412,Downpatrick_F1,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003410,Downpatrick_E6,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003413,Downpatrick_G1,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003416,Downpatrick_G2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003417,Downpatrick_G3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003411,Downpatrick_D4,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003409,Downpatrick_D3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003407,Downpatrick_E4,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003403,Downpatrick_E1,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003405,Downpatrick_D2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003400,Downpatrick_C4,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003399,Downpatrick_C3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003397,Downpatrick_C1,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003398,Downpatrick_C2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003401,Downpatrick_C5,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003406,Downpatrick_E3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003404,Downpatrick_E2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003408,Downpatrick_E5,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003328,Slieve_Croob_D4,Slieve Croob,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
N20003422,Downpatrick_H2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003429,Downpatrick_K1,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003427,Downpatrick_J3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003428,Downpatrick_J4,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003430,Downpatrick_K2,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003431,Downpatrick_K3,Downpatrick,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
N20003279,The_Mournes_D5,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003277,The_Mournes_E4,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003272,The_Mournes_E1,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003275,The_Mournes_F2,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003264,The_Mournes_C1,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003263,The_Mournes_B1,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003265,The_Mournes_B2,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003267,The_Mournes_B3,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003269,The_Mournes_B4,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003270,The_Mournes_C3,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003268,The_Mournes_C2,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003274,The_Mournes_E3,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003273,The_Mournes_E2,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003278,The_Mournes_D4,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003271,The_Mournes_D3,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003266,The_Mournes_D2,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003259,The_Mournes_A3,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003262,The_Mournes_D1,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003258,The_Mournes_A2,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003343,Slieve_Croob_G5,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003345,Slieve_Croob_J4,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003342,Slieve_Croob_J2,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003341,Slieve_Croob_J1,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
