DZ2021_cd,SA2011,weight
N20000041,N00000104,0.0001502039793124229
N20000042,N00000052,0.6377937444434764
N20000042,N00000098,0.3604268824516819
N20000042,N00000103,0.0017746131422974498
N20000042,N00000109,4.153637292489506e-06
N20000043,N00000098,0.6264999194189382
N20000043,N00000097,0.37350008058106077
N20000044,N00000087,0.5405403558660059
N20000044,N00000074,0.19133862123409603
N20000044,N00000075,0.10512916349277687
N20000044,N00000011,0.09736869050606171
N20000044,N00000070,0.03326117739584869
N20000044,N00000071,0.01943161956912453
N20000044,N00000077,0.0051407403491047264
N20000044,N00000013,0.0038345905746509485
N20000044,N00000015,0.0036778759160136943
N20000044,N00000076,0.0001509681567084058
N20000044,N00000097,0.00012563319396709564
N20000045,N00000076,0.6641270541995762
N20000045,N00000077,0.32268622769662186
N20000045,N00000097,0.008358348594560305
N20000045,N00000075,0.0030833306754809737
N20000045,N00000100,0.0017363165382942231
N20000045,N00000070,8.722295436834353e-06
N20000046,N00000109,0.7141887926364993
N20000046,N00000108,0.15335685426717874
N20000046,N00000110,0.12790435899817865
N20000046,N00000105,0.004515294270023398
N20000046,N00000052,3.2728595338213246e-05
N20000046,N00000106,1.4432728145584597e-06
N20000047,N00000099,0.5423924138296505
N20000047,N00000098,0.1708280735562159
N20000047,N00000063,0.08980524447005878
N20000047,N00000108,0.07493120982729432
N20000047,N00000097,0.07396696507240708
N20000047,N00000109,0.0328942272106273
N20000047,N00000105,0.014828408944062996
N20000047,N00000076,0.0003518508314678082
N20000047,N00000052,1.6062582141798308e-06
N20000048,N00000070,0.40655273789117174
N20000048,N00000075,0.26916092201495023
N20000048,N00000074,0.24506532305329226
N20000048,N00000077,0.07922037914546023
N20000049,N00000100,0.4254197133194048
N20000049,N00000077,0.3009647062590611
N20000049,N00000099,0.1964919291365412
N20000049,N00000097,0.07660470061700723
N20000049,N00000070,0.0005160488063962996
N20000049,N00000063,1.5430995634133454e-06
N20000049,N00000071,1.3587620398754361e-06
N20000050,N00000107,0.45856575535733457
N20000050,N00000106,0.28411959303614825
N20000050,N00000110,0.2237121758656793
N20000050,N00000063,0.028819703923413945
N20000050,N00000105,0.004584731936491323
N20000050,N00000116,0.00010304628694637357
N20000050,N00000109,9.151031751777892e-05
N20000050,N00000052,3.483276458581179e-06
N20000051,N00000052,0.5935859822882374
N20000051,N00000051,0.40588760683600617
N20000051,N00000115,0.0005120060719960842
N20000051,N00000053,1.4404803758183104e-05
N20000052,N00000052,0.6612420916370579
N20000052,N00000055,0.17307425166499724
N20000052,N00000053,0.1116825080062235
N20000052,N00000054,0.0337291849266418
N20000052,N00000051,0.015494936766792186
N20000052,N00000064,0.0025557697650500848
N20000052,N00000056,0.002135811999479195
N20000052,N00000082,7.82717931051885e-05
N20000052,N00000124,6.80509793682092e-06
N20000053,N00000115,0.4458166079169974
N20000053,N00000116,0.37648244482674964
N20000053,N00000117,0.1693441316421371
N20000053,N00000052,0.004532755856476292
N20000053,N00000113,0.0030253663658932842
N20000053,N00000051,0.0004652307987364118
N20000053,N00000107,0.00033346259300043985
N20000054,N00000063,0.5062208646937517
N20000054,N00000105,0.1905988224520969
N20000054,N00000059,0.13823313659187744
N20000054,N00000106,0.09436676309780884
N20000054,N00000108,0.0468150778838968
N20000054,N00000060,0.023722230949601315
N20000054,N00000071,4.114563350108463e-05
N20000054,N00000099,1.3790123852881602e-06
N20000055,N00000107,0.4619785921473131
N20000055,N00000063,0.38091037782510573
N20000055,N00000059,0.15390024001530753
N20000055,N00000057,0.0025871665278298915
N20000055,N00000112,0.0005988358995990134
N20000055,N00000106,1.4797562020771092e-05
N20000055,N00000116,9.990022843342824e-06
N20000056,N00000112,0.42449628571938125
N20000056,N00000116,0.32233169050821436
N20000056,N00000117,0.23130071035393784
N20000056,N00000113,0.021809735039836534
N20000056,N00000111,5.342452677261194e-05
N20000056,N00000063,4.7290979083603284e-06
N20000056,N00000107,3.424753962156927e-06
N20000057,N00000071,0.7319675717281956
N20000057,N00000077,0.15915420390739926
N20000057,N00000063,0.10849993017026997
N20000057,N00000100,0.000376283647232648
N20000057,N00000099,2.0105469111325963e-06
N20000058,N00000057,0.44755859711870305
N20000058,N00000059,0.3730820344020799
N20000058,N00000058,0.1399607916070914
N20000058,N00000063,0.039392321345204116
N20000058,N00000061,3.4439486822400122e-06
N20000058,N00000060,2.8115782459870535e-06
N20000059,N00000053,0.40323709123893053
N20000059,N00000113,0.3982863747266824
N20000059,N00000064,0.07904222706653921
N20000059,N00000115,0.06751460824125731
N20000059,N00000117,0.031272794516392255
N20000059,N00000114,0.019925345432656144
N20000059,N00000112,0.00044525022171922225
N20000059,N00000051,0.00015536788798841173
