OA_CODE,nimdm2005_Income_score,nimdm2005_Employment_score,nimdm2005_EDM_score,nimdm2005_dep_pct,nimdm2010_Income Deprivation_score,nimdm2010_Employment Deprivation_score,nimdm2010_MDM_score,nimdm2010_dep_pct,nimdm2017_dep_pct,nimdm2017_income_pct,nimdm2017_employ_pct
95LL150002,0.29,0.23,30.27,76.08046205935072,0.3,0.2,25.67,68.69149571798447,77.02821869488537,36.022927689594354,85.1410934744268
95LL150003,0.12,0.13,11.46,31.6072495518821,0.1,0.1,8.87,21.05158334993029,14.770723104056438,0.3968253968253954,27.755731922398585
95LL150004,0.04,0.09,4.72,8.066122286397137,0.13,0.17,15.17,43.43756223859789,39.15343915343915,48.65520282186949,55.68783068783068
95LL150005,0.2,0.19,22.26,60.20713005377415,0.12,0.11,10.76,28.002389962158936,27.204585537918867,10.449735449735453,47.839506172839506
95LL150006,0.14,0.12,12.69,35.37143995220076,0.22,0.18,18.87,54.052977494523006,19.091710758377424,22.486772486772487,26.455026455026452
95LL150007,0.02,0.1,6.27,13.742282413861783,0.04,0.08,4.74,6.950806612228644,6.261022927689596,13.205467372134038,15.586419753086425
95LL150008,0.11,0.12,10.79,29.814777932682734,0.24,0.14,20.14,56.80143397729536,68.25396825396825,80.90828924162258,47.376543209876544
95LL150009,0.24,0.19,22.24,60.127464648476405,0.33,0.14,27.33,71.43995220075684,39.15343915343915,48.655202821869494,55.68783068783068
95LL150010,0.07,0.06,5.43,10.635331607249555,0.06,0.03,6.95,14.718183628759206,36.33156966490299,67.28395061728395,29.982363315696645
95LL150011,0.22,0.21,22.89,61.44194383588927,0.18,0.08,11.23,29.735112527384988,68.25396825396825,80.90828924162258,47.376543209876544
95LL160001,0.16,0.19,20.98,57.15992830113523,0.29,0.14,17.27,50.26887074287991,36.529982363315696,9.567901234567898,60.73633156966491
95LL160002,0.07,0.13,11.5,31.746664011153158,0.2,0.11,12.36,33.89762995419239,22.20017636684304,38.955026455026456,30.555555555555554
95LL160003,0.13,0.08,8.5,22.127066321449906,0.14,0.07,9.41,22.86397132045409,11.706349206349207,21.891534391534396,5.511463844797182
95LL160004,0.05,0.17,14.48,40.051782513443534,0.14,0.13,12.12,32.96156144194383,29.91622574955908,21.472663139329807,38.514109347442684
95LL160005,0.05,0.1,7.24,17.108145787691697,0.03,0.06,3.88,3.983270264887473,10.229276895943562,38.38183421516755,7.385361552028213
95LL160006,0.23,0.17,20.27,55.32762397928699,0.13,0.07,10.73,27.84305915156343,31.966490299823633,46.60493827160494,24.074074074074066
95LL160007,0.43,0.28,43.76,89.86257717586138,0.43,0.21,34.26,81.19896434973113,82.12081128747796,69.09171075837742,73.87566137566137
95LL160008,0.1,0.09,9.58,25.712009559848635,0.12,0.07,10.26,26.15016928898626,21.93562610229277,46.40652557319224,10.515873015873012
