Geography,SA2011,LGD,MDM_rank,Income_rank,Employment_rank,MDM_decile
Aldergrove_1,N00000001,Antrim and Newtownabbey,3051,3608,4511,7
Aldergrove_2,N00000002,Antrim and Newtownabbey,3726,4319,3042,9
Aldergrove_2,N00000003,Antrim and Newtownabbey,3733,3383,4013,9
Aldergrove_2,N00000004,Antrim and Newtownabbey,3409,2621,3548,8
Aldergrove_2,N00000005,Antrim and Newtownabbey,2828,1934,3197,7
Aldergrove_2,N00000006,Antrim and Newtownabbey,3871,4364,4018,9
Aldergrove_3,N00000007,Antrim and Newtownabbey,2891,2146,3190,7
Aldergrove_3,N00000008,Antrim and Newtownabbey,1594,2079,1209,4
Aldergrove_3,N00000009,Antrim and Newtownabbey,3824,2868,4280,9
Aldergrove_3,N00000010,Antrim and Newtownabbey,2821,3175,2475,7
Balloo,N00000011,Antrim and Newtownabbey,2398,4245,2039,6
Balloo,N00000012,Antrim and Newtownabbey,2724,3730,2284,7
Balloo,N00000013,Antrim and Newtownabbey,2679,3606,1815,6
Balloo,N00000014,Antrim and Newtownabbey,2703,3660,2008,6
Balloo,N00000015,Antrim and Newtownabbey,1141,2456,795,3
Balloo,N00000016,Antrim and Newtownabbey,1040,932,1459,3
Ballycraigy,N00000017,Antrim and Newtownabbey,1473,789,1737,4
Ballycraigy,N00000018,Antrim and Newtownabbey,3243,3868,2744,8
Ballycraigy,N00000019,Antrim and Newtownabbey,1633,3388,1103,4
Ballycraigy,N00000020,Antrim and Newtownabbey,502,381,685,2
Ballycraigy,N00000021,Antrim and Newtownabbey,1597,3265,1158,4
Ballycraigy,N00000022,Antrim and Newtownabbey,1215,926,2127,3
Ballycraigy,N00000023,Antrim and Newtownabbey,1358,1307,1471,3
Clady,N00000024,Antrim and Newtownabbey,3768,3358,4009,9
Clady,N00000025,Antrim and Newtownabbey,3070,3238,3406,7
Clady,N00000026,Antrim and Newtownabbey,3081,2597,3752,7
Clady,N00000027,Antrim and Newtownabbey,1553,543,2208,4
Clady,N00000028,Antrim and Newtownabbey,3334,1833,3453,8
Clady,N00000029,Antrim and Newtownabbey,2562,1123,4125,6
Clady,N00000030,Antrim and Newtownabbey,2588,4026,3919,6
Cranfield,N00000031,Antrim and Newtownabbey,2563,2120,3573,6
Cranfield,N00000032,Antrim and Newtownabbey,3775,4016,3050,9
Cranfield,N00000033,Antrim and Newtownabbey,1950,565,3488,5
Cranfield,N00000034,Antrim and Newtownabbey,4078,4106,3412,9
Cranfield,N00000035,Antrim and Newtownabbey,1048,1515,740,3
Cranfield,N00000036,Antrim and Newtownabbey,3031,3689,2052,7
Crumlin_1,N00000037,Antrim and Newtownabbey,2450,3980,1695,6
Crumlin_1,N00000038,Antrim and Newtownabbey,2702,2210,2713,6
Crumlin_1,N00000039,Antrim and Newtownabbey,2796,3525,2494,7
Crumlin_2,N00000040,Antrim and Newtownabbey,1905,4130,1287,5
Crumlin_2,N00000041,Antrim and Newtownabbey,3507,3066,2951,8
Crumlin_2,N00000042,Antrim and Newtownabbey,3233,2495,3720,8
Crumlin_2,N00000043,Antrim and Newtownabbey,2959,3736,2195,7
Crumlin_2,N00000044,Antrim and Newtownabbey,854,256,2155,2
Drumanaway,N00000045,Antrim and Newtownabbey,3499,3328,3838,8
Drumanaway,N00000046,Antrim and Newtownabbey,1312,165,3833,3
Drumanaway,N00000047,Antrim and Newtownabbey,3561,3973,2693,8
Drumanaway,N00000048,Antrim and Newtownabbey,1721,1644,2025,4
Drumanaway,N00000049,Antrim and Newtownabbey,1399,2558,1199,4
Drumanaway,N00000050,Antrim and Newtownabbey,3693,2836,3347,9
Farranshane,N00000051,Antrim and Newtownabbey,549,1274,461,2
Farranshane,N00000052,Antrim and Newtownabbey,600,362,1179,2
Farranshane,N00000053,Antrim and Newtownabbey,1016,1954,719,3
Farranshane,N00000054,Antrim and Newtownabbey,1690,2996,1344,4
Farranshane,N00000055,Antrim and Newtownabbey,2029,2338,1578,5
Farranshane,N00000056,Antrim and Newtownabbey,1881,2949,1804,5
Fountain Hill,N00000057,Antrim and Newtownabbey,684,1127,688,2
Fountain Hill,N00000058,Antrim and Newtownabbey,898,407,1345,2
Fountain Hill,N00000059,Antrim and Newtownabbey,878,1691,349,2
Fountain Hill,N00000060,Antrim and Newtownabbey,1374,1619,1267,4
Fountain Hill,N00000061,Antrim and Newtownabbey,2848,2034,2488,7
Fountain Hill,N00000062,Antrim and Newtownabbey,4256,3903,3937,10
Fountain Hill,N00000063,Antrim and Newtownabbey,2064,2526,1896,5
Greystone,N00000064,Antrim and Newtownabbey,150,249,368,1
Greystone,N00000065,Antrim and Newtownabbey,3998,4477,3870,9
Greystone,N00000066,Antrim and Newtownabbey,3777,3768,4056,9
Greystone,N00000067,Antrim and Newtownabbey,767,1888,506,2
Greystone,N00000068,Antrim and Newtownabbey,4051,4206,3583,9
Greystone,N00000069,Antrim and Newtownabbey,79,187,195,1
Massereene_1,N00000070,Antrim and Newtownabbey,4056,4447,3435,9
Massereene_1,N00000071,Antrim and Newtownabbey,2895,4221,2576,7
Massereene_1,N00000072,Antrim and Newtownabbey,3659,3599,3359,9
Massereene_1,N00000073,Antrim and Newtownabbey,1797,2661,1892,4
Massereene_2,N00000074,Antrim and Newtownabbey,3734,3290,3936,9
Massereene_2,N00000075,Antrim and Newtownabbey,3154,3735,2522,7
Massereene_2,N00000076,Antrim and Newtownabbey,4178,4465,4124,10
Massereene_2,N00000077,Antrim and Newtownabbey,4331,4469,3878,10
Massereene_2,N00000078,Antrim and Newtownabbey,4455,4087,4421,10
Parkgate,N00000079,Antrim and Newtownabbey,2872,2497,3757,7
Parkgate,N00000080,Antrim and Newtownabbey,4116,3856,4168,10
Parkgate,N00000081,Antrim and Newtownabbey,3250,2100,3069,8
Parkgate,N00000082,Antrim and Newtownabbey,3059,1413,4014,7
Parkgate,N00000083,Antrim and Newtownabbey,3043,2553,4064,7
Parkgate,N00000084,Antrim and Newtownabbey,3841,3554,4444,9
Randalstown_1,N00000085,Antrim and Newtownabbey,1515,2129,1351,4
Randalstown_1,N00000086,Antrim and Newtownabbey,3578,4174,2653,8
Randalstown_1,N00000087,Antrim and Newtownabbey,3755,3857,3767,9
Randalstown_2,N00000088,Antrim and Newtownabbey,1640,3144,855,4
Randalstown_2,N00000089,Antrim and Newtownabbey,3769,3871,3316,9
Randalstown_2,N00000090,Antrim and Newtownabbey,3672,4237,3489,9
Randalstown_2,N00000091,Antrim and Newtownabbey,2688,2041,2292,6
Shilvodan,N00000092,Antrim and Newtownabbey,3585,3143,3993,8
Shilvodan,N00000093,Antrim and Newtownabbey,2339,2005,2676,6
Shilvodan,N00000094,Antrim and Newtownabbey,2969,2025,4032,7
Shilvodan,N00000095,Antrim and Newtownabbey,3252,3707,3533,8
Shilvodan,N00000096,Antrim and Newtownabbey,3340,3720,3563,8
Springfarm_1,N00000097,Antrim and Newtownabbey,2697,1765,3158,6
Springfarm_1,N00000098,Antrim and Newtownabbey,3577,3088,4024,8
Springfarm_1,N00000099,Antrim and Newtownabbey,1883,4133,1052,5
Springfarm_1,N00000100,Antrim and Newtownabbey,2049,3451,1486,5
Springfarm_2,N00000101,Antrim and Newtownabbey,711,1733,957,2
Springfarm_2,N00000102,Antrim and Newtownabbey,1181,692,1739,3
Springfarm_2,N00000103,Antrim and Newtownabbey,2082,2235,2123,5
Springfarm_2,N00000104,Antrim and Newtownabbey,1783,3404,1864,4
Steeple,N00000105,Antrim and Newtownabbey,2269,3262,2368,5
Steeple,N00000106,Antrim and Newtownabbey,430,1130,594,1
Steeple,N00000107,Antrim and Newtownabbey,814,1328,768,2
Steeple,N00000108,Antrim and Newtownabbey,3849,3878,3929,9
Steeple,N00000109,Antrim and Newtownabbey,2307,2821,1943,6
Steeple,N00000110,Antrim and Newtownabbey,2042,3881,1439,5
Stiles,N00000111,Antrim and Newtownabbey,4284,4464,4037,10
Stiles,N00000112,Antrim and Newtownabbey,2614,3305,2317,6
Stiles,N00000113,Antrim and Newtownabbey,2579,2182,2431,6
Stiles,N00000114,Antrim and Newtownabbey,3232,4008,2281,8
Stiles,N00000115,Antrim and Newtownabbey,847,1060,862,2
Stiles,N00000116,Antrim and Newtownabbey,1070,1875,896,3
Stiles,N00000117,Antrim and Newtownabbey,166,943,172,1
Templepatrick,N00000118,Antrim and Newtownabbey,3330,2848,2823,8
Templepatrick,N00000119,Antrim and Newtownabbey,3829,3208,3722,9
Templepatrick,N00000120,Antrim and Newtownabbey,3216,2652,3374,8
Templepatrick,N00000121,Antrim and Newtownabbey,2617,3688,1574,6
Templepatrick,N00000122,Antrim and Newtownabbey,3842,2484,3971,9
Templepatrick,N00000123,Antrim and Newtownabbey,4328,4384,3991,10
Templepatrick,N00000124,Antrim and Newtownabbey,3802,4289,3371,9
Toome,N00000125,Antrim and Newtownabbey,2920,2179,3352,7
Toome,N00000126,Antrim and Newtownabbey,2933,2730,2759,7
Toome,N00000127,Antrim and Newtownabbey,2072,2039,1994,5
Toome,N00000128,Antrim and Newtownabbey,2934,3173,2976,7
Toome,N00000129,Antrim and Newtownabbey,92,895,45,1
Ballygowan_1,N00000130,Ards and North Down,4214,3830,4157,10
Ballygowan_1,N00000131,Ards and North Down,3846,3499,4078,9
Ballygowan_1,N00000132,Ards and North Down,2882,1924,3647,7
Ballygowan_1,N00000133,Ards and North Down,1944,1027,2341,5
Ballygowan_2,N00000134,Ards and North Down,4058,3741,4008,9
Ballygowan_2,N00000135,Ards and North Down,1604,1889,1658,4
Ballygowan_2,N00000136,Ards and North Down,3852,3109,4114,9
Ballygowan_2,N00000137,Ards and North Down,3497,3585,3178,8
Ballygowan_2,N00000138,Ards and North Down,3742,2438,3592,9
Ballyrainey,N00000139,Ards and North Down,2408,2785,1853,6
Ballyrainey,N00000140,Ards and North Down,1785,2108,1383,4
Ballyrainey,N00000141,Ards and North Down,1555,1767,1106,4
Ballyrainey,N00000142,Ards and North Down,1463,2127,1019,4
Ballyrainey,N00000143,Ards and North Down,516,375,628,2
Ballyrainey,N00000144,Ards and North Down,896,428,869,2
Ballyrainey,N00000145,Ards and North Down,1354,4330,431,3
Ballyrainey,N00000146,Ards and North Down,2664,2204,3688,6
Ballyrainey,N00000147,Ards and North Down,703,777,341,2
Ballywalter_1,N00000148,Ards and North Down,722,329,1177,2
Ballywalter_1,N00000149,Ards and North Down,2472,3647,1637,6
Ballywalter_1,N00000150,Ards and North Down,2083,963,2296,5
Ballywalter_1,N00000151,Ards and North Down,1051,1781,735,3
