district,ward,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,corrected
Belfast,Ballygomartin,7734,3667,4067,8409,3999,4410,
Belfast,Ballyhackamore,7493,3404,4089,6415,2908,3507,
Belfast,Ballymacarrett,8743,4197,4546,4450,2080,2370,
Belfast,Ballynafeigh,6674,3085,3589,5220,2365,2855,
Belfast,Ballysillan,8181,3964,4217,5937,2898,3039,
Belfast,Bellevue,7530,3597,3933,6249,2965,3284,
Belfast,Belmont,8948,4167,4781,7805,3655,4150,
Belfast,Bloomfield,6455,3030,3425,5475,2593,2882,
Belfast,Castleview,7653,3616,4037,6725,3167,3558,
Belfast,Cavehill,8430,3972,4458,8136,3853,4283,
Belfast,Central,7085,4123,2962,2391,1260,1131,
Belfast,Cliftonville,9637,4438,5199,7475,3426,4049,
Belfast,Clonard,8491,4339,4152,5428,2561,2867,
Belfast,Court,7345,3562,3783,3319,1543,1776,
Belfast,Cromac,6991,3371,3620,2418,1137,1281,
Belfast,Crumlin,12414,6821,5593,3665,1855,1810,
Belfast,Donegal,7789,3673,4116,6203,2948,3255,
Belfast,Duncairn,8408,3952,4456,4184,1955,2229,
Belfast,Falls,5655,2669,2986,2608,1210,1398,
Belfast,Finaghy,7376,3198,4178,7184,3149,4035,
Belfast,Fortwilliam,6690,3088,3602,5838,2683,3155,
Belfast,Grdsvenor,7385,3278,4107,3308,1389,1919,
Belfast,Grove,6230,2938,3292,4623,2182,2441,
Belfast,Highfield,8516,4187,4329,5661,2734,2927,
Belfast,Island,8665,4310,4355,4073,1922,2151,
Belfast,Ladybrook,11044,5478,5566,9981,4941,5040,
Belfast,Legoniel,7218,3455,3763,5465,2544,2921,
Belfast,MaJone,6775,2901,3874,6427,2814,3613,
Belfast,Milltown,9864,4816,5048,7220,3461,3759,
Belfast,New Lodge,8090,3848,4242,5057,2381,2676,
Belfast,North Howard,6957,3346,3611,1872,885,987,
Belfast,Orangefield,7921,3734,4187,6774,3151,3623,
Belfast,Ormeau,6710,3169,3541,4698,2180,2518,
Belfast,Rosetta,7633,3358,4275,6635,2904,3731,
Belfast,St. George's,7690,3662,4028,3003,1439,1564,
Belfast,St. James,9202,4166,5036,7990,3713,4277,
Belfast,Shandon,8715,4173,4542,7921,3758,4163,
Belfast,Shankill,8337,3939,4398,5793,2776,3017,
Belfast,Stormont,8778,4122,4656,7596,3431,4165,
Belfast,Stranmillis,7939,3669,4270,6653,3019,3634,
Belfast,Suffolk,11031,5487,5544,9256,4548,4708,
Belfast,Sydenham,7931,3827,4104,6844,3413,3431,
Belfast,The Mount,8765,4243,4522,4628,2178,2450,
Belfast,University,7830,3708,4122,4726,2171,2555,
Belfast,Upper Malone,7920,3794,4126,6980,3301,3679,
Belfast,Whiterock,10861,5475,5386,6775,3359,3416,
Belfast,Willowfield,7417,3401,4016,6257,2914,3343,
Belfast,Windsor,9925,4030,5895,7942,3335,4607,
Belfast,Woodvale,7628,3667,3961,5879,2762,3117,
Carrickfergus,Blackhead,1488,698,790,2264,1057,1207,
Carrickfergus,Boneybefore,1828,906,922,2320,1144,1176,
Carrickfergus,Castle,1363,662,701,979,449,530,
Carrickfergus,Clipperstown,1895,917,978,2524,1221,1303,
Carrickfergus,Eden,1999,989,1010,2123,1055,1068,
Carrickfergus,Knockagh,1531,746,785,1589,775,814,
Carrickfergus,Love Lane,2527,1241,1286,3591,1740,1851,
Carrickfergus,Lower Greenisland,2179,996,1183,1928,912,1016,
Carrickfergus,Middle Greenisland,1981,947,1034,1574,742,832,
Carrickfergus,Northland,2173,1102,1071,1875,932,943,
Carrickfergus,Sunnylands,1871,916,955,1442,693,749,
Carrickfergus,Trooperslane,1714,802,912,1373,618,755,
Carrickfergus,Victoria,1800,888,912,1399,666,733,
Carrickfergus,Whitehead,1444,673,771,1403,652,751,
Carrickfergus,Woodburn,1251,611,640,2004,1011,993,
Castlereagh,Ballyhanwood,3137,1546,1591,3564,1733,1831,
Castlereagh,Beechill,4724,2224,2500,5150,2596,2554,
Castlereagh,Braniel Lower,2923,1435,1488,2545,1215,1330,
Castlereagh,Braniel Upper,3389,1677,1712,3017,1505,1512,
Castlereagh,Carrowreagh,3732,1797,1935,4383,2096,2287,
Castlereagh,Carryduff,3280,1593,1687,3793,1838,1955,
Castlereagh,Cregagh,3081,1521,1560,2442,1133,1309,
Castlereagh,Downshire,2732,1327,1405,2308,1057,1251,
Castlereagh,Dundonald,3936,1828,2108,3331,1458,1873,
Castlereagh,Enler,3848,1864,1984,3224,1573,1651,
Castlereagh,Four Winds,3616,1815,1801,3611,1803,1808,
Castlereagh,Gilnahirk,3216,1578,1638,2825,1385,1440,
Castlereagh,Hillfoot,3260,1594,1666,3310,1639,1671,
Castlereagh,Lisnasharragh,3805,1900,1905,3085,1527,1558,
Castlereagh,Minnowburn,3349,1487,1862,3609,1592,2017,
Castlereagh,Moneyreagh,2249,1140,1109,2460,1261,1199,
Castlereagh,Newiowr\breda,3599,1707,1892,2782,1273,1509,
Castlereagh,TuUycarnet,3524,1722,1802,3115,1535,1580,
Castlereagh,Wynchurch,3006,1413,1593,2553,1190,1363,
Coleraine,Agivey,2165,1103,1062,1960,981,979,
Coleraine,Ballywillin,2358,1157,1201,2672,1316,1356,
Coleraine,Castlerock,2265,1107,1158,2328,1153,1175,
Coleraine,Central,1699,794,905,1153,518,635,
Coleraine,Churchland,2454,1203,1251,1910,943,967,
Coleraine,Cross Glebe,2547,1270,1277,3553,1721,1832,
Coleraine,Dhu Varren,2098,964,1134,2135,971,1164,
Coleraine,Dunluce,1762,886,876,1780,877,903,
