district,ward,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,corrected
Newtownabbey,Doagh,2450,1131,1319,2968,1415,1553,
Newtownabbey,Dunanney,3736,1822,1914,2728,1312,1416,
Newtownabbey,Glengormley,3784,1863,1921,4453,2190,2263,
Newtownabbey,Hopefield,3416,1673,1743,2471,1135,1336,
Newtownabbey,Jordanstown,2913,1402,1511,3890,1878,2012,
Newtownabbey,Mallusk,2089,1046,1043,1961,985,976,
Newtownabbey,Monkstown,4461,2492,1969,3674,1779,1895,
Newtownabbey,Mossgrove,3247,1602,1645,3185,1562,1623,
Newtownabbey,Mossley,3220,1559,1661,5321,2561,2760,
Newtownabbey,Rostulla,2834,1316,1518,3025,1418,1607,
Newtownabbey,Whiteabbey,3187,1481,1706,2696,1219,1477,
Newtownabbey,Whitehouse,3346,1598,1748,2831,1337,1494,
Newtownabbey,Whitewell,3857,1932,1925,4090,2072,2018,
North Down,BaJlyhoJme,2232,907,1325,2246,985,1261,
North Down,Ballymagee,2094,933,1161,7016,3393,3623,
North Down,Bangor Castle,2023,865,1158,1657,749,908,
North Down,Bangor Harbour,2395,1050,1345,2127,962,1165,
North Down,Bryansburn,2660,1254,1406,2909,1341,1568,
North Down,Churchill,2582,1118,1464,2588,1170,1418,
North Down,Clandeboye,3561,1758,1803,4643,2169,2474,
North Down,Conlig,2915,1362,1553,7047,3313,3734,
North Down,Craigavad,2203,1053,1150,1961,938,1023,
North Down,Crawfordsburn,2248,1045,1203,2904,1375,1529,
North Down,Cultra,2403,1148,1255,2767,1361,1406,
North Down,Groomsport,2750,1302,1448,4158,1998,2160,
North Down,Holy wood Demesne,2239,1031,1208,2201,1010,1191,
North Down,Holywood Priory,2365,1091,1274,2575,1197,1378,
North Down,Loughview,4460,2380,2080,3797,2120,1677,
North Down,Princetown,2146,970,1176,2495,1166,1329,
North Down,Rathgael,2860,1438,1422,3383,1711,1672,
North Down,Silverstream,2825,1307,1518,2568,1222,1346,
North Down,Spring Hill,2405,1149,1256,4039,1900,2139,
North Down,WhiiehiJl,3245,1628,1617,2611,1252,1359,
Omagh,Beragh,2137,1108,1029,2045,1056,989,
Omagh,Carrickmore,1951,1026,925,1568,807,761,
Omagh,Clanabogan,1792,982,810,1657,858,799,
Omagh,Dergmoney,1557,745,812,1204,593,611,
Omagh,Dromore,2224,1163,1061,2282,1202,1080,
Omagh,Drumnakiily,2241,1165,1076,1947,1014,933,
Omagh,Drumquin,1982,1049,933,1833,954,879,
Omagh,Drumragh,1619,843,776,1672,810,862,
Omagh,East,1921,876,1045,1911,920,991,
Omagh,Fairgreen,1904,886,1018,1397,673,724,
Omagh,Fairy Water,1814,944,870,1667,877,790,
Omagh,Fintona,2227,1105,1122,2298,1142,1156,
Omagh,Gorlin,2033,1036,997,1874,907,967,
Omagh,Killyclogher,3134,1753,1381,5559,2848,2711,
Omagh,Newtownsaville,1801,955,846,1830,953,877,
Omagh,Owenglen,1698,896,802,1407,716,691,
Omagh,Sixmilecross,1980,1036,944,1603,852,751,
Omagh,Strule,2407,1191,1216,1869,898,971,
Omagh,Trillick,2167,1143,1024,2033,1055,978,
Omagh,West,2586,1279,1307,3481,1726,1755,
Strabane,Artigarvan,2380,1215,1165,2387,1214,1173,
Strabane,Castlederg,2486,1202,1284,3026,1479,1547,
Strabane,Clare,2356,1205,1151,2193,1125,1068,
Strabane,Dunnamanagh,2242,1142,1100,2199,1120,1079,
Strabane,East,2531,1214,1317,2367,1183,1184,
Strabane,Finn,2330,1163,1167,2258,1142,1116,
Strabane,Glenderg,2125,1139,986,1787,978,809,
Strabane,Newtownstewart,2398,1202,1196,2239,1118,1121,
Strabane,North,1908,893,1015,1558,748,810,
Strabane,Plumbridge,2145,1137,1008,1842,999,843,
Strabane,Sion Mills,2136,1044,1092,2404,1226,1178,read p28
Strabane,Slievekirk,2245,1188,1057,2078,1088,990,read p28
Strabane,South,3010,1487,1523,3925,1939,1986,read p28
Strabane,Victoria Bridge,2014,1051,963,1751,918,833,read p28
Strabane,West,2058,971,1087,2898,1392,1506,read p28
