SA2011,ward_key,total_pop,total_households,adults18plus,rc_pct,protestant_pct,none_relig_pct,relig_notstated_pct,irish_speak_pct,econ_active_pct,unemployment_pct,owner_occ_pct,social_rent_pct,private_rent_pct,no_car_pct,llti_pct,qualified_pct,degree_pct
N00002784,down|strangford,2211.0,640.0,1476.0,75.85,11.71,2.31,10.13,4.19,59.82,10.18,74.84,13.91,8.28,18.75,8.86,10.16,9.01
N00002638,down|ardglass,2730.0,767.0,1775.0,78.94,11.5,0.73,8.83,4.36,57.95,14.31,67.54,22.03,9.39,27.12,11.28,8.28,7.32
N00002639,down|ardglass,2730.0,767.0,1775.0,78.94,11.5,0.73,8.83,4.36,57.95,14.31,67.54,22.03,9.39,27.12,11.28,8.28,7.32
N00002636,down|ardglass,2730.0,767.0,1775.0,78.94,11.5,0.73,8.83,4.36,57.95,14.31,67.54,22.03,9.39,27.12,11.28,8.28,7.32
N00002720,down|killough,3555.0,948.0,2393.0,52.88,36.54,2.84,7.74,4.18,64.66,8.67,54.64,19.94,19.83,27.53,8.61,5.64,4.64
N00002637,down|ardglass,2730.0,767.0,1775.0,78.94,11.5,0.73,8.83,4.36,57.95,14.31,67.54,22.03,9.39,27.12,11.28,8.28,7.32
N00002779,down|strangford,2211.0,640.0,1476.0,75.85,11.71,2.31,10.13,4.19,59.82,10.18,74.84,13.91,8.28,18.75,8.86,10.16,9.01
N00002783,down|strangford,2211.0,640.0,1476.0,75.85,11.71,2.31,10.13,4.19,59.82,10.18,74.84,13.91,8.28,18.75,8.86,10.16,9.01
N00002641,down|audleysacre,2728.0,786.0,1797.0,81.74,10.48,1.76,6.01,7.37,62.29,10.12,74.81,23.41,1.4,25.7,8.47,12.85,10.68
N00002674,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
N00002673,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
N00002672,down|cathedral,3080.0,918.0,1974.0,86.92,4.97,2.5,5.62,3.86,63.45,16.86,53.92,42.37,2.83,40.09,10.0,4.86,4.05
