SA2011,ward_key,ward_pop_1971,ward_pop_1981,ward_pop_change_pct,ward_male_pct_1981,ward_pop_density_1981
N00002784,down|strangford,1987,2052,3.27,50.68,34.2
N00002638,down|ardglass,2433,2880,18.37,53.72,66.6
N00002639,down|ardglass,2433,2880,18.37,53.72,66.6
N00002636,down|ardglass,2433,2880,18.37,53.72,66.6
N00002720,down|ardglass,2433,2880,18.37,53.72,66.6
N00002637,down|ardglass,2433,2880,18.37,53.72,66.6
N00002779,down|strangford,1987,2052,3.27,50.68,34.2
N00002783,down|strangford,1987,2052,3.27,50.68,34.2
N00002641,down|strangford,1987,2052,3.27,50.68,34.2
N00002674,down|cathedral,2389,3940,64.92,49.77,260.1
N00002673,down|cathedral,2389,3940,64.92,49.77,260.1
N00002672,down|cathedral,2389,3940,64.92,49.77,260.1
N00002671,down|cathedral,2389,3940,64.92,49.77,260.1
N00002657,down|cathedral,2389,3940,64.92,49.77,260.1
N00002653,down|audleys acre,3628,3660,0.88,47.13,490.2
N00002656,down|audleys acre,3628,3660,0.88,47.13,490.2
N00002659,down|cathedral,2389,3940,64.92,49.77,260.1
N00002658,down|audleys acre,3628,3660,0.88,47.13,490.2
N00002654,down|audleys acre,3628,3660,0.88,47.13,490.2
N00002640,down|audleys acre,3628,3660,0.88,47.13,490.2
N00002645,down|audleys acre,3628,3660,0.88,47.13,490.2
N00002642,down|quoile,2551,3233,26.73,50.39,236.6
N00002644,down|quoile,2551,3233,26.73,50.39,236.6
N00002750,down|quoile,2551,3233,26.73,50.39,236.6
N00002643,down|quoile,2551,3233,26.73,50.39,236.6
N00002753,down|quoile,2551,3233,26.73,50.39,236.6
N00002749,down|quoile,2551,3233,26.73,50.39,236.6
N00002752,down|quoile,2551,3233,26.73,50.39,236.6
N00002751,down|quoile,2551,3233,26.73,50.39,236.6
N00002655,down|audleys acre,3628,3660,0.88,47.13,490.2
N00002765,down|cathedral,2389,3940,64.92,49.77,260.1
N00002722,down|ardglass,2433,2880,18.37,53.72,66.6
N00002725,down|killough,3295,3185,-3.34,56.36,60.1
N00002721,down|killough,3295,3185,-3.34,56.36,60.1
N00002632,down|ardglass,2433,2880,18.37,53.72,66.6
N00002633,down|ardglass,2433,2880,18.37,53.72,66.6
N00002635,down|ardglass,2433,2880,18.37,53.72,66.6
N00002634,down|ardglass,2433,2880,18.37,53.72,66.6
N00002724,down|killough,3295,3185,-3.34,56.36,60.1
N00002723,down|killough,3295,3185,-3.34,56.36,60.1
N00002693,down|donard,2165,2115,-2.31,46.15,211.3
