DZ2021_cd,DZ2021_nm,lgd1993,cath_1971,cath_1981,cath_1991,cath_2021,cath_growth_1971_2021
N20003396,Downpatrick_B2,DOWN,54.1,45.3,56.0,73.312,19.2
N20003420,Downpatrick_B3,DOWN,54.1,45.3,56.0,81.461,27.4
N20003423,Downpatrick_H3,DOWN,54.1,45.3,56.0,85.641,31.5
N20003425,Downpatrick_J1,DOWN,54.1,45.3,56.0,88.389,34.3
N20003426,Downpatrick_J2,DOWN,54.1,45.3,56.0,90.509,36.4
N20003424,Downpatrick_H4,DOWN,54.1,45.3,56.0,70.588,16.5
N20003414,Downpatrick_H1,DOWN,54.1,45.3,56.0,81.545,27.4
N20003402,Downpatrick_D1,DOWN,54.1,45.3,56.0,82.902,28.8
N20003421,Downpatrick_F4,DOWN,54.1,45.3,56.0,94.109,40.0
N20003419,Downpatrick_G4,DOWN,54.1,45.3,56.0,91.369,37.3
N20003415,Downpatrick_F2,DOWN,54.1,45.3,56.0,86.283,32.2
N20003418,Downpatrick_F3,DOWN,54.1,45.3,56.0,94.488,40.4
N20003412,Downpatrick_F1,DOWN,54.1,45.3,56.0,88.848,34.7
N20003410,Downpatrick_E6,DOWN,54.1,45.3,56.0,81.128,27.0
N20003413,Downpatrick_G1,DOWN,54.1,45.3,56.0,86.16,32.1
N20003416,Downpatrick_G2,DOWN,54.1,45.3,56.0,89.932,35.8
N20003417,Downpatrick_G3,DOWN,54.1,45.3,56.0,87.751,33.7
N20003411,Downpatrick_D4,DOWN,54.1,45.3,56.0,83.415,29.3
N20003409,Downpatrick_D3,DOWN,54.1,45.3,56.0,89.339,35.2
N20003407,Downpatrick_E4,DOWN,54.1,45.3,56.0,81.867,27.8
N20003403,Downpatrick_E1,DOWN,54.1,45.3,56.0,74.232,20.1
N20003405,Downpatrick_D2,DOWN,54.1,45.3,56.0,91.161,37.1
N20003400,Downpatrick_C4,DOWN,54.1,45.3,56.0,86.161,32.1
N20003399,Downpatrick_C3,DOWN,54.1,45.3,56.0,85.714,31.6
N20003397,Downpatrick_C1,DOWN,54.1,45.3,56.0,62.376,8.3
N20003398,Downpatrick_C2,DOWN,54.1,45.3,56.0,83.884,29.8
N20003401,Downpatrick_C5,DOWN,54.1,45.3,56.0,76.626,22.5
N20003406,Downpatrick_E3,DOWN,54.1,45.3,56.0,76.087,22.0
N20003404,Downpatrick_E2,DOWN,54.1,45.3,56.0,60.443,6.3
N20003408,Downpatrick_E5,DOWN,54.1,45.3,56.0,70.076,16.0
N20003328,Slieve_Croob_D4,DOWN,54.1,45.3,56.0,69.063,15.0
N20003422,Downpatrick_H2,DOWN,54.1,45.3,56.0,76.895,22.8
N20003429,Downpatrick_K1,DOWN,54.1,45.3,56.0,74.453,20.4
N20003427,Downpatrick_J3,DOWN,54.1,45.3,56.0,82.39,28.3
