SA2011,ward_key
N00002784,down|strangford
N00002638,down|ardglass
N00002639,down|ardglass
N00002636,down|ardglass
N00002720,down|killough
N00002637,down|ardglass
N00002779,down|strangford
N00002783,down|strangford
N00002641,down|audleysacre
N00002674,down|cathedral
N00002673,down|cathedral
N00002672,down|cathedral
N00002671,down|cathedral
N00002657,down|cathedral
N00002653,down|flyinghorse
N00002656,down|flyinghorse
N00002659,down|flyinghorse
N00002658,down|flyinghorse
N00002654,down|flyinghorse
N00002640,down|audleysacre
N00002645,down|audleysacre
N00002642,down|audleysacre
N00002644,down|audleysacre
N00002750,down|quoile
N00002643,down|audleysacre
N00002753,down|quoile
N00002749,down|quoile
N00002752,down|quoile
N00002751,down|quoile
N00002655,down|flyinghorse
N00002765,down|seaforde
N00002722,down|killough
N00002725,down|killough
N00002721,down|killough
N00002632,down|ardglass
N00002633,down|ardglass
N00002635,down|ardglass
N00002634,down|ardglass
N00002724,down|killough
N00002723,down|killough
N00002693,down|donard
N00002692,down|donard
N00002694,down|donard
N00002691,down|donard
N00002788,down|tollymore
N00002774,down|shimna
N00002745,down|murlough
N00002744,down|murlough
N00002746,down|murlough
N00002773,down|shimna
N00002771,down|shimna
N00002777,down|shimna
N00002776,down|shimna
N00002775,down|shimna
N00002695,down|donard
N00002772,down|shimna
N00002698,down|donard
N00002696,down|donard
N00002697,down|donard
N00002690,down|donard
N00002778,down|shimna
N00002747,down|murlough
N00002748,down|murlough
N00002742,down|murlough
N00002791,down|tollymore
N00002789,down|tollymore
N00002790,down|tollymore
N00002668,down|castlewellan
N00002667,down|castlewellan
N00002710,down|dundrum
N00002711,down|dundrum
N00002743,down|murlough
N00002726,down|killough
N00002709,down|seaforde
N00002768,down|seaforde
N00002770,down|seaforde
N00002769,down|seaforde
N00002764,down|seaforde
N00002766,down|seaforde
N00002713,down|dunmore
N00002717,down|dunmore
N00002669,down|dunmore
N00002767,down|seaforde
N00002707,down|dundrum
N00002708,down|dundrum
N00002712,down|dundrum
N00002670,down|castlewellan
N00000723,banbridge|garran
N00000721,banbridge|garran
N00000726,banbridge|garran
N00000725,banbridge|garran
N00000788,banbridge|katesbridge
N00000784,banbridge|katesbridge
N00000722,banbridge|garran
N00000785,banbridge|katesbridge
N00000786,banbridge|katesbridge
N00002787,down|tollymore
N00002786,down|tollymore
N00002785,down|tollymore
N00003861,newryandmourne|spelga
N00003858,newryandmourne|spelga
N00003817,newryandmourne|lisnacree
N00003820,newryandmourne|lisnacree
N00003691,newryandmourne|binnian
N00003696,newryandmourne|binnian
N00003670,newryandmourne|annalong
N00003673,newryandmourne|annalong
N00003672,newryandmourne|annalong
N00003671,newryandmourne|annalong
N00003675,newryandmourne|annalong
